district,2014_01,2014_02,2014_03,2014_04,2014_05,2014_06,2014_07,2014_08,2014_09,2014_10,2014_11,2014_12,2015_01,2015_02,2015_03,2015_04,2015_05,2015_06,2015_07,2015_08,2015_09,2015_10,2015_11,2015_12,2016_01,2016_02,2016_03,2016_04,2016_05,2016_06,2016_07,2016_08,2016_09,2016_10,2016_11,2016_12,2017_01,2017_02,2017_03,2017_04,2017_05,2017_06,2017_07,2017_08,2017_09,2017_10,2017_11,2017_12,2018_01,2018_02,2018_03,2018_04,2018_05,2018_06,2018_07,2018_08,2018_09,2018_10,2018_11,2018_12,2019_01,2019_02,2019_03,2019_04,2019_05,2019_06,2019_07,2019_08,2019_09,2019_10,2019_11,2019_12,2020_01,2020_02,2020_03,2020_04,2020_05,2020_06,2020_07,2020_08,2020_09,2020_10,2020_11,2020_12,2021_01,2021_02,2021_03,2021_04,2021_05,2021_06,2021_07,2021_08,2021_09,2021_10,2021_11,2021_12,2022_01,2022_02,2022_03,2022_04,2022_05,2022_06,2022_07,2022_08,2022_09,2022_10,2022_11,2022_12,2023_01,2023_02,2023_03,2023_04,2023_05,2023_06,2023_07,2023_08,2023_09,2023_10,2023_11,2023_12
ANANTAPUR,1851.7340289110036,1874.1995015831926,1873.9515834181584,1896.9569779207893,1897.5588339232822,1869.0388566233312,1867.7049433437548,1870.5794002638615,1870.2638662720772,1857.1343795396324,1849.3800116566863,1850.870345386253,1853.2946077064378,1874.3202805602389,1874.2733678762609,1871.3409842253918,1889.8660761685962,1865.5191722837305,1867.6820943872701,1871.252883728414,1869.7375789495504,1854.6048134356965,1849.0998746937805,1851.6259327358387,1854.3182077607246,1871.148850035195,1872.4257405764122,1875.8583515611413,1893.3648724137242,1865.7190777239373,1867.3029688629035,1877.2249748560816,1867.5365931718252,1853.2518314715003,1851.0326476475489,1850.9854486238435,1851.1927542492506,1871.298709567536,1874.7588545895294,1872.8888336526084,1887.6593932589246,1864.8660453415232,1866.9839821611752,1880.2282177486265,1867.517603541731,1859.416055129561,1849.6518133598836,1850.2404560398982,1851.651635612876,1873.637215703472,1874.343464999495,1871.4065435818109,1885.9411446356514,1862.9053486389223,1867.677863405908,1868.3693240614589,1868.6348873821912,1864.503400369195,1850.2876741919263,1849.3711253185302,1852.3968051337931,1874.6535134695564,1874.3875140969442,1881.5901960090441,1873.6593952555888,1870.88335779304,1867.3667995754622,1869.5913621288082,1870.0195147085185,1861.0467143027793,1849.3788674507282,1850.207334603465,1852.6659040141224,1874.2317324959145,1873.9972082329136,1894.3384082427292,1891.8021387940748,1868.4797889423317,1867.432474825979,1886.9007507881256,1871.8488678034446,1857.892872464724,1849.4580500369134,1851.0950141860153,1853.858583511215,1874.7738726265288,1871.450592951958,1872.8018529138574,1888.490984954841,1866.254671003428,1867.538598681517,1874.4553659791636,1871.0759872014276,1854.4430665545756,1845.8644380971061,1850.9480891831392,1854.9261827591333,1876.599911971781,1875.81665170393,1874.7075044920443,1890.8722007670483,1865.919660183996,1869.1947894126224,1872.6370085017516,1869.0554713290132,1870.1577752636683,1849.5583349062201,1850.3313904406707,1851.142767191489,1874.727496367972,1873.5037264356226,1874.1666303954266,1885.4772907920328,1863.320465152497,1866.5161439457495,1869.0990837907004,1866.3397515301951,1873.4195024920748,1849.670435021934,1849.227426116683
CHITTOOR,1850.1646770402601,1873.7725016669085,1874.199388572469,1872.8212836962437,1882.2013309573417,1864.901307127748,1871.3085111792855,1870.1832264608622,1868.5120367197671,1872.4951945769674,1848.1476038980593,1849.1307536531033,1852.1262917696379,1874.1615072701397,1873.7262634860306,1876.830736592865,1886.4026557722875,1866.1936465208323,1869.358091355477,1866.254300184729,1865.8304341209168,1867.9546262553283,1851.6266482921453,1850.5535501819284,1853.6884064188548,1874.020750398681,1866.3272001736284,1882.361447858032,1885.0978400833415,1864.3846742573471,1869.929650129327,1866.504739376691,1868.8957161845672,1866.6743337723112,1849.611968112498,1849.2555018967648,1854.6960098629154,1872.7607890842273,1874.6291519447782,1870.0145850056142,1894.3898145247042,1864.6090739190681,1869.6491456394433,1868.5655582716058,1869.36603635542,1864.106391574199,1849.632179112061,1849.4258965840484,1854.4114594138653,1869.8632960305792,1874.5061009110798,1867.7159612309683,1887.7901245561739,1864.311058058763,1871.6902587401805,1868.9503220308227,1874.3411525113258,1856.5838063385827,1849.5427178202056,1848.4179370646902,1850.594927197076,1874.635841757527,1873.9275938659878,1871.8541854417988,1883.6687719451081,1863.8573721015882,1870.8632964116186,1872.7518678572837,1874.9804874273998,1869.0577632794636,1848.8952582802438,1849.4900039981592,1851.759940414981,1874.2073817836258,1873.792150799561,1867.480436961603,1883.9872076903375,1865.4541526182543,1871.15590794333,1875.7016786077766,1867.8165474036487,1868.9851069748204,1849.8411997006394,1849.6606414922403,1869.7122546972448,1874.872127858316,1875.1725325613206,1877.675530583785,1880.414766769127,1866.2418960019754,1868.7261521698183,1865.871110367676,1865.0609584795543,1869.6260659857633,1849.6660232247552,1849.334366113477,1853.7865071398612,1874.7188461002897,1875.5155722236516,1879.8390129535528,1892.5285144632169,1864.4927705721054,1869.265034230808,1873.769270758043,1865.0236043918133,1864.2048063804982,1849.5955143988258,1848.5701542225884,1854.836650324394,1874.9691926168969,1874.202349991754,1870.6159641540096,1880.5860956339293,1862.5701706320729,1867.9375116089861,1867.9383730486973,1869.0935472639073,1863.7668116460864,1849.5705328439528,1849.2917964678038
EAST GODAVARI,1849.3287876119798,1876.065326318668,1873.728206598499,1872.48893540342,1891.0399460600552,1885.703787904604,1876.2152892502604,1890.5807308070946,1874.167262317751,1856.4392074131956,1866.7613862834419,1874.463599402666,1851.1608794948365,1874.7227593744758,1874.3181637523608,1869.294808256782,1889.5580262128142,1876.1814566554565,1878.992842630153,1877.725624504871,1873.1328428809234,1848.3674066877995,1867.3690267634838,1873.7292135021153,1849.5939533647495,1871.4461228635237,1874.5584408603904,1865.7757887614812,1889.9382445066872,1871.693661660543,1876.0003736728754,1881.177852854728,1867.3346084716113,1853.815561993513,1873.6110708998463,1871.3226709839857,1850.3445846610123,1873.3780699372023,1874.782352386737,1869.798931918444,1886.2070223559099,1885.6587794254774,1869.6286621934375,1894.783782734698,1873.609627415392,1853.8030902897442,1874.221401091938,1871.261317915961,1850.677233560898,1864.0134480728652,1875.0879265420979,1876.6893108667389,1889.5872359582897,1882.8924970549144,1876.5324370114279,1878.2604593843032,1868.2627921991595,1856.3423479264547,1870.6583783464412,1875.1372433965275,1850.2223390149447,1875.9475293085989,1874.3572973203923,1877.2876020820322,1907.141155805832,1887.7102570355103,1880.1283719936216,1894.0047681749013,1875.470843643013,1855.6457866393052,1872.1137752692082,,1848.537412010251,1875.586588881288,1874.0431469130765,1872.6667414486358,1889.965977358649,1882.5228947140806,1876.9940335894091,1894.044039458139,1873.6943308586042,1849.074685675277,1870.3720153532363,1874.9152142539804,1851.3123299708705,1874.9780104523768,1875.7070007185464,1867.6206650754045,1888.2737982621165,1874.0208887853626,1882.0546224110215,1886.943824696662,1869.2789336724309,1848.4528629127299,1870.8634833043,1875.1475303662437,1850.2503639888407,1873.7206317382083,1874.5768522898318,1867.6565083993878,1892.2842515725101,1875.3433995501623,1865.981225121939,1868.7871289349853,1871.4813345240873,1853.6302142849424,1874.1517462797128,1874.0500067572445,1848.7700155474893,1873.3336074620904,1873.060342288155,1868.6527761783352,1890.2560869279398,1867.9730356004031,1866.1586649136032,1896.2101446990632,1871.4319314619006,1857.0860052243922,1849.8826082032647,1872.1131126913438
GUNTUR,1850.8414012967417,1873.8837786571594,1867.7430449700976,1868.665561039016,1894.174358540013,1886.9045263651244,1864.1462842231454,1888.0277224911554,1869.056476600056,1865.3552347553664,1857.8500486479377,1869.1814927046598,1850.6358293661049,1875.560562206509,1874.1806600168723,1888.23152005015,1891.262777317157,1876.0549689403044,1868.9978092859124,1883.9935124298447,1869.9129401724758,1855.6144312524214,1860.4281461105904,1866.715135393293,1849.5259002519426,1874.9779846094973,1874.8660592471824,1884.2685285097018,1886.3650499839034,1870.2649135970544,1874.8071757121897,1897.04727576208,1870.9312078106964,1860.373690199614,1865.4346148049196,1864.1672453299332,1849.5442748035312,1875.2631942265411,1872.1643938875202,1870.3547291067425,1887.2117751090318,1875.0623420207128,1870.524705301886,1895.733158343924,1873.8909737350878,1857.2814396620886,1865.144948191518,1860.7204324740712,1852.6465772169845,1873.8493801919078,1875.6706451528305,1868.917299327837,1888.3987804933422,1887.6429152009327,1871.1312992583908,1885.20978101677,1873.0684488198901,1853.2784466160042,1866.4338218471555,1855.7922163948392,1849.7121760669177,1873.9744482168749,1874.5696271652491,1872.2157817952586,1893.5006345458128,1888.4481828030212,1868.6379445824423,1890.317972046007,1869.1138524957705,1853.8866469159623,1855.536854495877,1859.6023073775611,1850.2828483682438,1874.4264327323754,1874.3231226898286,1867.9795598051624,1892.2835403675922,1887.451864606706,1876.1916073443833,1866.7383171823894,1869.536711681647,1855.981277337533,1860.6659611479863,1867.8409092498043,1854.8791165669716,1876.7136590339178,1875.5508906262419,1873.342709905081,1892.5927446419653,1879.5846346691615,1870.4368701579083,1893.5012149172132,1870.693441645671,1855.6766727299412,1862.9301719513267,1866.9034406796154,1848.3341136423007,1875.9145069749825,1874.4153032789989,1897.668408359733,1885.3119339556442,1877.1017300913375,1873.9527695487616,1915.6682904112552,1866.8219808254516,1859.4665546781687,1865.6595489146655,1857.8121874699646,1849.284072514405,1875.4484464664713,1874.734232963865,1873.576161630315,1887.5896552541226,1882.3070677703672,1871.4562307675296,1887.7408861484291,1867.3903105285679,1857.2572699951447,1869.1394822138616,1860.7556539800937
KRISHNA,1851.1411400258762,1875.008738719122,1875.5272096916392,1874.4407514715554,1891.47440712312,1884.4637341751452,1869.422921069866,1883.179232134361,1865.3037177223166,1851.0650999797826,1867.0372936839685,1857.3651929005594,1851.6597330556517,1875.482373398851,1874.6265465720435,1877.2400474116646,1890.6688439729464,1888.6292310455008,1868.4138030460842,1881.0444540354783,1858.8088024601836,1853.006611702902,1855.9525608769652,1869.4092131705268,1849.9067500827298,1875.731057022392,1875.179290512932,1875.3532485914575,1888.9838139277736,1871.257767507691,1871.7049144665757,1873.3395064265944,1859.0709312714862,1870.5315155546473,1855.833606154965,1868.4605856023202,1848.7290840429296,1877.8261153593435,1874.1322698644728,1866.9216974045212,1875.362449188179,1883.8808090596651,1872.6710812026959,1893.4829468999883,1866.5668233929468,1856.1264579033868,1856.7407130527558,1865.802850491898,1849.8644055632344,1865.5111023194227,1876.3329180189332,1868.545456972333,1893.9476690065999,1878.0388006722887,1868.4577025541264,1874.8771175934046,1868.284083461212,1854.125463305935,1858.6122273118488,1861.1969213340742,1849.9482129222488,1869.463470606933,1875.1018399913185,1883.6874861145702,1891.6110756475568,1879.4157426287,1864.6178160981203,1897.3410306802552,1873.2598311021718,1855.3428631720055,1864.9862505257743,1861.3065808629206,1853.4151445640825,1875.0236567833438,1874.9056984694685,1873.8067480696066,1890.513328015904,1882.3931794447358,1874.049476903229,1878.9989374969143,1876.4745246737593,1852.1517432975015,1867.8011260812486,1856.9716818071702,1853.6828176354916,1876.1743838079626,1876.0547357820221,1873.531681385253,1884.1691662782457,1887.4718787323889,1871.3410036705116,1883.426517724662,1857.9722490493766,1851.8449950553643,1856.1382219058355,1871.9528549898916,1849.324053577569,1876.1244305439313,1875.6493565975522,1870.8957468973547,1877.447381123007,1870.7937850078656,1871.2615666890547,1910.9091203616545,1870.5786259375448,1870.9867428526509,1855.3258169085282,1871.5778903262153,1848.8968645013592,1877.655363649002,1862.673425339816,1867.8158515141006,1890.2980211667907,1870.3270328704634,1868.3841918778396,1878.5694509127338,1871.821664250226,1858.891195050379,1856.9954250618803,1868.1256760610388
KURNOOL,1850.5770479415603,1874.4242092130455,1873.788136541716,1887.2313069101979,1892.1917399609913,1883.1728858955694,1870.8129832819213,1882.5273393122707,1872.685954246946,1870.232121946808,1857.4223912383518,1851.702437566627,1851.3575850410039,1873.9366784146766,1873.94836177095,1869.9613364487957,1891.6845856234195,1875.9530610883899,1869.3070445017233,1883.8497538712672,1865.2241634732684,1853.9864573808286,1860.2606262872246,1854.4055761892696,1853.6794486904655,1871.7574542322232,1873.7007669132759,1876.0142401405471,1895.5536273919913,1873.4014037203117,1869.61643040655,1886.2400142416489,1864.485796650595,1852.2792191284484,1851.7350360116536,1861.5909528700606,1849.7553339642773,1875.4743833151615,1874.3612795476863,1873.575777412667,1891.9228266441585,1869.0381301233037,1869.8596927804463,1884.9891661547524,1872.7155872139695,1859.665723807124,1851.5590039072445,1861.5126345791853,1850.884100765611,1876.0914324973578,1874.2635079605218,1872.4621297133863,1891.14292773596,1868.4835203118134,1867.430660299465,1878.2770854755365,1870.7716761395054,1860.0754869520606,1854.2367087456373,1858.85094192427,1851.4282254623301,1874.8121831998335,1874.0708228042947,1886.2087758699913,1890.424419264042,1881.543988747816,1869.715848456366,1875.7275176064345,1871.9246088331995,1853.859873604383,1857.0588663056767,1858.8710130724191,1851.5916253641917,1873.6635255180922,1873.8689451563641,1886.286861554964,1891.9214854741624,1876.0639956998436,1868.6159202947154,1897.575561229993,1876.7580073214308,1855.316729979278,1850.1127879759924,1856.2343458555083,1854.3662897455047,1873.9174929780133,1876.5565018375496,1870.4856484101006,1880.8027680251582,1877.981671209297,1870.3359236975205,1886.4577295623862,1867.4420271309498,1854.0358298519845,1845.955359663535,1853.5437661048968,1853.4935718362185,1874.1777079964204,1874.3491721314074,1873.466721180832,1891.4325718693624,1874.282993036179,1870.6553352180742,1891.5663171167091,1869.179618117136,1864.7085329251001,1851.4625137071982,1864.2758553514825,1850.6889944546974,1875.6073215101032,1875.755323260856,1870.821033132249,1891.0702798206523,1870.1313337155666,1866.7831169455549,1874.469825051075,1866.9682977538382,1866.0951957403308,1851.9393138231899,1852.7420810735025
POTTI SRIRAMULU NELLORE,1847.8450086802243,1875.2006639443644,1872.1876054849727,1871.4547204718813,1890.1280035739198,1864.789821514002,1868.141373626263,1877.0981860094944,1871.6801106102603,1864.7136983855228,1848.5516034484206,1849.423340497359,1851.2070490847393,1875.2356936561214,,1883.9128213968309,1883.2681316555156,1868.39822378838,1868.0780955717842,1870.1419892295448,1867.4979715303393,1862.1049455572725,1847.8877934899465,1849.7530396015654,1853.0069917572548,1874.184264917125,1866.3127980474871,1885.6679726643767,1881.2163796678758,1867.6692484997768,1867.7251310048823,1873.6490023184135,1879.179924579178,1856.0256676674428,1848.472616962982,1849.4848726397663,1852.5949930604859,1874.150498577042,1871.9359099797264,1867.9811815109822,1893.1627727806022,1868.9826105049178,1868.072147279825,1887.4869922561509,1869.085327643029,1856.961512129461,1848.3938472561597,1848.6642838162345,1853.5981593216434,1872.0190957504128,1875.0304714502852,1863.9401132966718,1879.0685751666192,1866.1759242083237,1868.8984572202119,1887.279122658931,1875.3442534794285,1858.2339160178046,1849.6519557133045,1848.104958459509,1849.1626339287811,1873.485457362059,1873.9624831169158,1870.0780863715486,1885.5606926462244,1866.1844359485174,1867.6261964086807,1887.4168800893972,1874.2563531816263,1867.7044404151393,1849.2774362982586,1849.3018241429975,1849.016368048914,1875.2973306501492,1873.679042628938,1871.9443017285662,1888.6522277190782,1864.7555730185436,1868.7320823335021,1867.0072840457992,1868.7582364746127,1860.766225632949,1849.4619091746174,1849.8581866537756,1852.416946557916,1874.9372790152618,1873.6075216101199,1886.1640790556314,1880.6985755809874,1872.261929996986,1867.9766655576009,1871.4321030902931,1866.4879220044647,1866.888713795216,1849.3518799703118,1849.1366800442509,1853.255894365879,1873.9314602588915,1874.0528861206692,1885.7811470920678,1882.9266370043665,1870.8849023146709,1867.3811746833821,1886.4645394716063,1865.8517101243071,1856.57439310829,1849.653846327671,1849.028935899729,1852.1747015476144,1874.509030023002,1870.942029567224,1870.1908790435948,1875.72227822095,1867.3063339953003,1867.4395510934403,1878.327433994053,1872.0692359169673,1857.7433096890552,1849.8094254098878,1848.1691637905824
PRAKASAM,1848.9275056503022,1875.7692952452915,1870.2543256927747,1868.3553777616892,1894.7573535333697,1876.0820909463432,1867.1565036895809,1881.7214984969185,1868.3841888537174,1871.5474018304774,1850.9036250238046,1859.3158810106138,1849.553063510261,1875.3242390662663,,1885.8477695733657,1884.5150083851381,1878.4770385799206,1868.8278550036737,1873.0684440161597,1870.982588336105,1865.0364889543328,1852.9555012330225,1857.6125346173694,1850.7055802228747,1875.1815207646266,1871.9240483629917,1883.6397575092485,1884.5045924328306,1883.3970233651871,1869.7979230780581,1883.485950611233,1870.290261857939,1854.811720286157,1855.8285470362166,1856.3561323205304,1853.3843356037364,1875.136038353155,1873.567487106869,1870.2713305671755,1892.7037296937451,1876.4460013969424,1869.4532493433453,1882.7397584180164,1876.9722820667093,1855.1138997599292,1856.493494371365,1853.0397508986523,1852.7793592989422,1871.030884712184,1875.0814689720455,1869.1843067546722,1883.0397059985842,1873.26380907853,1869.0914805717618,1884.7701426771093,1874.5475836742237,1853.7309553821428,1857.7072983495898,1849.3522893105396,1849.163790322243,1874.196676507769,1874.5193890102576,1870.303086384935,1896.7484795241576,1876.6692935537283,1868.5700846852073,1887.4256437273111,1872.2831796121018,1847.118315290369,1850.3247550422234,1849.9188705887748,1848.4003941237784,1876.2163083898238,1874.1726116158043,1867.4296939436595,1892.9163088634984,1870.5381849604291,1871.717289135604,1867.0278741488532,1867.939137639909,1865.319670728465,1852.1573855167776,1860.540187060686,1854.2450952633149,1875.796444943171,1874.9980710293294,1876.1936643297215,1887.3352006837117,1880.1772793002704,1868.7787842510054,1879.7644219643125,1871.1087665015548,1861.0948248606123,1853.6002625307945,1858.1404545008272,1850.8621261735118,1875.0636377287208,1874.7587073953184,1905.865669867031,1892.601129397856,1884.2408885429154,1869.388520720591,1906.9970505125432,1868.9951902795833,1855.475397261006,1856.9825987278177,1849.554243423305,1851.3098830746344,1875.1473058627166,1874.5996111268385,1873.288750579415,1884.9209812679019,1881.4309768386129,1869.5560500645402,1883.167731435278,1870.104631528532,1854.4320697389237,1859.2923464875266,1852.591666026582
SRIKAKULAM,1850.7044289648086,1868.339305676847,1871.9643647024045,1872.5631421548135,1901.884914503011,1867.434263131649,1886.502022056651,1878.7557798527548,1873.612376440457,1848.7962689093522,1868.2862369927852,1874.7379638334985,1851.1600024428092,1871.413964584117,1872.959036908732,1875.5285093864234,1889.9358946759269,1870.6417155882727,1885.8168571650792,1880.612461158912,1870.0642164594112,1852.5672212867182,1875.2908567893592,1878.1112364484077,1848.6074177210314,1870.7685339738596,1873.301282865665,1872.9401385641243,1909.1997229181195,1872.2609888784873,1895.4993301369557,1904.43526746999,1873.5789951551608,1849.755429984144,1874.1832310441748,1875.515463729274,1850.6616577328198,1875.3677874801656,1873.2790095403539,1878.865571235423,1894.6969894767067,1871.4804501623153,1875.3354129723132,1902.7775777071022,1871.0134081226702,1849.579069346395,1875.2103246354707,1866.6037942891417,1850.412901114315,1858.8143042629963,1874.9109742219302,1864.6031127587225,1893.9147060286505,1872.8646606346038,,1880.0733444070663,1873.1847317430402,1853.0121076024864,1874.96772855423,1876.8101095860545,1850.169713801587,1860.3833030302333,1873.1253490564516,1870.8108242170022,1900.3961899344122,1868.6835070868542,1895.9882604032034,1879.497929787157,1875.2467721221547,1851.1057470265923,1874.95518379327,1879.9207800432412,1849.892797579817,1873.243615755457,1876.382735060597,1870.8636370265544,1895.967648046709,1868.0050928115118,1888.8503664367906,1888.8835713944854,1874.407365778213,1848.208865101151,1875.4468961779085,1876.6915183100277,1850.0304474482953,1871.6465649828108,1873.142219351766,1881.5440551117188,1891.6138309918672,1873.669288144751,1892.4450963033325,1896.6830872570827,1871.3109208107583,1848.0784661943258,1879.9503490077434,1878.0630196325908,1849.5645473954012,1873.581569271737,1874.0385744787868,1867.7972935919515,1904.6679861664675,1871.1079687899235,1890.513093196317,1893.3890884178686,1872.740325713488,1848.8126974120328,1876.532175351529,1877.5833267439366,1849.8689967575312,1874.760011203682,1873.8231748572937,1870.3236498575811,1894.9895242511916,1868.0688278021,1880.3256036420016,1882.927473998343,1870.2879690866257,1853.384528916369,1878.4751164088032,1877.2816588313765
VISAKHAPATNAM,1850.4148128968627,1874.957478227248,1873.4580163371054,1866.298103558164,1895.9926556066202,1875.3036491996495,1875.4729515629663,1904.249509657266,1866.9341327591032,1853.41281686406,1853.5985141013427,1877.026305430559,1850.9268292354523,1877.3733985651988,1875.775441346427,1867.0586666425927,1895.314026684027,1875.4354489938883,1882.2614214799316,1890.2422018355664,1860.378871017453,1852.7173708151781,1878.263954494357,1875.9493886529356,1850.6814151751682,1872.6792013492015,1875.5101782333097,1881.4798164085921,1902.416557272621,1874.6256354703703,1891.478055079122,1890.4418896248453,1864.4887398642923,1852.2761624243224,1875.7196947794878,1874.6169055200824,1851.2773184391165,1875.1324281435284,1875.638330092004,1874.7945513170737,1889.7573159930325,1872.2319320197084,1888.6566791794125,1877.2874767746218,1875.3085986723079,1849.91875736649,1875.764415811221,1874.8343505502762,1851.6886792934056,1867.6011480924726,1875.0017093415581,1874.1132121250334,1890.1586795960745,1878.63737857683,1874.8170356492951,1891.5184065443448,1873.8544466084463,1866.8048436146082,1867.903391478195,1876.254211854847,1851.089225500638,1874.4361954010694,1874.9000562459833,1865.378159976458,1895.1171102777348,1875.521647816317,1890.8996832269063,1910.3300903420727,1875.3444185844635,1854.3511271912894,1875.1066260017694,1876.4264860745254,1850.8661628251766,1876.0862005219246,1875.3177276681308,1868.5554116684175,1885.2552172715623,1879.3723993915926,1884.5606982918855,1893.9293030169335,1867.306179254395,1852.6536331476025,1876.8259977143484,1875.8777232387665,1850.9144819710036,1877.1599523153632,1874.950664990437,1869.7408741506315,1885.7797749916622,1877.3929823546687,1892.4622161756765,1896.106593294192,1861.6210064820582,1852.4782387182445,1880.2273193094393,1880.0286835392872,1851.1753915021627,1870.824799009672,1875.1083094363614,1874.5432348300162,1905.023328661792,1872.977349697541,1887.7049560640783,1886.6747671773792,1868.2026376101062,1851.0967076405668,1876.8875074008379,1881.1367087488927,1850.2288892646118,1875.0500241272819,1875.4792680484645,1877.2185366268939,1895.2141831504237,1864.9628929622518,1884.257075902514,1889.058642927146,1875.2943836716506,1870.7107567706073,1859.6609876468583,1876.3575908497555
