district,2014_01,2014_02,2014_03,2014_04,2014_05,2014_06,2014_07,2014_08,2014_09,2014_10,2014_11,2014_12,2015_01,2015_02,2015_03,2015_04,2015_05,2015_06,2015_07,2015_08,2015_09,2015_10,2015_11,2015_12,2016_01,2016_02,2016_03,2016_04,2016_05,2016_06,2016_07,2016_08,2016_09,2016_10,2016_11,2016_12,2017_01,2017_02,2017_03,2017_04,2017_05,2017_06,2017_07,2017_08,2017_09,2017_10,2017_11,2017_12,2018_01,2018_02,2018_03,2018_04,2018_05,2018_06,2018_07,2018_08,2018_09,2018_10,2018_11,2018_12,2019_01,2019_02,2019_03,2019_04,2019_05,2019_06,2019_07,2019_08,2019_09,2019_10,2019_11,2019_12,2020_01,2020_02,2020_03,2020_04,2020_05,2020_06,2020_07,2020_08,2020_09,2020_10,2020_11,2020_12,2021_01,2021_02,2021_03,2021_04,2021_05,2021_06,2021_08,2021_09,2021_10,2021_11,2021_12,2022_01,2022_02,2022_03,2022_04,2022_05,2022_07,2022_08,2022_09,2022_10,2022_11,2022_12,2023_01,2023_02,2023_03,2023_04,2023_05,2023_06,2023_07,2023_08,2023_09,2023_10,2023_11,2023_12,2021_07,2022_06
ANJAW,1869.9308854497447,1847.5259444466003,1867.2490999984389,1867.786260436619,1909.5672241822494,1919.6549262812896,1932.0298135093599,1865.900163125799,1868.3961122834266,1871.6525858367488,1870.0551770543773,1869.8987902449028,1870.1404228603444,1848.16839018182,1872.9165099324516,1870.3885409627896,1903.2473479021178,1924.3896369591794,1923.0657224776412,1884.2941685934886,1858.030690437329,1870.2701830699343,1870.254799013103,1870.3145025109188,1869.3599599152567,1846.3096521257257,1869.9791853639433,1869.895913511462,1909.4119988640903,1911.3311698202597,1921.6097149169634,1870.0491784806024,1873.5917872773314,1872.0666352152396,1871.0400115458065,1870.883347501722,1869.6971364876356,1847.6243610527029,1851.2773569326685,1874.6078908407708,1914.4514082765174,1909.4310285641454,1923.7493457889386,1875.9566823395696,1855.4131938788712,1871.741958632697,1869.8417237880287,1870.0627543962164,1868.8079794984876,1852.4825557063546,1856.2114201253125,1866.3532671254684,1910.9565029770445,1911.571551357,1918.6865224374699,1873.11623281377,1855.1281250743853,1869.7616287551127,1868.8358822121086,1869.3922457188928,1870.1059770215977,1849.6038810659538,1865.8143489610447,1868.0049716834633,1911.222196800542,1910.040402981164,1932.1789718436853,1870.1421739252937,1873.9102166836064,1872.072239233952,1870.4230532304234,1870.5206277239595,1868.801546520605,1850.1310964156364,1870.1334073573116,1869.162766279964,1909.1939773947204,1930.1581647899113,1926.2556657170792,1873.575946113261,1869.0453848903917,1868.7401959282834,1868.8236614486489,1870.4544172000483,1869.5207721654454,1848.1856914437215,1870.3849706907472,1867.4060564009328,1907.3958596778275,1911.0969094630873,1901.3762072815337,1858.9461366494058,1870.052744397236,1870.8513555384918,1870.1840576683219,1869.177484912166,1846.1793120642021,1874.893491237349,1869.6775205637964,1913.5338236400046,1914.6072146213378,1869.509140691693,1855.0258216356904,1868.2483517781295,1870.8314896033373,1869.4421493696896,1868.5138608370614,1847.0829655540983,1850.8474360234604,1868.680935664406,1922.5541718605887,1917.963443739959,1928.920328362612,1887.332998944803,1862.039628577669,1870.1574290820688,1871.0761856965237,1870.5107231142586,,
CHANGLANG,1874.3617221492616,1849.517290999193,1873.1814225025937,1874.2985640573652,1917.2462073965244,1919.744719222575,,,1877.1579598271749,1878.1567535442057,1875.165001613403,1875.570377962342,1874.9049934422887,1849.2216598007587,1877.2661903891512,1861.0586274210596,1901.9170103880606,1927.7174897604057,1920.3500618410687,1905.6797276821094,1868.311362097089,1875.6834071233523,1876.712927155331,1874.9992704704653,1874.0096962302428,1849.4647126867899,1873.6799454784862,1874.803910966784,1911.018244579694,1913.2939265103425,1925.7638145922,1865.6200477406187,1875.5247447233114,1878.6908358177832,1877.3070934522561,1876.3933176254056,1874.004794183593,1855.113283799607,1857.3673300895075,1872.9443063035092,1911.285300283511,1913.6258195115945,1920.9798165873785,1868.1712524816553,1855.4677984281816,1878.4454863002593,1875.444992927606,1873.2826995250634,1874.1522662753216,1851.4557990124943,1875.705311554166,1858.3797865157417,1907.3377551675549,1912.7977759509763,1915.8427629964146,1869.892550187223,1854.4853562939973,1871.4994520262298,1873.5814163311884,1873.6238749890613,1875.2417267211597,1851.317053864995,1866.4832957463018,1875.8745056088749,1920.067442783096,1914.0651042653876,,,1874.032162946869,1876.6026210069351,1877.724002919828,1875.3369056293886,1873.5129371308674,1850.7100080067132,1872.5741681313493,1870.6109655584876,1912.7116942626283,,,1873.0725702613236,1875.579298172207,1870.1063614665813,1875.0028417558242,1874.6243668964166,1874.502217413573,1849.4312156801782,1876.4189854606182,1874.1190967808654,1911.4472052973733,1918.9518238914325,1910.437825955362,1865.4555852734406,1873.5633063254227,1876.9692724069093,1875.567355605328,1872.7781258376315,1850.703383856502,1877.9384044024262,1869.2557361543622,1918.7781729822648,1914.9907372776397,1868.5786389341886,1860.5547125055975,1866.7033091364938,1876.9536053292836,1875.310951408311,1873.1011491370803,1851.4830965021135,1861.3762938321877,1870.013448753843,1921.1507875058899,1907.3988677789566,,,1856.6321346964235,1877.216527137811,1877.2086293252587,1874.452281308604,,
DIBANG VALLEY,1870.7806269064902,1847.3358673166515,1868.7222681232138,1864.33266893656,1907.3811906172812,1916.6429998024264,1923.7350062118073,1905.773907497918,1874.1208138223546,1869.8725897564527,1870.8083063823042,1870.3519700258817,1870.3722636186078,1846.4009825391481,1870.7895149829912,1864.1015431235603,1902.868137339741,1921.9214096442436,1909.3964960098008,1891.2814655343323,1858.563892813505,1873.7490311257277,1870.1830017504665,1870.7555883453056,1869.628804484325,1845.5673740576685,1850.5870398136772,1868.5710282338275,1893.6560232675472,1910.020529502057,1911.3781516026688,1871.9798632883987,1873.9979425544882,1872.4682174571205,1871.6681775066133,1871.7229935163732,1870.580279855828,1849.0407388308327,1851.9587372494905,1873.2069355401325,1921.9602162300487,1912.5117181679072,1919.7442602337196,1873.4461596204821,1852.4128472517216,1871.3752999645549,1869.968815509125,1870.6032055705386,1869.8706554961875,1852.4057350571557,1861.0835740491623,1876.6139045793693,1907.673294914228,1909.610208242705,1911.876152655973,1872.8526516398786,1854.8395339704446,1870.6470041227863,1869.0266816271094,1869.8806385967303,1869.9783382020348,1847.7335359069784,1872.0534128000531,1868.3888605268075,1909.4310055109975,1918.581067637111,1922.4675100228728,1867.973699017876,1859.7470974710054,1871.130700545492,1870.519263247929,1870.8971516477793,1870.2084048674353,1848.0735823736622,1870.8615263367499,1862.7241958561385,1931.7731461577437,,,1876.0644774394761,1872.2962987289109,1870.439567634208,1870.236716822138,1871.0185794273543,1869.5878791181663,1846.4240472139536,1859.4595978040345,1864.2735550625846,1916.7022420171163,1919.4008320120129,1890.8827305444572,1856.2290643456547,1872.153946641509,1870.7603479617367,1870.4216165685032,1870.734113261953,1846.0076880093363,1859.6061812630749,1868.0646778199502,1931.4583717430457,1915.1421412818202,1867.3318271243343,1872.459296198035,1870.1828861540769,1871.7077672469622,1869.934386467609,1869.4664890968065,1849.7314247748654,1851.4771308288314,1863.0008444668758,1906.3427659455272,1914.6460834209704,1914.0623593575892,1865.926870584259,1869.4237206522184,1870.2015393714705,1871.973144235618,1870.5821719985454,1905.4778911228889,
EAST KAMENG,1874.9332396119978,1850.6619509554762,1862.3677016323327,1860.586420520027,1909.120805653986,1926.1333280275915,1917.486434953991,1876.8294803837184,1877.3278865433065,1877.652679400177,1875.4520885358995,1873.737046682603,1875.2494074556541,1850.1622868882191,1872.6824698780401,1863.172649514349,1916.930423058147,1930.445906259465,1920.6395689603914,1869.9167472167424,1876.6714395767613,1877.9300907920328,1873.0922780317235,1873.858264728928,1872.051100689363,1846.462630499511,1873.898549362835,1872.7366416180466,1908.66540943073,1914.717088193508,1923.9877912892678,1868.1891651705973,1865.6068458871434,1875.7444351933386,1877.7140458466793,1873.1664098549234,1872.3384572124992,1855.0491069649538,1872.1678432687613,1849.0740833224716,1908.5918428235195,1932.0615726387086,1925.3225363454726,1876.3521194269622,1861.727843136644,1874.3370896129131,1876.7056178100254,1874.9511908907505,1873.793049675095,1855.0507048186496,1858.111071750816,1876.0414957177534,1904.7601595453557,1925.6442835040432,1933.5639185873242,1876.3296459767707,1856.7759001441389,1874.7101233379722,1873.204415859835,1875.632691146064,1875.9983617345601,1849.8309715713035,1860.791975102068,1867.3018240094934,1910.8342204138235,1925.0452890514186,1925.5207938190304,1865.5351291787506,1853.3926276582401,1866.9416945716619,1876.0292678897306,1872.6292698981517,1873.211433811047,1850.3655551483048,1863.0163737604053,1876.3533495111735,1889.002602985907,1922.2088252072222,1921.1288701905592,1851.1120140471307,1845.7168433241009,1876.1387575039234,1873.2828438320562,1872.7746807809274,1873.7770362415008,1850.2911239848158,1866.8058941711029,1867.7192642842629,1918.0904534192578,1930.4758469031171,1866.0618483848004,1857.3776901032336,1847.0327062650679,1875.531775976106,1874.2784763650316,1873.9688961343631,1849.8326210842085,1877.047177190079,1874.3370126970592,1903.074626696458,1929.9011073191707,1869.5336104639648,1874.8211714253264,1871.7124281002937,1874.9652557673592,1874.4195805065967,1875.486776909387,1854.6138182409227,1862.8207798940298,1875.4638645726002,1902.3003046571475,1924.9736217989596,1934.0528368444484,1877.0994079231261,1860.7880134061384,1875.7774935032917,1877.1183060768158,1874.4470353713552,1927.189890464359,1918.94607536327
EAST SIANG,1870.6543985082678,1845.2232724774397,1875.2482362705882,1870.0899921611979,1912.11946172268,1918.5554619427353,1928.4689102131538,1902.7471343765462,1873.085304350293,1876.6283970256152,1873.664785944797,1872.0299962996803,1872.4402225107663,1851.0574383351814,1853.5506477445476,1872.9572071183857,1890.7929475676049,1917.539187587578,1921.979845663642,1876.0776852697459,1853.6102221748235,1876.9548130189894,1873.8034809743258,1870.3281123889078,1871.1518513162284,1846.386938613843,1850.7902546840148,1867.8105736103241,1908.1060846239143,1918.9184292418804,1919.6106062907686,1872.4645308434492,1856.688903735938,1876.1548342940337,1874.8089629184005,1872.3757384908743,1872.986145444232,1849.9814932219874,1868.1836887374668,1870.0122805856836,1909.7280489301497,1919.6210379635843,1922.2170663852262,1874.3191212965464,1853.2386135801364,1875.9661834678607,1875.273008304223,1870.8062969076689,1872.4864992159055,1846.559674544097,1867.1622255633501,1896.7364083385764,1918.68979560459,1908.3977235046088,1920.696902968878,1868.4953757974442,1851.1199942605642,1877.3785465357428,1872.2794413563486,1871.8717985220778,1871.2771161270507,1846.0933471351268,1866.4184450000962,1872.6531875494218,1908.898996368598,1915.047391780868,1923.3395848093285,1865.1037404092467,1853.2781361264383,1865.8331119394309,1875.874023578716,1872.1720736932152,1872.1140578486647,1850.974870290485,1873.5701691635652,1868.4817746038361,1909.6321520193385,,,1878.012543846289,1872.681257087972,1877.2149857626173,1875.7624979939299,1870.6266396463602,1871.2117741051393,1851.6784258170114,1847.3882559667477,1870.7470730820323,,1911.459196460541,1879.7917190611854,1854.0892868240185,1874.8616606102175,1873.7368946369822,1871.9656952333635,1871.882989594668,1845.193988293214,1852.4531179596909,1869.7437548276541,1915.8076686046124,1925.2565150537164,1868.5716962347026,1870.4738496063446,1876.344968199946,1875.3056624491107,1872.5811152728998,,,1865.840128596002,,,,,,,,1875.779088355127,,1922.4358620792018,
KAMLE,1871.9958731802637,1849.4774236442377,1861.203158288007,1870.4093441783293,1907.0075526677529,1916.8140800483525,1914.2837365189778,1871.073411734261,1873.8975429516045,1872.482858711734,1873.7724863676692,1872.108703743821,1871.3712033492932,1850.4652473118188,1867.4378382734874,1876.471060303379,1909.3371487382988,1921.252140944791,1916.8852349151314,1866.962134214022,1851.9041964335809,1874.9571433355486,1873.1548707163788,1871.8482047609862,1871.7499589055597,1846.4812208437254,1869.7617544317832,1871.1346770193466,1910.795694742847,1921.0638075249694,,1869.8890333862223,1853.5770803378691,1863.8481123214897,1873.8199805021507,1871.0558303839462,1871.8833854694276,1847.8704268735028,1869.9557345782741,1868.891371449144,1913.7052140272456,1930.057568832659,1918.395344581115,1866.5102772005544,1858.825941331128,1876.8992975445597,1873.8962158515146,1869.4982070597362,1871.2939097942378,1842.3695178732214,1858.4255006865815,1873.2673164142518,1916.0660474846768,1917.1264683615996,1924.5830459194115,1876.172812083846,1864.725587910251,1875.5006758806123,1871.691721453718,1871.26611958476,1870.334752148315,1847.794344256852,1858.0953216975088,1875.4786147039358,1904.0719520469218,1919.5768314547183,1925.7650165248779,1877.3185543522904,1864.3430646600027,1859.700072793758,1871.9615978654426,1869.7165276568337,1871.0854207053567,1847.3774220287385,1871.641041411711,1870.0206336950316,1909.0482003239622,1911.209848768982,1914.6324915008288,1871.3028971077576,1872.9443577876518,1875.9643665294393,1873.5546854898375,1872.0331473991687,1870.0069567845335,1849.2807506928975,1866.283841205213,1870.6312677267167,1914.529588474015,1920.6014824889658,1868.6634183791416,1850.6384633573432,1878.38510328981,1872.6833479348636,1872.0455511569362,1871.314491942795,1846.823872667365,1867.1406612307665,1884.8755314220932,1910.205626630025,1928.4221871458262,1865.3068219940806,1861.0335651565103,1876.841250118386,1875.1013050965444,1871.2195856067826,1871.863231015188,,,,,,1930.4082534198444,,,,,,1927.3889507971921,1911.863134017409
KRA DAADI,1889.4784958470066,1877.7362730513448,1884.0566703652082,1889.2125172733415,1906.4006536568008,1913.0096397832174,1909.1975451175938,1890.7038141576852,1891.220906369136,1891.7481936530799,1890.3466100600886,1889.5639298278563,1890.0559237874702,1877.8594055178958,1887.6739469253973,1889.7588378649084,1908.343920606938,1916.3382512929031,1913.6633700436014,1867.832943056913,1884.5708532315414,1891.3516256725895,1888.8049098662573,1889.8648435928956,1890.5267839841126,1877.480512448971,1889.3565147463025,1888.9419194881752,1909.1498635272271,1933.3335858741843,1923.375610419939,1886.9280091997073,1884.2107626548375,1891.865611099607,1890.4095987555074,1889.1171718614175,1889.4941727448224,1877.367732609781,1889.4221568550274,1890.6668038900568,1907.6285304045928,1917.2244825096031,1922.6011789715624,1888.8475391413144,1880.6744341430717,1891.101363495912,1890.8139318306262,1890.239761151219,1888.8288237542895,1881.3737713170879,1881.8551201534199,1890.272121122822,1907.261634614618,1914.8413771230641,1916.0680416333041,1890.8016061199087,1881.2618617534908,1889.6804048130755,1890.6471471680193,1890.2382175724574,1890.5113475404025,1877.9666635943584,1880.8207674927094,1890.29539300915,1905.1085426487625,1913.7642213612526,1924.5653840938783,1889.6424596971908,1881.8730989194592,1892.0356405656676,1890.242294723311,1891.5268068120224,1891.0786772939448,1877.4602082045083,1889.7179051945336,1889.258894497655,1902.423929467768,1910.763824522476,1913.0342444656221,1889.7064340370214,1873.8615726880018,1890.7562378572368,1889.8989082384076,1890.0215017637026,1890.9617180965777,1877.795520177493,1887.456970840377,1889.8724912902148,1910.1236994742999,1915.197311977612,1887.2381717176258,1884.958403758806,1884.6570085348726,1891.3275439182185,1891.291380302417,1891.6560737414395,1877.757649467426,1888.9591951297737,1889.953639752499,1908.5928201682648,1916.899577287811,1886.694353355313,1879.442003438961,1892.1201213382062,1889.9314848684353,1889.1049081602675,1890.08318224873,1876.5373616271397,1887.6370916764608,1889.8121241474914,1907.8532245091158,1912.6913050852866,1916.6848564412421,1891.1609015820627,1880.606324772136,1891.566765702113,1890.4346840882197,1889.83140849349,1917.5706838346264,1910.86149075863
KURUNG KUMEY,1873.8289084658998,1850.6638934374746,1858.7062109110368,1851.8770518836811,1906.0309757837003,1922.5496711854842,1916.703517551079,1877.3103064410525,1876.8762985537512,1875.1891856161956,1872.65412183311,1872.3914299981361,1874.6989434622542,1850.4999583391293,1860.2293097958732,1870.087781054927,1909.589156517663,1925.9675699644686,1917.8306212429552,,1877.152549423705,1875.1912523165593,1871.8161994569589,1872.9586055493285,1871.773965739676,1849.141591057849,1854.1433850157136,1864.6208989542995,,,,1868.2314457413208,1871.9192928756206,1873.0912746529457,1875.8038334940306,1871.6764195121777,1871.6612165972558,1848.5174471758921,1863.7208676662576,1852.0163338180162,1906.7353586774614,1928.3212484505495,1932.6041836510008,1869.2126513083758,1857.6225318788938,1872.0497056691813,1874.271365905509,1873.7001610094117,1871.7073200688124,1855.8719315118124,1857.4247153785818,1876.8576097576483,1903.789940594448,1923.0740188728882,1928.9522294076926,1877.335486694879,1856.628368805369,1873.8252016701022,1871.7050469980618,1874.5574534125344,1875.2723757309095,1850.2431678619187,1859.690840998792,1863.7591109064338,1905.9549200645295,1921.8309924503926,1924.186081453515,1864.500718173595,1855.6010060203255,1875.3682890487332,1875.1283412144135,1871.7185128674075,1873.1219666339737,1850.550580297808,1858.9826629050299,1875.9438718567217,1890.256645900576,1919.6367373701307,1927.096790323559,1859.7036417428028,,1872.899188367936,1872.021936284818,1872.407205620097,1872.6838658164775,1850.5779849822086,1854.3656825772496,1855.024285508827,1910.6881790382122,1923.6647587219823,1865.9962065984819,1866.9940050401583,1849.8082572879887,1873.4805858830327,1872.2498019561258,1873.0826744406086,1848.2363316974752,1875.98694362913,1875.5509147657071,,1927.198101092584,1869.4147481199432,1868.3721384888506,1871.907652437972,1873.4672168987358,1872.6470918454513,1875.0168716590704,1848.8086663104714,1865.8443448391279,1876.1939027873932,1906.3431975906317,1921.5345019765969,1930.7867265112507,1878.0925313513592,1857.274607099922,1872.8781459436225,1875.0315210367937,1872.959674174717,1929.0870029178723,1916.0816511893509
LEPA RADA,1875.929240898011,1849.0716210137823,1879.807079236301,1853.1817575349796,1888.1978817550682,1924.5611383277535,1931.538940317777,1892.0422512714617,1879.9026146909105,1875.277098787728,1878.4965864799167,1874.5352368301512,1874.8695952044773,1851.5470247922694,1858.8693576612095,1868.2973265202781,1908.121610335331,1929.016928886495,1902.9771807954178,1864.5241292051844,1854.607360259096,1878.6525659164433,1877.2547487860757,1875.7263856798536,1875.6086778414378,1850.0839523275972,1880.2602595540816,1839.7733799600496,1905.4366478993436,1928.8995924202286,1910.1186417585627,1880.3289589276933,1852.9251285389428,1879.8036384523045,1877.4353221952867,1874.758827696326,1876.1254517023024,1850.801851462155,1871.4969501187816,1878.915142404527,1905.2967314170817,1931.661629904441,1917.8998862788928,,1879.8617524831043,1880.6876408508415,1878.431547928011,1872.5834443647502,1872.3441126507262,1849.1300438868823,1840.9932394170385,1986.9189434498435,1919.2895234230652,,,1866.6172946065292,1869.1959700035045,1879.6807783241225,1872.2383776421525,1876.1220364124383,1873.7132553699387,1843.1950362934115,1879.794875957342,1880.8308219535722,,1922.887066775985,1916.1760148317258,1872.3805283207732,1860.6648021965157,1850.3412499146382,1873.9124476940985,1872.5310168126377,1875.8228785173796,1850.1752726999446,1872.0633397927422,1842.5687648619564,1906.901302556126,,,1851.9029922348677,1880.7571752583672,1879.7013611867944,1875.7481551386238,1875.0991250292054,1874.5064267000698,1855.391243198921,1866.0013023667952,1869.19087118465,,,1871.3725221509255,1851.4165583584895,1880.5972167737382,1876.402118632775,1875.793302882,1875.8117911486927,1850.6541308381557,1873.7005938443153,1866.302813104258,1910.3676016059112,1922.3592555886116,1867.6474779372406,1880.414894686808,1881.1128477351238,1879.6465333089482,1873.5851765751638,1875.6350415662073,1850.3775404996793,1878.9413175671127,1871.4345369526052,1919.520534233046,,1928.826101805701,1866.6636038648112,1880.2432194587054,1875.8764542699923,1874.1004741918953,1873.1259589643976,1925.1475427060566,
LOHIT,1877.0581143145316,1850.7288652723564,1873.224470366322,1860.50141000783,1911.7380321663743,1918.8271537800058,,,1879.4604222410912,1877.707434183552,1875.3794321691794,1877.3610750933547,1876.6633932879406,1850.4583979691452,1878.4650623575355,1869.7550077202602,1915.838482655799,1925.570907985965,1919.7303923995162,1912.4816116666057,1867.7368996827306,1879.010213803176,1877.0325297448749,1877.1369211764074,1875.0407859906543,1845.4861502716076,1870.0021571908294,1876.7036633215248,1910.0125205329232,1910.5748833146815,,1879.176635430251,1877.528619749699,1878.3133447683513,1878.104342063765,1878.094192205072,1873.0855429698395,1856.2376042182666,1856.6087468326077,1876.9953923606176,1907.973549066109,1909.224756197649,1927.1300238930833,1870.9015716608008,1857.4362759662592,1879.4376803849439,1877.8329643640243,1875.4722676670574,1873.5481775778526,1851.4598628445074,1869.6355503569046,1847.543048770389,1909.9878303395317,1911.084891800004,1917.7214439076517,1871.9160995703412,1852.0107702210705,1872.0506798002316,1872.5473420092983,1875.06436827324,1877.2850258521928,1850.9648837569196,1850.1308970359148,1866.0694943923963,1905.100819982606,1907.6963871559624,,1867.198607627679,1874.8045004917788,1878.1922240532463,1877.730396563308,1877.5809914453082,1871.857546205133,1852.8402103845458,1875.951425686997,1848.6127618859812,1911.9960258317913,,,,1875.186677235472,,1873.803561349639,1876.8508680970924,1875.4354136559616,1850.8633150656553,1877.4667024108649,1865.8302889428326,1916.5277183048943,1917.5760416405385,1907.6240550220177,1874.8706261500251,1874.4437307572393,1878.2466336993964,1876.1535273484376,1873.7839725803494,1847.2417400261306,1878.8843435219053,1849.596230361479,1918.2627332517793,1911.4917400766712,1874.966090494363,1856.8766546448576,1852.7173433427693,1878.735655695156,1876.3615412913134,1871.3701509183986,1850.4551925850676,1856.5683670120484,1860.2818825003592,1932.0933026733587,1911.9754377225183,,1871.5733893940678,1858.6041784867796,1876.5557489981686,1878.6068669865488,1877.0650630907076,,
