district,2014_01,2014_02,2014_03,2014_04,2014_05,2014_06,2014_07,2014_08,2014_09,2014_10,2014_11,2014_12,2015_01,2015_02,2015_03,2015_04,2015_05,2015_06,2015_07,2015_08,2015_09,2015_10,2015_11,2015_12,2016_01,2016_02,2016_03,2016_04,2016_05,2016_06,2016_07,2016_08,2016_09,2016_10,2016_11,2016_12,2017_01,2017_02,2017_03,2017_04,2017_05,2017_06,2017_07,2017_08,2017_09,2017_10,2017_11,2017_12,2018_01,2018_02,2018_03,2018_04,2018_05,2018_06,2018_07,2018_08,2018_09,2018_10,2018_11,2018_12,2019_01,2019_02,2019_03,2019_04,2019_05,2019_06,2019_07,2019_08,2019_09,2019_10,2019_11,2019_12,2020_01,2020_02,2020_03,2020_04,2020_05,2020_06,2020_07,2020_08,2020_09,2020_10,2020_11,2020_12,2021_01,2021_02,2021_03,2021_04,2021_05,2021_06,2021_07,2021_08,2021_09,2021_10,2021_11,2021_12,2022_01,2022_02,2022_03,2022_04,2022_05,2022_06,2022_07,2022_08,2022_09,2022_10,2022_11,2022_12,2023_01,2023_02,2023_03,2023_04,2023_05,2023_06,2023_07,2023_08,2023_09,2023_10,2023_11,2023_12
ARARIA,1872.4662206936896,1854.7323483406199,1872.3010237730534,1874.2213983098106,1919.1262445121051,1917.8710647250311,1928.0773796871804,1867.4764049496557,1852.927673075163,1874.3205705258065,1878.5858473242577,1869.1619762941643,1872.362875491665,1848.0853165424764,1871.0472506458655,1872.1970534375655,1914.3676687750988,1925.574920348219,1924.7500872881778,1895.7879242131978,1875.0561510984126,1875.2691918099374,1879.684040205045,1874.6989094168146,1872.8897288391108,1850.5405080400799,1873.280563692889,1870.5401214687263,1916.0355573320337,1932.3130842259384,1926.8099085261383,1874.165657457336,1872.1258014413097,1873.719364663346,1874.9899828097846,1872.0195589038744,1864.40542741059,1852.189049997655,1875.9766026928507,1871.518826552131,1924.1955181213991,1924.691160445472,1924.1226176898826,1875.8559984279902,1856.097105778097,1869.0237625722873,1872.804279457194,1877.1695953036597,1870.897985586876,1852.0731207393385,1874.4401584618824,1874.2649657577297,1914.057779682458,1918.8368299954398,1927.6478003741986,1866.8142008178072,1873.0959508392825,1867.8823030667286,1877.3131404940086,1878.9941400166242,1874.4035572909324,1852.7015471622954,1867.3069918909396,1873.1761137049848,1914.172761255018,1920.3438339700658,1927.691632333562,1869.655338537793,1872.2857897043857,1874.8853659623217,1876.3511132576004,1871.9999610759414,1872.052332953473,1854.7780960906414,1871.8790175349607,1873.791146946394,1918.632083970402,1921.4957485842472,1923.6324718394615,1868.286342145358,1853.356282537647,1874.6621657968622,1877.0584270622041,1873.3780537496145,1872.3735353073644,1845.7982981757436,1871.5231348404066,1876.9184800105866,1911.331148279475,1925.2642991968078,1927.0881116334128,1876.646445385105,1874.5488357991496,1879.694792257657,1874.843943584059,1875.825009459293,1869.967562944421,1847.324506093713,1873.6337570117335,1870.1907995193123,1919.9593341523187,1913.410686438056,1922.9061058161528,1871.9605923536355,1870.6317132662502,1876.0236313890239,1876.3042467680914,1876.9153695207024,1864.5010559250886,1845.9374083601092,1875.6799876934188,1873.437493107331,1921.563595433752,1913.6863545693652,1921.85868010722,1871.5512424628532,1868.953666851525,1867.7588723699496,1875.1404845444636,1875.614172293162
ARWAL,1875.5510220108547,1850.4582310521598,1878.2557671791476,1873.9822340314622,1905.8365075403174,1882.173412218459,1931.1036398110016,1920.1916898140196,1879.7703303374292,1851.957984807232,1879.4927131865052,1876.7349291019686,1878.518328143671,1854.1294093943964,1879.4871915411063,1865.4353369695807,1913.2766705003485,1920.6963189630108,1922.8766070690144,1866.2878425091105,1879.1899466940283,1876.1369843142404,1882.2179620286358,1880.557337727994,1882.2111055600726,1852.5978372524733,1879.519597672207,1867.4475409215613,1928.0939022549808,1921.910533256542,1921.2284848986915,1924.6757360755983,1879.5488446412937,1875.6592066700612,1882.7380624408506,1878.1087893585684,1872.7725909842684,1856.9911245252918,1877.6350822368515,1877.0971591147586,1897.3992738771406,1914.16867177258,,1865.7444469203638,1879.4262732648601,1877.624860647681,1879.3667790706363,1883.806113871747,1849.8041333534745,1844.8300723855366,1837.2514188553012,1876.9859447486124,1907.1215543910823,1900.347258460678,1912.1528904574402,1871.7621784084251,1879.502019492339,1850.3548165741665,1882.7978536076305,1881.6078892980756,1879.985485297452,1850.8707573115953,1876.805846101484,1877.0833280849624,1913.8127787914184,1890.1882447758842,1920.9144485449847,1863.4213927033902,1879.405468521603,1850.1659970306446,1875.7656137837607,1881.6186649906083,1879.8853991945653,1854.4670280958744,1876.7693276869304,1879.0853660243793,1900.9214809286786,1896.2114170419677,1924.9325131641408,1887.4150910240146,1839.8207943143518,1863.68185048008,1881.8533336435098,1883.4773608265957,1879.6864323221653,1852.6969634446555,1877.3742328003505,1864.35666914788,1924.8210819364401,1927.6564001684083,1924.5265887855905,1864.7908095187745,1862.2702232004353,1876.47062761082,1877.3734681604608,1880.4682856839017,1878.299393884798,1851.8803066728372,1878.2442346870976,1876.9444463906038,1937.14665778684,1915.0589085349936,1925.471069821903,1865.0415923340822,1844.6999193575634,1875.6021784055324,1879.5788832774672,1882.8043090395313,1869.5251597906936,1857.0630871478133,1841.0729904182951,1877.0108826717992,1917.3433295886368,1905.4837827653682,1921.955733919107,1868.4576182219425,1879.3044375985055,1849.840808165391,1881.3150108031173,1880.7723654245242
AURANGABAD,1873.2683058221442,1853.6929988442223,1876.1231033092529,1860.643188539562,1904.151220588274,1889.5429269850122,1915.738658640824,1921.6739528419266,1875.6699090257048,1850.125797352539,1879.3989379517861,1880.4898378821947,1879.466666202801,1855.3120664914125,1876.0572317784486,1870.0261495204609,1893.6721754507737,1909.881153629668,1924.5982500724244,1866.0427326814038,1876.4687763671443,1865.3113432899431,1881.0053287669548,1882.518757840542,1878.331125947416,1856.2746626309668,1876.7390591651406,1871.8277141221286,1926.478423788596,1904.6411009878152,1922.0194674453885,1881.068113826263,1876.908315939689,1875.5235297010065,1879.2019895261776,1879.568064417298,1852.571896786658,1857.188028942018,1877.2464616410784,1874.6387163712704,1893.451376491813,1907.4810188218896,1890.7830319284799,1865.9495667036852,1876.9051116186165,1878.0024262935656,1880.2736051575662,1881.8501561417518,1850.1735585062854,1851.0431761686455,1852.1389825379592,1874.762698333283,1901.8513683016245,1895.1708593284093,1897.9160700536286,1876.9792438887878,1876.0012199705245,1850.2725769554627,1881.016396167912,1882.9296304869317,1880.832268684976,1852.0680599457999,1875.1596456861375,1874.3669474861904,1906.262567129459,1893.748627872922,1906.3236848212327,1863.8084417452694,1876.6129933652287,1850.0823126664372,1877.469740585024,1880.4223631184648,1880.6178860554592,1855.3908988725,1875.53528748925,1875.0696103664188,1910.6202551590616,1893.4379100529343,1910.5992227996492,1915.2194250297819,1855.8177410633662,1850.5177385926527,1883.5583622686308,1880.0118862297224,1879.4886874422473,1852.8671523850483,1873.6315873388937,1873.890646828157,1921.3400423655432,1915.4008436082056,1925.8003463506607,1865.0421561748412,1875.8516594348314,1871.00103297801,1878.0725025927163,1881.2959854615274,1873.3295000361259,1856.2707358063572,1875.8262941033179,1874.4723558228256,1926.5329662838715,1913.6174152143547,1926.1959268683763,1864.3355537699556,1855.703909881723,1875.2436533880284,1879.8952692971286,1883.1386380488107,1851.1459691773853,1857.1443763612378,1855.6179581740791,1874.633806264874,1900.9997139742754,1899.606319255417,1922.9190919714306,1868.326161270529,1875.870628674634,1849.9622769687949,1880.2153394886818,1882.217805555671
BANKA,1871.0477578208813,1853.4201560796132,1871.9172293022723,1872.1347048663904,1897.900694009018,1899.865269774782,1927.004692367831,1867.040595481205,1862.5860087336707,1848.3163437925023,1875.2276940767752,1874.5088186796286,1874.3879875762502,1847.6860845592769,1876.1681745753247,1871.6588323576757,1922.992194469386,1901.755710663909,1927.3106054149673,1882.9227026501671,1874.3807580745138,1853.7782550898744,1877.1578429369204,1876.2668803727945,1875.2400825960442,1849.508283617255,1874.6067852602293,1872.93563807587,1923.993286868154,1903.867715589157,1923.2404317988598,1887.8867109244377,1873.477206568042,1865.9482897528078,1875.1236767358187,1872.9614232745266,1876.4693902754045,1851.5547179955825,1871.8138819796834,1868.9533867735577,1918.8484777481947,1899.8101684614048,1923.489504294149,1885.2201848037694,1866.9481299402432,1856.0370457057388,1875.3495904171348,1878.776831020044,1876.1589796897622,1854.3822568159503,1873.0960278614189,1873.5940548221874,1913.2943297540503,1906.534353504047,1927.8965080803214,1867.0190062648664,1873.5925051593713,1875.011532297189,1875.0986599355929,1879.425205618818,1875.521053931108,1852.057994841054,1867.760306289339,1871.2413173784864,1921.4566541665167,1913.054428910891,1922.3330813109142,1866.8906533248555,1871.394343524898,1852.8411576050416,1874.9028568570466,1869.8301804896498,1872.769924534762,1851.7024145271987,1876.2339738829526,1867.7899942902327,1903.8965038714857,1902.9433639366393,1928.159308544305,1866.5946761922864,1854.4341057025447,1845.9691502313453,1875.4925832640358,1873.7260696975804,1874.7546865525958,1849.8827376723661,1876.1861946399233,1870.1016309468637,1919.686147030907,1904.629233619121,1926.3362088668098,1887.6217295512504,1871.8529180973378,1865.3854560550537,1875.0078575854434,1879.3254053451717,1872.7760184506596,1850.207474722088,1874.565964245771,1873.3301993519265,1922.0915245522358,1897.601041181119,1919.6071831825582,1879.25187283297,1868.8418143548934,1871.1157670937916,1875.15101073513,1877.7395113538623,1878.0292407578274,1851.5665683397146,1874.5902315470607,1867.691003102029,1916.3023114115513,1895.3295305233262,1928.380587432372,1867.9078294607912,1871.0611719183555,1874.191458110621,1876.0133229670298,1879.3976585347093
BEGUSARAI,1873.1161871934592,1853.4637954248476,1878.2590902917432,1877.30399496546,1922.1579040506708,1908.008803916334,1924.1701858928575,1876.4431464513152,1872.6089774509503,1872.5977483346517,1876.5086397176547,1876.4662184130132,1879.1162316319999,1848.4232819706401,1876.8146938492673,1875.746997120177,1922.357852404752,1896.3866537474757,1922.016179694334,1864.039829779129,1873.3304739332877,1850.4017859362177,1876.1589258761987,1882.739750886433,1880.4588787212185,1852.1560690327706,1875.6320471264098,1874.8921981609776,1921.0934662318018,1900.320141535321,1924.0060608474641,1865.0609979908695,1872.8233248627844,1850.3332172017183,1876.312448992255,1880.8794311931897,1880.7671739537222,1852.5029585343439,1877.0057027356447,1875.0242545548006,1914.0052283189234,1897.9292886373405,1923.763337951831,1866.830699050773,1876.1774558754496,1877.6442058780483,1876.19003819832,1882.1787409366625,1881.5376440144225,1856.3992055722672,1876.4985163070637,1876.1919627637037,1921.8522472854456,1929.415600308906,1924.827317540323,1866.3253196514818,1873.0275411270682,1876.338113164263,1876.1479685106206,1882.9175457981669,1880.436214956562,1854.9935169367745,1876.3721287980638,1862.65192487083,1912.185198469667,1919.689654259924,1917.2934455445695,1902.63555320328,1876.2462762619762,1876.656617406875,1876.0994610194957,1876.4605819802823,1855.5421228809785,1857.054433681325,1878.6841564912174,1853.9766627449742,1905.0965836487285,1915.6469473441457,1922.239608509486,1876.6755101381448,1872.7640967500834,1850.3943425118523,1875.918000725558,1880.1210808677683,1880.6139767237682,1849.6216668858224,1875.8510837104088,1855.515079088663,1919.8551748698321,1907.272955390099,1924.2724739675389,1869.776881719895,1871.6601768922076,1852.7791319762634,1875.4700029568917,1883.1873448478232,1875.9585277687352,1850.9649714288,1875.692432935733,1875.2284867742003,1922.8001711769386,1891.4442834717756,1916.213183558826,1866.2310279784724,1852.5428436216125,1852.0310358749791,1876.0680135749076,1882.5142080345151,1881.0342558042903,1853.444676915491,1876.6991491978392,1875.272586451906,1913.3067251327373,1890.1473525601994,1923.5615712491092,1866.584389302443,1853.295524529215,1875.658421834671,1873.831929758483,1881.8445582477161
BHAGALPUR,1871.2753455709294,1853.3730359800393,1872.0086879367623,1875.1744025985613,1924.3707736546992,1909.7855817963484,1925.3140743717647,1866.5042461192163,1853.541716975934,1852.364822001857,1875.4218225835928,1871.132535563678,1872.2386624184542,1848.1302433417666,1874.7864284126115,1872.4484975062578,1921.4524683459103,1910.6841172466957,1925.6510570258677,1878.2221510540023,1873.340301606853,1869.796207970641,1876.6379409019255,1878.4950730870626,1867.6612820989853,1848.553290213589,1876.2270284147326,1869.4532454567595,1924.1865387805917,1914.5252066152686,1925.771871508142,1880.1902733384777,1872.1248012478725,1873.6038137610701,1875.4245486455493,1872.2110554843084,1866.4128573701241,1852.8817686431737,1873.0302086000017,1871.5764132413483,1921.490429162537,1909.5802065740543,1928.4243859422224,1883.3107441428633,1868.5332288545076,1870.4282273250178,1873.7035814779865,1878.6733534198675,1871.8917264569625,1853.6916314193656,1873.9580253375068,1871.2714327065237,1915.4652587962357,1915.5417260061124,1923.5254694072298,1866.5120005799838,1873.8822315717011,1868.9773203433983,1875.7536728875625,1877.5957756557468,1873.6087342252872,1853.6766142619158,1869.0773939643661,1869.448579104965,1921.2984872360423,1909.8087485334788,1921.2536874351902,1869.9936493976072,1871.550374190535,1870.6304631992896,1875.26168131904,1869.850020259481,1872.6086673485086,1854.9860369128462,1871.2145744061827,1874.3686693788052,1923.7705471827094,1905.413832914164,1925.8471906348564,1866.7695587088583,1853.0042980632982,1851.5618953467658,1875.6863194651287,1873.2246576908033,1873.1934015972106,1850.476263241373,1875.0881015888863,1875.9744076282745,1921.6082131179442,1915.370507420603,1924.4335296550487,1875.5268916442606,1871.698899753676,1874.8622227733608,1875.516539532399,1877.000269691705,1865.6545198735812,1847.7978688009314,1876.6881066342712,1870.8898438342112,1924.2783468091598,1909.5574872443108,1931.1577142727976,1877.6484697662202,1872.314006761995,1874.7912205153398,1875.3072342015769,1876.797927636188,1866.8486660001709,1850.8372557639866,1873.2216299103736,1871.2977050648565,1915.7189302822208,1895.670963890861,1925.7997543413728,1869.3484612883917,1869.4142399800176,1868.654644064948,1877.16402664142,1875.2917603844826
BHOJPUR,1874.0599132774162,1850.9617097406851,1876.0238280730034,1873.9942422032743,1915.1958890832852,1887.827719287808,1925.0661315306352,1922.6060520825686,1874.6085097343487,1854.5682698872586,1878.6678700428408,1879.9241342822343,1876.4350480917615,1854.7956998647358,1876.301302637839,1875.7855927383944,1914.2493070804674,1918.9792581615438,1922.1631823384664,1865.7064473506662,1876.0713849160218,1876.1095789164553,1879.955372322312,1882.3048967005973,1883.332909776146,1853.1799201888916,1876.5517483054075,1870.2374496769244,1924.4925891107264,1931.095426394939,1924.7520987204298,1923.3967995752269,1878.3322479695298,1875.7748956005908,1880.074964937452,1878.7209228716172,1869.2224765752471,1857.0148977261094,1877.289348169599,1874.3706553182515,1920.3882782742803,1915.592400131165,,1873.851862653105,1872.6654350557528,1877.1378338493478,1877.023725797873,1884.1342000077404,1850.5636043321083,1844.6061951271365,1874.271078499499,1874.7051645560537,1910.8585524745667,1904.4602269301372,1907.3580141406073,1868.7508047173424,1875.2412151058395,1850.315334756851,1880.121883963793,1882.5308490753905,1880.9944408222027,1851.9916825310438,1874.8664136849773,1874.1711781155757,1914.6870930947473,1900.3143360244414,1918.4608582444855,1865.0762803363043,1871.4958633643703,1850.3112393905121,1877.1170411587846,1882.7963476298944,1878.251732446522,1854.3764840743631,1875.7100419755805,1876.250156369257,1913.2769565074743,1901.2572542097223,1923.4098707311,1865.4713751751583,1857.775601377116,1861.2852961104704,1878.9968106382726,1884.2573618101137,1882.2419911119327,1853.0181417646543,1875.442538674161,1873.4650770881035,1915.069410415793,1925.7870546278875,1922.8601606887855,1867.0061967936506,1875.216860667576,1875.656895012698,1876.6560495186839,1882.8632988258896,1878.5139248422345,1852.9379697325899,1876.216042798707,1873.966454748474,1925.3502759435155,1916.215345001101,1917.0181518780007,1864.3480691896978,1863.2757722380234,1875.048677519885,1877.719741463592,1882.2696984929128,1865.6081630549918,1857.042083381555,1866.2237910566662,1874.6357293667727,1925.6343835647613,1907.397324087417,1922.0955629578773,1878.3562353955344,1876.1509508670713,1850.11454704765,1879.7021324391262,1881.9352063465146
BUXAR,1868.4796475567232,1854.6769223838699,1873.3072135517855,1870.2821907320085,1916.6132758976414,1910.9617385025651,1926.6034899925141,1878.9280534464988,1867.5343486040738,1868.8472188002895,1876.6572819322405,1869.9955433699697,1870.5042601615148,1854.71051203047,1871.4416600629208,1875.8510189087553,1921.014813373954,1909.9443088609132,1931.096186615036,1865.7832056073378,1852.5373444439638,1862.6269900336877,1876.6098160055974,1879.2099132470687,1873.3897537063815,1848.9142868523602,1867.875794727987,1871.2207899297118,1921.490784535194,1916.3559061122126,1927.4938104001244,1905.8135489651795,1875.778983562783,1874.634378690943,1875.4031193245803,1870.558297579209,1850.1272909870518,1850.7734864440501,1876.2829545622715,1870.9671581705836,1914.5092707784866,1919.2842047661547,1918.6307577628172,1876.1153076030303,1870.2315217470325,1876.6557617430574,1875.1472650916414,1877.8265950515486,1864.639274074889,1849.5581202666956,1874.0057329158587,1871.6243707296494,1911.3001788142199,1896.7497851660198,1922.352550371099,1872.2364789210947,1870.9556253519215,1868.5182391368803,1876.6840753248237,1874.5138928996425,1872.0484948936098,1853.3473561174721,1871.3619852720747,1873.3387521373709,1914.9625200650091,1920.4225971145252,1924.2333406975742,1865.4214771634363,1867.1149930748684,1845.6901616531995,1876.5746633556798,1873.4170072779837,1870.2436886168525,1854.7221509914214,1869.4028480107045,1868.7838860444429,1918.5443614240382,1899.786174262959,1925.5439169555757,1866.7585077512801,1871.6823028249437,1868.9756031891702,1875.0780115917985,1877.104520237958,1875.2014481865951,1853.9663109372405,1874.190400392695,1868.5819517464809,1925.0734942564152,1922.6425024514872,1924.8371153581077,1866.8860294010146,1852.0908889981297,1870.5616174415734,1874.6751379250156,1877.9586775057048,1863.7051922471494,1847.2623440288219,1874.1584361643615,1871.358914673333,1924.4121415959946,1906.8450740580338,1924.9203806949406,1872.3334490548161,1872.6298141374493,1872.6866131321822,1875.062238479201,1873.7741736546309,1850.0700433913098,1850.998648641123,1876.8679736809597,1866.8359417658364,1912.591839327837,1897.1309645047581,1918.7954011411477,1870.6469596144839,1870.6870013138869,1868.8557617894867,1877.182696177617,1873.4887038249938
DARBHANGA,1872.1356888290647,1850.351180491475,1874.828581646181,1874.6048386137834,1926.712847777412,1921.0552508493925,1922.6585510024754,1872.5630526435236,1873.6442339617142,1873.4529524321567,1878.3853746099585,1873.7889788500765,1874.7153392102769,1849.13588973079,1878.48071147739,1872.4969853484379,1920.6467256308445,1917.8278929282678,1925.5944115286663,1866.7011316488608,1875.6848728284422,1858.4524341227923,1877.3498646273824,1878.5101117041352,1877.124522245619,1852.209967053673,1874.6638320940342,1873.1887592975622,1918.4733554071026,1912.5460289862508,1923.3816089559195,1865.8612208186653,1870.3603746316558,1858.3705379155451,1875.5548639759731,1877.1011618403375,1876.9347744233398,1852.7873333189352,1876.5424679599528,1872.6314992146717,1919.1414993629821,1919.3442161977384,1928.0861118144367,1865.7496485325426,1865.3632797695016,1879.6809203543817,1875.3121889081895,1877.8891157575297,1877.859309656677,1852.8158536310948,1873.8646127738589,1873.6072663579216,1914.2748282133923,1925.4070930631913,1925.0616298542523,1871.4295920767083,1873.8623610584996,1875.2338324550387,1875.6100997215633,1880.0488737736648,1876.5748742737128,1851.7689920673508,1873.1670380933913,1865.7601803268713,1920.1479693690012,1924.914253891108,1919.5598304715222,1903.8071244729724,1872.618404905434,1875.716527259669,1874.6198078285931,1876.0538594506104,1867.2411880281788,1853.521489539288,1876.8210178263673,1866.6748519140685,1916.8226688419304,1920.5713092130052,1916.614926160241,1872.3386522555234,1860.994480322289,1858.498652895532,1874.9390711824713,1876.130552305618,1876.8565442627964,1844.9973743453947,1877.561473928521,1872.6875135560224,1919.2404810552985,1921.9015253323741,1929.63451027861,1866.0817986739776,1870.9096882501253,1859.8711873425807,1874.5017213010206,1878.76456819357,1872.56135055452,1852.434984118071,1874.4851625677636,1872.2574208423198,1920.543065425742,1913.1858851635143,1922.1242938048217,1866.8393638838368,1854.9412177566194,1865.6607745982053,1874.9474502067017,1880.0112204786706,1875.9556411899946,1853.7820272876718,1872.667631609578,1872.9340063124441,1914.5797712322255,1917.3016251650465,1919.8553311827552,1866.9788695469736,1855.7064687548263,1874.8354603547389,1879.183817703428,1879.2640310922777
GAYA,1870.9107171742587,1851.9361115064655,1876.060039781097,1871.2179739043852,1901.1270705459485,1892.8977309831846,1918.9710228661336,1914.1850451867351,1874.8680902591382,1861.141157508839,1876.2199437666218,1878.6866412010204,1876.7191441346276,1854.7207732683958,1876.5280131612699,1873.9599288547802,1921.9945388193132,1909.9080161917486,1925.4458228272472,1867.7087640860552,1876.984308606103,1873.6502833697978,1876.4291394999102,1880.5311003644072,1881.0412150899106,1852.555288840886,1876.1833447975014,1874.4131262525923,1925.4859058946931,1906.037933884003,1924.7561164686292,1871.7846379150935,1877.186250159545,1875.9271571771246,1876.2884585322934,1877.8542215934165,1871.0276281687034,1855.4348159957794,1876.613552915644,1875.379723735909,1894.8537131455732,1903.3465443895798,1902.829305629956,1864.8453061626774,1874.463638246753,1874.8439528055778,1877.9761550816086,1878.430221584428,1851.52850657996,1849.2691348344624,1858.214161895833,1874.601620360482,1909.5784495626547,1896.4020850887262,1901.4204344672326,1869.870246950658,1875.9657181799696,1850.159464755921,1876.7758951783574,1881.929761590999,1878.0850736102054,1850.7989867911467,1875.856166948634,1874.5454670772017,1900.7968497004163,1894.9008128530165,1906.5316161040125,1891.1187951270517,1876.145828559484,1849.8467110208946,1875.169789927463,1879.5892084589832,1877.515894235651,1852.4923021663858,1876.1733670300541,1872.6506681547487,1906.6880150727047,1893.2380169543724,1913.6116425159162,1910.9105347520501,1864.9969093796678,1866.3637021260188,1881.9577898474763,1878.1965037093878,1878.3851593072377,1851.0709885623312,1874.2339121797015,1874.7948430485603,1922.5908897951185,1909.3694095567132,1925.3619411751574,1866.5352317492684,1877.5667728036133,1874.0707692530484,1876.1381867182574,1878.9533371942352,1875.7300808524706,1852.0955526474343,1875.690810351284,1875.2186173878056,1923.674001919075,1909.2706003890642,1927.0121216447183,1865.022880444886,1858.8598440882067,1875.7093765677678,1876.2471756272764,1881.9406074036478,1869.8600173091106,1855.2047625381192,1859.1796132230752,1875.5646415007977,1905.156956920433,1900.3768005341174,1924.7197565687313,1864.7847028763515,1873.79627984446,1849.2311417303658,1876.710903112934,1879.6739112700568
