district,2014_01,2014_02,2014_03,2014_04,2014_05,2014_06,2014_07,2014_08,2014_09,2014_10,2014_11,2014_12,2015_01,2015_02,2015_03,2015_04,2015_05,2015_06,2015_07,2015_08,2015_09,2015_10,2015_11,2015_12,2016_01,2016_02,2016_03,2016_04,2016_05,2016_06,2016_07,2016_08,2016_09,2016_10,2016_11,2016_12,2017_01,2017_02,2017_03,2017_04,2017_05,2017_06,2017_07,2017_08,2017_09,2017_10,2017_11,2017_12,2018_01,2018_02,2018_03,2018_04,2018_05,2018_06,2018_07,2018_08,2018_09,2018_10,2018_11,2018_12,2019_01,2019_02,2019_03,2019_04,2019_05,2019_06,2019_07,2019_08,2019_09,2019_10,2019_11,2019_12,2020_01,2020_02,2020_03,2020_04,2020_05,2020_06,2020_07,2020_08,2020_09,2020_10,2020_11,2020_12,2021_01,2021_02,2021_03,2021_04,2021_05,2021_06,2021_07,2021_08,2021_09,2021_10,2021_11,2021_12,2022_01,2022_02,2022_03,2022_04,2022_05,2022_06,2022_07,2022_08,2022_09,2022_10,2022_11,2022_12,2023_01,2023_02,2023_03,2023_04,2023_05,2023_06,2023_07,2023_08,2023_09,2023_10,2023_11,2023_12
CENTRAL,1866.4811826962693,1848.642028999863,1876.881481626078,1877.0610711995585,1921.4303018922624,1912.8425487674556,1923.5950461982725,1874.3535408875166,1849.481827840721,1874.0907050899523,1875.0920082380471,1873.9770927844672,1869.9139919420886,1850.3556582956494,1847.8867934311593,1875.6739866395812,1905.5011000418647,1916.7223210905158,1923.6854530838598,1865.99943822232,1847.6462443523844,1874.096708453199,1874.2712529549215,1872.222170600001,1871.2558177598726,1846.0759857197204,1847.5842316751337,1875.2301575088986,1906.4219370027283,1922.784835763566,1923.1924919568548,1871.7973505770024,1846.5025449113273,1874.1915014504118,1875.0135205715778,1871.3186130095112,1870.4683749341198,1844.712039577995,1869.8421281790668,1874.870810942305,1918.953765902109,1928.5756679968554,1924.5082175242708,1866.487763972862,1846.853013326358,1874.1438645328938,1873.7578558424434,1871.1643756832857,1870.3074445864315,1850.0954563328523,1868.1192362021916,1874.685834755395,1915.034199498375,1925.8462266511601,1921.9019573674902,1873.930833448003,1875.4619279075312,1874.1166390064102,1875.5713291419945,1870.8055656539314,1869.8019067416049,1845.7304959259675,1878.780124853052,1881.7192437366762,1913.2944627971667,1900.8048175229003,1922.1470108653216,1874.7999829707,1852.2472223901007,1874.2520349768731,1876.6906534125076,1871.035223203363,1869.8564955865418,1849.8363744926519,1847.5079541813939,1867.0695337474604,1922.7732918545096,1914.4993007518615,1923.4829801003436,1870.9672706380522,1848.4214223726296,1874.1326712803664,1870.761245827104,1871.4250524191868,1870.1411628828823,1849.7193148793358,1846.3903536986484,1874.0649655973139,1911.9758306644815,1891.3222511496838,1925.4499666600755,1872.4379051633346,1846.8933844862324,1872.0787012961707,1876.7049604592655,1870.9242773136168,1869.4768527300118,1851.5324345660786,1850.7615544648063,1878.259675149374,1908.9662989956119,1912.3121414642558,1924.463350340587,1872.6543101776022,1853.6891108782988,1874.5995385469394,1878.070316081166,1871.736075374197,1869.1400200135588,1851.8696731624416,1865.6075133941642,1877.369112265409,1922.5508825414183,1932.5535432418455,1922.5953174951483,1866.283858178491,1846.8012804086493,1873.4064878227175,1874.6543894044078,1870.7953246452403
EAST,1867.8327372495817,1851.6616864987443,1874.3350709309238,1871.3324510859945,1925.006445425624,1913.298781807713,1921.3640118305889,1869.0791812981633,1857.406579445609,1875.1465229210216,1874.4370220055118,1873.1835697385134,1868.906489290223,1852.430701676433,1861.8420080679252,1874.1820120585585,1909.3289779102167,1915.6422616365949,1924.355821719727,1861.5763307642515,1850.8663061481263,1874.600150795029,1874.244851627204,1874.641676904508,1868.2975715650507,1848.1270790222711,1852.3523122706806,1871.8253495927647,1917.2642312899898,1916.2062943004748,1924.4249502925777,1866.7811209491047,1849.4191441407295,1874.6531383547479,1877.8478432499926,1873.524886279671,1870.092846915485,1848.203780045781,1872.3231329781465,1871.9889039774484,1921.418888526127,1921.1322546058484,1924.3763169125536,1866.5246001248097,1853.5822423659763,1875.4221692964602,1872.0132013504594,1871.4038689375434,1870.7501991606675,1850.9978914406202,1861.4694947993203,1869.4802138672776,1899.7139395394354,1924.5736828653173,1919.055447604761,1869.1350345597923,1880.7100337599654,1874.8467358655491,1879.9058222202807,1870.9990456411376,1868.8108854457719,1848.6082621942044,1883.4909215970667,1879.4874125992103,1912.1239279392598,1901.4169868109402,1925.3567182199859,1892.844108922168,1854.792441472702,1875.0031734184035,1876.8390804469418,1872.4578866208376,1877.2294215634436,1851.571418131537,1860.749393690729,1868.4364222078682,1937.9184045581083,1907.6448013115212,1926.1094227623503,1872.1889016542345,1860.095698378855,1875.4185380608908,1869.2146685353587,1873.945139859068,1869.4051340272922,1852.1150421943366,1854.038050766413,1872.167003578926,1915.2570380720665,1908.935426280382,1923.6726105120554,1870.1524397853923,1850.213461666803,1875.1014783078087,1874.0727780762895,1869.5754478497047,1875.849137999658,1854.154386538382,1855.5459665482,1872.363619576367,1910.997413661753,1904.4154470561891,1923.008117477744,1870.6221448006957,1854.3740629536862,1864.3611971221899,1880.968097621146,1870.2853823004086,1872.7679710145292,1851.704131762611,1868.3555285339564,1868.7905636472456,1911.203054921268,1931.7669617337415,1923.8779446574977,1864.413476849789,1854.1579930746293,1870.656294814909,1874.7814351133604,1870.843457249515
NEW DELHI,1867.264419261105,1849.7468968281055,1877.3382099841288,1872.5128127510775,1921.5773698834503,1917.5029904026305,1925.095100702045,1873.9735997197586,1850.894951820063,1874.2156825118366,1874.2001734769806,1875.096042419533,1867.5990035485704,1850.8108219434496,1847.0447787733463,1875.7035727050231,1910.1377631146418,1916.5843878935634,1926.223134469081,1869.9232148076426,1846.9998398099074,1874.2286999152839,1874.5975318466976,1870.7394701947856,1870.6188663523603,1845.0242606008244,1858.3987047883431,1879.5545660949178,1905.1589412250428,1922.6686009951982,1924.120420196859,1870.8288607218858,1846.718040777288,1874.248092638434,1874.4091162555337,1870.3962536594106,1869.8566987015613,1844.0144547148125,1868.8719048108478,1873.4384970501403,1913.996232918022,1932.0161279289186,1923.5741446004306,1865.6399586371244,1847.3467024169074,1874.1553533298038,1874.0429447961565,1869.6136745879119,1869.9760161556455,1847.9613034302843,1870.3514997619075,1874.772539397492,1885.0447120938495,1930.455579095887,1921.013376206611,1871.742311219494,1872.6618288364057,1874.247547414939,1875.642490150039,1869.277466983502,1868.6176369547388,1845.7894831848612,1876.1736132094202,1882.2309012504386,1908.5918542853262,1903.0805551331816,1920.924744418281,1874.5967937131602,1852.2890735379349,1874.6666883802675,1875.9991435495008,1870.3903363419959,1867.2030638005801,1849.5186682304682,1846.609407261579,1871.0349087559116,1920.204592427462,1919.5392570675913,1925.2208962265527,1871.909101988331,1847.7788086129053,1874.2019175874668,1870.3361403935978,1870.025117853077,1869.6123506997965,1850.0353282620274,1846.4912038790471,1873.0549839135003,1911.3448986939354,1895.0676491382553,1930.4932639054261,1875.5856022090609,1846.8546529306461,1872.793253084957,1876.7818076955164,1869.6173252926083,1866.3148524586159,1851.3116519212344,1862.8384399601755,1877.9072659723727,1907.570058641128,1915.6443423970538,1925.9390284383733,1870.8631188012291,1850.486202869679,1874.6880384287197,1876.0780613317643,1869.6029020249143,1867.8930081347155,1851.5543169625435,1868.2033140698716,1876.4875256774224,1915.9523030990463,1932.1360632013616,1918.3655567673113,1865.4574389368497,1846.7420353699545,1874.223945856212,1874.6123942487404,1869.5817263861047
NORTH EAST,1892.9404547827576,1884.053015213571,1893.335116358919,1892.8814247453784,1914.1096825408347,1912.324713799565,1914.0176497623447,1892.5718474019025,1881.7267537234789,1902.9646064888495,1903.604687287764,1892.9188757175027,1891.919063784319,1882.7656686355144,1883.924889725688,1893.4739041478972,1905.2423816099076,1912.5783893454782,1913.9652587350388,1890.346000911726,1881.1935176298457,1907.3911379915357,1893.6619244735205,1893.3064213276318,1892.2566172365973,1881.792189161446,1881.0781566088885,1890.2330649054768,1910.0292438063009,1913.4784251187875,1914.4101025128275,1892.9702807825818,1884.3960407804234,1901.5741924121187,1904.7371593141756,1894.2948165867924,1891.6501073836869,1880.3711501312075,1894.5566576367455,1894.3836612089206,1913.4004323798238,1916.862326615267,1914.7918978373038,1891.5132458678706,1883.5643617017927,1906.4057524609493,1893.5941289045534,1892.845072128602,1890.6469792478133,1882.1769185419837,1893.669314660175,1892.9369146690917,1916.677278848315,1915.3401092044253,1913.8623841242,1892.411313209114,1896.0185863793142,1895.3158596987532,1894.816375668277,1892.0280008474388,1893.731908786306,1893.044238931885,1897.31848635389,1895.1696320450528,1911.7525421815233,1904.6176087372578,1914.4103066200316,1892.93725303964,1884.0503242204034,1893.473431825962,1894.3036776944982,1891.7471382192302,1891.8493435762825,1883.1395556000923,1881.8736558367602,1888.4197762473275,1914.1554707052046,1910.3537715092432,1914.4118210700283,1891.199963535564,1881.2227770170996,1907.3911379915357,1894.19851608539,1892.3118951417027,1892.0247286698045,1882.9003475849613,1881.2060783556071,1892.8176543048833,1909.3463814530212,1901.6285550176594,1915.4441886159927,1892.1761395214446,1881.3929751751896,1893.373205991201,1894.137527706356,1895.3972005434207,1892.8570370905356,1882.7692289400227,1883.5599509906367,1894.6253136805292,1909.6417536285849,1909.8521499878434,1914.6126580388463,1894.0701867833982,1884.657971763079,1894.3793003863884,1894.5440047918908,1893.0782694168595,1891.548880209889,1884.4739471618534,1889.1186706979054,1893.3740324323066,1914.1351170762941,1918.5690268426742,1914.9053382771372,1889.4569520877758,1881.0433442153687,1895.3297329621814,1894.3958368805088,1891.8044404744342
NORTH WEST,1887.8521402935717,1878.9442092827608,1893.9228662034834,1891.5398413692942,1913.6485397827496,1909.5072633563989,1915.8423122969832,1891.6727176641602,1881.518406080177,1892.8590683014702,1893.0416266333064,1892.3771445808607,1888.3816807748774,1880.4696681378764,1880.5609633895026,1891.8625015917405,1905.9883200205854,1913.2408969810608,1916.3184671465508,1890.706509133172,1882.8856224437247,1898.0038011478064,1892.553384874322,1893.2900941319424,1889.9325887266489,1878.537314408783,1885.470158443621,1893.6594334613328,1906.4210042921138,1913.2385499237303,1914.4207308336604,1890.926035818083,1881.0496877601126,1892.1730901853946,1896.3159071033547,1890.5171549579659,1890.521832164107,1879.6987760660306,1889.9765729109408,1891.4225669565874,1909.9925461515795,1916.7974525559696,1915.6173277337182,1889.176615393927,1881.8387182746567,1897.9302090031615,1892.3563938406464,1891.2291468816886,1889.7067237289984,1880.4067568198002,1891.2941985063414,1890.634981341833,1893.6960124258223,1917.2214221055644,1915.1768844574467,1894.641430768838,1892.064669862689,1897.0756639912738,1892.8653806027226,1889.839794399156,1890.052934719106,1882.3429109306385,1893.2006835034358,1892.1923483565192,1907.837912725078,1903.4926613778882,1914.8155288754322,1891.4912431747437,1884.8523409906165,1896.4802035828427,1894.4993625119785,1891.240881501503,1889.5281398434824,1880.3848634523652,1879.9069134237266,1891.653705778874,1912.399239007133,1913.191669527568,1915.3076529826508,1890.8622432922805,1880.5188374749398,1898.0778546852073,1891.673898245212,1890.6750717675077,1890.8681936452342,1890.5086937595856,1879.7255506094414,1891.4250071473953,1909.4763685896958,1908.5767643655104,1914.6389553496217,1891.902303319819,1880.4511263175712,1891.6669882223168,1893.2720120590463,1890.8749072531389,1887.6262527633737,1881.6214676860584,1888.3149554898173,1895.2659950934965,1906.572392892199,1911.762089316077,1915.896575311865,1890.083811945004,1880.9565610859358,1893.9254018676802,1894.2838536327906,1890.4852675493867,1888.394910283517,1880.745519108642,1889.8413932661574,1892.9482787790728,1912.9331293337075,1918.484306784541,1913.5407271330314,1888.1794582971108,1881.2002525020146,1892.127056475181,1893.0080404095038,1890.330434704176
NORTH,1864.7820220838557,1843.2698350578194,1879.613517336903,1874.9294188952513,1918.8237616168205,1910.3597935463156,1927.0062768476107,1872.5788247602163,1848.447193298472,1874.2658596597812,1874.1339295565433,1873.8914305320475,1864.9128766819326,1847.3790205599717,1846.9825567873258,1874.2067663450248,1906.220907139704,1920.8282457679315,1927.416814140614,1871.172870746037,1847.4484698814197,1874.2768300423193,1874.1927965766376,1873.5923142256538,1868.2212787587232,1845.3600807932887,1850.1862892642002,1877.4889509301233,1903.1695638174679,1921.514860187259,1924.9542733468693,1869.8690679928231,1846.6782429688178,1874.4518639253822,1873.7383077328393,1869.147561464377,1870.620068380762,1843.6115922387014,1868.903345894095,1871.5921872182678,1918.2081946260123,1929.3424105423464,1927.4813340076635,1865.04480648961,1846.9135995699455,1874.258207770464,1873.8803426975915,1872.1979382802476,1868.4785931791096,1849.9333397132707,1873.0824964512246,1870.9391042189104,1890.9504241567759,1930.8675744947836,1923.6657460344964,1880.9823857292731,1873.8245837454897,1874.3088558058334,1873.880770809787,1868.668271149398,1866.32651173981,1846.079126146876,1875.9695389120218,1874.7479773741109,1910.527613590945,1899.7896212448106,1926.3729655614088,1871.8431974994767,1853.4361076204452,1874.3676443636348,1874.1977898323514,1869.4529787732333,1866.048985909836,1847.9008239553305,1847.335417003255,1872.6968804092908,1917.933271551114,1920.7480716399682,1925.898693650006,1871.4607745267288,1845.4301155586134,1874.2827683240453,1868.5633491099961,1870.4989034140908,1869.2137284643163,1844.8910068968787,1845.7807199956455,1871.8669579204425,1911.0778954337131,1908.0981912774082,1924.2261442193785,1874.312197076833,1846.7522147991638,1872.5955608973331,1875.3725472468668,1869.238078780774,1864.3003460894417,1849.6767177121712,1858.7937806777636,1879.0910218033605,1910.3762245974788,1916.8009552944025,1927.697431678088,1869.9399583062893,1853.5384122884523,1874.3871719713602,1875.4547774431185,1868.8217704898946,1865.7942176738275,1848.381555693457,1868.3262570387146,1877.4080029273478,1920.5197996470752,1932.186663171284,1920.0032921614802,1865.112024045674,1846.7061161811616,1874.2788369188181,1874.3177863634724,1869.301634710594
SHAHADRA,1865.326263852452,1851.5029247873713,1875.2171825531452,1871.137212411941,1924.3818623539983,1917.7199520757306,1922.2969395876491,1869.2401574293606,1850.8073036532276,1874.3893892592007,1874.2422576203887,1871.434984450026,1867.1389661115206,1851.4264443931836,1854.2958937267124,1872.736732639748,1905.7533230284553,1918.9937724370682,1921.673516369532,1861.9606432170615,1847.6209609236628,1874.0992911852372,1873.8279456375749,1871.3263674732957,1868.816829710191,1847.8662783882107,1847.5115259854529,1865.810773588985,1939.6649442861121,1916.206752882399,1925.2206374799475,1867.3064511116995,1846.5468065169543,1874.2523751860465,1875.7656017428874,1869.2130025883234,1868.1338324298,1845.7511162693904,1877.0154789575859,1873.185478636105,1923.0275178781437,1929.0652853572167,1925.05083419134,1867.23460546147,1846.983478873022,1874.3598887757942,1869.946854046738,1868.9104781363205,1869.462434076277,1851.388266399256,1860.3596393436915,1873.004449610331,1902.3983942383259,1924.4739889887219,1921.5603134404328,1871.1902269572172,1881.9955536907978,1874.1557005259885,1877.773846121692,1869.9594913582291,1869.6684264774142,1845.8156567851536,1883.2987911211656,1877.0334291904303,1915.9236647977125,1893.8610108928572,1923.1805906094792,1879.8038247968757,1852.3786684978058,1874.2770533405364,1875.7626283116213,1871.9093601015709,1876.2740690210755,1851.6849274329954,1850.1176084411575,1865.6623524258982,1925.0630984524034,1912.7726439269409,1923.896481016374,1864.716732894305,1852.5040791541321,1874.4537135685953,1869.502892296643,1869.590373462204,1869.8976169214418,1851.749022419304,1847.5878864559866,1872.8419945038286,1916.4238767337695,1900.7287557222587,1923.4051507604893,1867.1720857419875,1847.1469901720595,1873.46023820118,1875.2568638019477,1867.6880942556015,1875.3825527894298,1852.7646784249773,1850.3802036549603,1873.5492623185157,1914.4604984285465,1904.7092600212761,1922.6144306711894,1872.2908023276073,1854.4869277765015,1872.5426801311044,1879.5851868260927,1868.6466763378285,1868.9425473333285,1852.449506323161,1863.2489423129214,1866.5018177189825,1915.9667971626109,1934.7034039073953,1923.13474646599,1866.0077720846944,1847.5507990678868,1869.238834963007,1874.3339022388159,1868.424457159758
SOUTH EAST,1869.3781133816478,1851.0493610219826,1878.4992311738872,1871.114577266746,1925.4919404577954,1912.448029045824,1923.4872115351661,1871.4741214243168,1854.1034868762772,1874.9771209726027,1874.9051276923897,1874.990628422647,1870.9416738410735,1852.0279895952945,1857.3855444766625,1877.1497500908627,1908.5527273821847,1914.4819176137976,1924.10486516446,1867.5240236981194,1850.3260920197372,1874.6210447061856,1874.7554387901237,1874.6919552564652,1869.5218629545536,1849.523896680813,1852.9023097666325,1869.7697688709454,1908.4917172578737,1920.2804798207533,1925.2538604664971,1869.585644528084,1849.4333317749895,1874.7379652115649,1876.8374762300787,1873.745724180374,1870.838123491552,1845.3603029584856,1870.0512939770292,1872.8408721132516,1918.6042265142346,1917.6132575837437,1922.5241320585806,1865.8789130997425,1853.3237542850434,1875.21943429781,1873.475534199938,1872.2718251217545,1872.474125753743,1850.4615696637143,1869.9178699178408,1872.3518994463545,1911.2026967782197,1922.8027594052735,1920.4765890563185,1868.3760859419738,1873.7682326685244,1874.7804874054098,1877.654927612831,1872.9359310015777,1870.6141713992365,1848.9618657404897,1879.4069466077633,1879.5792021997722,1907.3820159434808,1902.720235363169,1923.6788627952235,1889.5674650969152,1856.6837068935574,1875.0851872204641,1877.4747165271685,1874.067298876633,1877.914404514884,1851.2275838774322,1856.9688017077099,1868.2109736335156,1936.1864964902406,1911.2716708661667,1926.2000755606716,1874.009248398136,1857.2914329755968,1874.9855403589065,1872.2937404759125,1874.8296311197766,1872.306382664477,1851.8591876317694,1853.3876305232766,1872.6605320258627,1912.6418354339858,1899.0833962429824,1926.1530299353678,1868.9499420486452,1849.8271042296406,1874.4212923048474,1876.0939896609725,1871.3097894115642,1875.2368180218155,1853.8255819348944,1859.7763833954882,1873.1445841055267,1905.788040102992,1909.9787626681534,1923.480010202435,1872.0599370919474,1854.4747837984758,1866.6537728108917,1880.2052474506236,1872.042356480709,1874.4675188265026,1852.2062502999127,1865.2332176948273,1867.204167420412,1913.5648281499816,1927.83390214813,1921.4138572473983,1865.131082955412,1853.6404048840968,1870.6130769430376,1874.8302194595815,1871.632343831667
SOUTH WEST,1865.5235280037793,1842.141241453716,1876.7488781621828,1872.7390792333194,1920.3463616402166,1913.5567883236706,1922.685631916562,1872.6993154297068,1852.0409453965692,1874.7034861610084,1874.300553915325,1874.51455446493,1866.9517618284424,1849.6685745185052,1847.090652402396,1874.6418707070095,1903.9932645500842,1921.3361117665836,1923.4566924425221,1867.0961647976105,1847.8894627841594,1874.2089018486179,1874.4573048152633,1872.7001103167024,1871.533378875924,1844.6232213756973,1867.0026419396247,1871.7809978026223,1901.6601617882086,1920.4714175300553,1923.4063255713675,1871.4751952324184,1847.421451892619,1874.2244443674158,1874.2941523434897,1870.9516354206874,1870.71229464307,1843.1439326319805,1873.2422273637483,1879.1659586935966,1911.2004355815902,1931.3482928941207,1924.0153505746239,1866.3047025709802,1847.385066093309,1874.207538074169,1874.087931696211,1870.2364141343444,1868.221669533535,1848.9939064402415,1864.8442948218637,1882.7895452887606,1865.580286754127,1927.680980145784,1921.1577131890915,1880.3881127378393,1874.8150218454214,1874.1650005792308,1875.2709064228777,1870.7031880051352,1869.6173580958182,1843.850706475533,1877.4595866794039,1874.2422227310296,1913.2092748846558,1909.5247274586854,1922.3602177410633,1871.6928982130582,1853.5966056883894,1874.2883127804287,1874.6503278178625,1869.5856103284677,1868.6397661426222,1848.5352110170397,1846.1511151450918,1871.556434824101,1914.214664223942,1921.911318966849,1924.4821167156279,1868.5018698435729,1849.4691476670005,1874.1938126738164,1873.850484889412,1871.1770876011085,1869.9593234646015,1843.785538146022,1845.9363088989392,1872.766897304849,1909.037198791885,1917.1133053258948,1931.0964280138005,1875.039534848618,1847.1188363680892,1873.7992518426418,1875.3759664142137,1870.6553321931192,1866.5067375885185,1851.4843749037348,1868.3346925344183,1884.332612780923,1911.1453492167884,1920.012020570043,1925.3061335953637,1870.2584340542182,1846.8150236941717,1874.3931383784034,1874.3048229728624,1869.2342105775747,1866.7074321278478,1849.2705975316576,1871.2116511669285,1873.3086348089325,1910.61027470658,1930.250895614859,1914.6122407674172,1865.8807484144547,1847.0040763438415,1874.249876217079,1874.3954603519126,1868.7092669913216
SOUTH,1867.8412122273526,1852.1764785774253,1877.9624016526648,1875.0386095970011,1922.106612184163,1916.229585769633,1922.9830761202159,1874.4902555762856,1850.3465891808466,1874.128011654279,1874.659177405625,1875.619937957577,1873.005921597427,1850.9643192137023,1847.3040946993608,1875.8892509802997,1912.6553705004762,1917.2320180458805,1922.024996190119,1869.1900953762731,1846.974402468971,1874.0788484607176,1872.356406913038,1873.967095849491,1873.3145972322802,1845.7938097882097,1856.7456257958831,1874.2780441932664,1910.9302996475967,1923.4957458051238,1923.4103574149744,1871.434267153267,1846.7216280746927,1874.0745120224685,1875.133302584995,1872.2445537381016,1870.1422586142635,1844.3824722526226,1868.8331619432229,1874.8109323438018,1919.0004092556048,1922.9444766465483,1922.4353824449076,1866.9975911246217,1847.0549966574868,1874.1046592370128,1874.074967459848,1872.202107472813,1871.9323207129494,1850.0633381458233,1867.8093409184796,1878.1360231428866,1884.0386359625797,1926.789831670516,1920.237988372046,1869.7503247066174,1874.2483560357882,1874.1001037730286,1877.3647584749613,1871.7114838636965,1871.8615079894487,1846.2258714867162,1878.1119311048901,1880.9726474208194,1905.8261637156177,1909.1660776043536,1920.1281644826995,1880.4469830097567,1854.7487000770848,1874.5529799111018,1877.096540589724,1871.901519621305,1873.3867260152085,1850.7561366855775,1846.265367423767,1871.3209285975006,1918.345661956777,1913.535613533784,1923.9453480133125,1872.6394882549396,1848.2242072903764,1874.0759971146188,1871.589690134748,1872.813247388201,1870.6941253962416,1850.2677131519486,1846.4746596626135,1874.1796649065948,1911.0955209758915,1889.0825197274196,1932.5413172266235,1873.345428062043,1846.9497252406331,1871.320862483149,1877.0963411873336,1871.951465608078,1871.5147522146108,1852.8444521692275,1863.1937658967277,1875.5290511118435,1909.542888604499,1917.7343892155475,1924.128360560856,1873.1246110274528,1850.9319927024421,1874.9418380949155,1876.7435270092744,1872.1565761119334,1870.6756746937679,1853.1405275507973,1860.3074399327154,1871.9403118404366,1914.3641557403491,1931.1638441668215,1921.426853498257,1866.5798564981271,1846.8137988090114,1873.2509848757156,1874.713563159859,1871.1461470606746
