district,2014_01,2014_02,2014_03,2014_04,2014_05,2014_06,2014_07,2014_08,2014_09,2014_10,2014_11,2014_12,2015_01,2015_02,2015_03,2015_04,2015_05,2015_06,2015_07,2015_08,2015_09,2015_10,2015_11,2015_12,2016_01,2016_02,2016_03,2016_04,2016_05,2016_06,2016_07,2016_08,2016_09,2016_10,2016_11,2016_12,2017_01,2017_02,2017_03,2017_04,2017_05,2017_06,2017_07,2017_08,2017_09,2017_10,2017_11,2017_12,2018_01,2018_02,2018_03,2018_04,2018_05,2018_06,2018_07,2018_08,2018_09,2018_10,2018_11,2018_12,2019_01,2019_03,2019_04,2019_05,2019_06,2019_07,2019_08,2019_09,2019_10,2019_11,2019_12,2020_01,2020_02,2020_03,2020_04,2020_05,2020_06,2020_07,2020_08,2020_09,2020_10,2020_11,2020_12,2021_01,2021_02,2021_03,2021_04,2021_05,2021_06,2021_07,2021_08,2021_09,2021_10,2021_11,2021_12,2022_01,2022_02,2022_03,2022_04,2022_05,2022_07,2022_08,2022_09,2022_10,2022_11,2022_12,2023_01,2023_02,2023_03,2023_04,2023_05,2023_06,2023_07,2023_08,2023_09,2023_10,2023_11,2023_12,2019_02,2022_06
AMBALA,1874.4438816880267,1850.2160720153997,1855.8485353483227,1877.3283781232947,1951.894581669206,1908.07832664881,1919.1210224875358,1877.7255235352932,1849.9470449908772,1871.9229384380058,1877.8622686530734,1880.7373198386197,1871.2850599278004,1850.6203776561315,1856.408378386669,1875.8821583162917,1916.8028819694114,1895.3794123890693,1920.2465465878104,1866.0100446659449,1878.6557450155315,1876.676358103466,1876.4713436827599,1879.1767838700714,1878.0867280385562,1849.710055988916,1856.9136377639204,1877.1570691079826,1932.282983099214,1899.4322575154765,1916.3976251676058,1879.3138164637187,1857.108173416169,1876.4137667785624,1875.75053885852,1878.6266058277,1872.3769895166186,1850.34756782677,1862.3410516464535,1876.4249643722233,1925.9162129458257,1905.8497968313518,1915.7789858402177,1850.764228946134,1855.329859018865,1876.718010211898,1881.8102714275485,1878.5546406091657,1874.5460719242512,1850.8849269992759,1877.4391985499997,1873.9000260697549,2014.1831979454482,1910.1945673590085,1917.5731413646977,1849.9596268118182,1877.9222716696875,1876.092727281231,1879.0705756392251,1875.5772994622605,1876.7830283941803,1876.6616948406547,1877.60767153372,1926.9109903478975,1934.0018570333418,1931.9512454229323,1851.0102265905496,1848.1253247258207,1875.8439255698636,1872.5931232904973,1875.5728564473652,1873.1256169333037,1850.9015991611825,1856.7478926226138,1873.686435965966,1965.1902022544232,1934.5242274484292,1920.121656392311,1869.7763152950113,1849.9995335994295,1876.341040515035,1878.2607480045667,1878.6216113429111,1875.5944127748676,1850.3695454518083,1856.6676314348274,1875.9265789589945,1907.8595817738876,1912.9425507874487,1921.183821881217,1865.4710708724967,1871.9382863840844,1850.3615274171234,1881.1549108633922,1880.75766117843,1875.409100273425,1850.7127905384907,1856.365067635555,1873.0424558591612,1932.1394864034912,1870.2211332461384,1880.0949433175813,1857.9328554506053,1876.142602214663,1879.2937732327646,1879.101745330493,1874.018662345833,1851.587597512843,1862.6855369331424,1876.6322991265606,1916.0277747335585,1930.0567499185422,1915.4887294009018,1852.580895738431,1853.6522151717331,1876.5034712912222,1877.95548318045,1878.544444831891,,
BHIWANI,1873.554114165789,1848.0964484943966,1865.9914410630229,1881.8518056700611,1906.269762307283,1909.2437107955398,1919.7802905910166,1872.101554261532,1853.3838966060518,1875.6588909440989,1876.115739051968,1874.2379612451386,1876.9592544462284,1847.7199838513734,1872.4799188148972,1896.0936464625822,1893.08162198036,1917.9951682645797,1922.8746535907203,1866.648448397637,1865.2579451537806,1875.66042160271,1875.8766505118908,1874.7007751665049,1876.2607658947982,1848.378088369818,1867.0882071871931,1864.4400424144371,1893.565682917373,1912.9398426494924,1931.3959799459653,1871.5893887829343,1866.3330539680476,1875.360354920874,1875.1756957828675,1875.5887203876957,1875.7766900250629,1849.1286883824441,1864.8352626251808,1887.3760845732224,1902.8387326889592,1919.510640821892,1928.2178093364357,1874.7254659689322,1865.136115111708,1875.681933664993,1876.7307643022766,1877.085022730969,1877.306679336826,1846.2349941463356,1862.4402904473566,1874.1582548246,1901.4696606806965,1911.4692014398395,1924.8756982900197,1872.7149800522338,1872.5159546315554,1875.5215528426484,1875.8054259162013,1875.999874847965,1874.684766759055,1864.3322247103335,1873.0916969691548,1891.563247057993,1906.3978586873998,1922.280402488681,1871.673450280833,1851.450520711843,1875.550256222835,1873.5494451076286,1872.4462285203685,1870.6948532613176,1848.9900845524674,1864.6959748646334,1870.1054863016307,1902.0795024341141,1916.2999911087165,1921.4295223108404,1871.2190725656646,1853.138675724987,1875.6258141575272,1878.6307059805995,1874.720889306957,1870.7839820968106,1848.2379398154558,1865.9407336168856,1876.5250092279027,1906.3514014216164,1920.0915665147863,1924.4466982701606,1863.5858407725616,1867.8542912404264,1877.44540881272,1876.4363972921885,1880.3867520097856,1870.2699543640506,1849.2199998232593,1864.180967387185,1891.8693355676946,1894.332053990384,1925.2079682935232,1873.7786565245194,1867.6972779490475,1875.7611070818855,1875.9591412994484,1879.4435506122813,1873.3362058010273,1848.4597080186868,1864.1822112597968,1885.4862963095404,1904.182412853774,1918.2151274220316,1921.9729378107422,1868.8555012077427,1860.942941366722,1875.6038960736482,1876.0943901163764,1878.6399310718316,1848.6471920585163,1902.9732255665053
CHARKHI DADRI,1876.4220496960925,1851.1660006695256,1866.7402275478732,1876.172081107742,1908.5579834972266,1907.8378294368538,1913.9089147205232,1877.6837207957262,1853.4697395501614,1877.598286920856,1876.579789854342,1874.0674972107563,1880.4247755343747,1850.7305199367947,1875.7929712575694,1897.2460756099267,1892.6251478539716,1914.3502980089856,1921.5096134321223,1867.1014922170614,1876.5200984218957,1876.4104222145384,1876.2978071510047,1873.980285196555,1880.2209806240796,1849.9702718121057,1866.0906325008123,1869.0032618592388,1905.1374876933126,1913.0223596844353,1935.411285267866,1863.7586093555726,1877.5022208509974,1876.2531044591792,1875.308942373719,1875.9419390476853,1878.7685368968832,1850.6048103479823,1877.1535697616782,1894.5574031340109,1906.5991582071692,1914.818556601319,1929.6967987320088,1878.194119389334,1871.0058097348501,1876.4059323150468,1876.199208173026,1875.7670626037648,1881.3345892924672,1848.6936439481572,1866.1312435284758,1875.8366768048609,1899.6884637469839,1907.1833965851822,1928.9331019711678,1878.030707507446,1875.4627123753273,1876.3437349787357,1876.417795378957,1878.2631022426567,1877.4872356234478,1877.69434368092,1875.9764427287757,1890.4831623323487,1904.9353258762817,1922.8064398049275,1879.1824138408863,1854.0554090233366,1876.3246306241683,1880.1760325966936,1876.8080083262148,,1850.0373866222938,1861.9099756508076,1854.7795768659685,1906.768792714923,1918.3113409769658,1916.798059291524,1867.5408163481038,1851.7395952191148,1876.3849879031711,1880.1282317497555,1874.3110883674894,1874.9189070434436,1850.3669677678486,1854.6899959938282,1876.405439391702,1895.0127619709167,1914.3462896498315,1917.9824485844877,1863.9601197308955,1879.3817623658829,1879.2485250900759,1876.5699053378667,1881.5381477357153,,1850.1567311477972,1875.2673270868129,1893.4058937316377,1895.1935511567647,1932.4956317764495,1867.032573717277,1876.4291803536903,1876.380706343747,1876.2725024279332,1883.5312057102833,1876.336679515519,1849.776039867764,1871.9797336619972,1892.4957246813674,1913.2747045736096,1918.9828957089835,1920.1292080777064,1878.3247265906582,1869.0362147942212,1876.3910999611833,1875.974352311708,1881.9974845973138,1852.1152957389256,
FARIDABAD,1874.2750884590293,1849.8693554117604,1877.2981404533737,1871.7651344805308,1938.4938030351564,1910.9478735577527,1927.1550582003003,1874.377929957684,1866.341143858963,1876.3071319756314,1875.7346348737078,1880.883541513477,1872.8325395199927,1851.9095216499202,1868.537023373209,1874.6572287343265,1916.3449832751471,1914.8040446956454,1930.1178070508622,1873.3846660461984,1855.0557019728856,1876.1418055230904,1871.9649428123669,1878.9501483166175,1871.5776021217223,1853.783412099736,1863.6401252441763,1874.3036527584622,1916.0619815905416,1919.5955592508014,1923.3937951170067,1871.7944170235533,1855.3007443517597,1876.1728757587407,1875.6421179108634,1880.230538427674,1875.058281108298,1847.909477710848,1869.1942550915712,1872.841222410801,1917.9047815773638,1918.3549281791268,1920.2325208539257,1865.9397245772727,1867.1051852586108,1876.2831539100825,1879.3449989016008,1879.7704210484062,1878.920502323538,1849.7314027816694,1869.907680625119,1873.6372359495888,1900.9112345492254,1922.2126081862687,1918.8478975286491,1865.1634966647568,1873.7181328220063,1876.2271229926837,1877.1789468988904,1880.2444389613463,1873.034683129084,1876.849415262519,1875.3016535672084,1920.6649620665114,1911.7020297137512,1928.101820362034,1911.8624695296544,1866.636848445397,1876.0726649583803,1879.1561040305467,1880.3344920441373,1878.2694911050546,1848.284584087554,1871.1565841901865,1871.9237849947353,1933.7701512118083,1916.783820442466,1932.0618866235484,1887.7493707542642,1870.5056715151907,1876.2340980648028,1879.4111248902234,1882.1404492468262,1876.7692114290805,1851.361735261831,1867.4211764072882,1871.6022368224822,1916.2247285373753,1923.009728859219,1930.4248598022557,1872.0764223578153,1855.526539261417,1875.9240611427792,1879.3434018459347,1874.6261302725395,1875.2012042249758,1852.6221139499105,1866.3153590611498,1873.4627026509663,1915.0683925458356,1925.0150015626264,1873.8758491064566,1852.6839853859155,1854.8300845335814,1877.395708255065,1877.6146942704395,1878.4719767774386,1850.5350151545385,1871.0686539525575,1870.9279520864895,1908.011930555054,1916.3725888687682,1921.503262161615,1864.4123871726429,1867.1703139385143,1872.5064292086067,1876.278240565086,1879.5926189399545,1850.3005775843692,1907.4495686786506
FATEHABAD,1870.0238893543253,1846.131943320346,1850.4528593922728,1876.4232811295087,1909.9112095564585,1908.1427016354246,1922.6460444867816,1868.7230427282982,1856.3686995599514,1874.7692658665542,1875.515860408186,1875.7566243543695,1868.754069666183,1846.8258235157912,1869.7831283912897,1873.4347080328685,1922.5018513292762,1918.4077433953653,1923.7865099735284,1876.8830841580457,1855.4096375486674,1875.04223068463,1875.8934656034037,1875.4346476714998,1873.788439451577,1846.773185736934,1871.8390002177634,1869.921862392541,1946.01755393635,1911.129127575404,1919.8750972749021,1872.5902153628792,1851.9968088342596,1874.8641923907826,1875.3735449070814,1874.9115860778056,1868.6144154495773,1847.003860025878,1852.7006665500494,1869.7530398941694,1898.03106637323,1914.4269698798057,1923.734424682682,1870.4282579501107,1846.3055309705844,1874.8709555954301,1876.3594019180289,1875.2765701323026,1871.2791767411843,1846.8701724217815,1851.7235162649151,1872.1695683661158,1910.0277989683286,1921.3129466734324,1917.2233778540367,1867.9301202852882,1872.6775102637366,1875.132193061199,1875.32418275809,1875.3264959995597,1868.5414548036892,1852.0683632593966,1873.561532458166,1898.326688955583,1903.0679652261667,1923.2158291162432,1868.622294383835,1858.8780260406827,1875.3894141084352,1873.2621699885456,1872.870923745876,1872.0612815844415,1847.5747604576532,1855.3537370188747,1871.5815235171283,1910.1886449098733,1905.3284735930788,1922.947852411263,1871.672565742961,1855.9155048226498,1874.7631876328421,1875.8145417599287,1877.9296878633563,1870.6667499606742,1845.9233933510993,1871.0319772797138,1872.4427596215803,1915.6362643476157,1922.9582673055595,1925.9064943686326,1889.3410859423216,1862.2279459411734,1873.026117610505,1875.4952350638218,1877.1733146915124,1871.4036967121626,1846.8994421420907,1853.1558146031762,1878.3985576244047,1910.489538938703,1918.4587903560553,1872.0733927998326,1851.4820075600383,1874.68057718444,1874.129920842013,1874.9348605106088,1870.0217244782564,1846.2446310630971,1849.6788381044325,1873.1622959302358,1909.3736280279488,1925.7746579731174,1921.8271399031341,1873.3395021973213,1847.0850638143427,1874.993891193535,1875.494396089886,1874.317297284709,1847.1295844750355,1913.5550355918635
GURUGRAM,1867.3790584245044,1848.8233656859204,1877.6451748026439,1872.2920396869781,1913.8666739651542,1912.6044846267262,1922.1854263371201,1872.6737623048518,1852.4497328502052,1874.6809931756595,1874.8727802415747,1874.4355455341088,1871.596015610553,1848.5623273894532,1850.9493653790266,1884.5554624369638,1901.886857553083,1920.7709606831108,1927.6989689138256,1867.0371688828004,1856.5943141110938,1874.6713137063732,1873.5710816236674,1874.6072304543789,1872.4811777512632,1845.546961097611,1868.4408052212568,1872.207782003293,1903.4664545003131,1921.110372072167,1926.3672463946923,1869.6456877335831,1852.4037208458346,1874.5739381439303,1874.6717244744543,1876.0050266932149,1871.8526382422776,1845.4146659878115,1870.5139310852,1891.8804642761643,1908.5446076607025,1931.3991508670795,1925.8731755926933,1866.1155157563253,1849.8011760153602,1874.5878065066818,1874.800702811988,1874.5624452102777,1870.7884437690734,1847.2876395136313,1869.224541865804,1892.72282481184,1888.1240211758097,1927.1625890648593,1923.439564418237,1876.3757659217097,1873.988206811164,1874.6847723625401,1875.14423301687,1872.3963167735258,1870.6656202706738,1876.3010458761544,1874.4083729546046,1902.3602707904988,1907.8395242708348,1922.048344342003,1875.681372040429,1854.2280829166637,1874.6794288787482,1876.795098036013,1871.100438278084,1869.6660759053934,1848.6711532072325,1848.8750046986083,1870.077846688135,1911.7689674200622,1921.4871060013656,1924.0578141364235,1872.0251329641446,1849.4645000557773,1874.6802305330873,1876.5545988027902,1875.1038387481485,1870.867421032555,1848.0143358052105,1851.4132040461418,1873.3196682693797,1900.9621449666859,1919.4953417832073,1932.7014802054796,1872.7315712175437,1853.3662760330876,1874.299264320511,1875.110689850074,1871.7593871633412,1867.4533674694205,1850.3552249588827,1867.6615643544637,1888.810580103297,1907.618628531856,1924.8550801048084,1870.3516139619637,1850.3388876887154,1874.7093831231673,1874.746915561706,1871.493118369588,1869.7310315797934,1849.0262490682053,1869.6801138750902,1869.8690144860793,1914.3967663040562,1925.5211132113097,1921.499394294345,1865.8922129137895,1849.220701311336,1873.8090507404422,1874.9531255129928,1871.1920349030338,1843.2826984533524,1917.3557213985616
HISAR,1870.3750990625024,1844.7512420450043,1856.8308844840626,1881.730766976297,1907.2510392356771,1911.1704217982385,1921.5909336259353,1870.6652365699895,1854.2045986694284,1874.91752986853,1875.2325439255453,1874.5483497217733,1871.9937121562718,1846.6778323475378,1870.8112545008348,1878.334625962102,1901.555969594324,1915.8140412947698,1921.3993480401602,1872.4023495012357,1860.4333618894511,1875.068989121662,1875.2179433178508,1875.4520703609926,1873.6471828087049,1846.6283977240691,1868.7766259715675,1867.5434881816666,1910.9746365499018,1913.049946510609,1924.3237935467848,1874.7127029932713,1859.3734264261907,1874.4708673234686,1874.6244749574728,1876.2133821366958,1870.8097630115842,1848.6528041360314,1855.5290508949713,1874.3002794323866,1903.1201504486633,1916.093066857195,1924.902704816685,1870.8704325870783,1852.3827954745025,1874.0787536501941,1878.013185151577,1876.03630704642,1872.2576050800399,1845.3851692955927,1856.8988443250173,1871.914431752849,1936.0314223676396,1915.7031388097416,1920.4205168916426,1870.92600865415,1871.26880745681,1874.601377669921,1874.7721765143565,1874.208487163456,1870.6753175128886,1856.6246147705672,1872.7070819351418,1899.4954060393227,1905.7746851709576,1921.1780452239436,1869.4385107934158,1851.8819862725134,1874.6791948573944,1872.4131964630358,1869.6790960348198,1871.0560747109926,1848.1652048948665,1856.7511763284076,1871.9286564797314,1906.944148349985,1911.9207869510778,1922.6706174633155,1869.7705979431335,1854.007494186132,1874.9650839971378,1875.897772854857,1876.4156566441623,1868.9181724291786,1845.5639838914362,1869.4836692262977,1872.9929331006358,1903.660856098032,1922.0641455001173,1927.5635254108477,1872.9716038753538,1861.023811883455,1875.6624998528857,1875.4729104200208,1875.982355516716,1870.1564290876015,1848.0575968674514,1860.451975289817,1887.7015697371503,1895.630598051792,1918.6624227617622,1874.7539288601483,1860.3847600291201,1875.1587087121152,1874.7920344573315,1875.307006704034,1869.6922265773292,1848.5960892169771,1854.0825886619664,1874.0765960765011,1906.0323873709522,1925.3654953049954,1922.6912084591518,1870.0178969570034,1850.5479238271537,1874.9354184751212,1876.0699509991318,1874.7282762451564,1846.9573530257032,1905.785458524206
JHAJJAR,1874.506143846192,1848.100329400782,1878.181678913916,1875.7703830364133,1916.0494164581783,1903.5203715605924,1916.4740191453288,1875.4930132757693,1850.9042834649406,1874.7111577848557,1876.4132130264895,1875.0029902479123,1877.6306848392676,1850.129135242562,1863.7392506935905,1884.0083022698914,1894.994727491671,1921.2991522935852,1920.9838575554516,1865.6427000690326,1874.6683781576753,1876.4487449561823,1876.361279802174,1876.3892168697562,1877.5370515002046,1849.1719219635368,1868.472511022169,1872.8700688770966,1911.8775836779425,1916.526377358839,1931.4522569568217,1865.323177590312,1872.0059741172138,1875.9544870889827,1875.514724543145,1878.3193744025436,1876.866310356106,1850.5577775433717,1873.422019796528,1886.350491345778,1902.323338978309,1923.4298004959996,1925.376829319,1867.4575377612668,1858.5369234515936,1876.3434374036287,1876.1784579378477,1878.2815473412866,1878.1013073635697,1849.772307019515,1862.9790443279246,1871.8922364743516,1919.4005512707836,1912.8466690149075,1925.0846572200278,1879.0487800781668,1875.486761678221,1876.3202657288784,1876.2752459373721,1875.9212211625422,1876.4095642129716,1878.6631695143917,1875.0646242457872,1899.6273750474388,1906.696434689351,1920.8915167472287,1874.9033723198563,1852.766066138221,1876.2212759719362,1880.140517822539,1875.1071781756004,1871.6715373692539,1849.7114117113877,1856.2714345248658,1867.3030939006785,1915.783768968772,1922.1450084443125,1918.7987485818787,1874.8800304465235,1849.891068373893,1876.643057749655,1881.2448355844833,1877.5965651933304,1872.166465874274,1849.9478702133533,1857.910776384394,1874.6184400374343,1901.6930292531333,1919.0019521068575,1931.2462795884423,1866.9067862111517,1873.233667787824,1879.4817377929353,1878.2412557385128,1880.5685955735007,1871.2900636621612,1850.5393078014345,1872.4062843253216,1894.7393445872033,1904.9493587099626,1925.2243267819854,1867.6727288756435,1871.624445182934,1876.354850787703,1876.3748705633568,1879.7951098950782,1873.9017693579897,1849.9510465393014,1871.4751316754384,,1918.8042022934249,1920.6788109874024,1918.7955950845896,1869.4484763178684,1856.4201219519862,1876.3372991013307,1877.261468400888,1877.6316271213657,1847.4521457042893,1915.0661084375572
JIND,1875.6887179976911,1849.7819777838442,1866.633833157788,1878.246801454145,1909.4110157111938,1904.4264043732444,1925.2659466737027,1873.9728128921638,1852.0482554830287,1875.503304356455,1875.6263986117353,1875.6886921596476,1876.031747402256,1849.8973058880542,1860.4895493656247,1874.433159726499,1899.7788879978098,1913.1673551119964,1917.86732234749,1867.7156147164849,1876.1391707395208,1876.1284274504749,1876.4666048650924,1876.4348300566633,1879.0095977426488,1849.5302558205515,1870.7639750787087,1863.03670109814,1910.8089360859658,1916.8334658801793,1925.4958836490487,1872.4636443167824,1874.0568420367151,1874.4903386237463,1874.3005696218552,1878.8646940724782,1873.9046112004141,1849.5984489767397,1872.9634040312865,1874.415460335287,1923.8505567671612,1913.6156536105136,1922.0941501716839,1865.3009213392986,1856.084997243541,1875.8781425078137,1879.953354565566,1879.483485225056,1877.1556478775797,1848.776747511658,1871.684216018072,1872.1094772563617,1983.7273381486975,1905.981219764784,1921.9505964489042,1873.9589247545073,1875.0576566894056,1875.134383118136,1875.0539537758432,1873.999452875637,1876.0604707423263,1875.1725434823775,1876.9812631164398,1912.4779716442185,1910.9497536547801,1921.9264462565552,1865.6081207997154,1853.9128254777836,1875.5365965010703,1873.337655479282,1875.6351161818425,1872.9468585386655,1849.6125609620422,1856.6880926082426,1875.7263274726029,1915.7431748276447,1919.878890109293,1927.8554772273783,1852.6258706519845,1850.9303979376161,1875.827555231786,1881.2230118127054,1881.1349777741254,1872.549567548416,1849.8831150499047,1858.2993021165182,1874.1394971430236,1904.3532730066781,1916.2566249698414,1935.7751156903303,1866.9773291825538,1876.4370782603473,1876.7596515580387,1876.111281945015,1881.3713508616022,1873.9988080421206,1849.9260659055783,1873.0894230093486,1884.3653974787453,1920.2551422001177,1919.1065576977367,1873.0792076417906,1873.3847667655043,1875.4059443337296,1874.650889180537,1882.4495761714052,1874.3236563446383,1850.4021831289638,1870.6639643928743,1874.6465436481494,1916.5736708080476,1933.480785283535,1918.9863139339404,1857.2976784274988,1856.069929003792,1875.450608962998,1876.1533897639085,1878.2210550625757,1847.1882711539288,1912.965372107657
KAITHAL,1876.6370704167005,1848.0593538556973,1857.3545094670912,1877.7396373658487,1917.6433435538095,1900.1325573817003,1928.525064506003,1875.610484387511,1851.2200740365033,1874.6055300178118,1875.8817248188695,1878.3337725008946,1872.7161662629649,1850.3199206038896,1857.0535427205728,1874.6388267360746,1910.486574060765,1904.0342915104156,1913.4818050271479,1867.9047434674778,1876.4526719117764,1876.1990657548615,1879.777055566463,1880.8989641112323,1879.402748680884,1850.1328037741373,1864.762322766932,1864.0305357880436,1921.4078870271144,1895.6478107212897,1923.3028392893277,1878.0775638327102,1874.4845535835639,1875.4879355308437,1875.0129580973442,1881.4884127559353,1873.4326028902774,1850.2030355958846,1873.1785618600838,1875.1781486914804,1923.3589660553068,1916.711656589409,1922.015149702368,1855.5658105928742,1857.2471421858775,1876.3723972350244,1875.3209108014041,1881.8591776816909,1877.4211994571115,1850.3236549916387,1874.8264467366225,1874.5280549697009,1996.5473190185621,1901.0449343892235,1918.9234381256651,1873.6390143693675,1876.3433742536167,1875.4039918531817,1875.359745419857,1875.1106160792249,1877.414011341229,1878.3347930430407,1876.6610043515375,1927.2112709993853,1918.0609479947364,1926.9437729753768,1855.0176231727587,1853.935728600069,1875.7821598147216,1874.292321339134,1877.0047812190776,1875.6211572939678,1850.6280634406514,1856.9425530255694,1874.518235163896,1918.2239146252923,1918.6114236962273,1924.206373552211,1857.6281157359429,1849.0573442571153,1876.063682587032,1882.196417529311,1882.9148605113053,1875.946242196985,1850.702305659521,1857.0341400388343,1874.8480297743959,1906.7875926543472,1910.2546954976365,1927.070073276864,1868.0607991344077,1875.6349370804828,1861.9207759469398,1875.8832517954193,1882.0456842994504,1875.685792919806,1850.333643955043,1873.8380672186815,1878.7779575659033,1938.3122819373457,1908.4106715782602,1878.137167935793,1863.5439043095673,1875.66183961651,1876.9647807633728,1882.2170779231365,1875.9965587377144,1850.7131242766332,1864.9335125007342,1874.9667515203698,1924.1728132935891,1935.4392587843943,1913.1130603285428,1855.4391893468373,1857.2267409828653,1875.7214906448453,1875.83361026391,1878.617620009903,1845.991638009609,
