district,2014_01,2014_02,2014_03,2014_04,2014_05,2014_06,2014_07,2014_08,2014_09,2014_10,2014_11,2014_12,2015_01,2015_02,2015_03,2015_04,2015_05,2015_06,2015_07,2015_08,2015_09,2015_10,2015_11,2015_12,2016_01,2016_02,2016_03,2016_04,2016_05,2016_06,2016_07,2016_08,2016_09,2016_10,2016_11,2016_12,2017_01,2017_02,2017_03,2017_04,2017_05,2017_06,2017_07,2017_08,2017_09,2017_10,2017_11,2017_12,2018_01,2018_02,2018_03,2018_04,2018_05,2018_06,2018_07,2018_08,2018_09,2018_10,2018_11,2018_12,2019_01,2019_02,2019_03,2019_04,2019_05,2019_06,2019_07,2019_08,2019_09,2019_10,2019_11,2019_12,2020_01,2020_02,2020_03,2020_04,2020_05,2020_06,2020_07,2020_08,2020_09,2020_10,2020_11,2020_12,2021_01,2021_02,2021_03,2021_04,2021_05,2021_06,2021_07,2021_08,2021_09,2021_10,2021_11,2021_12,2022_01,2022_02,2022_03,2022_04,2022_05,2022_06,2022_07,2022_08,2022_09,2022_10,2022_11,2022_12,2023_01,2023_02,2023_03,2023_04,2023_05,2023_06,2023_07,2023_09,2023_10,2023_11,2023_12,2023_08
BILASPUR,1851.998595286612,1869.9861158598394,1866.5562405594092,1876.0526992350403,1919.239718010232,1890.9171913127404,1891.7338650550123,1865.360588570548,1874.1801650446482,1851.576728513554,1881.1530116023782,1874.238903846552,1852.7810428052367,1872.7118899258837,1874.159821696686,1872.6561203205306,1903.2434922857585,1897.4092335295784,1902.3983200109112,1865.5922871408898,1874.0534647412767,1852.1614937984184,1876.5249404992728,1875.505302714849,1881.5179128536424,1853.2902467577203,1869.4614239017822,1875.317199675547,1910.1336685874628,1893.809815658056,1912.8044555765193,1917.2010383599916,1871.1981316062586,1851.3309933508685,1875.560664306756,1875.7641255681467,1854.8822012155101,1855.512294803748,1873.6308829087254,1873.5010870535607,1918.307231892818,1895.4546671825665,1890.3827307912452,1876.746652629927,1873.327765418395,1865.088355890444,1876.123968883392,1879.6992594254118,1850.5921286681673,1855.8544704735393,1873.6866756908125,1870.295459502845,1916.448255147981,1896.1905218042486,1881.4848864091118,1865.7062303394016,1863.0631708544154,1849.8886447656748,1876.1162093802945,1881.3556657649078,1852.9869141385798,1860.0626134137144,1871.7735443360664,1866.7918681485678,1909.6601274036143,1890.83929410619,1892.5645646064786,1868.0567104725621,1873.8243431109568,1856.026351896427,1875.9337893426132,1881.4329670593395,1853.478355858085,1873.0459210281085,1875.232764317374,1873.787570937285,1920.1623844933117,1880.5771052393004,1887.508779161176,1864.9070963300155,1864.514577341087,1849.5525505958212,1878.2964803736784,1876.102722089204,1853.410816391042,1869.5565760064176,1873.8809989442366,1876.7532354104558,1921.0627620180082,1887.807466462573,1883.4745559947387,1866.948428459178,1871.0209723941985,1853.5070598562982,1879.4315017925517,1880.1884035775704,1881.2866497411405,1854.4062214042983,1874.131404147888,1874.5291964448131,1921.5164279412554,1887.5059349464361,1888.2695267332242,1920.6977763614595,1874.8882815470822,1849.2982381224292,1876.4833596354742,1875.9973947678222,1852.539050195796,1856.0114472811151,1872.6835222975749,1873.4849564225528,1915.4762084284819,1894.4377720008652,1901.938079026628,1874.7477678859839,1852.658243902705,1875.610192605925,1878.2742734830165,
CHAMBA,1869.9454506620093,1847.856835823133,,1874.088355757483,1925.4182397804036,1904.2208509792329,1894.3027342461553,1874.4123279318078,1847.6299640564462,1873.7116253371369,1872.5031973212215,1871.1119484597373,1870.3726356074576,1847.7428876770616,1854.5249642923043,1874.1964112801943,1872.9190471786176,1921.3961266307533,1907.492468222585,1870.249915063515,1860.1905966140084,1871.7041046117083,1869.1780553273416,1869.4615485926595,1870.4839890133242,1848.0731227791832,1851.8211683317863,1866.6508717534512,1919.6010229522449,1920.2589007344138,1908.2189288610875,1869.668677718402,1847.86105580399,1873.8280997681645,1872.8154847658216,1871.2970847244017,1869.1365822809887,1847.9569761919424,1850.50557821706,1868.1749657920068,1992.9168828633376,1909.268827264988,1906.6454606695304,1867.3455920020906,1847.5998238919478,1873.632988048814,1870.5255295045724,1870.1971607305911,1870.4284719032928,1871.0145310919565,1854.811827621824,1874.4242138372717,1912.7824044672,1909.9667267924235,1907.2507610351597,1865.4981551542453,1854.021788343819,1872.000845760505,1870.7373958883268,1870.9072662153521,1868.871502678439,1865.587761958622,1854.646793061323,1873.8692563824143,1923.6432075378764,1896.6076622992045,1906.8356974143423,1868.5714137851367,1850.1652300060396,1871.320727671851,1870.0801873349878,1870.8687692108285,1869.0802956747834,1856.9251276622813,1854.6000575844744,1867.9937890552796,1933.3589348912908,1903.3270981956707,1896.9717064998406,1866.1392642392843,1848.279453466988,1873.2933007087097,1869.3037930411397,1869.2671513325663,1870.5703827302734,1847.7142879491914,1854.480873614854,1867.0205211517616,1873.9920032167538,1915.9464735031659,1894.8394981866481,1865.659064586268,1848.1433266602535,1873.7196880138088,1872.247212434166,1870.1627100706871,1870.3187217489817,1847.9400188056222,1847.7198258675814,1875.8395921062815,1942.8053411044762,1919.8246377250268,1907.9490605534497,1872.9462891388157,1859.8352041554585,1872.3672496965573,1871.3066817142408,1870.6343262881005,1870.1103082500117,1848.1475316672677,1854.0967140556158,1873.4212423162726,1987.0624492589525,1921.1885098889352,1906.6282437282664,1848.1039312212747,1869.4938649371588,1871.7218726887559,1870.6286642305556,1865.4299885471441
HAMIRPUR,1868.9786973836574,1852.3656422831039,1854.0534957820814,1870.647307184487,2016.183177717048,1911.6746161363678,1921.5238935338389,1872.6354958112552,1845.1967855043604,1874.107680399931,1872.4548922541633,1871.3366022802866,1866.685458945091,1848.1427853523276,1847.6932255555282,1873.1832262845155,1927.681597140675,1904.5342028314622,1911.3179915953099,1870.7643511630138,1865.9920646637559,1873.2313153506382,1871.3926556662527,1869.7641110396319,1867.913592202602,1849.4795663392192,1848.1908218451358,1871.5700353880702,1940.3036218066363,1923.01583382485,1913.340014310634,1873.119332100217,1848.2843810719928,1875.8489106657348,1874.7284819849824,1870.4721429741774,1867.9993816697288,1845.4868550293336,1853.0084563193539,1875.1858888511413,1951.5845979575429,1911.2104005070953,1913.0447933914502,1870.0381998929067,1848.1343355206852,1874.6965568574888,1871.9766828391764,1870.8084348455939,1867.2587342911797,1866.6594728351888,1858.4008855652735,1872.4677842833917,1880.1053945807644,1921.5621486565476,1912.0263934600337,1870.9237960988703,1850.865299405744,1877.0281056156493,1872.2240753016547,1868.251711175463,1866.9316842839057,1862.0144365548438,1857.9789000386854,1878.6384880576384,1871.597781271399,1909.4983767794868,1911.80483039535,1875.0984092080243,1844.895424895748,1878.0445230794428,1869.8817316417935,1868.2825090699748,1866.0221487259412,1852.4891615172596,1852.0942805594777,1876.6996838131172,2004.6562277612634,1921.913176968752,1914.9771165003206,1872.7021205555632,1845.523871376337,1874.597185541077,1867.167562070098,1869.0696936058648,1867.1866498110664,1849.5359558190864,1845.794173789171,1870.0328834985582,1960.9277800134553,1912.574061309493,1912.8689966753034,1871.9841346515575,1847.7251402800562,1867.2269966678148,1871.8859059574283,1870.522850960412,1867.2030447608154,1845.8414118397932,1854.2289243064909,1875.4010109387827,1949.4859350004683,1882.0860101879086,1898.8229436406489,1870.022000949149,1849.669388508464,1874.1761650158594,1872.3359741984373,1869.9299104979082,1867.7443098525341,1850.2183584173981,1854.5592279705324,1874.3900975887511,1939.8716967962305,1915.6822195380453,1911.544462846321,1846.8832853585434,1873.340411104975,1871.7480073143463,1867.4755140377033,1869.6492305828992
KANGRA,1870.9595456171864,1850.3981931062697,1854.7539504119393,1870.5939414050586,1967.0282958389146,1927.2207103208714,1905.539907476231,1873.9494963338032,1848.271301455949,1875.7115533928916,1875.0647368113716,1873.2421967359983,1870.2027690854138,1848.991117559652,1851.6664947756894,1873.6071900679833,1896.3960190613493,1916.1401399882852,1910.3667126079058,1873.1318891839485,1866.510719211059,1873.7637449153078,1871.3307010206438,1870.333367302272,1870.9086052965406,1849.880526832346,1851.2820887623511,1864.1223899490233,1938.8154436963066,1920.1678150340988,1909.8697045558595,1873.2087479050583,1848.9437817079513,1876.099498780047,1875.1217418644221,1873.7621330176298,1869.526420001797,1848.2855921236483,1852.8942232086085,1874.328590753159,1974.0844727670399,1901.7064009461035,1912.4035463031387,1869.3756603852842,1848.729012699692,1875.819837018313,1873.1132449675558,1872.0570383058714,1871.8472348374519,1869.1417207721818,1854.2180221805243,1874.1973068467057,1896.0403724054245,1917.609660689953,1910.1848258477737,1868.3092913196488,1854.1329070374836,1876.185188597808,1873.205504131852,1872.3626835640014,1868.920260019592,1856.3155548825414,1856.5043311752636,1876.2783612591368,1898.1543360794494,1905.5369945347327,1917.5398195142639,1873.748300005595,1850.0206806539811,1876.4126577362651,1873.2782331250746,1872.5460197252871,1870.3355755981902,1854.7259850807923,1851.354181681663,1870.3570204120072,1976.7519095837768,1903.940509291136,1911.5351675338532,1864.8791986165043,1850.0131145378564,1875.5411844980852,1870.177380253443,1869.5195205861519,1870.6863135028082,1848.6399538078551,1852.3830676330272,1865.519249386045,1898.346184121355,1915.3215539709536,1907.0849771613139,1864.8241275589448,1847.7122392191084,1870.802523726129,1874.548931785449,1873.0208198660068,1870.858310200082,1847.609452225065,1851.6685218045145,1877.56653197838,1979.3401302371667,1890.8734731259285,1913.6710097737873,1870.5848332987107,1856.8830663610897,1876.2950980246767,1874.284713363605,1873.3071209651966,1870.5018446302065,1849.0511659746212,1855.5638740505208,1875.0147894556728,1968.547487734389,1925.812914109016,1908.8810768800345,1848.8459724402176,1873.3246697034251,1873.9359434895086,1871.3765053110078,1864.098152420677
KINNAUR,1871.1704359112296,1848.335125999634,1856.2992290502034,1861.194836303113,1918.3958739144437,1920.5679756520783,1911.4844088685998,1870.389957412452,1853.5011571726754,1874.7604671910385,1871.3176791321557,1871.8589778630455,1870.8187897871146,1848.2248351486755,1858.6358101409312,1858.8056359559498,1879.7523130781842,1927.8783059040675,1908.7577408450622,1865.7832970843926,1851.3822747376792,1873.0790021848306,1871.1023936967729,1871.8059289123744,1871.355413546341,1850.9615054941737,1854.9410837473602,1857.3694980696348,1990.0602627071696,1920.9013036846045,1900.5933982631311,1875.0440154247544,1849.967113323273,1873.7986394468965,1873.1894263331815,1872.565069948978,1868.6460040514653,1851.9205146432646,1854.0126181975127,1853.6538133189786,1983.1095053397319,1921.5469845349776,1906.8338548917588,1874.5116845130156,1863.5081947025838,1873.9096115672817,1872.0636287854234,1872.1431620247308,1871.8473153982934,1849.4393152941577,1854.5196304082083,1855.0324924045397,1980.2334506793852,1916.9104090092699,1910.0373174234362,1875.6730305534202,1855.4583137965699,1873.18654421861,1871.1048131968062,1871.3382068472488,1870.5782329501112,1849.5099966846449,1854.5757519439217,1865.882340673366,1936.6718566949571,1914.4852170078195,1905.7645868206253,1870.551753222283,1853.2651700831727,1872.5092268221147,1870.940707797013,1871.508236397208,1870.805985975894,1852.2634123071132,1855.7303124019463,1875.482758473004,1915.5407014196694,1921.565528643918,1910.9123644446647,1859.6629031287214,1852.1803731721654,1874.442574506945,1870.4716901791319,1871.6915443351004,1871.170990030058,1852.9892196798116,1862.9239453205912,1856.321265165407,1902.8131613414912,1926.4126372114208,1907.7705817714298,1875.2949905303535,1849.6074358963833,1873.8160750830289,1872.2806957776454,1871.9479125511693,1871.5883463217067,1850.4813768703589,1854.9577083639467,1863.687756025784,1995.8786372762506,1915.1595070683416,1906.7611520368064,1876.118681224548,1849.9800720169235,1873.3613298982098,1871.0800407139027,1872.3337291100884,1871.1721210770063,1851.8174713973076,1854.253937773195,1860.560861682861,1973.8300913297655,1916.6261938891357,1906.3054043102686,1862.5260501221453,1871.3028962272433,1873.378631820175,1871.8732827205783,1874.7424598779967
KULLU,1873.1001596980377,1849.1234718945298,1855.0423696222954,1869.2452750389461,1974.7790820247687,1915.1611338251778,1907.7399100986668,1873.5081170962178,1849.8277247358776,1871.2127944785948,1874.5572855524051,1873.694052985279,1872.1519783960925,1846.7776634242841,1854.5224561100308,1869.8472087078237,1954.634734094367,1904.190908809041,1902.788728622425,1868.724395441601,1856.48887304212,1876.2338812203764,1872.6734087360157,1873.9401755348647,1873.0297711121539,1850.324333814926,1855.524129892975,1861.716235389291,1945.0872487260383,1904.2932137681867,1915.5609151165447,1873.964803986787,1852.3225969156974,1876.4184406349177,1874.1221748984913,1874.877853981675,1873.9742986822773,1848.881891619442,1855.153491193117,1875.2600712103083,1932.5608296615071,1911.8971167901389,1901.9437368702197,1869.1205555962817,1851.50736011631,1875.661111220776,1873.2518278749817,1874.1863080114179,1872.9576877383297,1849.616013760332,1854.7844143368447,1865.2242206062483,1882.1190411120756,1909.1938239091462,1918.5041773767487,1875.2973225066173,1873.7129584204256,1872.7944122722754,1874.1174187009076,1873.1032036602926,1872.5288670592222,1849.1215938145879,1856.5313312148915,1875.3815425883924,1980.1354825033318,1922.99798771463,1904.825335484733,1854.7401802356542,1850.0658953851785,1875.694843616477,1871.922481513338,1872.2162841774366,1872.1393714371745,1873.851366338724,1853.3272931095682,1862.7041582863737,1979.4885889207167,1922.0169977404382,1912.0143890770169,1871.65560954569,1850.6363877990195,1876.4228189089927,1871.4837736464758,1872.5007000263229,1874.187068368054,1858.0839081315671,1869.0819892662514,1864.1129550693038,1956.3668132181651,1905.5301780295524,1913.5014622427016,1867.0037270499338,1856.9180347637996,1854.4387950373991,1872.9548980841662,1873.8604502584437,1872.0048047367634,1848.5219780999628,1855.823027701199,1876.8596989576124,1942.847763546456,1917.4647062970569,1898.4406354609673,1875.2660405295444,1852.3772974559574,1874.864889995403,1873.9358820940017,1873.4474751486514,1874.3004326381745,1849.71850271424,1855.0595665446667,,1937.3498418606923,1922.6772870810794,1903.4850629421605,1851.4573064955218,1875.3986162256317,1874.6533218348388,1872.2237399269816,1866.1730426592637
LAHUL & SPITI,1869.0184756804854,1847.2983607761228,1853.376650653869,1866.2950720802926,1961.8373322036734,1913.2418521040236,1903.7117666482904,1872.5040387063093,1848.5568969693693,1870.8204916849093,1870.1919053296365,1869.278349072119,1869.1133423608867,1848.3075547885815,1854.563740745889,1870.1558604869876,1915.212160737966,1913.472763310001,1910.516401213099,1868.3104810807129,1852.8967222328665,1871.1133479199925,1869.7123605028703,1869.214003088498,1868.9244096169532,1855.3030531754162,1853.9948415300803,1865.861252553515,1938.7550569040216,1918.4323884263513,1909.299174781031,1873.7125220598602,1850.4085843052585,1872.5230514982122,1870.2536293984858,1869.8561896974713,1869.3894208839201,1847.8852085168162,1853.6917022117093,1866.7719406096571,1976.329250031509,1924.5964731492243,1897.830070665071,1864.9456324027576,1851.2892769446105,1871.7969658855432,1870.1750475777649,1868.8481923073107,1868.688316788097,1850.1880124054119,1852.9394500595752,1873.059666394217,1893.9946913142091,1913.76552727959,1912.0077731099439,1870.9676443001517,1857.4872628532075,1869.3646045023584,1869.5724089334208,1868.8769397895728,1869.1336860310741,1850.6038601937576,1851.0556811117406,1868.706577384215,1935.631129576251,1914.39830796444,1909.0526210886,1864.7241653633005,1851.0773767878597,1870.8356943951967,1869.0151965373323,1869.1496660056612,1869.1771381353662,1866.5004856358257,1854.0783579820472,1866.1637316970564,1964.6857148710121,1915.158451893449,1901.9385294032375,1873.0404136620207,1851.5960328157996,1871.9770976468265,,1869.2468600244204,1868.763107661143,1861.3021332238275,1856.911795650576,1866.0217321951332,1916.4468983452662,1913.5836343499216,1909.222577029495,1867.0290034906473,1851.702099780668,1871.337131145471,1868.9764011223958,1869.1042120638413,1868.9747187990636,1854.640692075551,1853.626841711503,1870.2094953111612,1955.042784701375,1915.2894559158733,1905.583759190242,1871.6785064306043,1851.4596131834899,1870.755551631211,1869.614451821832,1869.0303758646326,1868.6623303643491,1848.1888498244496,1853.9882066921766,,1977.8172567023657,1912.388897476165,1898.6254089367096,1850.568617074561,1871.6859374086932,1870.2316666896688,1868.7055242950803,1873.2761320351021
MANDI,1876.0864987091647,1850.7304778348864,1855.420865698962,1871.7286796418987,1975.1567009911887,1888.973946449691,1907.757456846596,1876.6085328315296,1850.1712593963862,1871.5417832623618,1879.2986043738665,1878.4622737376349,1874.0874133831921,1849.3380430487725,1856.1069540344886,1862.6073047818536,1976.3063852033802,1883.3079469158583,1896.7001711456126,1871.177264353551,1856.712626381934,1877.4970825666585,1875.2707977826992,1876.6404280032507,1876.4247749459028,1851.4308998042418,1856.8587405165133,1854.1886642680097,1959.7724712445067,1891.2975489593084,1917.9105642428137,1877.0612556637523,1856.7937320033768,1880.680022833233,1879.2116922178413,1878.344537823747,1876.806763298088,1850.27875850263,1857.2598082073935,1877.4299769256177,1884.398664383363,1887.5834361037028,1902.7834562768248,1867.4911667252834,1852.0764498508108,1877.4384925571003,1877.5322472903479,1878.3960034001511,1875.741959523808,1850.4659569701037,1857.4832749422194,1850.18595458645,1870.1698024409086,1913.7541784685675,1914.3886662491173,1860.4726602275866,1876.8256495491908,1879.6831391253409,1879.1510331162963,1875.7010666079739,1874.9727381579708,1850.3242223481075,1874.475925346671,1877.5747166784843,1973.2319056230156,1922.8723573429631,1909.135167956378,1848.9503804796068,1849.5975593920346,1880.8261106966736,1872.882242947059,1875.3242807276404,1873.9125812241653,1862.5127023175223,1851.3762451488499,1866.9591450669054,1990.191591267977,1920.318051654158,1911.522136085146,1873.4737501092432,1850.3645460202767,1879.263760765778,1872.4255688081782,1875.893457143668,1876.5159292186725,1850.03324907856,1848.8490571831946,1875.5783960899967,1972.3563810103929,1910.4239668982837,1910.8732163335633,1871.3187147717545,1856.7136899221273,1850.4134005789883,1877.1796734754246,1877.4905617592474,1872.6993290524179,1849.9263709458257,1857.4751225899706,1877.018628867712,1948.1928205204954,1871.9734825880441,1885.0216277087814,1877.367014777036,1855.1157901853508,1881.0739243678022,1879.4909984153614,1876.358909842833,1876.4461585765457,1851.895351984582,1857.270474730907,1877.0115797560604,1877.0218783659548,1926.57540632862,1910.3724591105838,1852.0244951606705,1879.6831273849425,1879.409521229035,1874.2575454774294,1849.5980969373472
SHIMLA,1868.487457121167,1847.0810738781033,1854.197997142994,1874.282402930657,1967.9561653832518,1913.6924621732303,1910.234809311076,1872.555729965335,1847.6804847416258,1872.0015386815098,1871.8274936102775,1870.840512739217,1868.1827191436983,1848.0543708428459,1856.3703643896733,1868.0480390115508,1895.9203596749062,1907.1343435852484,1913.234926541913,1871.3128857360973,1854.2340549259425,1873.5179608980834,1871.1316112247175,1869.8967285124158,1869.5615167179749,1850.0814404488178,1851.8065277060136,1870.2816433528835,1960.2424191606847,1910.3317958601554,1915.5758600905428,1873.3985821460858,1852.6389662288166,1873.602943390563,1872.2676754461445,1871.4932781570133,1869.7373228418783,1847.698321970607,1849.546012231828,1874.8993561867026,1958.341242356682,1914.2982636479298,1903.881991809345,1872.1196438728768,1853.6594414661713,1873.6564893357827,1870.9674082010222,1870.3224744407305,1870.0741446776792,1850.3376321689302,1849.2282683143567,1868.8879902436584,1986.044003026014,1917.2556152885509,1914.3161717242979,1868.8717246496105,1871.6718166230778,1872.6369012942826,1871.7634377568365,1869.095517744562,1868.7682807702593,1846.9451317623075,1856.230842088202,1875.3094096620002,1974.7702903856605,1924.6077410357427,1909.8978784739336,1868.2559642087726,1847.5330562437687,1872.6031986990397,1869.2251159739064,1869.9387291415449,1868.9004257502586,1867.1620076675301,1854.110253701073,1871.2124375122226,1967.147129906011,1923.4556851830507,1913.208767715689,1869.675088463061,1848.553086564376,1874.4059553572445,,1870.479819269972,1869.7029890893998,1856.4334099887346,1866.9407067682791,1873.5932643219712,1895.4957143842464,1920.1304996202061,1916.419820398067,1871.5459768530852,1855.5999445102439,1865.6003870104878,1871.0960345783922,1869.4008070710615,1869.09530721835,1847.6975363279353,1851.252441170051,1877.1056159297768,1980.0279445447802,1910.6804508218304,1905.9737607598192,1873.5428182597118,1849.9513497350476,1873.358645959872,1871.787558609408,1869.9707212879673,1869.98108406007,1851.173278964164,1849.8725441229737,,1945.8282560762937,1918.8645891151457,1904.2161127224813,1854.0336445298933,1873.9597027829088,1871.6975924730848,1868.944157320918,1867.6878627511192
SIRMAUR,1869.8975022859618,1849.3223585828441,1854.2953791970422,1876.3917984494108,1969.547792489783,1908.4683555539928,1909.742412225458,1873.1880304999545,1846.8656513156375,1874.8349257036264,1874.8065317485793,1873.9102311251438,1869.2877429785494,1847.2846032407572,1852.4823290572233,1872.566520939515,1898.6920403032204,1894.4254098284048,1919.9338035575195,1868.8449851484836,1856.153885124477,1875.3270430008872,1875.3375913635853,1873.0205968486455,1872.6222900997884,1850.7374503595065,1849.0860091552145,1878.9906923729175,1961.9098448249729,1913.033412642886,1919.615483433176,1875.1288807345925,1855.2422275433846,1875.8803820932494,1875.3333798189537,1873.616911342981,1871.5424160803518,1849.128451508183,1850.6405119103383,1876.5332096072075,1883.6563839296687,1910.573677115403,1915.8423637205133,1873.4131332063207,1851.9944496727421,1875.2907649155816,1874.5179244599435,1872.6810263431744,1871.6865514479657,1849.4061154988199,1852.6973318090509,1872.8565496131762,1988.744641278242,1915.1827622765277,1919.27324532936,1869.812245023836,1873.673682892851,1876.70648584522,1874.464040913745,1870.930336963476,1870.570769139705,1851.1027022802252,1870.3406313330483,1872.72495663146,1969.2755981850894,1916.9953133052852,1913.2380344611465,1872.7405997914445,1847.0088007259978,1876.5819626338275,1872.0595216113886,1871.3969253900332,1869.0085224582826,1866.5202769995285,1853.5843978525336,1871.1492490076532,1965.1980968377113,1924.44081448847,1911.9248210976496,1869.5853291758235,1847.8809406556575,1876.0968960773769,1870.868722585323,1872.7603056928988,1871.4238203696818,1848.4325624993508,1851.2348283205765,1875.0537249361503,1902.8500653555043,1924.7035378045532,1919.3211219624013,1869.070196292482,1855.7051863937954,1864.6365680321985,1873.9355478235927,1872.5179796839343,1870.163195060897,1851.6720894808063,1849.524621322372,1875.1696116060893,1951.6359361216664,1904.2024264148363,1904.248528548436,1875.6617885068465,1854.5957488198494,1876.8049702116834,1874.4578716006604,1872.382504098554,1871.7304409082722,1853.0170348750598,1849.100958918444,1875.210646786094,1897.032465471564,1927.1839608652526,1915.7110423819477,1853.5440599983954,1876.1442506996223,1875.1757655239696,1872.2231483679752,1871.0090991920144
