district,2014_01,2014_02,2014_03,2014_04,2014_05,2014_06,2014_07,2014_08,2014_09,2014_10,2014_11,2014_12,2015_01,2015_02,2015_03,2015_04,2015_05,2015_06,2015_07,2015_08,2015_09,2015_10,2015_11,2015_12,2016_01,2016_02,2016_03,2016_04,2016_05,2016_06,2016_07,2016_08,2016_09,2016_10,2016_11,2016_12,2017_01,2017_02,2017_03,2017_04,2017_05,2017_06,2017_07,2017_08,2017_09,2017_10,2017_11,2017_12,2018_01,2018_02,2018_03,2018_04,2018_05,2018_06,2018_07,2018_08,2018_09,2018_10,2018_11,2018_12,2019_01,2019_02,2019_03,2019_04,2019_05,2019_06,2019_07,2019_08,2019_09,2019_10,2019_11,2019_12,2020_01,2020_02,2020_03,2020_04,2020_05,2020_06,2020_07,2020_08,2020_09,2020_10,2020_11,2020_12,2021_01,2021_02,2021_03,2021_04,2021_05,2021_06,2021_07,2021_08,2021_09,2021_10,2021_11,2021_12,2022_01,2022_02,2022_03,2022_04,2022_05,2022_06,2022_07,2022_08,2022_09,2022_10,2022_11,2022_12,2023_01,2023_02,2023_03,2023_04,2023_05,2023_06,2023_07,2023_08,2023_09,2023_10,2023_11,2023_12
ANANTNAG,1864.888480651389,1849.2256404698335,1845.2803254317969,1868.06293574072,1908.7242025146902,1908.1589879848361,1963.5470530074683,1872.1162699184056,1853.676571897164,1870.771170217998,1866.153723032373,1864.6886111277713,1865.3462789281991,1862.5334390816188,1849.9886192271204,1870.7173127630679,1875.9452991966525,1910.2526887023291,1976.1849111980387,1869.3968183078634,1854.876900156436,1870.3100765948382,1866.4714901041584,1867.5616412435859,1864.5435469245813,1865.7173491871615,1847.6350224788928,1873.5200368070914,1865.7722165817986,1909.9573850934826,1893.283082925699,1873.0860156053732,1849.0721076382079,1871.6173474168295,1867.7532172529834,1865.5767213173892,1865.3236599164602,1866.602071773732,1852.3705883586601,1870.3013734819624,1872.1041751114578,1905.505041597622,1870.411685166131,1870.5633588720118,1844.6750381905258,1871.3210747413389,1868.7741073265165,1865.7759886993647,1864.960118315879,1865.7465561695144,1854.4380524309627,1875.5955744139812,1873.512277247334,1907.032387779856,1870.5834509399172,1869.9260385586233,1848.6953555697246,1867.6780904002987,1868.1413324323107,1864.606935300562,1866.4102614777537,1852.4927449892823,1855.0763108904066,1865.534982224708,1868.236267662499,1910.064998538388,1921.3233081592687,1871.2590356172268,1845.9381319063668,1867.9180672497232,1866.2257373133789,1866.749958812214,1867.1278443407875,1845.7697138943795,1848.4369754365118,1871.7352677057606,1929.7391718539834,1906.1431722595673,1988.3430590259986,1871.6818349598552,1863.102017638733,1870.861954407207,1865.3394519918556,1864.7149641443448,1865.3632978851624,1866.4662110016563,1844.8270579328737,1873.3275336226386,1877.9338640692545,1906.77064318117,1987.657312083306,1872.4929760540383,1847.5070226349012,1869.7718064553248,1866.5858666833296,1867.2191026368055,1866.6278290955074,1865.7050046808338,1848.6928524371258,1872.9843162749464,1869.1392779999671,1909.119048980001,1893.0412182702344,1871.7135411073687,1849.6956873491363,1866.640782674316,1866.4715790575451,1865.0662778345336,1865.4691525813384,1864.598186146562,1854.3121996566454,1872.9488857257506,1869.4581348917166,1903.4550731109066,1868.5793768415963,1873.0586898314143,1848.3479567255586,1870.6245323879973,1866.9816718709642,1866.132013766148
BADGAM,1872.5780209459392,1848.8281515483145,1849.0614310710098,1847.2360745855635,1867.509422235434,1897.1151808247753,1916.5411760649376,1835.5257666516302,1850.6937330332719,1876.5663040012134,1874.911672760105,1875.3002035815816,1874.7378503333205,1870.2687967957315,1857.1995339770215,1873.3366928837388,1871.6680838123416,1902.4199120794426,1872.360082106517,1856.7154519608118,1852.8785259002361,1875.6811591307562,1874.705811292918,1874.6652914607068,1874.4242528706623,1873.864416028835,1851.6922739089682,1873.8801104245206,1992.3947732173576,1908.652527018843,1904.9581747753832,1867.1566043303837,1851.6700737623737,1877.3420138137549,1878.3408322262694,1875.0009122403176,1871.0411196057078,1873.679605576967,1855.3772370600077,1874.840214473707,1962.4403763833075,1886.1946983859718,1893.777006721026,1871.8286067339006,1848.3838466904183,1876.9859643646455,1877.6023847284594,1872.260993579824,1874.6200864808648,1851.500161637557,1854.4287114503816,1860.5611754382328,1976.1161756744207,1909.6502495095651,1907.4412472687566,1878.8771005314402,1850.7233081756513,1877.1669226257952,1874.5972869774662,1871.4502846346927,1873.4729182082394,1848.8906201566895,1854.500336231704,1874.2084445499272,1865.9254204630117,1901.7283333072496,1906.9628085481152,1847.8646822501817,1850.6982045020516,1877.402441450865,1871.1784070929887,1874.659597940487,1873.7783922057704,1850.1336250305353,1848.8932988081956,1836.6111150515717,1868.0536504647505,1890.90678816705,1916.3278645595014,1845.0678227627975,1850.7546147794985,1879.668786273682,1872.6127416864101,1874.5192375390332,1874.3711344185895,1873.6515951755348,1851.2867039850598,1834.997139669362,1921.7007083535336,1904.0629008039487,1868.8808639615195,1834.581030350834,1851.7508465102912,1878.2632658044943,1875.0176971685635,1874.5976849943424,1870.7912351680293,1874.700673664212,1852.102915030608,1841.5161664479701,1975.5885041747836,1894.0806416945582,1865.4306326708002,,1850.6708710744942,1877.6373334671366,1872.0794495310831,1874.7853422530268,1871.3983574494507,1874.01728307569,1852.2670824878587,1837.1946312568896,1974.298651009011,1885.7031349623564,1905.683380556634,1872.3083329355852,1848.2866567639405,1878.5449343162772,1872.4337517501165,1872.189315980863
BANDIPURA,1873.1228044054958,1850.8673949343495,1849.4707382113836,1874.3829545866865,1867.3434108886445,1901.5657569033906,1921.985397079791,1866.896437020839,1854.7459617794323,1873.3668798522078,1874.1298920101556,1875.138415575717,1873.9462646027453,1871.559323113282,1856.363220684381,1872.614701991766,1868.9563149325872,1901.5397856383897,1870.6875861744554,1855.382056532205,1851.894772869318,1876.8946029132412,1874.02941673509,1873.741124229783,1873.146017570187,1872.4249001555918,1849.4428956068334,1877.17850465283,1976.254036391483,1908.8732878234919,1908.3288091757524,1874.423041685006,1850.9249007649528,1878.0774103477831,1876.9543721401087,1873.8917187317722,1871.5343070838758,1872.6392768602045,1852.0535262943454,1873.4417360984248,1971.33258528385,1905.3587991419797,1893.824831220016,1859.2189768706905,1851.2938147464108,1876.559389323838,1876.1628477407492,1872.0386678144318,1873.5172878798408,1866.1585181794483,1855.5779122884103,1875.9204550436207,1966.3924274631158,1899.4651194481703,1907.0967936505228,1877.1920683533588,1850.8973710368837,1875.9737395163338,1873.1660615432727,1871.7563444499194,1872.0325519971889,1853.2949048707303,1854.7682492634033,1865.1887398016954,1866.154223753047,1905.651340682561,1963.5446185584024,1876.4336937440867,1851.217927214578,1876.283388763528,1872.4536155379403,1871.5920434444893,1873.2629726936143,1849.576599780512,1849.348331565989,1851.8908752944874,1867.934578774734,1898.981600652588,1903.9003924997114,1860.2606865561215,1860.4914798206244,1877.4081519833342,1871.0691978649766,1873.3509595347211,1873.6729997635218,1873.241780929195,1847.4152970205046,1848.4595528647226,1871.3027937710715,1900.9782906644261,1871.2343207030888,1847.9255211292632,1852.3408546057324,1876.442344137986,1874.8450479553237,1873.638769411281,1871.8266281603014,1872.950915267127,1849.860982413927,1850.3147445652762,1988.1817352039634,1897.6202376204928,1881.432818342778,1869.7706416898181,1851.1031225547629,1873.6427360099779,1873.209887131569,1874.0363594124267,1871.6264215729245,1873.2208722334688,1851.647302275705,1860.4892983609204,1970.8358018824963,1903.8299269434574,1900.6296355345692,1876.8339370668893,1850.3671279714424,1877.555138034252,1874.6916787209034,1872.47781460287
BARAMULA,1871.2635263433142,1847.8141689510587,1848.3888617091102,1870.0932679144175,1867.1835485039774,1895.726899755612,1890.974210560448,1869.0882799943308,1848.993243789321,1875.9408235754856,1873.651242787948,1872.9246147442068,1872.6206593675495,1870.32020307488,1856.715674419357,1877.0389115023572,1865.0412550668016,1897.9235230258553,1866.559156628948,1872.0959745606594,1850.9460908912345,1874.0608720103692,1872.401025443241,1873.4357824395108,1871.066234532097,1871.5760658321653,1852.6597072723237,1874.6260339678754,1964.6618454376867,1914.6204182847148,1921.619162086542,1873.6530209788143,1849.3135360585097,1875.284296860259,1875.9029140046325,1873.5050683673492,1870.5180878287026,1868.7363684642469,1852.0333170319095,1866.826683239411,1940.0394428751079,1896.2241272747017,1928.1128446345965,1869.2406497939985,1857.4798852299782,1875.6715289693361,1875.1181607041817,1870.6522672932028,1872.1569243998165,1848.8281822327767,1851.469215634131,1871.7750927789798,1996.8137284321444,1896.7605333182125,1952.1893261481869,1872.607439613354,1858.3049687791272,1875.9018458546852,1873.0851636478355,1870.3071124990647,1871.6202136181196,1853.7903254118987,1851.9795005834278,1873.4630697314103,1866.334452493722,1898.5708245779722,1911.6173296626487,1868.2750641258124,1850.3084644876556,1876.2492507950847,1871.4312226095028,1869.419924299936,1871.0083084779233,1854.5564621665512,1849.005269343338,1863.966796411757,1866.5727780888965,1900.4652952317758,1877.14651635586,1865.40033448749,1848.2621252223298,1877.3423721805955,1866.8713871526525,1872.8841225108147,1872.4377923571262,1872.4797279440604,1853.681746706818,1862.3566581058633,1869.619018715255,1903.7571183643925,1866.2330266771783,1863.5041581216524,1851.2030088420772,1876.6431590768477,1871.8535364205914,1872.576815234686,1870.143984739598,1872.5424704810264,1852.5861673890356,1867.0459138157933,1965.9324112956904,1900.2701752767134,1958.4468563405346,1873.144335743478,1851.1933198401402,1875.9509657139672,1871.4389056198797,1873.278009565146,1870.87504298422,1868.6198257639303,1853.8211419358802,1864.6044112442864,1955.272118410126,1891.4562357768432,1928.6642669477983,1872.6556749145961,1857.3911107283855,1876.526242898116,1871.4141669270728,1870.1404710932898
DODA,1872.4438373618061,1849.3673901002041,1859.3074801980524,1861.4030569680574,1983.238668626403,1899.8921021939743,1908.8713658138809,1877.0134785286052,1851.5357756169649,1876.8831801375206,1875.7189659240187,1873.3826478671556,1872.7771870384586,1848.3608670185379,1854.9835128584461,1876.891449536486,1864.8718511514257,1911.2574833801707,1920.246090704675,1861.1487626346714,1858.436887170073,1874.0961188606984,1870.5979728361863,1871.322373537722,1871.559995636448,1852.5891284822328,1856.5026715811457,1854.6587647207095,1867.5401760531918,1911.8992093225477,1889.3388946733742,1854.7080624410785,1851.3078960815203,1876.4883641916556,1875.1939479062307,1874.4174047928338,1872.5806331693639,1852.942472253211,1852.0377497698073,1855.8972646836496,1887.6011391445177,1898.574654112552,1900.3299615221422,1862.9831731117067,1849.0785751332578,1875.427613881491,1871.365557195266,1874.1303170218102,1873.3972960279018,1873.6405527310128,1855.0527135453146,1876.214513052191,1993.27099746471,1909.1349471463284,1868.3323475993943,1854.8958089838375,1855.6759644280821,1872.23516285568,1873.0456775668051,1872.9365964440356,1870.0575431238028,1853.0285352241826,1855.339562373541,1872.4420851315929,1959.4964343218871,1895.9680928878115,1909.5837096482333,1874.6469876383633,1853.8596865548318,1874.1400645623182,1872.8665088777977,1876.064721865376,1872.231501303253,1851.306769963995,1854.7093400289887,1856.926846126613,1977.7565711466648,1895.5501747027909,1906.2760637628724,1855.0064217680467,1852.0472696098252,1876.6560868526096,1873.2431885504293,1871.776595695263,1872.6039927364418,1853.1786069999011,1854.4086474196872,1854.8890136513312,1864.3165289036256,1902.1603369853403,1907.618735263884,1861.3498460050084,1850.3225081605904,1877.222797483717,1874.4776746875484,1873.829454931251,1875.7369103814708,1852.9830048099202,1852.5723333304243,1876.806746975075,1867.293780735464,1911.5897525768798,1907.7163628048754,1875.6286039079316,1869.5241611851548,1874.7192484675693,1874.0237529578221,1872.1686474461212,1873.6337070272148,1853.2650959615555,1854.3611755962288,1861.6994195149302,1924.5385948298212,1908.2772712450976,1905.4910573026316,1864.186182404536,1851.3013464147698,1873.7203443013382,1874.4471324935903,1873.7993278975282
GANDERBAL,1871.1766257787674,1850.621823310753,1849.4354233558981,1873.5039482337193,1868.727836507859,1897.0753788962445,1999.1593273469628,1871.7404625951308,1853.9651114878725,1871.9544963894152,1873.4637270448743,1873.4518805278765,1872.8692533444266,1870.1731187227242,1856.3233904567728,1872.6956357445006,1873.3576226635482,1898.672934238185,1877.3298810010988,1865.6923498269482,1851.1871670534108,1874.5343077507696,1873.1340675166723,1873.7351891877963,1871.4419372292368,1871.2559982761743,1849.4963660412627,1875.2994954160963,1958.287569038928,1908.2892302357016,1896.4721231543426,1876.1441025770048,1850.2701448804453,1876.9403261407906,1875.2091680037977,1872.3058890959344,1870.483382146216,1871.525183381299,1851.3447448690745,1875.359811845219,1947.763067401074,1903.837999488636,1895.7150182876746,1865.4053145820899,1849.9373199460258,1875.7288049119936,1874.702987555752,1871.0742571808846,1872.6564826453782,1870.0953161932453,1855.3503072205008,1874.1391530896683,1950.1148778972092,1906.786213495739,1900.617998818026,1875.78769135169,1849.7413965682092,1873.7269668240388,1872.9583478280729,1869.987848893684,1870.883976783754,1852.9163908218864,1853.72856216377,1868.2711815624627,1866.023036029468,1907.8788654191978,1934.464492403704,1870.451204984319,1850.0614129122996,1874.902659809943,1870.5463518327565,1867.7696308340437,1871.6910620681933,1849.1145190661382,1849.0488262871374,1859.6670546604832,1870.1295668685511,1901.4625980543276,1983.1111183711123,1871.5858912325218,1858.5039387772256,1876.018054192053,1866.708520088315,1872.5980760998905,1872.8617758010466,1872.6202507918,1846.3295855165043,1858.9761342638983,1910.3776991996476,1892.4825137572857,1877.2175549371823,1853.9913810890948,1851.032013303614,1875.1194642312018,1873.3902896873178,1872.8285147195763,1870.5298197536774,1871.3006796984394,1851.0590237270865,1868.249992957474,1947.726418411522,1892.8297345629858,1875.2930133415425,1868.8633340584822,1850.4999702382174,1873.236070910722,1873.220419726039,1872.7563542406958,1870.4898328337242,1872.6980732162972,1850.9252112105892,1861.277522524834,1948.6762753388596,1908.9355803450574,1899.3008154334705,1875.0106085535604,1849.5497769085566,1876.050373691748,1872.4695584402043,1871.1373977978365
JAMMU,1870.8882097645694,1848.052049913192,1847.6296738216408,1875.1087726101496,1961.5093853421763,1902.4430288277358,1908.9445951853832,1866.5471658767528,1848.8441069525145,1872.4953967949652,1877.883936817838,1873.5594789349636,1872.8504343942207,1851.87796992978,1852.0642923491646,1872.046698006418,1934.31431530888,1901.4100152243007,1912.4962601561326,1864.8062669510143,1853.0070585932585,1878.9428042145046,1878.708518577991,1877.0885176897314,1872.1934748841372,1875.4779543566913,1854.2846304251652,1875.4216358640492,1903.2752564013279,1917.6604290853186,1923.272362252647,1874.7348436493621,1849.4363121355375,1875.4816542891283,1879.2014943830568,1876.2383406901563,1874.1314760938578,1866.3822216801636,1853.521146538495,1873.4391023654634,1921.5294979665969,1900.964289544307,1907.088338484737,1869.3128892592429,1851.3756285558213,1875.6854905456096,1879.1128497894892,1874.37174939031,1872.416708843177,1850.6937280567045,1851.6705699026213,1876.5835971395634,1917.5639239452653,1925.30369213509,1894.5920739687954,1873.4164712077334,1848.7482975026805,1877.0188550912687,1879.0150122654288,1873.2369429558958,1871.0603883763588,1849.6817234070988,1852.9751214756984,1873.0101250816813,1874.4564987475042,1913.9567052536563,1909.0395857480212,1875.5202601074757,1848.196319842328,1879.040853413628,1873.5718860038355,1870.5236094048485,1873.1260084582589,1851.4550592563367,1849.8948784602655,1877.5659442060783,1961.4208401669491,1912.721963928165,1918.8091220329743,1873.3847386508992,1848.004847205898,1875.6780271234843,,1872.2893956354144,1872.311798505796,1876.5040992516115,1850.317313593641,1865.7541022021308,1926.3168300646755,1910.322011827646,1905.9938547104541,1869.5982825267747,1854.8307740075643,1875.469081866429,1877.9289751731949,1876.0302331098806,1868.1372190222612,1875.6296259975077,1852.8291216414218,1871.0556237199546,1938.4440872894343,1919.2609198688174,1929.2269317925723,1872.487521929281,1854.1294973852825,1875.4358478049992,1875.038358309801,1876.0284106161337,1870.4427173351614,1868.1657235524212,1851.4779690352157,1867.4846811345244,1926.0861614912274,1910.8868545209193,1898.279081989255,1875.1675505379867,1849.1897259970676,1875.174387614963,1875.231174199528,1873.6392998977465
KATHUA,1875.5853437576864,1850.0627536323382,1856.776221303206,1862.389576588112,1975.7302871703655,1930.1263142587231,1910.0618358074914,1876.65845251896,1851.570879973787,1878.8305900800813,1881.1794074772397,1878.8299066907198,1876.1155520304776,1849.7753860160562,1856.5611099285886,1876.9692779129268,1864.3617784680976,1910.725121108222,1907.7193802386919,1865.0729792475745,1868.5163878437106,1874.5507448041299,1872.2489215837352,1874.5676613453718,1876.3186420336692,1851.3207551386288,1857.3852225901976,1851.0546246421845,1877.506971374016,1909.3553109995546,1907.9508898763586,1867.6904391636706,1849.8896431023752,1877.3772229461424,1881.0555267691507,1878.659914937733,1873.120445062576,1852.013235547183,1853.9382992146832,1863.027926679201,1948.1914451812868,1902.8449490655387,1917.8750388410435,1855.3413887099132,1849.877181431163,1877.2548588375948,1873.350695096098,1876.1597753866192,1876.355067240905,1867.226073415406,1854.9162858464756,1876.6039892309539,1957.6221050622244,1916.9788382193556,1872.4484702082245,1851.7777010009652,1856.125818180995,1879.6185752017725,1878.7541179883026,1877.4688090050142,1871.3217139006895,1849.7206414022094,1855.5598225813867,1873.2771452288093,1952.9948338625336,1900.103034476445,1910.0282764725052,1862.075425405736,1854.4745271339134,1879.9788061319148,1878.1332063149239,1879.375635469738,1872.4400250000185,1851.5391578712056,1856.1035694341115,1856.8947895113913,1965.5299338601224,1891.707451668358,1909.1763238980916,1852.6535308931307,1852.7469951111445,1876.0663928418699,1873.9966507410695,1873.399843116463,1873.8130400631849,1851.592831163222,1856.792526174248,1849.5143357263787,1870.3767096455879,1913.330826541722,1897.778466805688,1858.50745433168,1849.3426484757547,1877.4703887665873,1880.3421204058432,1878.4858975609914,1876.691180053534,1851.7442608501422,1853.0131119270648,1876.9480147729685,1879.1513764927606,1911.3157793182854,1909.8178610038096,1875.215572979395,1876.0766603379266,1879.391093986668,1880.0480526180436,1878.3745011610042,1876.2576997409242,1852.8702209308844,1855.6299026518284,1873.0250704834355,1993.308209888433,1915.3665661301534,1914.3279885839663,1859.6107646622845,1849.0847596385631,1871.6013748587748,1880.9785995439638,1876.9396349524984
KISHTWAR,1870.8788941000082,1853.7462161999692,1855.4299701197688,1858.8793606461008,1955.75732797672,1908.8878157929576,1917.2536465237195,1871.4695176166942,1853.3381166448885,1874.0949699522305,1872.3225376385926,1871.1989891250778,1870.7476740433517,1851.4804992563004,1855.307373987993,1876.4373089721962,1868.7311263457668,1911.056083612285,1928.2261220909095,1860.3311382223374,1853.0899600809332,1871.9774691476991,1870.3383939965304,1871.0075628316479,1870.380149355489,1851.5650967712545,1854.7943628353544,1857.7222600376276,1867.668844578367,1916.428200667556,1898.5202342384694,1855.0162794667797,1849.6385628751534,1873.6104421818375,1872.7352026899364,1872.3004414963473,1871.486988598136,1852.3176363430857,1850.4709854450903,1857.2649569366308,1891.1597857456918,1905.9746267589044,1894.26951013378,1862.3704676390219,1848.986626005696,1873.7066703002308,1871.0350742836558,1871.3736315675644,1871.417882901481,1871.351099416867,1853.2682171170516,1867.419523663918,1954.9725393317608,1907.0210432133663,1873.5900509347248,1856.4722798521202,1853.4703808857573,1871.057483141145,1871.300063664212,1870.6646777894682,1870.3818007586522,1866.444070712089,1855.0506017525015,1863.4960247396657,1949.6314078979892,1907.6899109770661,1911.4031468580501,1874.545979017947,1852.7291507680184,1871.6402832647973,1871.045143783622,1872.947774639075,1870.5983219409839,1854.1996593411918,1853.3375500107938,1863.4576167636951,1958.5521989401234,1908.5848079495527,1918.7387573206586,1858.4192740243989,1853.3432444032776,1874.4639382905982,1872.0146628077523,1870.5907431944192,1870.919827615878,1851.9935132079158,1853.6436615661717,1859.2471143066443,1867.1498371570779,1910.023287605385,1919.7381094102623,1858.1083931652558,1850.0481098894625,1874.3924597609155,1871.7980229315242,1871.6174598267794,1871.6999609972877,1852.0068132169954,1847.612922978026,1870.8423167821013,1870.023016567985,1912.9650930175876,1906.359931909236,1867.6547949111327,1858.788717062476,1872.3085642404549,1871.760531667396,1870.6960828333797,1871.456319462052,1851.6724754695254,1852.0331574558968,1861.241186355819,1905.8576407409537,1905.793325563363,1888.8261323399738,1864.70513618579,1850.3608697302104,1869.6333735509957,1872.4516601351386,1871.6430638112386
KULGAM,1871.9663455731406,1847.6039761719048,1847.452345319296,1857.0230413923266,1878.0090065519041,1899.2682973894675,1907.3870032367522,1860.2894906606093,1851.5280617444241,1874.4357266349639,1873.67205816758,1874.313393326186,1873.2935081289033,1853.0217808298555,1854.9684478197585,1871.6456734447052,1943.1236592826756,1907.61083309699,1943.6907385835277,1867.1728855383692,1853.0660394066704,1875.0424817511234,1873.283669989298,1873.1285950896583,1872.998158631474,1872.9430841068104,1852.752245592475,1871.3057991073092,1942.627665380961,1908.5260637344693,1899.2608839102782,1874.581941599393,1851.9123745492873,1876.9730827913754,1876.0540633539918,1873.7656045941847,1871.0577030673842,1871.191830040224,1854.8413734381168,1873.1701706626015,1956.85802396118,1908.5545430959187,1890.9595733346684,1872.7344013912214,1848.0293781184757,1876.9504392262536,1875.178981469499,1871.591565127087,1872.9222976404644,1858.9893168837748,1853.8687372838885,1867.6638985070733,1944.896960447539,1902.3104258670644,1900.5417845093116,1875.7733728063936,1850.9281433860672,1874.8803412188222,1874.3414306919644,1872.029154880663,1872.2946089843015,1848.2523735506056,1854.3293247764018,1869.5181425213223,1866.4001114552184,1915.3784929388823,1907.6565194287696,1875.8211493328665,1849.9255661161262,1875.6100748782787,1871.318382187382,1871.9932010305672,1871.6840828072843,1848.649493843458,1848.082606488554,1858.7374982427136,1877.068257045655,1916.41098692344,1900.9889223393757,1857.1697748294457,1850.3837950787215,1877.2767785978092,1871.803829665481,1872.6280145220862,1872.6874456235023,1872.9393275853024,1849.2595810885919,1860.561124322205,1972.8368572800744,1897.7268650950375,1955.4636204611506,1857.7467425738619,1851.457879776918,1875.9439848571374,1873.417684607041,1873.1938118445778,1871.403820170254,1872.6099307939667,1853.7258904075024,1864.7132561239941,1951.3528141430918,1900.789643759971,1886.9440519230573,1872.1858327999942,1851.1485460416043,1874.6272297397043,1872.077852669977,1873.1036754385966,1870.9761931269202,1872.1786935894554,1853.7090353129845,1860.7111653451639,1947.143498847748,1903.42708342508,1896.5248768155132,1875.773018004061,1848.695815218338,1878.6485051049876,1871.9531202881694,1872.236902149302
