district,2014_01,2014_02,2014_03,2014_04,2014_05,2014_06,2014_07,2014_08,2014_09,2014_10,2014_11,2014_12,2015_01,2015_02,2015_03,2015_04,2015_05,2015_06,2015_07,2015_08,2015_09,2015_10,2015_11,2015_12,2016_01,2016_02,2016_03,2016_04,2016_05,2016_06,2016_07,2016_08,2016_09,2016_10,2016_11,2016_12,2017_01,2017_02,2017_03,2017_04,2017_05,2017_06,2017_07,2017_08,2017_09,2017_10,2017_11,2017_12,2018_01,2018_02,2018_03,2018_04,2018_05,2018_06,2018_07,2018_08,2018_09,2018_10,2018_11,2018_12,2019_01,2019_02,2019_03,2019_04,2019_05,2019_06,2019_07,2019_08,2019_09,2019_10,2019_11,2019_12,2020_01,2020_02,2020_03,2020_04,2020_05,2020_06,2020_07,2020_08,2020_09,2020_10,2020_11,2020_12,2021_01,2021_02,2021_03,2021_04,2021_05,2021_06,2021_07,2021_08,2021_10,2021_11,2021_12,2022_01,2022_02,2022_03,2022_04,2022_05,2022_06,2022_07,2022_08,2022_09,2022_10,2022_11,2022_12,2023_01,2023_02,2023_03,2023_04,2023_05,2023_06,2023_07,2023_08,2023_09,2023_10,2023_11,2023_12,2021_09
BOKARO,1850.3926020849829,1846.7365773161987,1877.6821191141742,1855.3956516996338,1904.968570507189,1889.4069627343204,1927.2708288386118,1864.91799888746,1878.40457804512,1853.6411287060141,1877.110263062586,1879.1657461411137,1878.5987055155279,1850.6796787034937,1875.9164815580875,1866.6011234365571,1918.8462913054582,1887.025897874906,1939.2883894749743,1908.1939594048235,1853.222769702852,1850.1809718400875,1879.3462936622468,1880.9052853800254,1881.8672712054401,1853.1563664738367,1875.3523931341376,1880.8109712090832,1917.9437199882436,1891.2098341017272,1895.8313159957002,1890.9502682852815,1877.1194460976053,1850.2261552749585,1876.3482579156275,1878.4680345794882,1877.2329856052854,1851.026924222036,1876.5092611611242,1874.5937563478712,1900.8722877967339,1891.1112632575098,1913.496909402072,1875.3793230948634,1871.7412773938204,1857.5888540521926,1876.195857426987,1882.8081522015102,1874.1202228496113,1856.8777605481114,1876.066930518094,1870.07238577828,1915.519768010102,1897.3558766855208,1905.7240869963698,1869.6246447879687,1877.6911269078475,1860.7848473664274,1876.6057344973617,1878.1376491601657,1850.9107878482905,1856.9800018098254,1878.706396317501,1875.42113965025,1922.8236705304255,1893.4879556553178,1915.2901280744534,1866.9874024361955,1864.8429270238678,1880.190632009289,1876.9049702572022,1878.8966737881476,1850.1157609777924,1856.898936165237,1873.6300808371798,1856.6725417078328,1901.3436497213102,1888.0618330554332,1927.006329037971,1889.1143302429095,1856.938179295437,1849.767917730406,1876.4739647779072,1878.0582668780928,1881.1876385159142,1851.6966403564793,1876.227652674285,1875.6645186490186,1914.0752932139405,1888.701141862792,1926.3568112943094,1915.6164250584743,1851.510377131651,1882.0989817013449,1882.2675990357654,1879.4156462530423,1850.5862260932495,1857.1250101747441,1874.9550114398685,1921.5430161509612,1889.7911906124552,1897.283805764311,1882.3264161567943,1866.391493206331,1850.3793193976805,1875.744692135452,1883.3174809885668,1881.8107437699193,1850.4628959034803,1876.6181736619353,1870.2715657446026,1905.2862549517938,1885.8127958207172,1906.8447655610569,1868.8478171644201,1876.7203194062142,1850.4659562875997,1879.25261604097,1883.6917485749832,
CHATRA,1870.8981432671767,1852.0647794598756,1874.2451506715563,1870.2677493153874,1901.358427540395,1896.5186578943067,1917.2527807324632,1912.2727091747363,1874.9276277886217,1851.4769626598347,1877.131898585807,1878.350983144377,1875.5698919822244,1854.5770250392343,1875.1603822919153,1868.8237052061706,1913.7944352538623,1897.4690525913675,1925.4626712914528,1869.3385317775665,1876.1668170730115,1872.4555182527572,1877.0462026655182,1878.8277071060872,1878.55284648354,1854.2511518972965,1875.0283006683592,1872.2690681551724,1910.262649630121,1896.8029260933276,1925.1408594759391,1865.616408103834,1873.3339745240878,1875.4628457815368,1877.6089685415002,1878.0180597153187,1862.9166410095497,1853.5808142785008,1875.5113335978594,1874.5084779194522,1890.6740134461409,1900.7665280830415,1906.7787023777205,1865.839996890414,1871.7027420981988,1875.6960575700284,1878.730536563535,1878.4824101860092,1851.0176287905965,1849.875901220614,1860.1989543816428,1873.980229092576,1899.9202222843562,1894.020437056833,1898.0284909827415,1866.5124163985272,1874.6694782012923,1850.7442112658623,1876.4291270448025,1878.9767296622504,1877.647563399215,1850.3280608189198,1874.3360230243948,1874.0001844946205,1902.7483438135032,1893.826346123259,1899.8518282538778,1896.3890871837377,1874.9061080744464,1849.1192677924605,1877.5522670465214,1876.0942554764588,1876.566102950094,1853.3169872907376,1873.9403357281228,1867.4970887260306,1903.7583886652951,1891.9790022569439,1918.5554040392233,1910.278088612925,1870.7221805641116,1855.2754147868802,1878.4050146713705,1878.1399908196836,1879.4663310889102,1850.6057192554572,1872.1081590931344,1873.9598388512247,1914.2856023551233,1900.097317778283,1919.882051621046,1869.4161838467999,1874.3500193474945,1877.568156542631,1877.8554229148835,1874.1911116281233,1854.3133160746693,1874.6581975279537,1874.7811206833167,1921.5648112798647,1904.5080872680005,1927.9533737724375,1866.4948848147017,1862.3657723702831,1875.2425943612448,1877.7802478506978,1876.484724008623,1859.6793405550102,1852.7109059289032,1860.0867475846583,1874.872342552628,1896.3854899822252,1900.8751336587961,1927.8468480473077,1866.170634133323,1873.0816791819038,1848.5285736609933,1877.2844762370537,1876.9542688500894,1875.4734594150339
DEOGHAR,1871.7140265940754,1849.864848060481,1873.1791546005668,1867.803233778846,1898.9173633592013,1893.0245011165573,1928.0398712342294,1867.0323254072,1866.0956848077853,1847.8968141104624,1875.2945246265256,1875.1649877052096,1873.845246845435,1843.208800591665,1873.7601264487998,1872.1812150796811,1921.6523190648136,1894.8975288683293,1927.4475706213907,1882.4226302869859,1872.0469903184971,1847.946165020103,1873.2188444999642,1877.918748514517,1874.841667628706,1851.7196182243415,1872.8778740244195,1875.527100152795,1922.907996971867,1894.2715762146645,1919.4558470639993,1887.8164535567762,1872.477291944738,1867.0849810386237,1875.0487129917033,1875.5939736826354,1875.0603180239482,1852.8705322582705,1875.0770333415453,1869.0374729031334,1920.3592303342207,1891.8277703821077,1909.517854454336,1894.3338787497028,1868.7276121204345,1848.5303373783381,1875.2609556841583,1877.3125358974974,1877.8853507643744,1854.5879284852404,1871.9948317036421,1871.8146882665117,1921.4720969931898,1902.1933752394607,1925.696666288095,1866.6392988783743,1872.017730488522,1874.055104179141,1875.0990488259508,1878.6676824470392,1878.3912756126658,1853.2872602434431,1871.02022147824,1872.0177532530017,1923.9280208884795,1899.7205108106664,1925.3909751785388,1866.2129004762357,1868.9220513619337,1845.9205734380266,1874.8055526790722,1869.6144425867271,1865.9095970598603,1849.545189169899,1874.428255826547,1867.280808041096,1896.8374805236483,1896.1685084349463,1928.0396204425692,1867.4608728405608,1866.4376023625723,1846.1578392241315,1875.278829086427,1875.27409812952,1875.5811200937658,1850.214772666951,1872.89733488009,1867.5038199388002,1920.538631303309,1899.6900900470062,1927.6846035377832,1883.8780188173225,1847.7331146839808,1874.80261621949,1877.1447017564346,1872.0502024279147,1851.525966270519,1872.0047048067993,1873.845742218791,1921.0268947495624,1892.3781467139368,1919.7390180196917,1877.696177274928,1869.9785188215149,1867.93696233949,1875.0832734369762,1876.2654030542367,1877.826897147457,1852.493334049815,1873.7119410552493,1871.4718942281702,1913.2417468814763,1895.3086326416148,1924.9749969530267,1870.9940002553208,1872.0303992195177,1873.6909730613704,1874.7949717419033,1878.8119929686495,1869.8407846323728
DHANBAD,1862.5306214623918,1847.1501442991507,1880.0877239698436,1873.1100306381431,1902.2606123341407,1893.5637334473886,1928.5052378384794,1866.505669986003,1867.626910961159,1847.0808562081554,1875.7194040837783,1876.9595185389367,1875.4523752789855,1849.322118902218,1873.7285699685035,1873.4079044681473,1918.919454796255,1891.7480377896745,1938.4840998708446,1894.9714458205603,1870.9955840257696,1849.529932735839,1877.119362747892,1878.1464327795745,1879.6840258557097,1851.2137898526566,1870.9152375789045,1875.9412664968245,1921.4508263135867,1890.2972472155466,1909.5544573521095,1899.909909371873,1873.2715206830833,1850.2347836661088,1875.8096929294884,1876.9899563116057,1876.1654136026175,1851.1027269317408,1878.3191938308069,1871.8507214472695,1908.3417179271858,1890.2950478229266,1911.1329099476134,1881.755714857376,1872.793022018327,1852.7146536576022,1875.6896835911168,1878.9756474261446,1876.6427887601785,1854.9124938992904,1874.1911403736344,1871.4909817068026,1923.1946098938226,1902.4903004129085,1914.3428868386034,1868.435150369742,1872.2911783772572,1875.5307973966721,1875.72616264152,1877.4288169473684,1870.882558525393,1852.3982936921648,1876.136199920962,1872.0649728879073,1922.8537240323647,1894.325031907753,1923.6235438514097,1871.365772852895,1871.9780152872272,1869.0716917278862,1875.7033339806908,1874.6261584460658,1850.3210591820748,1851.5701800521085,1869.9872702100645,1873.320999878031,1901.4369587375568,1892.9864493416976,1929.1375261718558,1867.5116441003079,1867.6937885435673,1848.0890414140606,1875.877904746443,1876.9006995383645,1879.000224896626,1851.0110183949362,1874.2541760265597,1873.0977693658647,1913.280391961714,1890.7985550325395,1927.2076014745255,1897.958507612916,1849.6038388552606,1879.0302822629628,1879.4313088110712,1875.1580757474003,1851.1740412452168,1875.7395717848624,1873.591766497144,1921.3944320317537,1893.5941362779843,1901.702837966503,1892.102984644075,1872.058272551314,1857.3845928381447,1875.1334062096262,1878.6582387487438,1879.277933338555,1851.168219984631,1873.9959988900946,1874.3246578916596,1907.2689009912253,1885.4523895840564,1914.2257112713062,1873.658834054027,1873.5891177929752,1862.7058054942333,1875.4016042433161,1879.5335391354574,1871.5824627868824
DUMKA,1881.3739041302697,1853.6185505822652,1873.979053580378,1870.40469447127,1906.8604899050429,1891.010343357976,1908.8499941482162,1865.7418021177023,1859.481180334719,1849.9564156324134,1877.899130381133,1878.4114027792632,1869.5933960441273,1855.484188449922,1874.2800386518431,1867.202283732988,1916.86529948484,1901.2862197879458,1922.3639397683137,1867.014884735773,1875.4757502315585,1865.864733163315,1875.2083369382876,1882.4244500830978,1853.3683282383001,1857.0528165866535,1874.6435698315856,1873.8428613684946,1921.6148100415803,1894.3160710713346,1927.0036329018963,1866.3099713916754,1869.9085879931868,1877.3450814445116,1875.811841089477,1878.9695222653877,1853.6395900272494,1856.8020700525033,1861.1228557929069,1873.8667091124557,1914.559364245659,1889.5350161619012,1914.6155089055476,1907.6078620010655,1869.638434943193,1849.7532801378452,1875.40882848254,1880.091356863054,1881.4622617891155,1853.7783492901383,1873.4048375079735,1874.237460407249,1916.4376338573725,1890.489919508822,1907.4480773257435,1865.0817773204967,1871.6068858281649,1853.4558446394733,1875.7838848696977,1881.279981227156,1881.9606432106616,1853.1346251500845,1863.2923806164504,1872.8298650142938,1916.901658916726,1892.5870472384138,1902.623126306893,1867.4469558952485,1874.5827691689833,1849.9587932512295,1876.1034518683712,1876.0477428629947,1878.3017784247395,1853.2319395844315,1875.3280224016296,1874.5104579975375,1915.7462710620714,1894.187144300018,1915.7873192554266,1866.934517205767,1859.1528389724263,1849.8412923050269,1876.5868672653519,1881.705360150673,1866.073549490926,1856.4448003924078,1874.2989992403388,1865.6035126630186,1919.5118937376392,1896.377505958476,1925.6519449626592,1865.5114429824341,1880.7214739349624,1875.95472307733,1881.1109585548581,1853.6784875620372,1856.5535376343278,1874.4447749808353,1867.9300216134627,1922.1311014032708,1894.9890764649092,1926.6698264611355,1867.1755807607287,1876.2014640856637,1873.674051893455,1875.7697032843419,1877.691094176863,1853.7177558476371,1852.020364579345,1872.7476888206522,1873.3931789174308,1915.2116858133609,1890.1525738788757,1924.3006052802948,1874.9351432701064,1872.4226474609277,1853.316700141712,1874.2716457483796,1878.4736605635628,1867.675754574561
EAST SINGHBHUM,1849.612600617253,1849.87600614911,1877.8601663222983,1873.728291844737,1920.1989500931284,1892.1960749003038,1907.4227521019354,1865.6877115420032,1871.6810947728154,1848.592922189562,1875.7283103153043,1876.1969057407573,1868.9601808745101,1853.5306925514344,1872.8976041170258,1870.6417152229008,1924.7126609569113,1878.7686697511717,1917.865471465077,1876.5824558845798,1871.3887898936835,1848.9588114380713,1875.3060337127215,1878.487245578535,1868.4861139758925,1858.4510502509672,1873.0593366265884,1870.3064376276814,1928.7956248758119,1885.7264136470178,1906.9612944575297,1877.6211897091512,1872.3259065430516,1846.833680220915,1875.3027577996024,1876.2942358108626,1867.7658278539297,1857.819746752132,1877.5125169119567,1872.0855162023552,1920.712719289991,1891.4031376876858,1884.575252050719,1885.5111108786728,1873.1996695162545,1854.1946129136675,1875.1591773015562,1875.3867739572065,1875.452748117697,1848.8624438450317,1873.0638067100092,1872.1724288551452,1920.0698519241098,1882.8369148850195,1896.4328929432065,1869.972525251777,1871.1314483174958,1852.514813466319,1875.9065116661811,1876.5798066439943,1849.2626337493753,1850.9163246856922,1874.7097839165906,1873.3253190220967,1918.4854276131493,1891.8246878505076,1891.6488217835165,1902.9130733247232,1871.7914319158606,1869.7846738008152,1877.432638617864,1878.464812012004,1850.0812468547206,1848.697119259072,1874.0306089710448,1874.349748903394,1910.0210935573325,1884.6321978944427,1910.4970008072248,1927.7053766280235,1872.645544486994,1846.844567838614,1877.794569786136,1876.3839022512373,1868.0094229131787,1853.8684708501473,1873.1759552458711,1869.8463174636008,1917.8497866813266,1887.8309546630599,1920.4119242948152,1875.2077351240612,1848.2251442033714,1876.8678865730274,1875.5403910798993,1866.1943578057615,1857.3515421722263,1873.7693435214053,1869.9218875912838,1922.6895889494344,1883.2978195788937,1888.039558400941,1873.563677042753,1872.094799694253,1847.059596473454,1874.9228439941944,1878.2575412623294,1868.2599413215103,1853.6753991685403,1872.9728661053737,1870.714048573771,1926.887192574847,1883.761473638361,1907.3134961383805,1877.5344306982433,1872.2626881425533,1848.0548074889941,1876.093893242652,1875.3490044845034,1872.9212637655403
GARHWA,1870.1831108643216,1853.433431449586,1868.1486195395341,1872.2573242705312,1913.7880242477981,1896.2399894115465,1924.0786031143182,1869.3163053188887,1871.9632699264316,1867.1815980480665,1875.6406446908134,1875.131985873835,1858.723631246929,1849.644250926851,1874.4815698032608,1874.1123816656172,1911.2819815633563,1895.144158580152,1924.3318431957994,1866.668650315794,1869.2424295297512,1849.723857481201,1876.1884421553875,1876.813388241541,1870.1582267057483,1852.5686292883775,1868.9893099877795,1877.952638307474,1910.3638870581735,1892.0748751951678,1922.4200203613266,1864.9605558237101,1872.7506997938465,1849.3141401581918,1876.12147386088,1877.6126017625163,1866.9472776103662,1852.3595519820165,1872.4773624965767,1873.034274733638,1896.7901632160913,1892.1267423597053,1909.8782729656339,1880.1975790002418,1870.3810326901541,1874.0991421391625,1876.2773247035402,1877.723500461817,1870.0715024750136,1852.7528392729616,1869.1498510119068,1871.3190637981531,1905.9617175665694,1893.8786826907615,1892.7409324669256,1871.462758613462,1870.8988319418456,1869.203438937137,1875.9408726255635,1877.4799109496441,1874.4178042497297,1853.5923224131361,1872.1307006528068,1870.2594505287675,1917.4835578643629,1892.8762835171465,1916.887472589724,1865.6439137419957,1874.1144793033325,1846.8902034530581,1876.3305360510856,1872.9801061022602,1873.2579831666237,1852.1458751858443,1872.2986668683834,1867.7536644147972,1918.676028750371,1890.8728705933545,1920.432015473623,1878.9579373911615,1873.771796826154,1868.2450109540928,1878.4049874043849,1876.2671565697315,1853.0137250098744,1850.1947312312097,1873.5740171208754,1868.9752389648397,1914.951200658837,1896.221191675308,1924.8354047932628,1873.3674639660242,1848.3889659499212,1876.460821420156,1874.9963761305971,1866.1004823869603,1852.7877687666603,1872.45910309413,1875.2812680006157,1912.4659330485222,1899.5146474857086,1918.1076702741232,1865.9828263751422,1873.8446508700486,1856.8302033368489,1876.2259265805735,1876.4489624567748,1867.444483857656,1852.6852214609419,1871.212647106418,1867.5232422599775,1901.258237858128,1894.1312083751066,1926.0372425233613,1875.2851537228898,1874.4824208581265,1855.9623931880085,1876.128076054443,1874.1219000320125,1865.7391376055825
GIRIDIH,1855.7768880248657,,1878.1201523347665,1868.2488736100265,1897.455584232664,1895.6613671329792,1925.4823391253099,1865.0024287676158,1875.7362654600802,1876.7104967012167,1878.2119472135257,1876.2992213011707,1878.633072804845,1850.621165528821,1876.0100013474841,1873.585187100994,1922.3575766779181,1890.4340660019955,1927.225476549819,1887.8800378940348,1876.7048576667646,1850.2520070297614,1879.6264863365693,1880.790557378196,1882.968227887628,1852.4785787027047,1876.24720263234,1877.1981337409566,1916.0202500649154,1892.1019217481999,1901.7382702032073,1880.609656776132,1877.98003044907,1850.0687884493482,1876.3218144567654,1879.9678689587226,1881.946402813344,1851.5354792758717,1871.6089076664787,1873.3212465974468,1908.4612010378223,1895.286268029449,1904.798627534181,1870.7295807548114,1854.3316353775426,1853.8134101589374,1876.1786531592234,1883.2199504059433,1881.7777807803527,1855.5038710882334,1875.9134266408778,1872.685659157119,1920.4236512207108,1900.5444224280775,1919.9109492076013,1867.2620190189718,1876.0625598476402,1873.9073406054854,1876.3102301741756,1880.6168528058504,1861.3018010318247,1857.1049147008928,1878.4755441403177,1876.2182246004918,1918.776974647348,1899.0225063830308,1923.8559442340415,1865.8600057678195,1877.7432327387214,1849.9612223283218,1876.102935916034,1875.0002149604354,1850.1034427691773,1856.9025480902424,1877.6184091279745,1852.1699359485274,1891.0004797148888,1893.4718115606981,1926.6241024902554,1866.8809926679476,1861.6822143888687,1850.6242674613757,1876.5001425829942,1880.0529996658886,1881.6505237595882,1850.8125758768836,1876.1860711703223,1872.9541866049146,1926.835715247588,1892.7334651773058,1925.9109977493613,1904.4835012701908,1851.0825647642027,1877.4892268850613,1881.0100662682078,1879.4382247614344,1851.5300731550228,1870.4074426098168,1876.5483378414074,1916.289954334232,1893.3997246361066,1903.9854125432298,1868.8349377682225,1877.4711548553316,1850.501211884045,1875.6618961071265,1882.1038822609405,1882.1964897378098,1850.706227067036,1875.902132132128,1869.8023338350044,1908.7835516706982,1894.9642187358315,1913.3864167604297,1869.6021535509344,1878.0660280578288,1855.3662836383871,1876.8046843481038,1883.3677991467207,
GODDA,1879.6183157321523,1853.2549991079322,1872.0928533272956,1871.8405671676564,1911.650097318961,1896.2099187314047,1921.6904666071187,1865.6880280320636,1867.5357354632567,1850.7735581658362,1878.0299665366917,1879.3959805535521,1878.7881999285114,1856.02383924711,1872.5507268192766,1875.692879601963,1921.9033792374653,1915.5499856676965,1928.289368160485,1866.3819933820846,1872.1836697671947,1875.7732204622876,1880.8183664283426,1881.9608578513207,1852.8888717450686,1856.3687169138568,1876.1424908650467,1872.1982274376455,1921.3127232963177,1910.4386674815355,1925.6621055395537,1868.196105061411,1875.350030969736,1878.106578482968,1876.0860895652866,1875.188163148399,1852.3922892246082,1856.8069713398027,1872.017783626357,1870.8283936366595,1910.7339310587527,1900.401893815096,1921.0988117255683,1914.8160828226578,1867.2860027735583,1850.3895761195306,1875.9336750603998,1882.8456469989915,1878.8480679532643,1852.8665288248299,1872.3344670649708,1873.0138688059856,1923.9942550220812,1895.6410739385128,1909.7811770879819,1865.7244763993588,1872.2826776908123,1852.3000784069307,1876.9840847585606,1878.9673995902285,1880.8617935232373,1852.6707229485949,1869.115759985025,1870.618930437863,1917.779350302926,1894.313735244989,1906.427346445801,1865.0911043352128,1873.0220251506,1850.5504356308466,1876.8469619338896,1875.608767550181,1877.974358696248,1854.6457489515153,1873.3045128911356,1872.1195139680315,1919.735199485154,1894.3663738494809,1923.708648979999,1867.1467553948798,1871.606004316727,1855.8369821434578,1878.2034818342806,1881.134840858847,1877.6153429757449,1856.466337633066,1872.5385920929402,1866.9490328144077,1923.4041507643706,1912.6026205512665,1926.071263279167,1864.6454317590224,1882.4329405238368,1878.9097653152346,1882.4935407235305,1852.8428447839149,1856.4522622956224,1877.0253564704988,1869.1354686860393,1921.4415663270888,1907.9698820035483,1931.9495401513507,1868.7058451241032,1872.2246846971789,1874.0664552393382,1876.6423595893768,1878.0931615652912,1852.1709053806203,1851.9563554229867,1874.7992604807073,1872.4211256654366,1909.3937216812215,1896.2433032264669,1922.3344501354893,1874.2187163780004,1872.3637515303471,1852.0051829677884,1876.491877691598,1880.5378434952056,1872.4184016192537
GUMLA,1877.7514523584957,1850.666688059794,1856.2154670176933,1868.7731422009133,1900.0404748616313,1892.0218212203679,1896.1979603392688,1893.728154897603,1876.4189941221803,1850.073215197947,1877.0320084896207,1878.2384725841243,1873.1701228536922,1855.3425036410392,1875.143017260086,1866.062792971378,1928.8028608773611,1894.457582095235,1903.4017578618236,1876.466668984346,1877.183598390915,1849.7847664369351,1878.277293897057,1879.0098003646963,1858.5468113725233,1854.456038674773,1875.8702883010371,1869.79252027766,1911.4997231456452,1889.0366777003053,1909.6437233515892,1866.3452029619734,1875.8356748817582,1869.99957387575,1877.0811554346276,1878.2837970943606,1850.6584055518144,1854.5366386356106,1875.10998086589,1876.6086905169525,1902.0857035710055,1891.2233689231873,1886.2764731634948,1867.7048573161253,1876.7146644616876,1879.0172857457012,1877.3048103638293,1877.64380850971,1851.308127051045,1850.460478988441,1869.094047099056,1874.5921241322596,1910.3992336036308,1890.4687655653045,1890.985549520539,1916.0488371056024,1875.7722072247511,1850.479207199579,1876.9004807944305,1879.6504780746604,1879.2064607300117,1850.364376839805,1874.870790600408,1874.6213077394539,1905.4516171633406,1891.218370241809,1892.4192545511737,1909.9082020468115,1873.7148874234958,1849.3157220859919,1877.3228493760218,1878.071581186125,1877.4522217936124,1854.7775287754434,1876.7716736746977,1868.504466620247,1899.358221179255,1888.9627493773442,1896.3294497003421,1908.3273363659605,1859.335319522465,1849.2834629017252,1879.6037728032143,1877.2840333544536,1872.9656894819425,1855.5308970463554,1856.149646387732,1868.2513108669052,1908.52749087198,1896.1961941173893,1906.2149551146224,1921.7894160477467,1853.5880882692343,1877.298641466009,1878.8674393981005,1851.2750046374404,1855.049754759823,1873.9512458284662,1874.648182545809,1915.1787711401535,1890.5004756180176,1914.4095883236675,1869.4705119946896,1860.5472225377862,1874.4014860865923,1878.5383416547515,1877.4075410300109,1850.3971001339714,1854.1161868851877,1854.9440967989542,1873.6339484451091,1912.3552262030619,1892.491676354936,1911.9988597502634,1866.9191669952013,1877.9344628323865,1848.2647397722915,1879.1248992714222,1878.3525776997349,1875.196346237145
