district,2014_01,2014_02,2014_03,2014_04,2014_05,2014_06,2014_07,2014_08,2014_09,2014_10,2014_11,2014_12,2015_01,2015_02,2015_03,2015_04,2015_05,2015_06,2015_07,2015_08,2015_09,2015_10,2015_11,2015_12,2016_01,2016_02,2016_03,2016_04,2016_05,2016_06,2016_07,2016_08,2016_09,2016_10,2016_11,2016_12,2017_01,2017_02,2017_03,2017_04,2017_05,2017_06,2017_07,2017_08,2017_09,2017_10,2017_11,2017_12,2018_01,2018_02,2018_03,2018_04,2018_05,2018_06,2018_08,2018_09,2018_10,2018_11,2018_12,2019_01,2019_02,2019_03,2019_04,2019_05,2019_06,2019_07,2019_08,2019_09,2019_10,2019_11,2019_12,2020_01,2020_02,2020_03,2020_04,2020_05,2020_06,2020_07,2020_08,2020_09,2020_10,2020_11,2020_12,2021_01,2021_02,2021_03,2021_04,2021_05,2021_06,2021_07,2021_08,2021_09,2021_10,2021_11,2021_12,2022_01,2022_02,2022_03,2022_04,2022_05,2022_06,2022_07,2022_08,2022_09,2022_10,2022_11,2022_12,2023_01,2023_02,2023_03,2023_04,2023_05,2023_06,2023_08,2023_09,2023_10,2023_11,2023_12,2018_07,2023_07
BAGALKOT,1851.1750212880077,1876.0492558593994,1874.1387358456996,1878.0397478479924,1881.628564747372,1875.2654463522506,1869.7719684073857,1884.2695358817384,1873.486547133815,1860.2612923983017,1866.8027361497761,1868.2181981135593,1850.3457042500454,1875.2614078379365,1873.9118676537162,1873.3082658676167,1892.0201244130365,1885.1998973679415,1870.6669415919068,1925.3263175057227,1874.9570891650321,1858.8533811437562,1866.1362347426157,1867.51269869331,1851.5056782989545,1874.5265321983723,1874.4177024893622,1870.1351087959913,1888.4339166713378,1888.4494958474252,1866.7136927293693,1876.134448593446,1869.1188337776703,1853.9185500406384,1851.028575136831,1864.6292720083707,1851.8977265891958,1870.199266121041,1874.5348635702,1868.621665530717,1890.9413232281454,1884.8578214738238,1870.2601381106194,1872.4266569434537,1868.9567245397132,1856.039525563816,1851.9875277560122,1868.1368581605582,1851.9561908805947,1872.8276600223494,1874.334440468353,1872.35856040771,1883.4497413094691,1878.0161717564065,1865.7751684151992,1870.0363077625473,1856.541376455058,1848.8570390771736,1867.8763106914266,1852.087574070203,1875.9265061829783,1874.3093206698684,1874.3690760521667,1897.3864614506683,1872.91108379975,1871.4416451526654,1880.5601370525685,1870.8583035863842,1858.1150170978426,1867.94020435897,1868.907910847786,1850.7132109522736,1875.4246675353468,1874.3615774674338,1878.3596003855507,1892.6686745706672,1870.4295005090175,1866.4855104342437,1866.375349671686,1885.177032386299,1860.2499212222183,1868.243525229415,1867.7524656778166,1849.6573559688657,1873.281412524833,1874.4195797040254,1872.8735332742735,1889.7397073036575,1883.5340442381175,1871.0770476581765,1904.3102461233111,1875.4075454370873,1858.6696771242425,1863.778221486534,1868.2625767949762,1851.3704283959482,1874.6724470373456,1874.4370755622408,1865.0385920113617,1887.3235098370703,1887.2185794452118,1867.5495028951066,1895.4521229327686,1871.5876418667888,1854.8189956882609,1848.7174684694835,1864.1839005992385,1851.5549484086146,1870.0450243731486,1872.9618328005765,1870.5503242121229,1893.9402772372584,1879.3879390870418,1876.675699819785,1867.714832732614,1859.7121494698802,1853.425834807318,1867.5889184416894,,
BALLARI,1850.0244047326817,1874.861755102637,1873.8034540196793,1869.9421220926283,1874.0788563561737,1870.740654281462,1869.5412006415813,1879.1573964037434,1867.3050601176346,1872.1784142612737,1848.6885750440192,1858.1472509114294,1849.7154146363875,1876.4687393447516,,1870.2338723342725,1889.2782069220266,1879.3698034293013,1869.2492748008476,1878.3421720122656,1866.8074948998853,1864.7704250259405,1849.300952441991,1858.4898316331703,1848.1429227279818,1874.8147762938597,1873.9528315916623,1880.7959514473919,1881.889483378209,1877.287360583024,1870.369288084195,1883.6960469193307,1867.1475604543211,1862.4898008825658,1853.872253427911,1856.6933452143223,1851.7340973380606,1874.0633239494912,1874.2177721377238,1892.2743792669912,1894.1523869597004,1872.1963198228736,1871.5562316293021,1883.7869806679064,1869.71613750297,1853.3288459774406,1854.9464238470798,1852.9318699810376,1851.7340917873998,1876.3800780130557,1874.4846436981834,1868.7720994502981,1891.7142186995825,1875.8754910774032,1883.6850924444966,1877.3671496369873,1855.5414460948446,1856.340760139817,1849.5591107403093,1852.6165080370604,1874.746713019161,1874.524981630775,1871.3881318216786,1897.062355358989,1873.140723623836,1869.8294994475307,1901.4447326490945,1867.748078656131,1874.0211296452997,1849.1312978164829,1849.9962801179843,1848.6163998866966,1876.108181282603,1875.1026155162547,1865.7949359151794,1893.0167439660338,1870.350443993173,1869.8355095960787,1866.310776585385,1873.3743026863378,1870.2928588782936,1849.3414002577822,1858.1206955184052,1849.6416963263955,1875.1430041965518,1875.8126312681625,1867.0974460857387,1885.1022122174472,1873.607206944888,1867.0400713377358,1863.2002383310478,1865.2329783310934,1868.3628548734516,1848.2409447880693,1857.7159742848755,1849.5145251768895,1876.538781195406,1874.8245389475576,1896.3543067939045,1883.361400687814,1879.3080004431438,1870.6173423435998,1896.1016438347135,1866.4814806966315,1858.887368291989,1854.8447716913654,1857.4597882359562,1850.701901423849,1874.7694624681928,1869.4071449960716,1891.3186230714628,1893.6593501487373,1870.8986210349442,1880.2825143281596,1874.0153122508623,1854.1658221472169,1856.3599544220613,1854.0001610503407,1866.6826330865003,1866.089768864233
BELAGAVI,1851.3059475412424,1875.9670731621943,1876.356886813447,1873.437103322159,1893.5957566327131,1880.027200940745,1871.9811868835905,1892.1127508872157,1870.57215570425,1856.15274870685,1858.4673009200408,1860.3021469689245,1851.0234795021413,1874.7735229090997,1876.4872236419667,1875.3045075603081,1891.5819428440327,1870.0737666711022,1870.686489836419,1885.471857061199,1877.3228561092883,1854.8504650638276,1860.967197829001,1855.1773609933223,1853.3355740330846,1875.8166072322942,1874.716854143966,1870.9498720351917,1891.7189811837354,1879.7913694051213,1868.6653954109274,1881.2464090740195,1858.8751588448333,1854.1605985598878,1850.2632714102303,1852.202920084748,1852.6403241179062,1874.7737276363948,1875.8041681045759,1870.1130435354162,1883.5288805397017,1880.706168015969,1881.8923844141564,1899.3838620853935,1863.247622555975,1875.1360617952064,1850.7450222776051,1864.1848475644977,1850.6623145843246,1877.2929715373043,1875.6712454244162,1870.1374480170991,1882.411554335055,1881.4490558374193,1921.9729807726162,1870.14607837904,1875.1591185534394,1848.9569042102794,1861.8668457999534,1851.5126504057582,1876.3319540451798,1875.6752817061329,1876.125894731058,1896.078499885609,1879.1757089196283,1870.6305115642185,1921.4717078818858,1868.121252205517,1860.7505813792723,1855.935299140914,1863.237240523148,1851.0723816197192,1875.471209897259,1876.1358257936693,1873.4859412639632,1884.0926608775876,1875.9322553168026,1873.003663955537,1928.188622948401,1866.744070597713,1855.879372427746,1860.4688231125988,1859.8565720028766,1851.2527313660541,1877.3836518919009,1875.733434953945,1877.7025748184624,1889.929932392494,1885.2734358991552,1872.0862459341752,1893.3620649902177,1873.0253674357775,1853.3456646525688,1861.9635244102128,1855.846981429707,1851.4356277925565,1876.433708866394,1875.758312841502,1873.4518216151878,1887.1075841380002,1877.5452541830243,1869.4521283049407,1898.0736554519524,1874.221640761703,1851.1056907000736,1850.7315335067385,1852.6085907784277,1850.566274549284,1872.7115609095108,1875.9321266914242,1866.6567462980559,1894.0304734130837,1879.1215887102317,1885.2112739392533,1865.3007872643427,1876.7804777575045,1851.0268115205972,1865.0541086146436,,
BENGALURU RURAL,1850.1865755040294,1875.6821799560848,1875.3866453396965,1901.0194464875892,1894.3838520277927,1865.7206231705375,1866.8240396182723,1869.1393167997337,1866.3227426945275,1865.5573889124805,1850.291589812699,1850.4215247847462,1854.3515951358936,1876.3487310779265,1875.5031230955162,1866.4943665447636,1886.0759383852208,1863.7442238474998,1866.3513683783601,1867.7286209640145,1867.650241729014,1856.4454253161064,1847.7426068582092,1850.3756439744657,1854.8774836728935,1857.9496330172208,1871.4468232772542,1870.7218511722722,1886.4622653136203,1864.136591270093,1865.897769066611,1872.6881700742192,1871.6445541466705,1877.2970183528678,1851.9205419001682,1850.2850311187524,1850.5321586007813,1856.2033652248058,1875.472191727806,1864.4564822542925,1873.7304656779136,1863.395663240662,1867.8717266831882,1876.4071728738263,1869.9413257634715,1856.285104934583,1850.2676195195097,1850.5110135659206,1852.0783210125755,1875.7786854523117,1874.2862986353425,1877.8110298263302,1872.409154371748,1867.771833590667,1866.7464967532876,1865.9813892835066,1874.7498395938765,1850.0974678009077,1852.1072371991231,1850.0231103299436,1875.4992944647133,1875.3396960794748,1882.886796181331,1873.848893958159,1865.876766373789,1862.6172516330562,1867.547733744909,1864.6079770596368,1855.9365348912481,1850.0379841885435,1850.4174236287051,1853.6818087330696,1877.5439427591186,1875.3355219576986,1895.987835597095,1892.1242549365745,1865.287156003615,1865.7580654863755,1869.5965940428853,1864.5866372492458,1875.2275672467904,1850.5069585760627,1851.2088333101808,1855.1470257753053,1875.8506352437155,1865.2941590946123,1866.6189043783888,1880.6543573433805,1864.6240237512923,1866.5246321930063,1871.5105572589512,1868.4228893994548,1854.3159303825792,,1850.4147141181727,1855.8297972289993,1875.6677172411785,1878.40763878529,1867.1036476296401,1886.0860822128882,1864.1153862740398,1866.7440051378867,1880.2763430598498,1881.6517437980685,1873.7335236083795,1850.0409416786376,1850.2011324540886,1850.1432351632698,1875.7847010661203,1872.3371254959548,1868.228325243035,1871.1456566061531,1862.5031381969413,1870.7463039996978,1870.8687158679077,1876.522812376757,1851.4607305045674,1849.9180317855835,1862.7845046348164,1860.9485384974143
BENGALURU URBAN,1850.0910348217944,1875.0256496864358,1874.689981497713,1903.501531946341,1893.3907009792238,1863.99222659318,1867.1529114426733,1868.2256918105963,1866.1685621827778,1867.599589661379,1851.3722121002268,1850.5619634856691,1855.7669358202963,1875.8035046626476,1874.4642306313635,1862.8147871480248,1888.8928761835534,1861.6199395255212,1866.5439774460397,1867.4005247834205,1865.5491294556377,1858.1615828543477,1846.845243382205,1850.1543122619025,1856.5808619510235,1867.3102102356959,1872.306321145776,1868.6949780073817,1883.6696946104512,1861.731306691067,1866.2152778418342,1871.1087572906883,1873.0718347940983,1876.2675364574254,1851.9963987846234,1850.725041476718,1850.9502883932046,1865.5615127848369,1874.4754490633131,1864.5243708618011,1869.761901739619,1860.6448703000672,1867.4019762979506,1873.70170509723,1871.4888707369407,1868.1154748123438,1850.7371754894364,1850.856334729213,1851.6092184914396,1875.492670332633,1875.0330575949324,1874.5405382484864,1873.3552957128597,1865.5344066946493,1867.694808032668,1867.4397378127458,1872.9146521084517,1850.3347185530695,1851.2285094942738,1850.095097089547,1875.2695534193992,1875.0277331128748,1895.796176013148,1874.2071132996125,1863.7026378554092,1861.2468516530735,1868.1901395856169,1864.841537586108,1865.9547510073185,1850.4067430240211,1850.7355551428882,1855.6045589216278,1879.5720136864932,1874.9973128060983,1897.3141168397449,1888.8288606291537,1863.6516151391556,1865.38485831872,1868.9043408506514,1864.986348744821,1871.489004108403,1850.7903273351137,1850.6999804860284,1856.228914159273,1875.7759379279664,1876.7163466448524,1862.8973104850538,1881.896058791203,1862.8243031283976,1866.452118574076,1870.8736182784667,1866.1337574739732,1855.355712511936,,1850.6225504313018,1857.079829014081,1875.2105539862089,1876.7375884438234,1864.7492619540792,1882.3240595933376,1862.2817790898557,1865.172874349826,1867.7266553324025,1883.2773814112732,1874.5481568821283,1850.0343161196026,1850.2746679540626,1851.0837241954673,1875.4758331113248,1869.1266354626393,1870.047225348041,1870.7036323837951,1861.0855608591992,1866.8600104565883,1871.0026811335158,1874.7790351285148,1851.4433772952407,1850.5842381063662,1861.9896760361175,1860.2541361196447
BIDAR,1850.3926960997621,1856.1995119313174,1875.1468502026305,1869.6384031872344,1890.6991790296101,1870.804377255519,1883.6270463489284,1904.7496137971766,1867.513459238296,1854.141594719122,1872.0959952511819,1875.5747614929242,1850.1405541865472,1866.5741489552772,,1870.9663343975217,1888.845623811151,1876.3132595907355,1880.3138351958185,1922.5013828204378,1868.5146627452682,1854.7881480263904,1875.1135881095715,1875.9390326739722,1852.6022434539468,1871.0301964239513,1876.5872680570017,1878.8657646281301,1892.6831492464917,1870.2208197086898,1885.0804854444675,1908.5204466652606,1874.2587013844507,1852.7731896383978,1875.9539875478044,1875.7452630090227,1850.2462094924454,1876.1728374621966,1875.7933199518877,1888.8948520389724,1911.480107825902,1882.0619596437184,1881.2058280555273,1918.5351983708326,1863.2174254821623,1850.1317988486705,1875.637913787547,1875.960846892793,1850.5552774425194,1877.3801368423071,1875.710808219637,1875.764142171301,1889.8029498516005,1872.2571171301852,1902.0391167472746,1875.2228767677605,1850.458569651244,1875.920259226225,1873.971398818195,1850.351468100859,1876.1369913727299,1875.8957500537244,1876.0131808178046,1887.0881532174403,1876.183325631477,1875.2499196132906,1895.339411223069,1865.5768483560685,1865.2433401532455,1877.0339754292459,1876.3688537833686,1849.7175356356775,1866.1203389478414,1876.1531960461555,1872.103931149797,1888.5189367201963,1878.6286714247744,1878.4691175647058,1863.6123428095482,1871.0483834557845,1854.8610373793645,1875.9341872644388,1875.9783961007522,1850.1184351829584,1874.1333413893715,1876.792344270376,1871.3450433460857,1891.0554457202215,1878.0185275521421,1879.4156756641692,1865.765085304908,1879.0283546184592,1854.098743706517,1863.5945860965949,1875.7966969030113,1849.5205781590266,1872.7503966164188,1869.4972031002612,1871.7801015271486,1890.6698984749023,1879.244887721375,,1910.064122988023,1873.632071782967,1849.6383958334177,1874.761397483185,1875.835409325678,1850.7853403298782,1875.994417794868,1876.2852270711771,1879.4804057226281,1904.5994420921202,1873.4332594621528,1909.0114620509923,1868.6097860325824,1850.081268376106,1879.1141584446234,1876.0000005387315,,1878.802893856338
CHAMARAJANAGAR,1856.2828300951733,1875.3015966749092,1865.6295824999559,1889.9514310856528,1891.0363124737623,1868.6939186614584,1864.1210382020088,1865.9259171381298,1866.6607952275572,1873.8840343683653,1850.610324471553,1849.775928693323,1858.6745699078444,1875.5946311543473,1865.4573408856438,1868.644231109444,1874.8530287985393,1869.5212026141746,1877.3874041269576,1865.7229049247883,1865.01857200994,1871.491559969467,1853.52091972823,1849.5069771332535,1867.8981007168645,1875.5391081936034,1875.5171617717353,1866.9239358212526,1869.2540428207242,1871.5897113003184,1865.8163760430077,1867.31493768945,1868.7230681392239,1874.6627314056745,1851.4028169723977,1849.1510625612136,1851.1615276965238,1871.2532357849896,1874.7022063481652,1866.5176703726725,1868.8080165808678,1867.7569644528958,1874.8407629391465,1868.3709949674956,1873.6598799995686,1858.4492635458032,1849.1968764771163,1850.1599530234591,1854.1978163097165,1875.408382686688,1872.9494385129312,1871.3232708803218,1878.5771597928835,1860.8737073374823,1870.6925721475834,1867.876030097129,1872.7753108180968,1849.8029728469055,1850.5295555456635,1856.1127996963971,1875.3882209079256,1875.0963449304145,1873.8628689326138,1874.5169981798126,1867.7082689603772,1864.3802538154291,1867.1607127625218,1866.2707131928785,1859.4355418575526,1849.2138841370338,1850.2499131451477,1855.8892185001732,1876.8798152687937,1875.4384743107018,1884.8281523123765,1879.1359294699469,1869.191142212454,1864.728388649879,1866.370332709534,1866.3006513960331,1862.438383458334,1848.1411753137247,1850.1210358718927,1859.5256886514426,1875.8485779887033,1876.2384813910267,1866.356466729065,1878.8995182604965,1870.2081270137157,1876.5086427579163,1866.4496300006422,1866.1636713221076,1863.8715191497274,1850.9992680348632,1849.2166312817924,1869.8402377185255,1876.0696023757657,1875.9910386998918,1864.4521336644843,1873.2414429447529,1865.426082324653,1869.99969286456,1868.0993951183882,1877.4408848609355,1876.3351740827002,1850.277514463126,1850.254195949086,1852.00741254169,1875.298784604434,1870.598918988097,1866.6624879319875,1869.82975270694,1875.3734894630363,1865.4876405341738,1872.0912835089337,1876.0179366125205,1850.0979156479298,1849.9728420812164,1874.2968044290456,1871.832661161593
CHIK BALLAPUR,1851.3417058347686,1873.7361744651432,1873.7180066245257,1902.396333898373,1895.9513262052365,1869.5648924169495,1868.6092302529887,1870.758664582913,1866.482123438443,1861.997464981213,1849.0738939949451,1849.188593589406,1853.6071524668757,1873.569826289042,1874.095581541151,1863.8719965098492,1885.741557697702,1864.968037130452,1868.397043837046,1871.254469192008,1870.9481036654818,1852.609878623316,1847.8802155754836,1850.4773655059657,1852.3829824579943,1869.0833313682217,1872.4676991410463,1871.5920777407873,1887.9267659911825,1866.1818022437255,1868.6820533269042,1882.5389039108206,1874.1096620436153,1874.0799707281672,1851.4298193734692,1849.3310801040493,1850.774725425608,1867.0387620131773,1874.1748016214592,1865.4262199647821,1878.971388370675,1865.984795281072,1875.4114495898968,1874.2643265280212,1870.5814736838204,1868.3074209279112,1849.118618374795,1849.181593963543,1850.6428276639137,1874.0835429212702,1874.4157789333663,1873.9474878278938,1878.8701559905576,1871.118163381464,1867.7835238106256,1865.7567309722767,1869.6700902153407,1848.8752108708577,1850.1222791685511,1851.1052442517368,1874.995215912435,1873.8374472327491,1890.6527566967352,1879.5102064371847,1870.4210522499325,1866.7243620970269,1870.0613403646955,1866.0353617603441,1867.839779185025,1849.3511264374945,1849.134715559687,1851.6548984802334,1874.659312088437,1873.7263460119868,1897.0765638251164,1893.0354588713094,1870.1527345683949,1867.83378165886,1877.9731670112699,1864.3341105907477,1857.3761168186306,1849.4616568949702,1851.9156481464656,1853.5577624766802,1874.2451373071501,1868.998532823624,1871.3743175501204,1877.6785353951755,1866.1388262447158,1869.136422111345,1876.3578293823623,1868.4621333158439,1851.834209954916,1846.3702351725349,1849.1958771010343,1853.7017384066428,1875.6884483382757,1879.3700238978872,1869.4519055790151,1885.976524108188,1866.1055448016307,1869.340723121665,1885.990375261287,1879.6619489726288,1874.3399047806035,1849.4031815967503,1848.9580883297808,1850.66286298978,1874.0688748399502,1873.2731966583417,1868.877571658758,1880.3478040173907,1865.110469521029,1872.9657276065984,1869.2098852797242,1872.7552956401928,1848.9146589469801,1848.728872123578,1866.4014239848684,1862.3810664389348
CHIKKAMAGALURU,1849.827427786896,1876.27519707816,1875.88661238476,1864.3344251315557,1882.968841241165,1863.8713956279182,1869.9120306250245,1873.045820522823,1867.789170733628,1876.6118311208634,1850.522978357414,1850.6205231793667,1853.0616863104901,1876.04946672851,1875.4185696289896,1865.8001567966155,1876.054713182673,1866.7753585942887,1863.424857915578,1868.533071091992,1865.854688414548,1869.7688103554842,1850.3016071989898,1851.2099838097954,1853.0089512251893,1875.5131721230293,1875.3164743636976,1867.5009492662166,1872.7978081338651,1865.089440650447,1868.767943223271,1866.974428992311,1866.3510096388782,1876.2559094451838,1850.986667473231,1851.4436823637313,1853.1335909285608,1864.9986522380973,1875.808064137945,1883.2019203296338,1893.441740424071,1862.9791978278336,1868.250932370485,1868.3088168834904,1867.258912105452,1871.7663286368568,1850.6956364334653,1850.9194858689937,1856.1414583246512,1857.3986876567415,1876.2045809181357,1872.9551754745887,1883.058754547914,1866.4924241280723,1869.8900438259197,1875.6617417384932,1866.9797955276038,1850.6024637273454,1850.3423780435523,1856.0932143255786,1876.1865627506195,1872.658286547191,1868.5620754749925,1877.523111547033,1863.4713907254334,1865.5827873070305,1882.737347989463,1871.141099332051,1876.4304118382242,1849.098727444042,1850.0745076579497,1852.2808754167315,1874.5362761658116,1875.593489029154,1864.8857441405908,1884.1358977235639,1864.5955482091583,1869.549564026437,1868.408667563052,1916.4705685887884,1876.052882827212,1850.0691540715113,1850.0305836073903,1853.1121841002878,1872.7630336688883,1875.152345320341,1867.8662774924344,1889.639052786627,1859.4101349007724,1859.9791549158454,1897.6785291763008,1866.3415121424264,1874.3857025290106,1853.576846605986,1850.6049384659777,1852.0647307983697,1873.9968225133157,1875.7752145509053,1879.6568218284306,1875.6014504538794,1866.1701481202747,,1872.9283862892285,1865.5935317019173,1877.421386043569,1851.6822789515493,1850.1584440604283,1853.1613691448454,1878.4330282664657,1876.225154689854,1886.3175738739158,1887.146874777939,1862.1635558599485,1867.3769348845037,1869.0200197235158,1876.1586619811821,1850.0858011348248,1851.7501690700096,1871.4920566423482,1868.5874530532078
CHITRADURGA,1848.4918433206553,1875.3521192827611,1873.0519795452647,1872.984138044349,1880.4738834634818,1865.5396523088987,1866.8714703643343,1876.0761600898954,1868.9401047897406,1871.7748398465653,1847.572695129579,1848.1619036061152,1849.5630596263657,1873.1626418610101,,1870.301564202306,1875.3735810785429,1869.9453246738485,1868.1802908548382,1877.778475680575,1866.7235984570937,1864.9010735993768,1849.8696481262486,1851.2921262357831,1852.5220632487512,1873.238583773198,1872.4571247896142,1885.2009892934648,1880.0930269003516,1868.7784076762412,1868.5391417890373,1881.8636245785522,1867.2819040780282,1869.1552773494325,1850.42707957277,1850.8660291203107,1851.4778354856198,1874.2741267009237,1873.3261795956646,1888.4153786213465,1897.2903455974792,1869.3063642253562,1869.290877274915,1876.5048172654244,1866.9041609294861,1852.6518936004784,1847.8137446298738,1850.1433776401138,1851.9390384848277,1869.5441154993823,1873.3414153102005,1872.3385927831669,1890.778315993324,1874.0060153032603,1876.1202348532763,1873.4557235036027,1851.2290821051697,1850.1722725765053,1849.9789119871032,1853.0830493852989,1873.8507348390588,1874.6420022846721,1872.6613838658106,1890.9181366560804,1867.613422624257,1865.4861239048937,1897.455147844835,1873.662766165315,1871.5188552751333,1848.1088061138623,1850.983523002517,1848.3181839609765,1874.0466430102476,1873.85505729512,1871.9384036366182,1882.0619801332166,1866.205620118515,1866.809830219026,1867.9952453935082,1871.851189169986,1875.3564297447735,1848.7061326313612,1848.5755836478247,1848.4178731522543,1873.097717023724,1875.0751849320757,1872.064267951479,1881.0921316282142,1860.358226680726,1871.1864697911608,1867.0968879128354,1868.0188260362154,1865.3568809779972,1849.5662389382003,1848.4834911569023,1850.974874777744,1875.145598863569,1873.5626760943649,1905.7511371269911,1883.4352679021997,1868.2588944196996,1869.3376921446181,1885.9724151988587,1865.7015069445658,1866.6842212118192,1848.3641216224678,1847.736610597269,1850.495505068359,1874.8056306778333,1873.7551171337989,1890.914404667496,1893.7894315912756,1869.1195284053617,1874.1726291921661,1866.7747639020251,1853.045591783941,1848.2542054567568,1849.9761929503868,1875.6078972868904,1871.4200255531434
