district,2014_01,2014_02,2014_03,2014_04,2014_05,2014_06,2014_07,2014_08,2014_09,2014_10,2014_11,2014_12,2015_01,2015_02,2015_03,2015_04,2015_05,2015_06,2015_07,2015_08,2015_09,2015_10,2015_11,2015_12,2016_01,2016_02,2016_03,2016_04,2016_05,2016_06,2016_07,2016_08,2016_09,2016_10,2016_11,2016_12,2017_01,2017_02,2017_03,2017_04,2017_05,2017_06,2017_07,2017_08,2017_09,2017_10,2017_11,2017_12,2018_01,2018_02,2018_03,2018_04,2018_05,2018_06,2018_07,2018_09,2018_10,2018_11,2018_12,2019_01,2019_02,2019_03,2019_04,2019_05,2019_06,2019_07,2019_09,2019_10,2019_11,2019_12,2020_01,2020_02,2020_03,2020_04,2020_05,2020_06,2020_07,2020_08,2020_09,2020_10,2020_11,2020_12,2021_01,2021_02,2021_03,2021_04,2021_05,2021_06,2021_07,2021_08,2021_09,2021_10,2021_11,2021_12,2022_01,2022_02,2022_03,2022_04,2022_05,2022_06,2022_07,2022_08,2022_09,2022_10,2022_11,2022_12,2023_01,2023_02,2023_03,2023_04,2023_05,2023_06,2023_07,2023_08,2023_09,2023_10,2023_11,2023_12,2018_08,2019_08
AGAR MALWA,1872.3954579400772,1851.411577799119,1874.666613567596,1873.8568717880728,1899.0607533142143,1890.9811747682122,1890.7875112524218,1864.3490912322898,1871.9591165293693,1850.4888301206056,1875.3224271120623,1875.901084746674,1863.2139717462203,1853.1631268515816,1878.3831272262426,1877.4477544619356,1885.2963991720303,1902.0306065299333,1910.6510852140104,1865.5674154327394,1873.0646424936758,1853.3480104192122,1876.2114039595685,1876.761202552096,1864.2549971412263,1854.3383139399634,1873.3767885879709,1882.5546171123679,1894.3826181737554,1893.3026333011883,1920.9143862515537,1868.988492390843,1870.7438868061463,1875.2776222846596,1875.480889916704,1875.2566987983605,1862.5321206504825,1855.2331079470719,1873.748563828018,1882.012131070187,1892.4653570998441,1888.6026064848452,1913.3667420686265,1908.842781256036,1872.2855738103624,1862.0449346553307,1875.675578177351,1876.2576911588667,1875.9105116483722,1853.230946611279,1871.9342494097884,1889.2375430335214,1892.4150401083314,1890.8060770352101,1893.1727206905935,1871.693464287471,1862.7610877629993,1875.3347877128283,1876.5872387124257,1875.7513251183548,1849.3150124248966,1872.4356580590106,1890.5094073565338,1890.543681489639,1891.554284707939,1916.5456840167387,1872.6158196018296,1862.673817854866,1874.7327910078589,1876.9252504669275,1849.3904727237073,1852.27695565541,1874.3430796999905,1872.848148207445,1893.6376507165994,1893.2781571860287,1914.5718817653915,1887.7296393984884,1867.2258354773794,1849.5223098160322,1875.1578978386049,1875.4139871673622,1861.89773559406,1853.84915550407,1873.086688626503,1894.8597363240935,1916.109277827406,1889.020241374065,1891.101777753567,1919.9193621456827,1872.6060220036331,1860.0659373306582,1875.0685148770651,1878.2242384474846,1862.2580348502952,1854.707456586006,1873.36941553485,1891.61938431039,1891.77257917339,1893.9633323232595,1889.0826208498524,1868.0465724772093,1874.8973782657672,1857.4446821766414,1875.5214868935072,1877.3494462209817,1875.8329370504036,1853.317383400106,1877.0652794511043,1870.5407631053142,1889.7170097482845,1892.9203729500464,1924.6915570649414,1882.167554808678,1872.998046002163,1862.5521152152435,1875.4883633965765,1872.8624567589334,,
ALIRAJPUR,1853.1487728298205,1872.2788000428413,1873.3445768637714,1874.9178087177722,1899.5501568776074,1894.2835454103142,1890.3597897038921,1866.1025042971849,1873.6102995310189,1852.0500908215022,1874.4414124027114,1875.9688127040226,1875.226053875546,1853.5649238632404,1873.319075781298,1873.1820648443738,1904.7726275660978,1868.3629925292935,1886.0524843573082,1916.6161780767954,1871.0347130026228,1851.248076609982,1876.1283002315486,1876.123560366818,1855.0946693430344,1855.4841876420485,1873.38752828331,1866.657422018068,1913.8873799972116,1894.7609438788497,1893.5637719057004,1873.7702854789836,1872.9701208744573,1852.544160612615,1876.1473637115203,1875.549144698821,1850.5946493549022,1855.301818406481,1883.1915335057545,1900.2292252784482,1910.219848162381,1892.5495515130972,1889.3898118065817,1870.975106475049,1871.2367983751544,1849.497479247444,1876.0834442045486,1875.9114548549564,1852.8651631175924,1859.8369077866994,1872.4431463949882,1874.9707840268184,1896.4902557082207,1887.0463065024335,,1869.995854566045,1850.4978754777533,1875.5168078243275,1876.672843858297,1853.427763391859,1871.492193834065,1872.2611867326584,1879.9360409861808,1896.2547936177377,1894.8555036199891,1901.1981431257257,1865.406171284317,1849.6084266603998,1875.3767529722904,1881.4281068314551,1854.536360712287,1852.2415036808527,1872.362449195053,1873.3626783679294,1891.4266151422758,1886.2518553353405,1902.6588579321551,1865.2603050852993,1873.3103071125292,1852.69398941237,1876.4748030197918,1876.0576614789506,1874.6304433031653,1854.005698187942,1872.4120027808256,1875.5836055882176,1906.112903279853,1872.352054827403,1887.5031423941243,1898.867145237489,1871.1897158227243,1850.3637653258409,1875.3773647068683,1879.4335628077417,1852.9325480653142,1855.2473100964369,1872.245088606163,1894.2383408366277,1906.150287157627,1892.965210361445,1888.4537261531163,1925.3777088788406,1870.9815697669835,1852.3635961838804,1876.0910183788933,1875.5644619495695,1850.1155742856906,1855.5001174656795,1873.1867062215088,1867.9696209042315,1916.4248726361084,1900.1946685993853,1888.878960203248,1892.1442800561147,1873.2005264627464,1854.1248408242216,1876.0358326633125,1875.4251218245129,,
ANUPPUR,1874.2449738409157,1851.1230934291343,1873.353666405258,1872.602718388416,1916.0051812966267,1896.6124018010717,1890.3864068128225,1893.0642604449604,1873.5477437506593,1850.1021742491632,1875.5148858828047,1877.2500747825131,1876.3624734690902,1853.1584002421896,,1867.2334021004854,1919.787191538028,1892.0283586388912,1904.619993283839,1887.879521535819,1874.1316494681364,1850.577982068702,1875.0899359309515,1875.298379819359,1873.9805573778037,1854.7344860348285,1865.7825581402658,1876.9783699830598,1914.3995359039066,1898.3559505214075,1908.5787982315067,1889.2095116615026,1870.1820884093247,1859.9166293827527,1875.544831194447,1876.554519995465,1861.0574281743532,1849.1337628751135,1874.0822514447366,1879.8017432066363,1903.6287624629208,1895.7283890279355,1888.16636264673,1867.0659382064034,1874.9721264601326,1873.2173065150278,1875.6001224832532,1876.0034830282266,1851.5044207126239,1851.7005111164017,1874.3637527799692,1874.474111756562,1915.7314391783987,1885.8462814674635,1885.743064576344,1874.954146676422,1848.1218217580192,1875.4833990730353,1877.8955045087457,1875.397491863581,1851.5936911707022,1872.8797989876878,1874.026246788211,1899.4461384272026,1897.0857403722237,1899.3727360217317,1871.0278603432905,1848.2537566062056,1876.1700162174302,1878.141316314466,1874.03476219669,1852.6842019734709,1874.7461666703562,1871.732887333108,1908.7206916922096,1889.1238842130413,1913.3413119342954,1866.5835895617672,1873.1255699499434,1847.1122574115288,1877.7165620810727,1875.3687525806472,1873.873456069743,1853.117056426909,1872.8670436865987,1883.3637867014777,1925.745353246574,1879.36107006568,1894.5855521725293,1871.4400039688705,1873.1776051367056,1849.7243681135785,1874.5595229656544,1878.2315681753055,1860.3883410994592,1854.8272286150313,1873.9768588316806,1871.7889307377925,1906.0579038474114,1896.8798510048846,1889.5717093486069,1920.456553435972,1873.508770432315,1865.7880621131944,1875.5384552973048,1876.9576789120217,1858.2576199291327,1850.6241665669725,1873.2489533875175,1872.5053830726677,1908.2782428064797,1890.8821444055093,1910.4464440672075,,1875.124258319134,1874.206471875998,1875.7191298205828,1875.4867095405575,1897.4021578420716,1867.569016500911
ASHOKNAGAR,1870.861387336457,1852.1260592247663,1873.637598978492,1873.2515294757227,1917.834800887412,1894.122377396905,1921.0216277145455,1880.2308970835008,1873.3182173301589,1860.7616109554217,1876.0024472501123,1875.7113890334267,1859.7804931989544,1852.8877960906564,1879.4902125597118,1871.8661122760664,1899.6802198606667,1893.055455960398,1910.161862856614,1866.8815966865113,1865.3920514937356,1860.7668107671388,1875.929572527134,1875.654267312829,1876.8077310347078,1853.6197461438232,1873.0812732728452,1894.5240029340687,1900.7302647143317,1898.8279277815752,1908.665068310589,1898.0715297741644,1868.9074960610703,1860.5021018851164,1875.570509976514,1876.4416398014978,1871.4030709675606,1853.4644533702692,1875.596502578686,1894.012043736167,1914.7072180100222,1895.1016376627333,1929.080884897896,1866.2438069989416,1871.8569297091992,1864.4485787037866,1875.6644198666684,1878.100894446976,1860.4957242150058,1852.8580139800563,1875.386069566589,1888.8623726344583,1910.3116149747582,1889.6240777639325,1889.0553269804548,1875.5967263779119,1875.432913732101,1875.910265559777,1878.225271440758,1860.2957569805583,1854.3917150555228,1872.3201440526275,1886.8545884432838,1897.8739808971695,1904.109067119519,1917.9580389410012,1871.5718487503893,1860.3219833854182,1875.635992264271,1879.9281274012478,1872.985986704976,1853.3874642019748,1873.3092143206873,1871.35713914015,1908.2004473387838,1894.409117297113,1927.6114504373127,1926.9505806537588,1873.8217566820238,1860.7116986103708,1875.6300508641218,1875.7237554659168,1850.1522120030054,1854.5760543005783,1873.2134886475924,1892.7294175621837,1909.943192102792,1892.5011271741892,1907.4621459674463,1865.5197925178134,1871.7648476084844,1860.3453598493375,1875.8359443680204,1880.0740746307547,1857.6446127132951,1851.292416873539,1873.0141402274953,1881.0635062491008,1917.0011159506753,1892.8977747330377,1916.8917953213372,1865.9822287133936,1867.2934253770807,1852.262161921837,1875.7102000013729,1878.1419777319877,1874.6597111721544,1853.0020187562434,1877.2336854126304,1868.644922701587,1911.2727640391556,1896.4105024690398,1928.3641694619967,1925.6705281624183,1874.185690280515,1866.9451802557517,1874.4347222281922,1877.851933261277,1897.5435890647052,1875.7715284965277
BALAGHAT,1870.6470423632597,1852.454920139735,1874.6395083157493,1871.8232522019712,1908.751228905856,1888.676938279818,1887.6355474283955,1899.4705099067376,1874.692569474069,1851.1284681645977,1876.5426840268353,1878.1895208086835,1851.3327710229098,1855.0566934629267,1873.4392258778273,1873.7977403530945,1915.4494229683048,1892.7345974084242,1881.0724386625507,1868.15686829599,1875.5045810795223,1858.0660630255961,1876.9878814431079,1877.2067650391257,1851.7314894181545,1856.7422207078496,1875.9794782449592,1876.9429118550856,1902.1264164757924,1887.2145509591833,1873.6298624015478,1866.7314399976794,1874.3626109357235,1848.526908292839,1876.0126963793623,1877.4710964406017,1860.2649896390028,1858.5823103481807,1874.3232220592006,1873.9017528306867,1898.9784117662196,1889.2321612977494,1882.9516502102206,1866.5769568980577,1874.1539491512872,1848.4441590506203,1876.9813262855657,1877.9080011082692,1859.664092610839,1866.1628342474119,1874.247464553066,1873.7677021241686,1922.3883888793778,1889.6806061067716,1885.2128864769356,1875.345807054942,1851.3682595927103,1875.7649317586108,1878.6485165972115,1871.3965486737382,1852.2320700738464,1874.6602823142248,1873.5310688541515,1896.847590059523,1892.0605196137794,1887.6018603176706,1873.2699285464344,1850.1326097303006,1877.943380178038,1879.9687661360863,1854.1610256259683,1853.425335580454,1876.0282063601448,1873.558845279802,1900.733747655533,1876.7857185833757,1899.1585539862017,,1874.1992862446814,1851.9080475902642,1875.4922191142455,1877.966537051013,1850.4330664603647,1855.6523664731496,1871.391691478382,1874.7515257732557,1903.0194147302905,1888.8631011455461,1888.8412690273642,1886.0465519224588,1874.537594610033,1859.1024075129976,1876.8643149475677,1878.9404253257924,1848.147924913772,1858.1385463384597,1874.6372616185092,1868.588908429525,1916.1647463751801,1882.7224275378708,1889.530218760281,1925.2845868430004,1874.7462375030793,1848.5254258842701,1877.2722062785042,1878.588300133842,1860.120872191257,1866.414255115532,1874.9734934764458,1874.275207974424,1903.248262680255,1896.0373869590003,1894.835763208865,1914.6281722094377,1875.1223885680827,1849.4141287121774,1876.3812971903224,1878.6916228494704,1924.9898528593735,1866.6035931288263
BARWANI,1849.2703892601946,1870.6214358540258,1875.662682473845,1877.7340269311703,1893.565709083468,1886.1595956787853,1888.073996425491,1866.3008145376634,1876.2740743813922,1851.5193894915064,1874.3547555181842,1875.562814084557,1874.1861376974089,1852.212749963778,1875.7510156478918,1881.2687494057784,1895.6372753112191,1882.3514357272174,1882.8477531968215,1866.8208717405137,1874.141552644643,1849.5491847933295,1875.8218390752136,1875.8529198371764,1870.5503099722666,1854.575054933566,1878.1363051958122,1872.323626461752,1900.0482534956266,1889.1304051318302,1883.2444191823781,1909.1087520617764,1864.8557586177496,1849.3586326590512,1875.8312115335737,1875.8524570020631,1855.8249174940331,1853.0736908514405,1889.2733174674108,1892.8913874088903,1908.0350476717076,1885.5226398907248,1891.0230093868245,1881.9983358360291,1875.6305262639232,1849.444392915061,1875.808450152443,1875.815106578946,1850.548238847922,1854.123536071101,1875.2612945657943,1874.928793755893,1894.5256354609994,1886.610138466003,1915.1499979115183,1872.339723667298,1850.6196307014952,1875.2897162292447,1875.8095015194717,1850.5295604207793,1868.524061146188,1875.4228844392942,1887.8400706105883,1893.1044107548246,1896.3848876012107,1894.144490359498,1872.576895815212,1862.7630997975612,1875.5461697179219,1878.4928627091267,1849.2632944692105,1851.4105087291568,1875.4265700096057,1875.4077353955513,1888.7110321760508,1889.9361964018337,1907.5279899317868,1873.1273589419384,1876.8881605117826,1849.6474974600962,1876.5454425890537,1874.9898739420153,1875.658587109498,1851.832584534932,1875.697585998029,1871.6760644510941,1907.0498437797303,1880.9789034520377,1884.8714367826158,1918.412160311296,,1847.7366545135935,1875.29960095117,1876.2961970093445,1869.2509635793506,1853.8760657586608,1875.1965557779502,1893.951024531523,1896.1091197981625,1894.538385201752,1882.0004330029153,1905.8904928099062,1873.9521367366524,1849.6099271466037,1875.7717776471404,1875.9874923442503,1854.3445590359509,1852.8673706934635,1877.2537477773683,1867.925538532031,1908.7170413435579,1895.9771272889445,1886.3676682704577,,1874.758743504602,1854.9857984418718,1875.856248403332,1876.0278450459157,,
BETUL,1878.1016291522421,1850.707928417983,1875.7877832430397,1874.742385735069,1891.2509530182438,1895.0682356087218,1878.8758021962524,1924.537034814058,1876.0937374109621,1850.600048447537,1877.9338951992975,1876.6354973169334,1870.0688213964327,1855.6907913195341,1875.6486373739956,1868.3120294795308,1902.2179501419932,1891.5701180653962,1890.3279257868676,1867.4379502731188,1866.7630462063494,1850.4590558385034,1876.2569002651173,1876.2705282081015,1855.9545920734543,1855.720898828369,1867.8989250461102,1877.5311628270338,1895.3120745409867,1889.7614610749304,1886.0814595294714,1894.0877493924304,1874.8095412796802,1850.1657611448566,1876.191408404213,1876.4053062797793,1849.9714819819108,1857.1320864928668,1875.4761720608735,1891.2364885607435,1903.4017287528204,1890.1518278238088,1883.709225855445,1870.1846034402226,1876.01928985181,1850.0911883025801,1875.7383478399183,1876.3143054175114,1851.2037376347907,1860.9035850798061,1875.225789045478,1878.1343205088415,1898.6043310587609,1894.4541506259147,1875.9336457235895,1876.5037231460465,1852.3280662146124,1876.2455137391141,1880.291922205524,1850.8326351319818,1875.0088921283254,1875.372531145464,1877.7041932618695,1898.0219404210063,1884.6779845901299,1880.242320549276,1874.0297604499394,1850.1357931589569,1877.473432934509,1875.1594465419396,1877.6044089643694,1853.9301545094193,1875.6456512756977,1874.2052391771415,1897.1853508724516,1878.403873269844,1908.283451006211,1925.2359042996495,1875.4954525229937,1847.3573235370902,1876.176189496081,1876.2496108318405,1869.0359669995375,1855.5367510441909,1875.561512158897,1876.4366786972937,1901.6677215459565,1891.9629363993984,1887.155503201657,1912.1374100856524,1867.1491695473983,1850.3290252606598,1876.192228752454,1877.7930182474481,1854.7270022714356,1855.4875877189056,1877.4397506034727,1869.5617630643767,1902.48688258764,1890.9119194543396,,1922.221431364724,1874.439469688123,1850.00442132646,1876.1503721424144,1877.83561556257,1850.4491894206453,1857.1681230919326,1860.9131942245365,1868.095841672563,1919.0374289443942,1890.9440158067428,1886.889266636724,1870.2063178489643,1871.1755951291073,1850.2123151306555,1872.0571770153645,1878.2460709293343,1928.0698766920675,1918.9249571028781
BHIND,1875.0348428027985,1850.6326284595063,1877.2137027842114,1873.4944978157582,1916.4482161732237,1905.6170279948067,1925.12973097247,1868.6811132995228,1877.2621190983664,1850.7964563424625,1874.6950064029827,1873.9946350340376,1851.1533710869755,1849.4128692537631,1855.2616283425166,1875.2109190319798,1902.4872450357584,1921.005780543099,1921.222016764513,1867.478216288051,1857.7591517013948,1872.438773341323,1876.8240813517978,1879.6637427767039,1881.8204224360636,1851.5248949223528,1868.3184471218422,1898.3705928558447,1896.4928931621528,1925.4368326838826,1917.7070505579554,1908.5180322121148,1876.894307709862,1876.4065943887692,1876.233462018082,1880.7197990482612,1881.4335560779148,1851.7981688012158,1876.446713547883,1880.6617647719786,1906.8246620869902,1911.5220125827964,1923.0639762387289,1866.8873662433753,1876.8613282953872,1876.4561200089572,1876.1118331762464,1880.9744289454138,1880.3212929419028,1854.1149613948996,1874.9630194595916,1876.275935808949,1910.7666311808841,1919.3090556374145,1925.2382971081754,1876.4492518971854,1876.4046116873976,1874.5865439674842,1879.7665747867222,1872.258452144064,1854.7385104781918,1872.662397579856,1875.4990524842544,1909.2202079569306,1908.8523528839771,1923.2245695277154,1872.8918803830231,1850.8342188316806,1875.7614842152982,1880.545509980992,1876.893752282739,1850.7470584653813,1877.8307402713563,1847.5075833655314,1910.2510688395134,1918.1101571886932,1932.2384513673344,1921.963660433806,1877.7535712322053,1853.9849666469952,1874.3029658763394,1875.8291397289197,1878.894054240236,1848.5529688428583,1876.2350637350712,1899.397465886377,1911.6109345555756,1919.321765971723,1922.1781865536257,1865.8104915698834,1876.014231495088,1878.4286479922696,1876.3239763200309,1878.8724109456107,1872.9556818583624,1851.764866093667,1875.0738598194048,1872.8661075951873,1903.6750046894215,1915.7028457737874,1922.644395377533,1864.2826806223038,1865.168197775917,1876.3861986782467,1876.5545371474543,1882.3554637816246,1876.2333133565571,1854.1824471440384,1878.1869854403894,1872.9142177371443,1904.845019471376,1930.4164053573936,1923.6905018581683,1868.180236002344,1872.613293995109,1876.3649294853592,1877.8949680313324,1880.5022572302373,1887.2624711193632,1876.9299050182667
BHOPAL,1870.5696250737853,1853.426819726761,1873.7203440558308,1871.9589432440584,1915.0670809985843,1897.3562397861838,1926.9663959949849,1885.1281185780128,1871.2239642889838,1870.9919434076617,1874.5403379650918,1874.618179367362,1872.7593364346128,1849.1567471402805,1877.2484820697453,1871.6670486273229,1902.1910035077829,1899.3617937856093,1904.7593069764318,1873.868247387912,1875.2509487033738,1870.9911572495862,1874.3011327794395,1874.6740163904333,1856.4533488473917,1846.8995865776349,1875.750208489765,1876.1759933805258,1901.5203462973338,1891.8998177249002,1905.1119585990737,1868.8441506287395,1871.427585689702,1870.826632000744,1874.5786773170641,1874.5177871602102,1844.6558003500884,1851.5823735352542,1873.2296392465735,1883.5652088077,1901.1839372210798,1892.5455445095993,1907.3352914450315,1867.2298819496416,1870.6461798642667,1852.0877230087292,1874.6324783349262,1874.8872311020493,1870.368198750408,1852.995315089554,1872.2223689018722,1890.49128904185,1908.5283273178247,1890.1685547829939,1891.5837035250586,1870.5784504375652,1852.3646586885195,1874.599699285249,1875.3290991802903,1870.8100386529377,1854.682117324888,1871.3302751722033,1891.7629637325856,1901.0397227737028,1896.6990996093807,1897.5610206031674,,1849.9297068178896,1874.7022383673675,1875.7074160508516,1871.6635445313973,1854.3144421269762,1872.3403851080511,1871.4567062270394,1895.228209376751,1895.4869857126062,1929.8478736168838,1929.2941977920816,1874.0396477421918,1871.0858489100212,1874.5432167963495,1874.353428724411,1873.0830749303836,1848.9099246286116,1873.7200301094608,1892.8972560860047,1917.1509705085198,1890.450700410276,1892.5158682322242,1865.1115051863494,1875.6263011647761,1870.7672742278833,1874.0616585331077,1876.605225193219,1847.0508064573128,1847.3919602237208,1872.2391287672797,1882.9560708231163,1908.2358795169107,1898.0753424440222,1893.814710951751,1886.4776042445997,1869.280698269497,1846.79571014939,1874.6475535236575,1875.0425150203484,1868.6576166579885,1851.54522205964,1877.9884759449337,1870.1389258633428,1909.9409799984915,1899.5548619910328,1913.53729214209,1923.7441034444323,1872.480185276723,1846.2804583785414,1872.3492947982863,1875.3290487184415,1876.440488826522,1872.4891173677422
BURHANPUR,1851.0506379816377,1855.5835426251547,1876.3505211562924,1869.9807855674135,1895.9181980024382,1899.0181642073192,1888.6342446514539,1900.5007346658813,1876.276331723864,1850.6942037997123,1876.3886991335053,1876.3000333885716,1850.3696185227464,1856.0415517951792,1876.6956455835598,1876.1481966376093,1893.3728264421468,1895.4715877444291,1881.4633313569077,,1876.0355574206135,1850.1587849267974,1876.3317714135665,1877.5553125171832,1850.3219957355295,1872.5129746507018,1875.8045876466763,1876.893192091128,1895.4253816981632,1888.7289879437499,1866.6296555572083,1864.089754718957,1875.816339808571,1853.3944342992381,1876.3459766823123,1876.2311653910406,1849.7891846575574,1849.7171634538356,1876.1651319473317,1890.3269697679889,1900.219728545097,1886.741805501074,1890.5990093530038,1924.795099033041,1863.6363542948288,1849.7623929469014,1876.386568118742,1872.7734153192566,1872.218102681319,1855.6981637914544,1875.9530821971516,1892.2294343342646,1898.4325389113458,1889.6409572414846,1904.8503671083856,1876.5932929900557,1849.5890236840196,1876.0811988913097,1876.3500651734362,1851.0563362620849,1855.4256207961841,1879.858108227593,1893.211594832181,1895.491095673713,1892.6009610975964,1886.3845336366783,1863.6192538141472,1874.7723882201337,1876.012583754683,1876.6079156952558,1850.6572555148173,1855.9589669478737,1876.1980114239636,1869.64244775606,1894.593132271442,1894.2055228286956,1888.189435913668,1924.6274218480023,1872.259555256268,1850.3850535116508,1876.372892669286,1875.4941506834864,1849.7103765769775,1871.3049861984325,1876.1335884208684,1887.753711020273,1895.961060607992,1889.3688352541499,1897.7073049008045,1874.8725340165322,1881.2869758763059,1850.0451916590034,1876.298224984199,1876.1523549516078,1850.257468394606,1874.2876539540375,1871.6571250052652,1892.232026313992,1897.4851136645218,1896.5702069976298,,1869.4739279232745,1873.6124155530915,1850.228765627095,1876.3901388723657,1882.385366315245,1877.4061176028745,1849.6099202108906,1861.010534385851,1873.7200209410257,1896.8780702874833,1892.509198858325,1888.4061990586845,,,1850.190617061679,1876.1086664939342,1881.9361803799789,,1879.0752399497323
