district,2014_01,2014_02,2014_03,2014_04,2014_05,2014_06,2014_07,2014_08,2014_09,2014_10,2014_11,2014_12,2015_01,2015_02,2015_03,2015_04,2015_05,2015_06,2015_07,2015_08,2015_09,2015_10,2015_11,2015_12,2016_01,2016_02,2016_03,2016_04,2016_05,2016_06,2016_07,2016_08,2016_09,2016_10,2016_11,2016_12,2017_01,2017_02,2017_03,2017_04,2017_05,2017_06,2017_07,2017_09,2017_10,2017_11,2017_12,2018_01,2018_02,2018_03,2018_04,2018_05,2018_08,2018_09,2018_10,2018_11,2018_12,2019_01,2019_02,2019_03,2019_04,2019_05,2019_06,2019_07,2019_08,2019_09,2019_10,2019_11,2019_12,2020_01,2020_02,2020_03,2020_04,2020_05,2020_08,2020_09,2020_10,2020_11,2020_12,2021_01,2021_02,2021_03,2021_04,2021_05,2021_06,2021_08,2021_09,2021_10,2021_11,2021_12,2022_01,2022_02,2022_03,2022_04,2022_07,2022_08,2022_09,2022_10,2022_11,2022_12,2023_01,2023_02,2023_03,2023_04,2023_05,2023_07,2023_09,2023_10,2023_11,2023_12,2018_07,2020_06,2020_07,2022_06,2023_06,2017_08,2018_06,2022_05,2021_07
BISHNUPUR,1879.245715261788,1856.586864579544,1879.325746053355,1876.6008344297466,1916.8608105706742,1901.0734024107712,1888.6131877032597,1908.4479268405403,1880.6810319751246,1877.4992179195633,1878.4883173049948,1875.5600671464074,1850.836310424365,1856.9063280354515,1877.9697794426254,1835.2171628834533,1915.276556384034,1896.2555977628047,1927.6151981485666,1865.222499195869,1838.6595701770839,1872.8640728767957,1878.573767180185,1877.4408671499318,1877.1771177734465,1851.9017350066626,1836.4821687127496,1839.6087502678408,1918.011446398454,1886.9048089876003,1904.7606101007682,1874.2357284051554,1879.9908846090264,1850.4550097235913,1877.4975643359448,1878.5192722210884,1877.611746789035,1854.4485385337862,1874.5121000456602,1834.1875798817732,1914.5066896189935,1883.5356099716048,1912.1461002081478,1879.758532606309,1850.5162956881081,1878.644058834896,1877.2018075135263,1876.9999062036472,1852.4721874281142,1879.8264266717106,1879.8485859155223,1907.895665920208,1865.1780457021102,1872.7521017370614,1850.4217041802076,1878.4335046959154,1877.0898429898828,1878.6832801388034,1855.0433390106352,1879.7497540009358,1869.5445369938768,1916.51661379051,1903.393345969431,1927.7147994506533,1865.9259571186763,1856.5844626199994,1871.8518416446616,1877.7853175026848,1875.3209233644702,1876.4328264131593,1856.7426535604845,1879.4412520485496,1878.5849091256732,1917.127359326923,1865.0232317383484,1871.6388838080002,1878.2034995987663,1881.4723211211679,1873.556431575629,1850.566392220366,1856.7255419874223,1877.259972106163,1862.7016553773974,1912.3448270217305,1910.9429660861988,1865.7094416622817,1844.8472500734842,1850.4430287211212,1878.0065154666484,1876.32788668876,1877.551091255218,1850.5447017181632,1878.9466825853137,1877.73698952873,1928.7248139977853,1875.4462523880393,1878.8556544067346,1850.596022016696,1880.8083688684994,1881.1267185736936,1877.543079048156,1852.3582405184227,1854.8406997957245,1879.1261322964988,1913.7211298909158,1902.2666788392503,1876.6019127252353,1850.2458736776146,1878.398373663101,1876.9561794007398,,,,,,,,,
CHANDEL,1878.1700641437735,1855.558035170298,1876.8295692228332,1877.0959969760931,1918.7031636264069,1897.8018881232422,1890.704965528392,1920.3444278274749,1876.0983126507901,1877.4044275525002,1876.8545812875072,1875.6796298818792,1850.8544705041268,1856.843382354027,1879.1580521152193,1862.2230576955697,1916.4156919285654,1891.8300295508313,1927.2761437005906,1865.3430177618488,1857.7599115454377,1872.1500671474987,1877.199310155591,1876.5505361164378,1876.9872030517386,1850.855916104265,1870.1369859082515,1863.2315031474204,1920.1012910220556,1888.4669613326575,1901.12085086412,1865.0444554626927,1876.0056389343524,1850.2976960981123,1877.8378870175966,1877.9063551760971,1878.2459245520893,1852.3460930291892,1875.323255376736,1867.9559402597852,1911.6042291118204,1889.259534399896,1926.5182119981337,1876.7310613036232,1850.2627417759852,1878.3578482470475,1875.7477566818793,1876.2245086360292,1849.478143175551,1875.187653002149,1880.0117031736388,1910.3121892831466,1871.815688779604,1869.6852665729423,1850.512148086955,1878.3731332546342,1876.0474818948317,1878.3116224309445,1854.8598075596344,1877.2256920592683,1864.3759157063812,1904.3965455064047,1902.0579499295427,1907.6316699546478,1872.216837872548,1857.8009351398603,1876.181463974533,1875.6259122364327,1875.733676732561,1874.2341864006485,1856.5649506561958,1877.1094797637684,1876.062014317406,1919.1868169916452,1865.8079315297373,1861.423156870403,1879.4649227330308,1878.866473318297,1876.491251139455,1850.6521243430554,1856.568519816666,1874.2781892932692,1868.8611084121876,1913.8869070073138,1897.0128814233237,1867.300817071534,1858.6308108142637,1850.3499495840383,1873.8122984069553,1876.3397868344314,1876.5708690077845,1850.877246397866,1876.851810142076,1876.3412657299532,1928.8009363244653,1920.3783268995662,1871.6679809333662,1850.3343525273265,1881.5230060513873,1878.1777927890532,1877.1557539506564,1850.1647794078738,1874.6254879091066,1876.3779858206638,1915.0325755649812,1904.9094707428737,1875.718248720773,1850.0527979087349,1877.2726458265695,1876.2506426041443,1905.6024637974258,1893.123264362825,1929.1045726151576,1891.0199540751896,,,,,
CHURACHANDPUR,1878.5413222728102,1857.6490206554886,1877.999567429698,1871.0388815622566,1917.0417887622532,1902.018756053404,1890.8498191384042,1916.9113110446153,1875.4467928690538,1881.6939830475435,1880.1814525082398,1877.2796244045348,1850.477597776281,1857.4322580275416,1877.4045224367899,1845.6522356280452,1914.8740706528126,1894.5801771031245,1926.9105915216294,1865.4675662800078,1852.5426573845666,1874.6057242422107,1880.2320513007098,1877.4976049126794,1878.5311479749391,1851.1619187023018,1866.4660505509432,1859.9994018991924,1926.268283278661,1892.7299198593828,1897.7403126341997,1873.7727121878374,1876.5495938337574,1850.2636287720713,1880.0632041379395,1880.3804755877106,1879.9727985004693,1854.6114913287963,1867.3614962207657,1860.2009910893057,1913.462201526354,1888.9017167812488,1922.1517947672967,1877.058354918323,1850.5079969517128,1881.3346277118085,1879.3328902695082,1878.7879613415867,1851.8065202005755,1877.5478869402418,1877.692565416758,1913.0506746688147,1865.1132475061931,1875.6091603712127,1850.2787321868163,1880.3972546641323,1878.8454467912427,1880.4028403669693,1856.3105505578824,1877.4575885157767,1870.1173448299558,1914.4371519937354,1902.7900990971839,1915.9404614884115,1866.2439128759015,1867.4981154624809,1867.9961203760379,1879.758797167511,1877.2797352387809,1853.3275280172752,1857.2215815922198,1877.2937682615448,1875.8103716473192,1917.6550229187728,1864.3845500594052,1852.8570186496627,1880.0015843077538,1881.9836444370974,1877.3570913763813,1850.705450589805,1857.200338488429,1858.500274834927,1867.8590123486238,1914.883016827549,1890.1565379233382,1866.7205968919698,1848.5715122677161,1850.2334336872998,1877.4295999022004,1878.3326479516425,1878.542108896982,1851.2221200969095,1877.650336797639,1877.5583849556292,1928.4236279036381,1932.930186917688,1876.0028313256364,1850.221279604109,1883.6094080710727,1880.640117025406,1878.4506931244155,1852.2295638095377,1872.3234832718476,1876.9651959107907,1916.0243633015566,1905.0272019096492,1871.3297103555453,1850.1983164507649,1880.2635017679368,1878.0057990359123,1904.812442234536,1886.0815500863634,1926.4766544141683,1884.26351860005,1898.2486495725836,,,,
IMPHAL EAST,1879.7961496261444,1853.7683455364777,1879.499761838179,1876.1757496160658,1916.822578196941,1907.4995354731436,1895.773200661492,1916.1245296220773,1879.7601430538139,1878.3827984455581,1878.5525365246733,1876.998779954477,1855.493819085248,1856.8472792746286,1877.2043273134052,1839.7889326481738,1916.841110932782,1892.5419453076972,1924.874529689672,1865.6353936110422,1847.44603034727,1872.3290560797575,1879.2383810268059,1878.1816787873283,1877.9477137768913,1847.0343591745275,1847.8798514809976,1843.230556589154,1910.7680446723502,1890.0120837059367,1931.690942499596,1875.240191253652,1877.1941425466262,1850.3406013299018,1879.6024671186306,1878.516226927918,1878.3026842264408,1849.619650928691,1879.7606615289199,1874.9946962807455,1910.7578355798332,1883.3880832532943,1908.0497502792412,1879.7709616689044,1850.3881946468882,1879.8436841055725,1878.3815552580447,1878.343555254483,1852.431225146068,1864.2048250086361,1879.7541211965456,1911.0622014757046,1873.5936314590067,1865.944569362649,1857.482514372544,1878.195657487779,1878.39721430008,1878.4927343487323,1853.9717605864525,1879.7670046409228,1868.7237150445694,1910.5723546240943,1910.6378094251904,1929.8959090892286,1864.2164589732995,1862.9905633818507,1871.074645602611,1877.9861746875492,1876.0793464192993,1878.2142559302004,1854.5879628358678,1879.234140813376,1877.708841052386,1916.5346903167158,1866.011582976289,1880.0026741553277,1880.6930601200615,1882.190621481031,1872.1731540137741,1850.7936970926241,1856.6509244032197,1876.361698223017,1868.4950599061945,1918.8438016318105,1910.4083865926248,1865.8412273941776,1871.7725518029981,1850.3879158172779,1876.7637380571778,1877.5224533632197,1878.4323108395674,1849.8141651993333,1878.417604695337,1877.9431860264806,1929.244304931022,1875.4396566816856,1874.9773275497441,1850.6046770916848,1879.6102898282923,1880.4201663562976,1878.1715427964923,1849.6067970677811,1860.0791487394922,1878.2593809321888,1914.9736851400253,1905.8091728566224,1879.8220039995886,1850.4681143091866,1880.7463393853543,1877.7382606124731,,,,,,,,,
IMPHAL WEST,1880.1039634891906,1854.3438752691766,1879.328529397695,1870.9092762811392,1916.3437354917965,1903.6722535432557,1894.1992795462788,1911.3450148194893,1880.979051495458,1875.34943639654,1878.5726914276163,1877.3924984137682,1850.8676543994957,1856.8314410892397,1860.6083992755582,1833.5426360334134,1918.4031680804753,1896.247791223285,1926.3318944415453,1866.2468209438014,1857.0740670059047,1872.5048566064017,1879.6317914548538,1877.932945757471,1877.8392841112516,1849.3279167791034,1838.0993995422734,1841.7116011042112,1915.6345777917195,1884.3997953945966,1919.8840945023594,1880.128274248864,1879.6894391408264,1850.3688050251928,1879.4037062368109,1878.61653634529,1878.1025335730196,1853.1661794270408,1879.879702575574,1855.530616629515,1912.2263849965295,1882.0106867056809,1908.7282292654204,1879.7492367452605,1850.5744654743535,1879.8318517537145,1878.3371169921322,1878.1936725661676,1853.9689694187075,1878.6214215194034,1879.8973308606783,1909.9495916871736,1863.6483299050137,1862.7342254827772,1850.3985483880167,1877.9783663158446,1878.358752012373,1878.537065581743,1854.1033226111888,1879.7646626318162,1874.697208706239,1913.7800632214742,1907.9957802485455,1932.5616121924365,1866.5333090947086,1854.1543077032318,1870.7468262653454,1877.9492628320938,1875.259966849334,1878.1028801647699,1856.6666154574086,1873.7709696410632,1878.1103175352068,1916.3803668051517,1865.9696679849876,1880.874439939971,1878.815508581483,1882.246131397043,1872.6422376984199,1849.830722577337,1856.704487600183,1874.2335025230047,1874.9737190410506,1918.6614204496132,1911.5536988933613,1866.0336702071763,1861.2033136647544,1850.3782065084433,1877.1949352605825,1878.2717879867005,1878.3000568613027,1850.885167182572,1878.638108260407,1878.8269165515628,1928.0757397995185,1879.420883577613,1879.4693224002656,1850.614232078556,1879.7361412158648,1881.0670106522364,1878.1256085887624,1849.8521239981176,1871.576786651314,1878.765099077069,1912.841064020416,1904.2706930953686,1873.8162289233496,1850.3263340931244,1879.317861378322,1877.6122576403259,,,,,,,,,
JIRIBAM,1869.2578504167127,1850.2838726284317,1876.2169111191179,1869.6364204677975,1925.4154870923828,1917.8949736890195,1911.6771991088094,1900.6754937160333,1868.9745885344967,1876.4730706790403,1875.4303152851617,1867.717656867435,1870.4952292505684,1853.22838544414,1873.839514853363,1869.8705538153572,1924.6502667372872,1899.8348804325738,1929.0068650337817,1878.4726502715998,1873.928835098095,1877.1148978116937,1873.3293225459213,1867.3212537483673,1866.985733833032,1852.7093281207447,1871.1353684644268,1872.2143775264733,1927.7880085016625,1891.9804338562524,1896.4401167437106,1869.9657647512781,1871.633507362574,1873.1900968860432,1873.8383503231296,1868.2480274170262,1868.8760745153322,1857.0893951586177,1872.9595759924127,1870.106366114055,1922.4420352331306,1889.6057336016738,1917.1689797262093,1872.4760005517674,1875.3081110443507,1876.8880640488694,1868.1077940329094,1867.5029012202629,1855.6918547444461,1869.8979921783075,1872.5313108871433,1926.8589768184402,1864.765766563835,1868.749280124982,1848.739464572282,1872.4389162340963,1867.7234843696165,1866.1615501694944,1843.2970950363494,1866.1479429741544,1874.415090349979,1925.5194437224206,1904.223946298734,1929.0228924313471,1867.2259646562052,1871.9963305341662,1843.6118498936496,1872.8884901558883,1866.5342189394835,1848.2954839924396,1850.4961728307017,1873.4126763129677,1874.6200752346497,1925.1670975307984,1866.61963253728,1870.930823163763,1880.0265322293108,1875.415426374036,1868.049655993044,1867.6600056039304,1852.548005569879,1869.0945111710107,1874.7281015323656,1923.0964147632153,1898.6425377536364,1879.2509328920394,1870.6869595838439,1864.785984766209,1873.9760731838003,1867.4149488463993,1868.4922522811187,1854.6948833091126,1875.0714487811235,1869.5860907947167,1925.7154121154924,1892.4846370031335,1872.6399408322527,1847.0588814263613,1873.3524397443875,1876.1275844428358,1867.265252809577,1854.7593654075501,1873.7366671216253,1877.025658253013,1925.0625432372515,1932.4964826995222,1869.9324821674568,1878.1354063857552,1874.1170504367742,1867.9066904366987,,,,,1912.0950844993392,1881.1739705951566,1912.5176522617353,,
KAKCHING,1878.737586470062,1854.720923803163,1879.4326810170505,1878.6603387121334,1917.3583611480392,1896.4733165501732,1887.9695374878197,1916.7296395936155,1881.209399321935,1877.9043933795049,1878.3390967768094,1875.2187088091077,1850.7954540957771,1856.9402380086765,1878.957377194292,1838.8952811552508,1918.274968768662,1889.0852898860242,1928.5541496517048,1863.934729885704,1835.8927075247982,1872.4134489548312,1876.1172121566585,1877.018388250547,1877.5972320686785,1850.9149467165905,1848.8617845603244,1836.596714327045,1921.620765280523,1886.962376312892,1914.4605355716178,1864.2440829411757,1878.4191878824286,1850.4121113865667,1875.068051907872,1878.5584049183594,1877.8175026777792,1850.8491506337132,1875.070861295992,1840.5357627035314,1908.8236109147556,1887.797939547571,1925.1308655172033,1879.7897791943858,1850.3504915831415,1878.496162394243,1875.3526783447783,1874.7701711327027,1850.43752169598,1871.7397092558083,1879.6714431465452,1915.2432935815011,1874.2518311617507,1858.5198676358268,1850.6496057017048,1878.4431023123698,1875.1252362489809,1878.53913881247,1854.96681458868,1879.7403028373715,1865.3180613943903,1917.4181261763952,1896.01328232823,1926.1981845816267,1873.6074075491465,1850.1367134021102,1874.3781942019577,1876.0592854103347,1875.9078003073885,1875.6866567116856,1856.6375401189123,1879.6378736583947,1878.3444689128228,1916.2473996722233,1864.2926898153735,1855.649196861571,1881.1674695009315,1879.7812561543908,1874.153802411989,1850.6086360864244,1856.6377518822594,1879.7320863361726,1861.2612495276323,1909.8218247539141,1906.746589184489,1865.1849567883742,1841.4667570929862,1850.424324990807,1877.9442535774415,1874.121619492996,1876.705034065303,1850.87445629091,1878.8973212360868,1879.1440590107875,1929.706576592652,1865.9214623901405,1874.7304845352985,1850.379059390332,1882.7209446466093,1879.5197500720965,1877.5187919014857,1850.3911877473172,1856.25252029074,1878.3150371770412,1912.9113238225602,1909.4136517009995,1872.058366069978,1849.8346983048782,1878.5714489895017,1875.1688122712098,,,,,,,,,
KAMJONG,1874.5572284045945,1853.5643397021852,1874.2592303724336,1871.6077406653064,1921.6415857656464,1909.8822503438707,1896.9258160575916,1920.3468648282937,1871.6044349658923,1874.0356685924003,1875.8288515151337,1873.8771280451508,1872.0071834260866,1853.154129150132,1875.3139375416993,1871.2604149732044,1921.748971283491,1901.614009763857,1925.7124680302932,1865.7188688111946,1867.5440997561864,1843.9733529202663,1874.91965792345,1873.8193448641819,1874.1337626758286,1847.064006184186,1874.4893625347268,1870.38881856386,1919.520924125711,1901.3937094967703,1925.5715748284297,1866.2915033876193,1871.8831402218314,1849.7121248321716,1875.1626350203378,1874.0988259133592,1874.8388951229633,1850.5552497033736,1875.6204222355486,1873.7146929992489,1920.627704064313,1901.051399936281,1913.4904499264403,1875.363088557561,1862.3328112948154,1875.4681409435877,1874.6462556419085,1874.5900716660722,1851.1132619405114,1871.964985015823,1872.1289950440002,1917.4193365557928,1872.1448822145678,1868.8438099405014,1875.500905976831,1874.9424013201335,1874.94108270922,1875.3793933900897,1854.7293692925732,1874.1218655042535,1868.212311333569,1911.079611937592,1911.5074115399905,1920.9580516313727,1868.1050037849304,1873.7012763560897,1871.262093138878,1875.2977049206725,1873.8482846756922,1874.125634279238,1850.9065253289743,1874.9749263238934,1874.6764820004446,1921.6837782501777,1864.30270181224,1870.2997666069184,1877.0649338569715,1876.4603910651317,1872.4432209575855,1874.542895811475,1852.4375323879203,1878.6817640218276,1876.4618879443249,1914.9459424614697,1908.068309858602,1866.6331073635197,1863.0728750616772,1848.5325772120484,1874.7807339570031,1875.0924013514912,1874.1236436578254,1850.0034868730481,1876.8289287351681,1873.1272214096273,1928.4325771415024,1865.1234051995561,1872.2931565362276,1848.5129707905817,1878.0450731628343,1873.594658432471,1874.033336053003,1850.2108851800494,1872.43818902973,1871.740469995492,1921.0740090462348,1913.770390426845,1872.1108544355257,1861.7141294704306,1875.6499364756191,1873.6735717897213,1926.6618204831868,,,,1900.6278367157543,1881.5433076249458,1897.3027520741634,1924.5058386307978,
KANGPOKPI,1879.3874677051638,1854.433829545294,1878.915225075532,1868.589065329399,1917.4980548692808,1918.310037005618,1901.0090410846403,1920.868850024448,1876.8057958184215,1874.9956971447227,1878.0791364671531,1877.4482731364349,1860.7987874543644,1857.0615482715896,1872.4487595875519,1854.3491508432746,1917.3587826455139,1906.5043842006942,1924.1427384795222,1866.9743659640453,1863.2734100179798,1850.35608453518,1878.932313384351,1877.2142205551845,1878.134469061526,1847.390279423991,1846.0006712991842,1845.2124279717668,1917.960570787361,1893.072843248793,1915.2886134756918,1878.7416573465575,1878.9579599532321,1850.3448115809128,1879.499351486668,1877.9872771370362,1878.7342414665175,1850.4694345771165,1879.4744993933996,1873.791841482534,1917.2251479849601,1891.2150025272776,1910.5589293764308,1879.387324062263,1850.6067605433677,1879.4491139969784,1878.3831616623474,1878.3852046895834,1853.6669097198892,1869.9677462912828,1879.1823752742798,1916.0338523509245,1867.6555785202274,1854.698467836266,1863.9628263730115,1878.1727040032617,1878.5924881419483,1879.2967041707827,1853.5022546768087,1879.4079758987937,1876.7785112591143,1909.7763187318087,1915.2372423808602,1930.20085651821,1866.4143011222277,1873.153949005632,1871.5088116678444,1877.569974959733,1875.5584158453164,1877.7823261441827,1853.5584229032431,1870.1423182780886,1866.355357650029,1916.879590355081,1866.042790689534,1880.5450674219696,1878.2836731348332,1881.3016078593073,1875.0827735798966,1854.7277368223563,1856.9740115743869,1867.2044551881197,1863.9614504694466,1917.7504287053978,1910.8229043406316,1868.817820921061,1871.770946814196,1850.327890191311,1877.6517259533255,1878.13854349372,1878.153844287863,1850.067030212731,1878.772909041566,1872.4445068448915,1928.5462321180207,1877.9628907426338,1878.6244742396177,1850.270157114645,1881.743750852262,1877.525464300567,1877.8317075464854,1851.5927909500633,1877.2660036271436,1878.6437753307246,1918.5257674732563,1913.4209354732916,1879.8221177645742,1850.1811647034967,1878.5420594155432,1877.420988753971,1924.0125998719996,,,,,,,1923.0873854468916,
NONEI,1879.1411215875926,1856.1156677475249,1874.015682873089,1871.1023695327922,1920.09165948978,1920.0397654296485,1899.4790478848283,1934.1972421049506,1870.5568670027724,1876.545272794952,1878.7956200258232,1876.9448465007804,1853.2852466767451,1856.5052111801767,1873.7399470101527,1868.7909929699597,1921.6097249294223,1902.8647162015236,1925.3253197936315,1874.5730856168686,1872.1967923511613,1878.1911124071898,1879.60283697942,1876.888864841936,1878.9128076016189,1852.2844633325828,1866.8556069928482,1871.8930986326238,1921.2411170412768,1890.8097575266645,1900.4115361034694,1876.1522282513777,1872.8471448335238,1853.186199957826,1880.1003180144162,1879.6890142371744,1879.0919389700975,1854.792867083876,1871.8290196381943,1871.7233951890378,1918.1065469489076,1889.202094165649,1917.8248348189168,1873.597984353294,1852.7011237913123,1881.1174597095498,1879.929812570778,1878.6514633889904,1853.887512762497,1873.3070990338267,1872.6695545239238,1921.192384150303,1864.2052665392098,1871.293967867942,1850.1346047868733,1879.9850514089414,1879.17103718394,1879.025401083307,1853.373254313054,1871.8459722107489,1879.9024008186657,1919.9889698661832,1909.0135619264558,1932.423805699102,1865.8246948066273,1871.4300068276393,1865.443730814921,1878.3325258169075,1876.3446065977744,1852.679267121451,1856.0631394926793,1872.9041921906417,1873.3646345573777,1919.5356372700596,1865.1547950057618,1872.1771053170696,1880.5623134669022,1882.5676415906826,1874.7538142580295,1853.3120649527107,1856.4419510743467,1871.8565489313062,1875.427434936383,1921.9446808397495,1899.2560913530765,1875.9377520230285,1869.2578654446797,1852.5940678828938,1878.7733059248985,1879.1302014091104,1878.636987511065,1852.4035661840403,1874.1026769391747,1873.3814795932592,1927.8535833135857,1909.6650971287256,1873.3329500712055,1850.107935971136,1881.2525717339915,1879.933019829089,1878.2490420940742,1853.5269489331579,1874.2134847422883,1872.1826989670608,1918.701819364577,1909.8524625471866,1873.5182978190055,1853.5885729390457,1880.1563856707444,1878.3423116881468,,,,,1903.7929477101616,1886.8586426275597,1910.060526681586,,
