district,2014_01,2014_02,2014_03,2014_04,2014_05,2014_06,2014_07,2014_08,2014_09,2014_10,2014_11,2014_12,2015_01,2015_02,2015_03,2015_04,2015_05,2015_06,2015_07,2015_08,2015_09,2015_10,2015_11,2015_12,2016_01,2016_02,2016_03,2016_04,2016_05,2016_06,2016_07,2016_08,2016_09,2016_10,2016_11,2016_12,2017_01,2017_02,2017_03,2017_04,2017_05,2017_06,2017_07,2017_08,2017_09,2017_10,2017_11,2017_12,2018_01,2018_02,2018_03,2018_04,2018_05,2018_06,2018_07,2018_08,2018_09,2018_10,2018_11,2018_12,2019_01,2019_02,2019_03,2019_04,2019_05,2019_06,2019_07,2019_08,2019_09,2019_10,2019_11,2019_12,2020_01,2020_02,2020_03,2020_04,2020_05,2020_06,2020_07,2020_08,2020_09,2020_10,2020_11,2020_12,2021_01,2021_02,2021_03,2021_04,2021_05,2021_06,2021_07,2021_08,2021_09,2021_10,2021_11,2021_12,2022_01,2022_02,2022_03,2022_04,2022_05,2022_06,2022_07,2022_08,2022_09,2022_10,2022_11,2022_12,2023_01,2023_02,2023_03,2023_04,2023_05,2023_06,2023_07,2023_08,2023_09,2023_10,2023_11,2023_12
EAST GARO HILLS,1879.775601018476,1854.3963434489644,1874.3117049637465,1875.2392540756125,1907.9986380999026,1924.0423692636457,1918.704899268632,1866.585295282742,1866.9006152998707,1881.4737354616586,1881.8903642408022,1877.322496591307,1879.4407984121647,1854.4752560680208,1871.7107041782917,1867.5423844107777,1916.1706296738396,1908.1944013263585,1908.2210808120085,1873.8451293998648,1873.2332677980573,1881.8423359748192,1881.2742940117867,1879.4362904457496,1855.1555293741158,1856.4561274088596,1877.3215317590511,1870.6267994439363,1919.1498992455547,1912.1474369102857,1906.5194616105653,1875.5499482478663,1873.099629024305,1852.701996676586,1883.3715891368972,1880.0024420912594,1877.3808749498228,1851.7107683495478,1874.6621921615747,1873.1121781437316,1914.9196629154412,1912.2954048642907,1920.6842839780206,1880.053669695146,1870.8552619570767,1851.9248661631411,1881.6685761267186,1880.3544960222252,1879.9521632920596,1852.2943573747798,1874.1698627271555,1866.4830589028973,1913.7297405606905,1917.117777881114,1927.8880292555589,1865.9548834836808,1868.6198476524594,1852.4120492041898,1880.5109167867688,1877.562367836724,1879.8167181352997,1855.7925727683696,1873.3840182325275,1873.7833751829435,1908.347020220977,1911.8462713032466,1926.506074417028,1866.6414026065816,1871.0281581660308,1880.548143812502,1882.913486222019,1879.6985651028513,1878.43101098208,1851.9444049477693,1866.460112479652,1875.1562917964955,1908.788909489846,1918.3861311577316,1912.7916580023661,1901.545953210529,1874.9324962581793,1851.635853087331,1880.7634713890418,1879.5520281296085,1879.3273735880928,1855.9531065091023,1874.2757897159618,1874.2246825719433,1918.6151193357696,1913.9922734090949,1928.6680173778825,1875.3493556667615,1872.0709153715839,1877.0498596533848,1883.0059060883136,1879.850920960169,1853.7271663141462,1856.702482845072,1877.9198872989555,1873.434303823991,1918.3871779708236,1912.5659779848288,1914.9693586320514,1865.7978243175414,1867.1430079199738,1852.4561393949614,1882.7303892531788,1881.5376773077476,1879.645332162136,1851.6386961914084,1873.981296237976,1875.078163978763,1909.763862306927,1904.2129419942182,1911.8801970160207,1868.6079198615428,1873.1660367759162,1852.8984251706834,1875.9536254367258,1879.4618530860366
EAST JAINTIA HILLS,1880.3023932924525,1850.9833466750165,1879.478357567194,1878.0706378438026,1924.6339382397355,1905.7772292501168,1912.4840242406203,1843.2393679962954,1874.5317249102961,1850.3777893488289,1880.4937327779078,1880.0492053329242,1879.8411312435228,1851.5712671118813,1876.9795963614356,1877.6565210309932,1912.305929852184,1903.4998553879843,,,1878.9076838203073,1857.467352323196,1880.131927593716,1879.6434880394277,1879.3799349946482,1854.7990173104297,1843.4643514698726,1878.9097314406342,1920.0332231149423,,1896.7669123207988,1868.1887288410128,1879.4520336364358,1876.9163981943198,1879.8072386175738,1879.7052727495463,1878.8816320667565,1851.1731946149737,1878.849210823664,1866.9073671481096,1918.0271005864647,,,1863.8574660451375,1852.7764901276453,1882.0010837095226,1879.8527998907057,1880.0946917667554,1875.459927001982,1856.6466467208786,1877.380863052046,1876.6998000613435,1917.6100671602042,1913.3593529067782,,1868.8455987713296,1879.3649995401506,1871.703590961467,1880.5486287842411,1877.0592386701285,1850.9216323382213,1847.0398006586506,1878.2816532445092,1841.1511902207465,1909.928789212081,,,1877.5484013299235,1858.9681531105357,1850.3347473655863,1881.4714867598589,1879.2718236474748,1850.5458701789366,1851.3479237909958,1875.9981721460535,1843.7303663923324,1921.3972089431265,1909.587499243629,,1869.1344412443175,1871.543342107409,1850.5005005032945,1880.6618889546169,1879.4383141712074,1880.2708694031123,1850.669966796426,1878.4803421330414,1878.7917915284243,1914.9283627648363,1895.578837030697,1926.2822934595038,,1879.1083313663453,1862.1567329662307,1879.081278733837,1876.8231132418136,1880.1662193849581,1855.0954584979895,1875.9406590435322,1876.8826682477159,,,1932.7756102987005,1866.7865002535457,1841.5773794445827,1850.4210042350724,1880.840427286006,1880.0055704242968,1878.71908891992,1853.6109958714608,1879.2231383192038,1842.4759999770909,1915.2217340318784,1908.7530952942368,1916.1861308426203,,1862.2996862679074,1875.9750653844783,1880.0811636719995,1879.0294634449972
EAST KHASI HILLS,1873.4449583287733,1853.798497877389,1872.6563949967833,1870.5787220279592,1915.5507938604183,1927.5295665532763,1923.2228430508494,1871.1744275328474,1871.244872285701,1868.583998262704,1875.7675490004765,1873.680426752374,1873.498818848289,1855.0075660650539,1870.4658790809217,1869.9444517962652,1918.445427507288,1917.5685592442335,1915.9769503390135,1866.0202678111657,1869.6245285650004,1868.880308358573,1875.5780000061145,1872.5902555179744,1871.651514668519,1854.45907980851,1869.8301668703734,1871.3439280495306,1927.2343686628913,1915.4321163859554,1915.6327691826257,1866.8446232915053,1853.2088928774367,1858.8351773128575,1875.1812125076267,1875.0455079105768,1875.38208018,1852.419736325736,1872.8210324526249,1872.112702735229,1921.5133986674462,1903.6512677863034,1925.8097070096358,1869.061186395612,1872.0721792149707,1875.9343190887594,1875.4446788859457,1873.9145355832463,1863.6295003111347,1852.4240427480884,1875.0130903325373,1869.2206737237277,1920.5145142296278,1916.3663381348795,1922.7370199648296,1873.6329514341996,1867.1514867521716,1872.8520378372061,1874.3632046422676,1872.732309974754,1865.8653315659353,1852.1555084705562,1870.475322030763,1870.7314646382515,1914.027969835777,1908.9183507990915,1925.3770242237943,1868.7035454224351,1876.3906281605462,1867.439669281839,1875.0539151182397,1872.1957813457661,1864.2785095571767,1852.8871655965222,1870.7192721558738,1873.1505677033547,1912.3243880355742,1920.689625845073,1913.6391482665492,1875.8767398493922,1873.903069303897,1846.6495499605448,1874.2360244048616,1872.9455798140682,1873.857700285569,1853.7414697002569,1871.534388961251,1870.3717336016825,1921.8979870102112,1917.0659690074992,1926.542714734836,1868.2946400721426,1862.8007556109574,1869.8803875225751,1874.9530959209605,1872.4326034291505,1873.4299810760426,1855.1234706248117,1871.2450777185982,1870.9168091274898,1924.6274055803485,1907.4609615446373,1931.3010999480825,1866.8327251891549,1853.8610546720536,1846.1870900361762,1875.1654398217229,1874.375294935667,1871.9545816553402,1849.8083098059328,1874.6750909858515,1871.6225936754743,1923.1657506556667,1915.974488394238,1921.2110136057593,,1871.8735430371146,1871.1315256377745,1875.6277061447388,1872.637496000238
NORTH GARO HILLS,1878.6258263971329,1852.7436374970741,1874.288914821341,1874.66029140658,1908.8723035563598,1929.4628949911867,1918.155854823258,1866.5172679590314,1862.9562619891587,1881.5776992853478,1880.7722244177057,1874.651509402959,1878.3214824760444,1851.274568497545,1866.6909059124257,1872.7963403522583,1910.7561997530772,1915.158265564602,1913.8044988708439,1876.0224013675986,1873.638258114254,1881.72394018757,1881.8515824856552,1877.8411300572598,1865.025245264445,1855.368551906827,1876.96242480798,1861.9406973899522,1919.4237326237803,1914.3014208021686,1911.925617471243,1874.7922979275343,1870.6045888557512,1856.1156798285947,1882.4809694726105,1879.0941006380433,1877.5051676170278,1851.0794154204434,1876.2697906400012,1873.5960941244948,1916.1767782217685,1914.1587569967699,1923.1738681370766,1875.8346061268628,1868.4098502943725,1855.607707545717,1880.3965122827244,1879.2623401289989,1878.4903377213288,1851.9502257087877,1874.9295198687407,1869.1403269181965,1905.1064054710207,1912.1658439179987,1926.999008820335,1867.0885204832443,1863.5940403664301,1856.0858392624496,1879.5342079710001,1877.9890905557047,1878.651733627593,1855.2874145382468,1873.9722797234886,1875.0970801972207,1906.733868004932,1916.8765797675949,1922.7042689369478,1866.2992992591783,1867.4289466050832,1881.51160241233,1880.069913684054,1878.7322440210833,1878.379436390344,1852.4885913849093,1861.6494172662128,1872.8037620393072,1913.9873081371652,1922.1487455358256,1911.3873693712517,1892.6298658180622,1851.657350908183,1855.9993914507613,1880.165915780413,1877.885645576018,1878.5599502128912,1853.822028831827,1874.264951118668,1875.0732925642092,1917.286768021356,1920.8737030490822,1922.8461237426884,1877.1243064318546,1871.214484416808,1877.1648593547998,1881.8203254583163,1878.9065868452283,1861.1244852544132,1856.4030905986535,1876.9206607362478,1874.3744473535983,1920.6125205510375,1916.900310428323,1919.6913585117989,1862.5388572350837,1860.3471102650926,1855.7423682274484,1883.0319495392519,1879.982959131097,1879.1133959112487,1850.8682452499572,1874.7761568431874,1875.3368632319566,1903.0096502597632,1903.2858487775056,1900.547744326516,1872.967623095549,1874.9824923859085,1857.3689984708576,1876.1690715827676,1878.3032489459233
RI BHOI,1874.1981849977242,1852.9227865301298,1873.7837591362825,1872.0686656569978,1913.0146013035553,1920.9661480836005,1924.9619744540535,1869.4015049764469,1872.7997463597862,1871.993536789509,1878.2309015564051,1873.589438341325,1874.1105094546585,1853.4325874072206,1870.6332682773566,1869.6779370061581,1914.4820137808783,1921.3304925921693,1910.8292667080364,1865.2817154527804,1863.6033726266412,1870.294746228471,1876.4750341097563,1873.936173739129,1872.9578204587435,1852.9154260478408,1871.530791966801,1871.3237487432557,1918.1981422933288,1914.6408397024277,1916.1677423815875,1866.851276579383,1853.6431357199,1874.0308346679215,1875.1538506125378,1874.4612863262823,1875.8172023074633,1852.2740354381453,1872.8292398172036,1871.7672789888304,1911.0200258896355,1911.3085682709063,1924.5165940105505,1875.4280395195788,1872.5909251789587,1874.8150044157917,1878.1778772252653,1873.869092827628,1871.2060075726818,1850.8024648845924,1875.6237626381467,1871.7636410628631,1916.682122729508,1915.0703972363533,1923.3227438380438,1870.9609588920782,1870.6633462731813,1876.5266254124326,1874.41025690757,1873.7316767783134,1866.9477597562036,1848.7823682820297,1876.2680286900907,1872.3395040996686,1905.544251786028,1912.8360974435523,1921.6024652047329,1865.7821544608405,1876.5528997066115,1871.5724608385383,1874.9689656257206,1873.045404210321,1865.2882120419533,1851.8454632393364,1874.6924426240387,1875.1026232893157,1905.6760855193108,1921.704355391804,1914.7949417434402,1897.4560577075804,,1846.9604410755578,1874.033526837406,1873.8833171373446,1873.7656917445713,1852.172894846539,1872.9122862849051,1875.8916997969775,1909.3667193882375,1925.1670607022445,1923.2742185433174,1866.0640718524578,1850.8213793829216,1877.5053934193406,1875.7685048625883,1873.414328659156,1874.172905412316,1854.2755816916217,1871.8142322810975,1872.5959075635599,1922.6118160049773,1923.693130739612,1917.0909031748968,1871.4985677717173,1855.8090282406622,1847.5949359490862,1876.1803217071063,1874.426450022367,1873.6253205860526,1852.054101645256,1874.4840943937809,1879.1576386213303,1915.409020901969,1912.4043459049105,1919.4733451342076,,1872.4134491683205,1870.791811547436,1878.192805236207,1874.1276344165378
SOUTH GARO HILLS,1879.7383827968538,1854.0477184645272,1875.0399821135434,1877.9904616486726,1909.7796816954087,1918.445979361201,1911.6659066243199,1866.4696476514482,1863.6828149192097,1878.3119430781492,1882.2350327151667,1876.345251088912,1874.1872420824643,1856.1172110786056,1865.4341756814451,1871.4044204075979,1920.0134827727065,1908.1501168330872,1929.3210391989448,1870.632164908285,1871.7377322211594,1880.4314240104707,1881.9605400841076,1879.6505429832916,1853.824698350623,1856.6911063945688,1874.898291131118,1871.8725914791203,1920.138166311632,1912.2722225470845,1902.7781485265566,1876.358070595171,1871.686552124899,1852.8531629943868,1880.397762283735,1882.27004056059,1878.4923473466836,1852.0644848477534,1875.0617041117407,1873.222437318637,1926.3889764582107,1911.1847200953116,1928.7370897867947,1883.165344425456,1875.1031874752339,1852.1641049377076,1882.6677020909635,1881.2501789516216,1880.0225957242028,1852.6271600731397,1874.3141679401783,1864.8234271350118,1914.7514464893575,1908.8623980903812,1916.589155067789,1865.672357249725,1866.7920181094612,1852.6120418501516,1880.5221235019014,1878.120655550967,1881.0780480993312,1855.5773018275,1874.8186844285042,1874.3111339619068,1911.3626391029366,1908.3862976178118,1925.527881512031,1866.7025805769367,1862.718935670816,1871.1332024833362,1881.1990115152232,1880.0506694930746,1879.3139538888247,1852.280029898833,1870.8174659847155,1877.0637598829362,1910.4358519836837,1926.3584347027368,1909.0745718581345,1899.9516232354003,1861.7992508312893,1850.2969595927184,1882.2963850813237,1879.33806830145,1873.1982397557117,1856.5573260242322,1876.7396017423296,1874.5952144627956,1919.3620887041827,1914.116712184943,1922.6709054692233,1872.0381343496072,1872.970827604402,1875.1488992730035,1880.7591079473762,1880.419899507844,1853.2316489494574,1856.6969104707173,1877.9885634252296,1873.9656787645008,1914.1417458669544,1911.700601238761,1919.9608779440923,1885.7375358323925,1873.2924887732095,1852.7988400687996,1882.8963903186097,1882.568615288503,1879.9336661934922,1851.687447955598,1874.9663798326355,1875.5162447109053,1920.9691702664657,1915.6786545256707,1925.6468384101652,1878.0164076569117,1873.7978793428724,1853.2879989329226,1876.3446034244557,1880.6518377321959
SOUTH WEST GARO HILLS,1871.098970802866,1847.472955331336,1873.5145592034892,1874.9001403342234,1920.0356891606698,1918.4247900747803,1928.601866418101,1869.2560609636876,1872.8315515938139,1860.0702903435972,1877.0209960002055,1875.7228978228036,1847.8661703710884,1846.0734944818946,1878.1655184702977,1872.473596002281,1921.7168140422948,1903.1666844996794,1925.8527840595093,1877.9288328248065,1872.643446363797,1867.1024919925185,1879.6866929450932,1874.0126637972062,1874.9905721965129,1851.5695394967652,1874.3315288323927,1872.0766770824966,1923.7925048065554,1906.94655442124,1905.7138537394155,1888.3866691488909,1872.4602946384648,1875.7948664773269,1878.2232389012386,1877.1241811684167,1876.5212276091343,1851.305381152819,1874.8064437621997,1871.5401180854603,1912.4411693674485,1923.4341311540056,1929.462479432981,1865.7413869522086,1872.8952111746635,1880.479791844732,1875.4102086076325,1875.7150918208029,1871.7975406812284,1851.7666725943745,1874.8282242971943,1875.327553890552,1914.1897758859927,1922.6341014684397,1915.3135635642723,1866.378966449167,1866.6085766861515,1871.0682552565893,1878.209197156798,1878.4461961536535,1876.0505758597028,1852.3834409921542,1871.2728714864872,1873.4900228875667,1916.0377743215938,1907.7425864381928,1924.7833502789674,1866.0073000727302,1850.2985929389622,1846.818385238871,1875.373106837179,1875.2602615582412,1874.392073092901,1849.1298683937532,1877.2868202455707,1869.2745426248646,1906.6285395580496,1912.2951782921757,1913.4101794352996,1868.7082968481209,1873.7364698808553,1847.9033302834023,1878.3205524598143,1875.936652084541,1874.324841308605,1851.342369494292,1876.565316175739,1873.2899173874737,1928.384117334938,1914.1545101368615,1918.291313816879,1874.934558634852,1871.2577379251115,1863.8365197511894,1875.551568111362,1875.4471315567368,1875.3066421934848,1851.189221846331,1875.2026146347473,1872.4478698953183,1919.8819336263118,1914.749311396561,1926.9400864345891,1868.3544742285594,1871.9269552360367,1875.7299526224308,1878.1323742389425,1879.7264818616645,1874.8922983875973,1851.8244319017872,1874.8918349923788,1869.9733118848444,1908.7761137953676,1902.4141892886469,1910.5102233805046,1864.387735079909,1874.7067008886397,1875.31507013908,1877.4531023738666,1876.3048465321174
SOUTH WEST KHASI HILLS,1878.522029524611,1855.1721618440076,1876.0017389178126,1866.1151334308088,1907.5416937392147,1918.1521514585993,1907.6870589390655,1866.3327795277314,1872.7143200794726,1880.1426296081258,1881.0731454848774,1877.321679006191,1876.8408852977614,1851.0469479051624,1858.8567406064083,1873.0312130807404,1905.0732636637388,1916.0780642953357,1925.1722761532405,1865.909732364702,1863.0504414308955,1879.2944494443984,1879.609706973992,1878.2821019553478,1873.8547751335466,1855.8538864465008,1875.2448067592404,1875.76263667437,1919.801695530192,1914.9556537656247,1905.947626596323,1865.8403729423987,1858.250164690057,1849.9786251309802,1880.2564638502265,1878.9918910186939,1876.7073841039041,1850.8181715954674,1877.8041080200064,1874.208339630953,1925.5191607541083,1909.4259022200695,1922.2932797249214,1878.1463585694794,1876.080130908601,1852.3356006856677,1879.4765588306302,1877.7143003685123,1878.268251805585,1850.4445893189647,1877.3130759590829,1859.8370539825726,1908.6433775775565,1908.789796588023,1923.809753809877,1871.0073283190402,1859.843964732487,1863.2253743394408,1878.4683489530796,1875.6728500687875,1879.158544389534,1853.78596303706,1876.1622847226008,1876.7109773862298,1904.7838360591047,1906.1360071867969,1927.3582927050384,1871.4458675086435,1864.1725470539386,1881.2152465963518,1880.513787017542,1878.2379768888716,1877.75331569449,1850.9178971681672,1872.3017829358982,1866.688749472417,1907.1086610409745,1916.5096720503893,1913.9333634706759,1911.9894926222994,1858.185452875509,1848.8648053024936,1879.8760886954965,1878.3616578357341,1878.5619980291685,1852.3326854852507,1872.5176365601558,1875.782128868205,1919.1000513774231,1915.4311848636423,1927.7899898995652,1867.6115090465473,1872.944725641024,1878.512315450383,1880.0524337974864,1878.6176237584227,1870.4274498938034,1856.2164661258876,1877.3841018074672,1875.2067829935868,1909.6602171253767,1913.66769471636,1922.7906415636692,1892.07312796934,1856.505076263436,1850.1130505439853,1880.008050691932,1880.1117168804467,1877.7830831391768,1849.3737134377786,1878.2461379888769,1876.6764957910711,1919.6829904756019,1907.1457039474853,1907.1665548986616,,1875.592616565914,1851.989109816583,1877.4855841460828,1876.8009129176157
WEST GARO HILLS,1868.912687301494,1845.021988098385,1871.4290819946198,1873.944149517703,1919.6082954071055,1929.5357289187225,1926.305120602488,1870.8363909077407,1872.5039378539109,1872.139156825041,1876.5258440767566,1871.1167159458435,1857.8218958925063,1844.6328495643775,1875.2100442555288,1867.6791292163316,1924.4696699264596,1908.0105595446948,1929.9555158696962,1876.2296579455676,1872.0033783042156,1876.5121948170085,1876.47990087071,1870.1576226286597,1870.4507486691605,1850.2378252286826,1877.9715289790583,1871.4127000618291,1924.7958139770176,1916.3236400017195,1903.1521291915187,1874.817659079821,1871.2420104243824,1874.2842191766017,1876.507006415052,1874.5761789606972,1870.9132979822932,1851.8805345369985,1873.5977087947977,1872.6447147923432,1919.7668335153664,1928.9355351171573,1927.6973373816536,1871.5837615783248,1873.5467275123656,1878.3575997659632,1874.3758551151286,1870.6849232987208,1869.2744189800815,1853.3550500271076,1873.4976377767232,1873.8527325290554,1912.708486295961,1919.1046804766397,1925.3446006639144,1866.4050490576694,1865.5406777938947,1873.9884821301853,1876.0561511047752,1870.7356145503156,1870.4652544051917,1853.8305485902054,1872.5679243542177,1872.8181146160487,1905.6093253939132,1912.180335629695,1925.720879546236,1865.9681836220786,1846.6012492312536,1849.543087964684,1874.9837440503286,1870.3654010474922,1870.6269472927477,1848.0974729227682,1873.9973397083122,1867.4566005649012,1913.1361038384339,1916.9901194912286,1912.8187230340018,1869.5066290849286,1873.8183858210912,1852.3306882073896,1876.227242908572,1871.2086245059995,1870.0331098478637,1851.5731605928472,1875.338669746052,1872.9344185487384,1926.0530115358906,1918.4681128590441,1920.0309972234936,1877.1653859244125,1868.6384445743581,1871.2228275278878,1877.2806078015687,1870.6350176085687,1870.4232782564886,1851.614652614358,1876.1960543280973,1871.6697139758478,1924.3523011370662,1917.9245195732667,1930.0208642405996,1869.3208124471187,1869.5929847341306,1874.4003512292868,1877.3058740738018,1874.061756577636,1869.9483244851442,1851.8136564319636,1873.5477552368936,1874.207512027453,1909.8269502322044,1904.2522869552445,1912.550144535914,1870.9941230752866,1873.0036211447627,1878.3229497049344,1875.2187005077435,1870.9315681484707
WEST JAINTIA HILLS,1881.025860334261,1851.7319840531122,1876.6466757813805,1871.499789876755,1920.3983976208578,1908.9942404807296,1925.404806595303,1858.476351581162,1872.3721735936876,1850.3562893059475,1880.7664705209381,1880.836364185293,1880.3968733745555,1852.8846272789785,1877.2130853369622,1870.665346359394,1920.3947755149397,1907.168099372239,,,1876.2060047429343,1853.3342277947272,1880.9214263070128,1879.9219905963537,1880.1232928042668,1854.1240218524958,1875.248763061299,1875.66147435386,1930.6979452265375,,1901.9349696693282,1867.1362756940105,1875.210870664128,1880.8394806399713,1880.9730001314174,1880.852175807225,1879.2131139325068,1852.1324238958077,1876.4377919577475,1874.4902037517124,1915.1321558960562,,,1864.2363926968985,1873.0348195560914,1882.1172770235653,1880.7528488128712,1881.0614748015373,1869.0049665876625,1857.287172062853,1874.6646721444347,1873.351411224794,1919.8840474604592,1913.5005662123287,,1878.500878954629,1874.109448678912,1872.5506955315661,1881.126289986808,1878.670051098773,1851.1337208383018,1847.6257222808472,1874.0141019934204,1857.3821993589,1897.1528995486765,,,1871.231158005715,1866.983597100744,1850.3077758788825,1881.144618966081,1876.0458608049094,1850.949359064953,1852.239840093623,1873.6723633990234,1871.6809477169654,1905.7943818035938,1911.9501603979058,,1867.0361320441584,1870.3128016230562,1850.3954291334608,1880.7983450856557,1879.8646031086444,1881.1390902554324,1851.1424719948407,1875.5202811679767,1876.3249814668968,1920.6301878939898,1906.7101431785284,1922.0758406030252,,1872.9397606495831,1850.0378207151655,1880.5991053133753,1876.3796367345394,1880.7729002723654,1855.7638279111745,1876.6795755810472,1871.9236338078886,,,1934.9348431414921,1865.888505705969,1857.8822173876408,1851.734125647303,1880.9682957730497,1880.4509631273797,1878.983744689938,1854.535572109925,1868.115826867776,1868.1314434242054,1915.1702829044987,1911.4514333051115,1920.307905845414,,1868.12060109152,1860.1456391309296,1881.0072024822239,1880.1370721946707
