district,2014_01,2014_02,2014_03,2014_04,2014_05,2014_06,2014_07,2014_08,2014_09,2014_10,2014_11,2014_12,2015_01,2015_02,2015_03,2015_04,2015_05,2015_06,2015_07,2015_08,2015_09,2015_10,2015_11,2015_12,2016_01,2016_02,2016_03,2016_04,2016_05,2016_06,2016_07,2016_08,2016_09,2016_10,2016_11,2016_12,2017_01,2017_02,2017_03,2017_04,2017_05,2017_06,2017_07,2017_08,2017_09,2017_10,2017_11,2017_12,2018_01,2018_02,2018_03,2018_04,2018_05,2018_06,2018_07,2018_08,2018_09,2018_10,2018_11,2018_12,2019_01,2019_02,2019_03,2019_04,2019_05,2019_06,2019_07,2019_08,2019_09,2019_10,2019_11,2019_12,2020_01,2020_02,2020_03,2020_04,2020_05,2020_06,2020_07,2020_08,2020_09,2020_10,2020_11,2020_12,2021_01,2021_02,2021_03,2021_04,2021_05,2021_06,2021_07,2021_08,2021_09,2021_10,2021_11,2021_12,2022_01,2022_02,2022_03,2022_04,2022_05,2022_06,2022_07,2022_08,2022_09,2022_10,2022_11,2022_12,2023_01,2023_02,2023_03,2023_04,2023_05,2023_06,2023_07,2023_08,2023_09,2023_10,2023_11,2023_12
AMRITSAR,1868.5274478261986,1847.67605014205,1854.3335568982286,1872.545267542769,1947.8614866622306,1918.2784618698474,1922.964452310167,1873.4899732017411,1848.6054537742923,1874.155241386405,1876.6682999197428,1872.8062856588933,1867.9263791397682,1862.9632346563599,1850.8928447446506,1873.4435362226752,1876.8577269680059,1923.2038808248694,1909.792021930524,1871.7509481104833,1854.3590471138627,1874.9369098526595,1874.254838064495,1871.5783557926209,1869.1219631453785,1865.3426099771655,1858.2094117364359,1868.1686589938347,1915.2148297785345,1924.3917001284601,1914.2357456485754,1872.644681597601,1852.270313673293,1874.9519833441764,1876.5366138390305,1871.0945157278804,1868.0512879153796,1849.0806842882384,1854.480187461829,1874.2633602408016,1963.4718971588356,1928.1603695761385,1922.5675902710898,1869.4537122514996,1845.2947118993109,1875.0400603057449,1874.7760192240357,1871.2272220307664,1867.9530924999278,1848.7547663571822,1849.1675324160503,1872.6363225438897,1922.3396681973343,1914.596582947852,1885.5862046845507,1871.7848999416992,1847.637367269032,1875.2986588957926,1875.387372533436,1870.9030214665722,1867.6640090827582,1845.8209681605242,1848.450408254964,1874.9250030344053,1933.297120677264,1917.8565735415116,1920.654015116829,1871.1818314174238,1847.72188938681,1874.1971876270713,1872.7526363603993,1874.7521818009127,1867.7325029219774,1848.418029598153,1848.913250736156,1871.6811948331406,1927.812034147238,1913.2787296886988,1913.366390627959,1869.8556701562559,1848.1421409026195,1875.1478787679107,1870.3525934803681,1869.516173148134,1870.0834447931716,1865.219201752823,1855.1711577536096,1873.4184627162908,1880.2194407613626,1927.9196548287287,1914.48709255176,1871.9427520882398,1847.396525495953,1874.7047466874305,1874.6412659895707,1872.9877054349436,1868.2209751460036,1848.750158036752,1854.3559061711514,1872.1417566993296,1896.9678666324462,1950.8413671324938,1911.0277929105243,1872.592835482765,1860.5716411095893,1874.7294218414836,1873.8074748781894,1872.101987503116,1868.3911016017628,1848.6111886165818,1854.386937376139,1872.971767273171,1972.8405080840598,1927.4780179230636,1905.0696982120576,1872.2793716931835,1846.5691143640183,1874.5303341423437,1876.929070371127,1872.10098644385
BARNALA,1875.5266733991218,1850.7270317183613,1856.8967312153904,1876.7691731551417,1916.6266011096598,1902.0091275171071,1917.7013472772637,1879.5892063430804,1858.045215695299,1875.1083379436006,1876.6579462214281,1880.1965643705169,1874.745755988475,1850.0308084165135,1859.442036582632,1876.533925234564,1945.252364384707,1928.1334174165522,1915.584159474855,1876.171023799659,1855.2993694637635,1871.291614149435,1877.1206968413367,1876.9760817697384,1875.9939285331418,1850.4023658359713,1863.3958509123265,1859.692993950774,1955.3014650100458,1891.3194214133032,1913.2141813759806,1877.0074491619241,1850.2211460300855,1876.242139808767,1876.7015083234055,1873.530629239655,1870.975446959111,1851.5042965548123,1853.6491184337112,1873.3740044074468,1965.7560275626433,1895.2206737425179,1919.6172118816442,1876.5221542664033,1848.7476159885962,1876.3779931758215,1875.7025270732406,1876.975151762106,1875.533142369657,1850.0417693329675,1857.4542040847498,1876.2844606303715,1936.0069103991789,1913.779027797547,1910.7002890266479,1868.958581373742,1850.0559562617498,1872.5904749515198,1876.5429430118559,1877.3754840354945,1872.2503422038458,1850.501191141871,1856.8715053964215,1874.6903092151747,1916.1210393194103,1901.1488135439608,1920.838475223466,1871.0615811623866,1857.9095283895508,1877.2825403839865,1876.7461200726373,1878.893344063197,1875.5537170862633,1850.0989260328927,1844.871512036367,1872.2373313187722,1923.0159867814468,1891.9053256426441,1920.944024773097,1877.49604788536,1857.4884653427357,1874.177281550658,1878.3810387821304,1880.6527818274033,1874.097316791039,1850.2513054154194,1870.55235950041,1872.953041257955,1975.5859335348712,1931.392909473472,1917.7648561580163,1866.1527824587865,1876.4899008442271,1873.4750292279675,1876.8043562386288,1880.0006034869637,1875.5540500897473,1850.0076512364326,1850.1002901963825,1876.2192284078822,1921.9250942264882,1901.7051364185018,1914.855155125284,1875.601240027586,1848.2828241358748,1874.0744298074649,1876.6845369964906,1878.7007052393697,1875.5066894968015,1850.2555065088332,1855.6316074945235,1874.6672017467286,1949.8058899752675,1931.093988938103,1910.110233392303,1866.3132759960731,1850.2510179428118,1874.2186262743219,1875.8318410574982,1878.9348175112152
BATHINDA,1876.7865644846017,1850.7785080256758,1861.469076696146,1876.335800706843,1910.2309723216677,1895.6698959703672,1919.4000365210866,1877.322677556792,1858.0347432405217,1876.171633074828,1876.001426929491,1878.566166317502,,1850.2355256872197,1855.796456726484,1878.4179357903984,1891.1734718836533,1930.2113535894325,1917.5989632936833,1877.5985890583138,1856.6703869493301,1874.6883342273434,1876.974523201212,1878.291183272451,1877.8987887460714,1850.0528668070222,1844.1001450997132,1851.5202479019865,1952.8742968549764,1897.1871793282771,1916.7465741757396,1877.8049528942247,1852.8251047073304,1876.2986703817287,1876.3903293127773,1874.2201627432905,1873.0370064398028,1849.0227720324194,1857.6562828588737,1858.5080178012204,1941.8894233417989,1912.356141299594,1921.825508681882,1876.483092367038,1848.9085339741716,1875.7185123820784,1875.4169657147436,1879.6902948197305,1876.9462446694913,1850.150576070089,1857.1685757522328,1876.195517742992,1907.5443114182535,1915.8184916664293,1914.171775889536,1875.6800155487317,1849.9113155900081,1874.488283400924,1875.9265069920696,1877.0715150377414,1873.4330612916442,1850.2936774971006,1858.0245027034662,1875.8304916444777,1912.071530623558,1901.3718696718788,1923.5437436954583,1877.16917463472,1868.9039208225063,1873.7509798507774,1876.1810327562564,1881.5483661076555,1877.0605115491535,1850.3048427061706,,1865.8049935294341,1923.3411124667248,1891.262854351476,1921.3367147729382,1865.1307644305798,1857.9350657229688,1875.2924060439009,1876.714008967956,1882.3248203150526,1875.7075889485723,1850.1710306830178,1877.720774920815,1863.2693038815066,1929.8577255381376,1926.1857115899716,1917.4495353333446,1864.5265833742062,1877.9647138037342,1874.165946078324,1876.312539384965,1882.2508625402559,1856.0985678123502,1849.9298636318129,1854.4441546979808,1876.2119168205677,1924.3209034161914,1918.4456745246148,1915.5984936734283,1877.8856884757058,1850.5552639412722,1874.9948821282796,1876.2834947707095,1880.9572077339656,1876.6481923547876,1848.7206449237815,1856.4805033233356,1875.9729590608051,1943.50787382188,1916.7770657405533,1913.5568426094774,1869.030496319913,1849.1327901009759,1875.3841149035918,1875.8705884823253,1882.0524670398825
FARIDKOT,1871.6763914221515,1847.3908098640159,1856.9161089703246,1872.3250490852738,1912.9499938144465,1918.1334872832801,1914.6541004322366,1872.437306314859,1851.2534962357884,1875.7563044349763,1875.320518718811,1878.2917621958884,1868.306484931313,1857.9199901595994,1862.5768666371937,1870.516685077765,1878.4754452004906,1927.0901337151129,1916.0035495884533,1871.5889977152858,1850.9571292524488,1875.0252133970873,1876.5368893926602,1872.565096203146,1872.5517177467566,1849.6462487679062,1863.1027461866884,1869.3407606141627,1985.110808146692,1899.8100478773613,1915.8845579208562,1872.7394306859014,1853.1174223592802,1875.306068749114,1875.5299629057681,1874.2349656225733,1869.676980747896,1846.6508652181717,1852.7692346122617,1872.4422246258014,1953.3474959358548,1912.220773190248,1918.9730444717413,1871.668101186714,1851.167325430582,1874.856872539517,1873.753581400206,1875.9366583740766,1871.6026118331981,1849.1419443534644,1852.0619876395517,1873.1587403384453,1898.4122453503805,1920.0505904166102,1911.4901657944995,1873.5552543886242,1848.7737712194405,1873.2467623713721,1874.747783881884,1877.8345743326568,1869.238022649032,1847.481438235232,1851.3179380254003,1871.9515888539713,1907.3376699488067,1906.4726329270593,1916.9196525389316,1874.060662710048,1856.8202649630052,1877.505665095182,1873.8214753456557,1880.2751576218627,1871.430332995797,1849.1643744698308,1850.6611014684236,1866.95710813279,1913.2444399656972,1910.1108401137553,1918.5378158888154,1868.7386737105228,1851.748237966749,1874.8911441792052,1874.8080360998747,1880.635255916312,1872.9483042734653,1859.4454324107928,1863.9425888325543,1870.7340009928096,1875.999795202824,1928.89609384277,1915.131291838553,1870.5348669655352,1860.472774923982,1874.325840638257,1875.5741315233347,1877.6956734480993,1857.5357414290781,1848.8217395601102,1853.543196735131,1871.7834709244037,1965.930921646746,1923.0329541815947,1919.349389094347,1873.101171573562,1851.3200286395015,1873.7050315784334,1875.4764654461621,1876.7840818523737,1872.0994742163705,1847.7627129723862,1851.807744883665,1871.0425055918547,1967.6779491048505,1919.0013903330996,1911.844203552794,1873.5983247496538,1848.7777196833058,1873.2464111608463,1875.3144272106733,1879.7094293366997
FATEHGARH SAHIB,1873.0365379121267,1847.3792833712653,1853.922757548289,1873.2927682612174,1969.2810171142146,1928.2344532394202,1917.4968555779853,1870.6339276333028,1846.1767064739813,1873.167105253579,1875.160848621342,1879.3710808882915,1872.5994661621085,1848.0745361972765,1852.9584982434685,1871.5595551625522,1926.2766853451685,1915.2390610548237,1917.4074443525249,1871.6888371530888,1866.9795202909986,1874.4371754337913,1875.0361804316003,1879.3460510530151,1874.2563703097983,1848.0155336367263,1852.9399171318846,1870.8005014373082,1924.1264361982155,1923.9266770318386,1917.3656821042157,1873.0731029100443,1852.5938025508087,1875.3631522643097,1875.3235822030874,1876.898650636571,1871.1025369083782,1848.4925284527078,1869.2577617426675,1869.6543952419747,1928.6089940653305,1916.0599062794379,1918.7695834143765,1870.3846094103908,1852.893302112065,1875.9898659514424,1878.5543051566851,1876.903001734962,1872.2848162832513,1859.0110932651905,1866.4423697617951,1871.5678176922365,1879.5124063027897,1915.1702454224817,1915.2667082020798,1868.9559408934294,1863.089109499546,1875.1936732392458,1875.2360252354233,1873.492806523856,1871.701147307753,1843.5103765187143,1861.2006964482118,1876.5759934048226,1944.9172316576453,1917.157228985068,1924.141473598213,1870.8460542346731,1850.834140664638,1874.8641662592981,1874.8559708988491,1873.2593807243775,1870.539071004244,1847.7409229396715,1855.4650520963223,1870.028821569055,1924.4483868276302,1921.7752824862328,1922.5598091332263,1871.5617139031594,1847.9391589030656,1875.8047773884118,1871.9382423000513,1876.6260703184805,1872.4497052857046,1848.2252465698868,1851.9321115191865,1870.4036023065369,1911.163445513769,1918.5172621784086,1920.439582394801,1871.3955265745547,1869.1788065370167,1857.5146890896726,1875.245953770897,1879.6203728811734,1872.3927885485562,1847.7875708863312,1855.8748001002343,1872.1306726351334,1927.9856578285023,1894.2682230222408,1897.5741299955773,1872.367520751979,1853.3419025893809,1874.450999607658,1875.0447362919422,1876.9005041723951,1871.518005964703,1849.1729953632782,1867.8892520869206,1873.361694115094,1919.705713475751,1933.5753151746824,1920.898126623178,1872.5268256787056,1852.4418741749625,1875.1030414034324,1875.2538482091911,1876.5098189441755
FAZILKA,1872.1689954500437,1846.5202773010112,1852.6462393717463,1873.8908514320067,1926.5116918699769,1923.7743240898192,1914.2852858006224,1873.799758314072,1845.861895305998,1875.1577365182477,1876.0597528066126,1877.0255632349222,1874.2685097577457,1849.193281062514,1852.9565485809178,1871.7882770858298,1906.8448900950605,1917.9090736746277,1909.4802622201678,1873.6911393898567,1847.183417672554,1875.3426125981655,1875.7126870319946,1874.495452236321,1871.7840915122479,1848.4633187986763,1850.6343063584359,1872.1449846622302,1904.681962826394,1910.840462666349,1914.7660546497166,1873.5293663904092,1856.9985831991278,1875.1520941013234,1874.5591084333369,1875.2238227104967,1871.2713230270608,1849.1232328574495,1852.0641342918625,1870.7873261068669,1907.969502755554,1925.814450408646,1914.9357576753569,1874.954987660387,1856.170040678666,1875.4017418915096,1876.7999640664195,1877.026892671177,1872.4629809252874,1849.0518468114678,1853.9312218784992,1874.8325999713547,1903.2486024010943,1923.2696377746213,1909.71929230563,1874.8275066161434,1852.320281647365,1874.3798817108932,1875.311135040462,1872.7130186608274,1872.1956343047716,1847.4535329803678,1868.092930070852,1874.2645430594052,1917.2870039568381,1911.2377921406874,1920.4446841661888,1874.098293248715,1850.973939418694,1874.9194051140914,1871.5835691767745,1872.9799175450014,1872.1752911191156,1849.1076282195845,1850.0347998408918,1873.2935806088622,1933.264828646624,1899.6203024706047,1921.1311266351074,1873.6304922615573,1847.1505241419804,1875.915657904941,1874.5106261812405,1873.4034577569512,1867.5762143761253,1847.329121038764,1852.4995082776124,1869.402851364345,1897.1831413083378,1914.0850167292092,1909.404944693973,1874.3701857873764,1848.4661831896074,1875.2311639764132,1875.8435222191945,1874.8181408118587,1870.6951032111135,1848.5325839703435,1851.804086129185,1871.934148189076,1905.8748958376113,1917.4402595017852,1921.3510325327186,1873.1461040426595,1855.2551475203811,1875.19450220775,1875.1483453472313,1876.9135453843787,1871.8779326345057,1848.8062920616353,1850.9705454815273,1871.9770162115626,1912.4887841660627,1914.5264466553217,1923.3381094413926,1877.9771525215658,1864.3751949279538,1872.8540210096437,1875.81547464096,1876.5401850159049
FIROZPUR,1869.2085888850502,1845.3943709701348,1854.9447172745427,1871.9797058557356,1916.100331602324,1924.2869163327837,1914.4220892885587,1873.3296634419576,1848.066468981273,1874.8115574244384,1875.041265848155,1875.1921267127927,1869.5119172974744,1862.4417440042025,1860.2147126791103,1870.1452364512963,1878.2775113360149,1923.0905933736137,1915.2476855340865,1871.1381412436037,1846.2075887028961,1875.0283387824275,1875.8761806792413,1871.6052107653593,1869.8432362659667,1853.1662357899972,1859.1726183436792,1870.72141567103,1908.9153669115394,1910.6725689016005,1913.872626320283,1872.8107954710756,1853.2233336580862,1874.6182315139001,1874.88912421516,1873.4745659318858,1867.7898203290845,1848.028959257141,1849.984076481164,1872.3363822382187,1975.6998805065928,1919.5147167060038,1921.194870536808,1873.0830277468544,1849.4487516100962,1874.8850836358588,1875.2420710049548,1873.3957357077365,1868.5325773973057,1848.529630709864,1849.7838069323684,1872.7511783511882,1910.5616933100732,1918.6202717066665,1901.5112767794092,1872.818329540207,1848.283328477588,1873.2779947557106,1874.8261468815576,1873.5192332996744,1867.6117151443743,1845.974965840257,1848.9052275377974,1873.6720080620787,1909.8612356928138,1916.7361404772603,1912.2002087213334,1872.7898479480018,1848.9308499983379,1873.6369304632017,1873.3444316511789,1876.3877669269184,1868.82586305661,1848.5160490926921,1850.4600193733359,1870.571358527113,1916.4257466541565,1922.195974310669,1915.3037657299342,1871.4941844125478,1848.1280302315186,1875.102582819882,1874.4514021815082,1875.9014372887982,1870.4042883416337,1863.4629109719422,1861.1017389458486,1872.2947345837354,1887.009117514653,1924.5835564466431,1912.8698738362539,1870.5859784496922,1850.9004869453327,1874.3475196859042,1875.1655406888767,1874.3618639371402,1866.3910218296498,1848.2776678907226,1851.057537757473,1871.776312341266,1934.920198914656,1913.1386794859518,1918.841786512853,1872.041979938909,1853.3428359438294,1874.1234890579865,1875.2058189261647,1872.7063986387566,1869.308425084024,1848.0943900954921,1849.4913436365384,1870.359988756458,1988.5041586562184,1922.6274670314265,1922.9385809701187,1873.5362176800757,1849.7757524975661,1875.288127057866,1875.4062708937627,1874.8099628121483
GURDASPUR,1874.728656195263,1848.6566344638882,1854.508027101181,1859.940503257221,1950.2398726844992,1907.784093144257,1914.2008276453512,1875.5989326527638,1851.919872839091,1874.91190078476,1880.2665627064998,1878.4967080014403,1873.3454119554635,1853.4719255855064,1854.4946260430995,1875.1995550172003,1866.9906452547455,1925.9955429734205,1907.9300251658544,1873.1813055215011,1869.7720316201296,1875.238760475173,1876.7956166593876,1875.199576720653,1874.3149295488138,1853.7347384714635,1859.4524118354955,1858.27473195438,1908.1772228952445,1921.4761210652903,1910.938983188753,1872.9560379614313,1848.8748963922044,1875.348807647473,1880.85498428375,1875.0481713487316,1872.079435312656,1853.8092150384584,1854.2030289817822,1875.2287381106876,1999.7155102296654,1907.6545388269803,1933.3863892784682,1861.6303996585068,1848.7877038387883,1875.6216839305328,1878.5615758038107,1875.039104041178,1874.1238421390071,1849.650002855317,1854.064463857782,1875.121608318052,1926.0730241909253,1919.0234728935109,1897.4304076282563,1870.787696387551,1849.453979312038,1880.2983187639018,1880.9408221455835,1877.4562038705803,1871.8309821187993,1849.028478574146,1854.549611057354,1875.0374773283427,1932.0417716493514,1916.3001903712438,1917.843715013447,1873.1900438951911,1854.3813114116385,1875.642015841101,1871.4690409129873,1879.8845623155778,1874.3408528946843,1848.8780697555449,1850.4490180523767,1874.2652686843476,1933.2835429348686,1897.3327507187203,1914.2690975491698,1860.818270363884,1851.720354361875,1875.8721286273847,1875.8352551258406,1873.0700746293917,1875.0169656221585,1853.7642210053102,1856.2404139275957,1858.951748398546,1876.6478359846183,1937.6044844743967,1910.7345682037217,1861.6051794769965,1851.0992717864974,1875.1341535032684,1876.827102625438,1878.5518581077438,1873.5201516444183,1849.7541879208895,1854.8871429661763,1874.2647529399576,1890.2722064207321,1940.4304081077432,1918.3166417793507,1875.0608928131473,1872.4213697204132,1875.232822884724,1877.9273453136254,1877.9723030542905,1874.8920611410422,1853.4996461653159,1855.280712409952,1875.1424648888506,1999.6430604687764,1928.8191154840988,1910.980107059233,1869.653934308314,1848.7047496278715,1872.544056838088,1882.035494050975,1877.8701757233812
HOSHIARPUR,1873.6272955865782,1848.8718066364165,,1862.0605022788097,1961.5723954866128,1901.5540067239488,1911.39767955678,1876.6707510488948,1850.7646981661337,1875.0383111067883,1879.5679905845602,1877.9404178339134,1872.6347957930848,1849.7387125382515,1853.7434317180553,1876.5518973711262,1882.1754958128809,1932.6627235702142,1899.885674835031,1869.636749954256,1877.527007325791,1874.095140694592,1876.5348420664357,1874.0710764030596,1875.143690738771,1849.5787291084189,1854.0659322393385,1857.3155997976871,1895.5003259161272,1923.8545438894232,1908.4332104673276,1876.5689788354277,1848.8229130394789,1875.958446563604,1880.198907517164,1875.5914242662618,1871.675828337345,1849.2803117020753,1852.1115234328236,1876.5290844118565,1970.2105172468189,1891.5347587222868,1914.2090388400375,1867.1045429684614,1849.2004560431842,1875.996458302705,1876.68115149794,1873.8045504555773,1874.3718767805578,1867.3729734554427,1853.184649548194,1875.6719742516314,1924.5455294428232,1925.5125979751679,1915.4051352708022,1869.0772678097883,1849.236806573176,1879.230416850142,1875.6278970586432,1876.7315713769103,1871.1901654761095,1849.5111991751382,1855.3268076287175,1878.5847163403675,1926.4542394787932,1917.037176377805,1924.5545617429077,1876.5903990079457,1855.7429980032816,1877.0074769311418,1876.4940985923197,1876.9358185570109,1873.8409550353415,1849.7837495811516,1846.5238556772254,1869.2675177485048,1962.0490461398347,1890.4231224700793,1915.5810403752055,1856.1841555487424,1852.034460910015,1876.1704781754447,1874.8874486733291,1873.9657404099016,1872.4645141776225,1849.055140664684,1854.548611613281,1858.5933137189331,1887.8710931746218,1926.6051479541457,1912.3531743847093,1854.4675665206737,1850.4149351499323,1875.8113853606042,1878.5649492410473,1877.6328678792577,1873.6358288116974,1849.3277448045508,1853.2257865563586,1875.7247491113176,1974.5853038022751,1921.2039037078775,1920.76948543557,1875.4819763430403,1868.3263928115628,1876.0600084282066,1878.5286744174812,1876.6729542553426,1873.5268818939612,1849.6330817915532,1855.549203097955,1876.7622003655658,1968.488336402557,1965.6172419232314,1906.9675309245224,1856.6027533352024,1849.2759962201367,1874.1596741322198,1880.4165453328587,1876.0136500125684
JALANDHAR,1875.7164339588987,1848.9734261017663,,1873.6841462346704,1923.7092891882498,1891.4411166684629,1917.8591711894135,1877.2167460188248,1853.676231195408,1876.5465852941186,1875.9515539536158,1880.5779600434396,1873.6866863547627,1849.8473601371868,1856.9045862041266,1878.2562522595304,1867.8848871219716,1932.6636873037687,1912.8947934464843,1858.8538440910295,1868.5814016355932,1876.0554444034683,1875.0886692590377,1875.1646299573101,1875.9640957430563,1849.8253852881505,1852.7369494766253,1845.9625971164485,1938.2178530545325,1920.661638575724,1912.593736731975,1878.5298276269104,1848.5398848766529,1876.6929537446097,1878.2213946787122,1874.6765244940598,1871.5111741412402,1851.6664965563111,1853.3718383396754,1876.0539330917388,1951.9402209767072,1896.8581204674192,1919.5313510797903,1873.2543383875272,1849.9557860511113,1876.8060129524908,1878.7463169470225,1875.670111371267,1875.090403051561,1849.974379180189,1855.021776132644,1876.305464132822,1933.1632441030074,1912.3324256070289,1916.6245015945535,1871.6012543989168,1850.1350142379026,1875.2879157243715,1875.9333172633603,1878.4096944202383,1872.5379351218621,1850.5076021129726,1856.9980382217843,1876.9570813606601,1938.8621708478954,1907.3588541092106,1921.5294749172454,1875.3502899079078,1857.4893239422427,1874.3688719472327,1874.938681974146,1879.194805543411,1875.8387899512015,1849.8859991475224,1847.6736788495036,1866.2364413095145,1910.5468511625659,1885.5431799927626,1921.5059671973904,1857.535941277804,1852.588848094929,1876.5994830223335,1877.841687950019,1878.2219492510014,1874.444842539031,1849.9739287633845,1858.0703825215405,1856.6176357080437,1882.0051040104245,1933.8995411249548,1913.6918424245523,1843.9343135622423,1854.7009937806324,1875.756083834155,1876.044683383802,1879.0621419952347,1874.9957381648221,1850.0073430910775,1852.061185503332,1876.0622534174174,1970.19213629646,1929.099625524711,1913.7646238944492,1878.0073333453656,1864.4792858774576,1876.549943051928,1876.022277601138,1878.6408061974385,1875.7838478961082,1850.8615761871522,1855.0940725683613,1877.8000753457056,1979.6390033406376,1937.8862261916681,1905.2854363534898,1863.5644982912982,1850.5419068719132,1877.1494106617447,1878.5870076874771,1878.8894092238868
