district,2014_01,2014_02,2014_03,2014_04,2014_05,2014_06,2014_07,2014_08,2014_09,2014_10,2014_11,2014_12,2015_01,2015_02,2015_03,2015_04,2015_05,2015_06,2015_07,2015_08,2015_09,2015_10,2015_11,2015_12,2016_01,2016_02,2016_03,2016_04,2016_05,2016_06,2016_07,2016_08,2016_09,2016_10,2016_11,2016_12,2017_01,2017_02,2017_03,2017_04,2017_05,2017_06,2017_07,2017_08,2017_09,2017_10,2017_11,2017_12,2018_01,2018_02,2018_03,2018_04,2018_05,2018_06,2018_07,2018_08,2018_09,2018_10,2018_11,2018_12,2019_01,2019_02,2019_03,2019_04,2019_05,2019_06,2019_07,2019_08,2019_09,2019_10,2019_11,2019_12,2020_01,2020_02,2020_03,2020_04,2020_05,2020_06,2020_07,2020_08,2020_09,2020_10,2020_11,2020_12,2021_01,2021_02,2021_03,2021_04,2021_05,2021_06,2021_07,2021_08,2021_09,2021_10,2021_11,2021_12,2022_01,2022_02,2022_03,2022_04,2022_05,2022_06,2022_07,2022_08,2022_09,2022_10,2022_11,2022_12,2023_01,2023_02,2023_03,2023_04,2023_05,2023_06,2023_07,2023_08,2023_09,2023_10,2023_11,2023_12
AJMER,1877.4789389354305,1848.3477622243415,1867.12331409245,1894.7259650138765,1894.8140583517622,1906.6496306286328,1908.948042709644,1869.0951871594898,1877.4074484077908,1875.3347807006444,1876.1488705726968,1875.9679063624,1875.8415944424328,1850.6887930643438,1865.2827886957252,1875.3358327646736,1904.3898728705883,1911.2597654983315,1928.581348696028,1866.7004514236116,1873.5277386601147,1875.4221139519245,1875.2752822945902,1876.1885475686338,1876.0299285903582,1851.996170382493,1871.9647981731246,1865.1831284433756,1902.6547163744826,1893.4288335013441,1924.5850372996356,1865.2817807648212,1860.666080963814,1875.2760055972876,1876.028910702252,1877.7347233464918,1872.062139614646,1853.367869589031,1869.0523857472397,1875.9585325267474,1905.6073108838202,1921.7990688163611,1920.8726766005461,1872.415449301849,1852.7959785769442,1850.815156266072,1875.544619843516,1877.9987553059352,1876.2386659653873,1851.941427353057,1869.7687500155837,1897.8718164889558,1903.9967040978438,1918.4278383588207,1929.1380475991314,1888.1418014301048,1875.152643376339,1865.0383749754753,1876.3318742984309,1875.6802153718806,1870.7698800624728,1848.9907733104665,1868.6787723726652,1875.6485947437207,1903.205312918484,1913.8905023036573,1922.5633819230131,1872.6576465481894,1873.5230350863494,1874.578574196078,1875.7593937688962,1876.019392654148,1876.4383336988144,1849.6167266861014,1870.8240403707107,1875.3798442602626,1898.9354617651568,1908.1685923239693,1925.349482975119,1905.9718272596347,1877.0272322640808,1874.5388221470662,1876.3202440336106,1875.6900540646625,1877.0648293738327,1850.1367829749058,1874.178351612482,1871.246822246056,1908.314278671425,1920.1713565973964,1927.7357522641266,1866.613905070265,1869.011396077683,1873.8224641665065,1876.0188648186381,1876.2289677770077,1876.0339486296004,1849.9329086202438,1858.272488336942,1899.133421791355,1903.763139120021,1899.2289671230951,1919.446948448185,1913.8492615851978,1855.3894281943187,1874.9885809619414,1875.753860733603,1876.7023352968665,1875.8271264259054,1852.168286053852,1872.3915941028226,1887.921541859566,1905.843403459062,1922.7740555764913,1925.2657892999248,1874.1357491868232,1852.863909657938,1851.8524575563235,1875.6452861471232,1876.5465008686397
ALWAR,1871.3042180399796,1851.4817067754784,1875.0186653767528,1873.506601715027,1903.636896884482,1916.0272184001526,1918.2488100190494,1874.631437518188,1854.0651879343025,1874.1107276005507,1875.8731866171838,1875.8793736344273,1874.4532341639847,1848.9742230305071,1868.8342965644038,1883.036620514767,1898.1200743376346,1921.7599062442512,1922.8441190490748,1869.1854521221899,1874.489680368008,1875.5816199653923,1875.6054595776707,1875.7261032266242,1875.7285309300837,1848.773746703133,1869.5141141293998,1869.5466346189687,1902.5879053226597,1922.7504603210575,1930.4233652397024,1867.1399856821251,1862.3367707575167,1875.4663912590672,1875.8039918122204,1876.213594949387,1874.8740234762838,1847.687276901907,1873.6809110496977,1894.0687992885685,1898.1796142277938,1917.026665517676,1928.1681680861752,1866.4262688864617,1869.9287027420226,1873.9100048323112,1875.9891576961038,1875.9463896519057,1875.8016677691337,1847.4583632230372,1874.7291794575403,1896.893265311744,1899.5020929189081,1910.9292230594463,1922.7942689438316,1870.0420481796534,1874.9045305089753,1875.5703119001396,1875.8398035196676,1877.1497280357555,1873.9763087748772,1850.8538455397602,1851.808092214037,1876.3468987673148,1898.140271647391,1907.5623452591487,1926.8645814411566,1878.916466352962,1871.0770562451387,1873.9966707252806,1877.8664846689403,1874.6556186821342,1871.2550520845257,1849.5103797791508,1858.375876692878,1870.3994368296464,1901.2524498565997,1919.0687205606328,1923.0214530219562,1876.9812534878897,1852.7425657574242,1875.6265051022087,1878.9277186049628,1876.4431119897308,1873.95535290682,1848.7708692187832,1872.2615134817095,1874.9604451701764,1901.5810809197167,1919.285445518793,1924.2263808493622,1868.5311184395994,1873.4301034027994,1875.4090570073677,1875.890794735118,1877.8084062897715,1869.9233121494294,1849.718881423083,1870.4407396763975,1896.0837972055735,1901.3904442733776,1912.7373787755964,1927.9500716732118,1870.9554376083317,1859.3551688587277,1874.0747217697472,1875.7670596203975,1875.80846002904,1873.7500347950347,1849.4968984582704,1870.2810917599354,1874.5587066812632,1912.949181265872,1922.2891157950917,1918.979359748384,1866.046925221553,1867.7707879864904,1873.9426189958385,1876.1649686838766,1876.3182207127886
BANSWARA,1865.1162408443895,1860.0794295720648,1873.7405287402833,1880.8849524765642,1895.8746016571126,1888.8308136078306,1896.8319288077541,1876.2108423602751,1876.0281818471133,1856.491223549793,1874.3463903674253,1875.16380105739,1866.589397798172,1852.6783046021399,1873.4982280671757,1871.7315229274286,1900.9483946007867,1889.6890101022052,1889.8939683723079,1887.7335907955762,1871.6910705850094,1866.834758003716,1875.054877018405,1875.1091811757026,1875.2154471115932,1850.0142050726495,1874.7592172295488,1867.505422750441,1907.8724650840907,1895.8605036929737,1910.7673584365368,1865.1844008242574,1872.7131787632277,1866.4476033844028,1875.1722942229126,1875.3399076494848,1853.080561503447,1849.649721007755,1878.9249707597605,1888.6776836144722,1900.6205930685678,1890.319118921695,1896.9168136412452,1869.3421350878148,1872.6254018112522,1845.814021323532,1874.9854292047285,1875.3225099615368,1866.2956117449082,1852.9581930387649,1872.7225039328678,1885.0944505039495,1900.827180724198,1892.352488527544,1928.570186392399,1917.6779707235228,1870.4476007008905,1849.9276407421169,1874.9912233617165,1876.1302220448088,1866.8402508378542,1855.339296916382,1872.6168443565368,1885.6426191130759,1893.7541602839688,1893.7212805099696,1915.6856928537973,,1870.394080950772,1857.3141717554531,1875.606945556334,1876.8038805082979,1866.697459219137,1852.655139423318,1869.3753066686418,1875.8012732289515,1896.5992767973887,1890.5383074166714,1925.2186179561375,1877.7719392362417,1873.1762192794968,1858.5767857609776,1875.6901703777985,1875.126427584467,1875.223418909169,1853.1812614625294,1872.5887392345053,1881.1289883780473,1917.3956591010622,1891.7950775003992,1891.751411751232,1870.0748844677557,1870.9925669939157,1865.3283676409246,1874.982100472943,1876.4321181037444,1874.0008015120868,1849.1203973884374,1873.4803894755803,1887.7236777818957,1897.9139411489095,1899.2247303932947,1887.1152261763891,1927.530724965765,1872.7851202304864,1865.5146123090667,1875.2144238190592,1874.817571637356,1851.5367223843398,1849.1760216633236,1874.9769159035993,1872.5938157492428,1909.8980416377135,1904.35069646594,1886.108696132206,1868.996109750219,1869.3724728281497,1849.3217259464016,1875.0395122090213,1875.3254246515473
BARAN,1878.8902280104292,1852.516564696775,1876.0443215033004,1872.9422534438977,1904.3265139063544,1906.0230126479678,1907.7428895971775,1863.7039192854302,1872.5771348059525,1872.035814075069,1876.2253344345693,1879.700912555756,1878.0540139398306,1854.1729045176794,1875.98875864543,1874.1796590598979,1905.581987779939,1903.459235049035,1927.178386329096,1867.0984688704043,1876.403191463482,1876.1709684815307,1877.002843558206,1879.7011563838855,1858.1562668273539,1856.1269927371839,1876.473184130452,1874.1800715880347,1907.41034852536,1906.8277370885216,1924.2155305632723,1870.2925729444285,1875.5265400653077,1876.1854318453804,1876.3063789801497,1876.8450751106868,1852.2176011964714,1851.4270620445595,1875.030407983974,1877.45453747887,1901.3606683949865,1891.0692324591535,1927.1780812204108,1884.6971365089698,1875.5045500224774,1853.1309795935101,1876.5511076032842,1877.9470967760155,1877.2351366834428,1851.8409274163548,1874.8663700648224,1892.1058769193282,1898.1465985389696,1891.3786394036733,1900.4268518276458,1868.174385304687,1876.0444337256058,1852.808069846384,1876.2533193623683,1878.088780878576,1879.914992892777,1854.7323839686326,1873.8394184936355,1896.3402332764372,1908.6913866231482,1902.9779473940912,1920.0029009930586,1933.0077758685904,1858.8702419449896,1858.2564779381453,1875.826653250985,1879.2750280051107,1879.123963833926,1851.3274044958555,1875.5482305133014,1873.7508985222803,1895.9999180342554,1907.981441874367,1922.1226778843145,1916.139238541267,1873.2640063989422,1875.6389017426907,1875.937886094896,1875.818853335697,1861.7601059840888,1854.5103575887663,1875.1071789084488,1894.5865455619892,1914.97513567944,1904.7372081346507,1908.2463471069354,1876.50081136722,1877.7287451409275,1876.1634167805917,1876.1830848384911,1880.0376631867052,1856.0794762573155,1856.165469988835,1876.9060042301762,1896.0434879694733,1904.8101297364258,1895.0550099594882,1905.3905572679705,1870.575844856962,1875.0852893990095,1853.5723736588764,1876.2433574167787,1878.585262537185,1879.651431794974,1850.9755418953714,1876.248452205921,1870.1806952215595,1902.5193988362519,1890.6100810680791,1930.304679318653,1877.0419374533199,1861.0840373082654,1853.224127368983,1876.3271769876542,1873.7094244519722
BARMER,1873.9895048612177,1850.0693357321586,1873.7151244305471,1892.8715825997879,1905.7562158048127,1909.51678246256,1920.0351503517604,1874.290733821673,1866.652193465051,1870.6080143897907,1876.4783647085355,1876.8335079398948,1870.6643737248037,1852.673040563668,1868.997293558793,1883.9101431942381,1908.9695892654022,1905.9324959483945,1925.5913039683855,1869.3800342250388,1872.861911709117,1869.1373899142172,1876.149581528529,1876.9906425725712,1875.3905053249791,1851.5648735795967,1872.4132132010966,1888.7813736432322,1906.2650444234446,1910.043971097471,1928.2275956023648,1867.5651201379817,1874.5009207611897,1869.5283534406576,1876.6111144239028,1876.20176877563,1875.3098885953705,1851.676598322361,1873.8928980137655,1895.3893463600125,1903.284213613985,1907.7632193037327,1917.9448627756847,1868.3698534763143,1869.715065259042,1874.0099189866446,1876.6152868997601,1877.160829357065,1871.5808464355414,1853.7213305194844,1871.5352452715792,1899.3482425456002,1906.1626783992547,1910.7524108412304,1926.2989876146946,1871.965045369116,1860.4041409850556,1861.2039142328322,1876.199683248753,1876.2308815764404,1875.6080101802158,1849.0306285401673,1873.2317006048522,1902.2852171715933,1908.3467006272967,1897.0097950278714,1921.9828604936217,1876.5014253559502,1873.3282949950833,1865.5084552986189,1875.2675606527903,1877.1239138252074,1875.9204160513113,1851.2034856646305,1864.1456311197862,1876.4176333396456,1907.3420029666736,1904.400723147146,1921.8381162877586,1880.3237102351372,1872.250615651667,1872.7549271116804,1876.3841470129234,1877.0149255180472,1869.9138925204331,1851.7375675099183,1878.18889280886,1888.2784692433522,1914.4840899582568,1902.5348756174133,1924.1621392656118,1875.200651554882,1873.917335694017,1869.298284997491,1876.5786280967902,1875.8022154755197,1876.0025497944819,1851.5768744270295,1875.6636527912083,1894.7143065610157,1905.16549342277,1903.0422330679362,1927.1227862971734,1903.8423872035778,1870.7712330165616,1870.5598521321801,1876.6067258370476,1875.841635537672,1876.3991097035275,1852.788990382579,1870.4105237335643,1868.7810316358355,1906.0644746650821,1908.8716638947935,1919.4392420197428,1867.8749716715392,1868.0353483469003,1873.7624321962658,1876.1813387878437,1875.8879738257356
BHARATPUR,1874.2370065571163,1850.0928706786156,1877.533870758889,1871.9970333051012,1902.522601306355,1912.369143319245,1927.282108231832,1869.825355494894,1875.0084432781518,1876.3923509563162,1877.1497223560125,1881.3425167540454,1874.9920506336714,1852.5106285322242,1875.3109337364203,1874.0807802960949,1901.7964314260255,1920.5185525770826,1927.604158661909,1875.2569071627452,1872.845769466986,1876.3936533795645,1875.799946026567,1881.227222333884,1873.6891287314895,1853.0724906502128,1875.4050346998445,1863.7015893782027,1901.1065333248016,1928.6245591284262,1927.1724492197104,1872.4354576086666,1857.11883468682,1876.4039428500564,1876.463322053375,1881.6160041570224,1877.8265079913165,1849.6418409200282,1874.0377128411135,1875.0267792075194,1907.8971915989343,1926.9030478960324,1925.5731230518982,1866.4684129730977,1875.303682738077,1855.534079562382,1878.5418423780113,1880.5270202425418,1880.5573888562099,1849.7310198662137,1875.6744733952767,1914.3986481616823,1902.455917750964,1922.6107139030782,1911.8128915762013,1866.4545913131394,1875.7736273997868,1876.3257422326735,1876.9393985644635,1882.1907418886738,1876.4551650559663,1847.3047516949441,1865.6319187678275,1880.0739813399425,1911.8488122375663,1925.2665571917578,1926.980273136964,1919.1417937917067,1874.7835826497055,1876.0945723400955,1875.2434838155834,1880.7383655552103,1879.2616924471286,1852.0069029344124,1876.0512530275234,1860.363224311862,1903.5052663115837,1907.4948005692443,1924.887325884937,1914.3746331454543,1875.2656585277737,1876.4069409710314,1880.5181596096543,1881.820739968766,1879.989668665913,1855.1287819023642,1875.0678851624414,1875.2151111040396,1902.6544995800296,1926.0749548061738,1922.9009578740188,1876.071419135274,1865.0574307675174,1876.411778469135,1876.2658968100793,1875.7995658696339,1876.6515808095287,1851.6864573820235,1874.9993696222962,1889.5372300535764,1907.5969708046082,1910.7726089000269,1929.5589573578018,1875.7523299318768,1857.554027733817,1850.362038880943,1876.5811164871316,1879.5222479554286,1878.459365246386,1849.9411647206136,1875.0481654877215,1866.7787807353855,1900.5482805381437,1924.4884227331179,1924.565135206138,1865.0871854784302,1871.5793919112107,1861.2336888051545,1877.2672954813397,1878.9733599773365
BHILWARA,1869.9675941981745,1850.042929602153,,1886.3544942897208,1899.7069388351788,1898.1583026027533,1912.4895071890533,1872.0066001149037,1874.7868701642137,1875.392600610764,1876.4124810809762,1876.6250857443943,1874.3489102444973,1852.064567591213,1869.2595211175146,1880.5987766509782,1902.2157669749477,1908.5825020014881,1923.3120057048127,1867.1890186613307,1875.0878680909668,1867.5493253273612,1875.2422429083676,1874.889720415585,1876.207116179709,1853.0240602951114,1871.1954338799671,1863.3046701366086,1901.2672635198146,1895.4337632769038,1923.4683922425272,1865.6999418792664,1873.229450905694,1867.629121556713,1876.4625729884733,1876.1410329366352,1875.671908368365,1854.05828611455,1870.0290210863889,1891.6983257581107,1903.443469755023,1904.381175382032,1928.395593518584,1866.4725254448113,1860.4737727339575,1860.131145892266,1876.1152878339292,1876.8602241215644,1876.0948264092578,1850.3844672363894,1873.9743204154668,1896.6134293144614,1906.3528649980394,1903.7451899452083,1921.7019310099756,1880.3426869634955,1873.0167921733191,1865.9295283673284,1876.3314067362799,1877.6092258269668,1868.948941200033,1851.032561344154,1866.238445389965,1875.6080581455067,1905.7235000171893,1908.529375436985,1924.602504473229,,1871.4896391533234,1870.091682612451,1875.9795167109287,1876.144394779972,1869.966782858702,1850.4597398707085,1871.7519182023539,1873.9094078754124,1903.051209243621,1899.4387811091665,1925.370868155187,1886.6605913296069,1872.6591462989088,1867.6070322535131,1876.4221993987733,1875.8383198009083,1878.1233143109791,1851.3842546908133,1872.9442903020877,1872.8294808476926,1906.1228839821522,1910.932164088586,1922.900891434642,1867.13644630092,1873.3373766408001,1866.621696282093,1875.2898536298121,1877.9281003305525,1873.048160005418,1851.2665894496993,1864.6180798216692,1893.2876517293305,1904.1418743558402,1899.2241151916653,1914.0788426187926,1914.8390481292795,1866.9904833493927,1868.762242060635,1876.167420259897,1878.3657847930958,1878.3582356599022,1854.1102818649565,1870.4741300873295,1881.8547077336273,1909.9533662628257,1914.2770904990148,1926.3326704923159,1867.6704699888348,1859.813125661942,1861.65304909384,1875.9538909663227,1877.2932012004078
BIKANER,1874.38933829329,1847.9400212663643,1855.4074051939922,1880.3753936261232,1894.4971347250269,1901.305519038012,1923.3863557116038,1871.6880486787713,1854.4954356205421,1875.1955247688727,1876.0473734656675,1876.3570486745775,1875.8186423215718,1847.7000656638263,1863.6298689194502,1884.0609988597496,1898.2375507978693,1921.5360691533053,1923.5928196857776,1871.754965925784,1868.104073423742,1873.9217138153956,1876.2448123924055,1875.584043749197,1875.5887067138694,1848.2977031037963,1862.5545505546095,1900.04481507965,1902.8394200210223,1912.3858839596692,1924.0715944410288,1867.5851641417767,1865.0010633434065,1875.42447146364,1875.846761802568,1875.6645445868132,1874.3047496823456,1850.0677586799372,1861.6490809832835,1898.4548191291562,1897.798046635657,1913.8983991082866,1922.944105574471,1874.970760832445,1862.897251706264,1874.262527428483,1875.8919289422317,1875.7218892541828,1875.9268072402567,1848.9188066290483,1866.2257072761363,1888.1540779022826,1901.935597539699,1903.3273665569543,1925.3806557107523,1870.8660182217527,1860.0380212753741,1874.7214699206013,1875.9861807747445,1876.0528901989926,1878.3939054023188,1847.4729013479705,1862.9359086190484,1895.9413938761863,1899.8846181055387,1906.3349005514954,1922.8502560587215,1870.7540819116734,1855.8572032689235,1875.194508860619,1875.865745964164,1874.1953384521112,1875.5336651339917,1850.7729676404053,1857.8988175252455,1868.1649943759865,1901.724038465468,1912.1682622573783,1922.0962192966008,1876.038495700419,1853.9949641518606,1875.4384350469911,,1876.0007523976194,1875.4159609092187,1849.2121969421087,1861.6646570755954,1886.1635665482343,1892.5589832277144,1913.934216469343,1922.6249855647222,1873.349203202683,1865.4631137400122,1875.0157186895535,1875.9980168830741,1876.603649330505,1877.1148923253627,1849.9713783682334,1864.691022670713,1900.0337987313007,1902.3975403952927,1908.1409976327495,1924.1081514510008,1867.7418252931623,1864.5211766547816,1875.3164674062857,1876.025656116355,1875.482852487614,1876.1379079718163,1849.4155241658736,1865.2380090529482,1881.2570242280449,1900.1385656607424,1920.7889029581613,1924.1316689389043,1869.3346502715,1864.307746115157,1865.6606516623626,1876.0187051325158,1875.3267848491812
BUNDI,1873.7820814453232,1855.6015635595747,1874.11505565672,1875.4470079422447,1906.82967663877,1904.29685540641,1927.8534221376476,1871.4596151556098,1858.8709590285937,1859.9524979235566,1874.1778974431143,1875.5678579611022,1861.3955414273537,1848.296475848653,1871.9264975351575,1877.8159683273739,1906.1839679854804,1910.0096027831555,1916.296678924258,1876.57144649442,1876.9934527619787,1853.1478263956205,1876.635658696554,1877.301217979239,1878.6613786283317,1850.0350963369397,1869.5892466778485,1860.777900592071,1901.6274344667688,1894.2441853113,1925.6571470124666,1868.9382052147612,1876.2614827718216,1870.6638868036068,1876.7579795009092,1876.2211774939747,1878.1000978244726,1852.0495390868052,1876.3136031818053,1896.3744820610125,1898.6911650938848,1890.958564533716,1926.4851214109954,1866.6978765439771,1877.3526936515962,1876.2549767154853,1876.9225489365542,1877.385122759582,1877.6837605455407,1854.603467053777,1875.796922754044,1872.9630439602718,1904.4893921850717,1904.4561304247316,1907.1156624781518,1866.7208034073963,1866.701166390613,1876.1878956661342,1876.7881185181006,1879.5018603453277,1878.4639711050916,1854.315071323365,1866.3744315836182,1877.7515953261056,1907.23851159716,1902.1392287181382,1924.012910633173,1928.435952961958,1868.6035712855341,1856.6618855364525,1877.0656176345979,1877.680778926017,1860.11940260238,1850.1785559465716,1875.876289285115,1875.2896443067666,1907.0917671786704,1908.2438056366332,1925.7620965883923,1872.8940401588577,1855.6919249389352,1852.7932862544494,,1877.160681913888,1877.7085049261736,1848.8492777127883,1876.9114596860302,1869.740406988463,1907.8202912110626,1900.765333989038,1920.130204159465,1878.9806576675335,1874.8058224739573,1857.5233357159352,1873.3898949174145,1878.6086276603344,1856.6925535499654,1849.9108126661326,1876.572511252111,1880.9947366588885,1901.5846318154888,1899.361891305524,1909.869837809937,1871.5170642296623,1868.0785159132981,1875.4940491903762,1876.8281628942505,1878.173234074142,1877.5391465595142,1850.5297314777858,1872.9031103283387,,1892.9168058910186,1925.3045539668858,1926.617881920953,1866.3477466221507,1877.7641510476165,1876.252138881446,1876.5762823482726,1879.3126993147564
CHITTAURGARH,1873.278114135536,1849.9918968058628,1877.1233310032007,1866.8520825852424,1900.953242961181,1895.6652123084277,1893.8342049950531,1887.8538412460825,1875.4833273505258,1874.4834488558245,1875.4634903348779,1875.3888643300525,1874.710070016933,1849.927203227992,1874.5635981323012,1865.4219052314058,1903.8819758746135,1905.3846428668542,1893.0977547458717,1871.7161479326535,1874.6018896921398,1874.7170197817936,1874.249097084481,1875.568765635189,1875.719755920621,1851.3467578576413,1873.8106217926613,1869.4535918046085,1903.7501741891128,1900.4877418757367,1923.2480189507373,1867.234711385936,1872.44673430227,1874.5217796850216,1875.5390959243218,1876.2743056621716,1868.8017884219623,1849.4402797155285,1874.943678618029,1875.36539868863,1903.5180494100593,1905.2400357777324,1894.773211485869,1866.6125192837012,1862.9620177308998,1850.5636030425821,1875.389735334811,1872.1399758282607,1875.484104765138,1851.0309978469438,1875.2268114728724,1896.5509248807432,1911.137459456858,1900.577475017936,1925.1497800865732,1919.0486323084501,1874.0524094349857,1851.4686925986393,1874.976515677694,1875.0789560731985,1872.4966296638006,1850.0797040728858,1874.4261385908478,1877.538873589561,1900.653069096358,1900.0367047105221,1916.3767160568295,,1875.264425037215,1867.44435166387,1875.4569895323846,1873.330473312016,1873.5375004553046,1850.0771500575863,1869.1866646100073,1865.722189276419,1900.9132604722258,1894.1349060770108,1923.745932119973,1885.0333485535666,1874.4689250613021,1874.7874263102062,1874.9070283490275,1875.3350977405921,1874.5134011324517,1850.5442218106296,1873.740684588182,1872.5371672901194,1913.7438035126522,1904.34530681271,1897.435519013749,1926.5524903233577,1873.7032044883615,1874.2171948158002,1875.2939300657315,1874.9256317238828,1873.4356396219955,1849.8591600348623,1868.2868064660677,1882.5542927356382,1921.4072253354018,1897.5503606392917,1907.6880068340727,1914.6137577364966,1868.6690820369308,1873.9816132361127,1875.1526894703375,1872.1806494311384,1872.3168402176104,1848.874610169821,1873.9915110010795,1876.172421427456,1906.036745590391,1897.2698116128988,1925.663027955537,1866.9086037623856,1856.7804580925642,1851.4658589676374,1875.3266861559362,1874.9099068034395
