district,2014_01,2014_02,2014_03,2014_04,2014_05,2014_06,2014_07,2014_08,2014_09,2014_10,2014_11,2014_12,2015_01,2015_02,2015_03,2015_04,2015_05,2015_06,2015_07,2015_08,2015_09,2015_10,2015_11,2015_12,2016_01,2016_02,2016_03,2016_04,2016_05,2016_06,2016_08,2016_09,2016_10,2016_11,2016_12,2017_01,2017_02,2017_03,2017_04,2017_05,2017_06,2017_09,2017_10,2017_11,2017_12,2018_01,2018_02,2018_03,2018_04,2018_05,2018_06,2018_08,2018_09,2018_10,2018_11,2018_12,2019_01,2019_02,2019_03,2019_04,2019_05,2019_06,2019_07,2019_08,2019_09,2019_10,2019_11,2019_12,2020_01,2020_02,2020_03,2020_04,2020_05,2020_06,2020_07,2020_08,2020_09,2020_10,2020_11,2020_12,2021_01,2021_02,2021_03,2021_04,2021_05,2021_06,2021_07,2021_08,2021_09,2021_10,2021_11,2021_12,2022_01,2022_02,2022_03,2022_04,2022_05,2022_06,2022_08,2022_10,2022_11,2022_12,2016_07,2017_07,2017_08,2018_07,2022_07,2022_09
ADILABAD,1850.2919952576763,1866.5802140713192,1876.5155385271066,1863.4341467005968,1909.9393634073317,1873.3511659828473,1886.0904920079315,1882.9548472162116,1873.844166216954,1876.0441528827766,1875.4958781679145,1867.1871017677847,1851.1781418355943,1877.651550591643,1875.918409791182,1874.9122789645905,1892.3556936024438,1886.156498372741,1876.968321725344,1864.4040501887864,1876.734945016749,1850.3148782101534,1876.4782314025822,1878.1392013195803,1849.068129813905,1857.4239139437602,1875.3165563884709,1873.2104583255366,1896.9481848598807,1881.6305885363574,1868.4529453214814,1875.6171688532627,1856.781226640366,1880.6386870150532,1872.9020813786497,1850.2063622538667,1858.466679877779,1874.9636383570821,1883.4166698373074,1889.9450800447723,1882.2219214627014,1876.0145680580242,1855.017566487256,1876.2813857800127,1876.20264269373,1850.4746400937902,1864.1136247955467,1875.133086131598,1870.3406318907018,1890.0986136939748,1889.6258127323224,1891.456527646123,1856.7519893286772,1853.4742940794388,1874.9163029562385,1875.926636399204,1850.1532441352542,1874.3269929379776,1875.2268628728295,1863.5076799615902,1889.7377397995037,1878.4213673745578,1887.1015057398229,1902.6799314623238,1871.4238203881216,1849.3627269879948,1875.7123851487825,1877.8698046539719,1850.696312769449,1876.5832455580187,1876.2947433949412,1864.2897251128945,1907.3970263273086,1885.3054485538032,1887.0466760290499,1876.0510269186518,1867.5016411124934,1849.6273414322668,1873.4296323436433,1876.0534350823173,1850.4828198528594,1878.02577551195,1874.8886028965096,1877.0862623714922,1902.7834515652671,1885.183208170734,1872.9386687865815,1868.0149804198793,1876.309417752189,1850.542617865318,1875.0714254595737,1873.6813264345024,1846.082310762285,1857.3734233753191,1875.5632310313335,1864.214483253916,1895.5060206951978,1875.4429485091778,1867.0727632282803,1857.7118076133738,1876.3616450765774,1876.1510248019017,,,,,,
BHADRADRI KOTHAGUDEM,1851.0828165866615,1869.483627535351,1871.206617952685,1867.729888319514,1893.5973482496302,1870.0653558150839,1884.2878682617152,1880.8981254860719,1871.1826542038164,1850.5203363741593,1875.2424744377395,1871.222545969012,1851.1767318595114,1871.3880248959742,1872.8719405189195,1879.1751703711825,1893.5764721450132,1876.6581780252754,1881.3610447215883,1890.6799572083585,1874.5566302121572,1860.8442138487321,1865.3292408818613,1877.3358365216507,1850.0368480859343,1870.7391279964022,1873.6165937461312,1883.5868124192261,1890.9753627256298,1869.9069345574464,1885.6876436572793,1873.2894187393981,1860.357844015034,1865.8290268869791,1875.4812207274847,1848.867287555065,1875.058660496966,1871.9829566644578,1872.4445261060084,1888.6074456278106,1879.222654759004,1869.5228082544113,1847.8418031616675,1872.6099980702659,1876.2322129148085,1849.9541557824148,1874.5197430307728,1873.5890374293774,1868.280993233054,1895.0526626121357,1866.648028937434,1891.263478529258,1870.4224532005016,1855.5694364515125,1872.926115514749,1876.2260371347472,1848.690095594527,1860.5449546703783,1873.0001269352047,1868.1291720930508,1905.1317115850597,1872.2334530039514,1883.8559215673201,1883.771291126812,1870.7135372134817,1854.2986606256727,1875.4226951020762,1877.1886342861262,1850.2104091033464,1873.2131269206366,1872.760363717245,1871.0773415647975,1894.9439646185192,1873.037571766843,1896.7050301749396,1867.018126270741,1869.673536033371,1852.4265372708367,1876.1610399696372,1871.7410525626924,1851.22076143965,1873.0680346117567,1873.5671525221458,1872.5922416144228,1889.9871210443741,1871.2671313120704,1886.8163434655517,1896.9786435734939,1875.329477739074,1861.5620192800948,1866.0759033810778,1876.6385920052917,1850.362695672067,1872.7572731362247,1873.522258009646,1880.6810628003675,1898.645970460336,1872.2597692182885,1920.1449885708364,1856.6309399650625,1867.6600424205194,1876.5819219211141,1884.3410732387072,1882.094236602623,1894.9699458055654,1879.4488205558966,1887.1894391712895,1873.1315137192569
HYDERABAD,1849.6157516359833,1880.0556120738443,1876.2477639964882,1907.915386140794,1892.080053287933,1885.0956400537568,1871.6622838619908,1926.7649978990705,1855.5724426931608,1877.333294645974,1878.9726136276238,1849.6799883367364,1850.6024897216344,1877.3054044177304,1875.848543008738,1875.4290768521837,1891.432849696116,1897.8627337287335,1875.928488505564,1912.1807777513036,1869.4627021507579,1851.2195633944384,1849.9178591116874,1876.1573746943714,1849.699530535081,1872.063229660664,1870.494539112635,1866.6349291729039,1888.8990997498336,1877.6846503578574,1899.0158661341,1874.3985163368461,1873.0207443363424,1882.06702799558,1876.199798287697,1849.6523914861932,1872.6549711192304,1876.2757459381396,1869.020223073928,1886.3926533577048,1886.7915645327903,1866.615587370764,1857.5176621972223,1876.5622775691907,1876.0572781297421,1849.595343876975,1878.1121513953,1876.6241921888625,1867.8049195084304,1891.1325153916102,1888.6798131974872,1884.4909995782396,1873.5994696864173,1857.4442527561237,1876.3477651253497,1876.0327652164274,1849.6235300143271,1878.2900189807522,1876.88905959751,1866.4094767799656,1892.9423343346864,1884.3639370292487,,1921.2501136668805,1876.2042956921953,1854.6073321962356,1875.6503285974031,1876.2652068716084,1849.937424766008,1876.9668945517024,1876.770858729474,1911.559304664014,1895.2417247582705,1880.9166958345854,1888.9331863907473,1926.2912795654022,1863.1699958338388,1850.0942163361226,1849.8144868111722,1875.8799872709503,1850.9602249900186,1876.70518023897,1876.6950661090498,1874.2279215567614,1893.218374027135,1890.0360543140634,1885.1066238770711,1920.0683333100665,1865.9374420742467,1849.5394130646923,,1873.6111290882288,1854.8297600465544,1875.996088113746,1877.2771213485148,1862.4797373681768,1888.5340474460818,1873.917031159397,1917.9553680465556,,1876.752001608291,1876.3576568274862,1888.3077507175105,1876.5482171571027,1910.3220526138873,,,
JAGTIAL,1849.7375278982795,1872.9757229425916,1876.4172251225,1881.2261776790767,1923.7214530244703,1885.4704669846171,1887.8770889329223,1890.1729039851461,1872.7299150698243,1873.168839405903,1874.5088700429242,1854.5265221467469,1850.8949082150755,1878.7337276693365,1875.119052640612,1875.6303115125245,1900.4939933391283,1891.274115349542,1886.1904214393664,1876.8607294172266,1876.459524217387,1851.5827489091107,1876.4568424089307,1876.407958408604,1851.422316750219,1855.4823362300058,1874.552433626952,1867.3572123733518,1891.7500697289877,1876.5045151973532,1885.7120232493517,1874.574959930065,1856.0857038471815,1882.6088495888514,1871.3944355342517,1849.920750035943,,1875.2843974162759,1872.8099744006622,1895.092094903826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1865.5519982005412,,,,,
JANGAON,1849.1878211801127,1871.2587714998385,1869.5532455209834,1869.4685727708277,1894.0708424915913,1868.3795075406615,1880.1006596791572,1887.3160286228015,1872.5495342103518,1854.1441416388923,1865.5415823425194,1872.92599344637,1851.2716741065221,1876.621036144891,1871.4536397643599,1901.9448210228513,1890.5156036601059,1884.7007012034965,1888.507244116864,1871.739212807246,1871.7975100055125,1851.1281652272353,1874.0387624805135,1875.3179908994466,1848.029928565135,1860.3311371645318,1870.6171851168854,1873.8512422323745,1895.9694963087643,1872.1136414373473,1873.715696819213,1867.4471204714894,1852.885286959943,1875.5006645535057,1874.384482684584,1849.4510471900217,1866.591644908178,1871.4560744674056,1872.4015672765784,1888.7086549656267,1872.9749756036651,1871.2210933969063,1854.7332510496165,1875.133397761607,1872.8148530608164,1850.827261944146,1870.651444203465,1870.5926022402182,1870.985945095561,1892.8130314285368,1879.690872874715,1865.7213428061186,1871.2201750374884,1866.0007563534523,1860.5986004537892,1859.9079546689998,1849.0231832727488,1873.3204665084286,1871.7197111784128,1877.6827762643002,1896.383507345492,1873.2176579920263,1898.3067610358066,1895.1411729428662,1875.3886062868658,1862.546389591295,1860.5733594677201,1877.1409292039032,1848.3309790328778,1870.932085744762,1870.6881060808255,1866.4115710370052,1898.2845683014204,1876.0516452948682,1889.3715487653844,1925.241160499994,1877.1630594998026,1850.1552753047793,1870.792962962112,1875.333547837806,1853.036316938861,1876.1447381156345,1872.612657403742,1869.768222236318,1895.5325566717272,1872.4486212941245,1886.8639120303785,1879.4500938513347,1874.8146261856643,1850.3631960098353,1874.8420536031244,1874.5258602905974,1843.955452842458,1861.6935287964502,1872.7884463729013,1865.565674510128,1897.5238886852405,1870.5341758225811,1876.544263746797,1853.8916691734753,1875.3027863079526,1877.39262031614,1894.6187342547514,1892.3984114993984,1868.5677551867761,1870.2500929209918,1876.6114860423052,1872.8635387306294
JAYASHANKAR BHUPALAPALLY,1850.528989017098,1873.5363746531132,1847.29429064596,1919.638497190851,1889.8882146603,1871.499356930363,,1920.213589481214,1877.0245970096846,1857.2400999158465,1876.1205090872706,1876.4417453815656,1850.6262847463602,1865.3253233437235,1876.0988004612861,1907.1704578840672,1889.6816964344916,,1883.0553008547113,1912.49794415537,1874.0423317090497,1852.118512255402,1876.0831468511874,1876.478808575268,1851.490925930276,1875.6175310781734,1876.470929616769,1869.6765961815092,1895.8669061477249,1876.6127331290086,1901.6730821718756,1876.445858324548,1852.2056001565957,1875.7431296834434,1877.4107847774296,1849.9649465568561,1876.5223405512638,1872.3913060955438,1875.4358813769045,1901.1650810180704,1876.6741546866797,1877.050391303019,1848.9898773993687,1875.673070056794,1876.0426589612,1850.1339873698294,1877.1869572140095,1875.948246103799,1875.4565759478921,1896.8499890434325,1878.2963292637014,1864.2723176983231,1877.2778767299428,1876.57096730672,1870.4323862385552,1874.2871775353044,1850.3069393617857,1868.6720146651446,1875.684245881889,1871.9801551770736,1893.5327273793764,1875.3817005210708,1879.3345819704307,1923.363652726324,1878.257798248564,1857.983141710178,1875.786814539605,1879.3487365166839,1850.6849265806622,1877.276712520793,1876.804691314272,1861.9818398612929,1891.5123954837632,1875.1637715487057,,,1849.9648317212427,1857.0682880139166,1877.7212712564958,1876.7787613234862,1850.845251984829,1876.2621077107783,1875.6823034530153,1864.7752006697176,1892.732933924777,1874.3551750181223,1872.2609996929964,1890.6961489127318,1851.0229205267003,1855.3305059895313,1875.7373508679007,1876.9069463754736,1850.1274555917057,1878.0418930237824,1876.1636486474968,1869.4799831338892,1921.9539239640994,1885.103228158717,1917.6634128449182,1851.871639608682,1875.4885933352575,1882.6283189112357,1872.3015103427238,1889.5430804984205,1876.117114895978,1892.0014627063524,1887.8718796894952,1853.8643681973688
JOGULAMBA GADWAL,1851.1739574661442,1874.901843143135,1874.6996686513476,1896.8681422742593,1894.4701549779634,1888.2195034414476,1869.2858138524562,1879.2609162358372,1856.861199042262,1875.6314871440823,1851.556902492252,1850.1596119174214,1851.5529512841035,1874.699521567841,1875.160184400292,1872.6279449951858,1894.7710678032481,1894.1734455076867,1869.6515331132694,1876.9163889123047,1854.866208300326,1854.1976707555762,1851.1320565596936,1850.7598927713536,1855.1768197165381,1871.7000828037878,1869.8295558777488,1879.406137560229,1900.54258870779,1892.0141455250873,1878.8455286859087,1857.4450501520741,1877.70070704572,1850.2821987819336,1857.5296484764071,1850.1903423991132,1876.842958743458,1874.4890348889983,1875.6199641579651,1898.0356851121153,1868.0793088317814,,1865.0957323703647,1850.2180593114347,1854.7182904068463,1849.0499148861277,1875.032415977164,1874.2508529324823,1873.9082243261475,1898.4472421396927,1881.9177148855495,1876.5885804317854,1876.0891881539217,1870.5358036174425,1852.1144867225348,1851.7959560734107,1851.6176677087317,1874.3716947184153,1874.2248430835502,1872.2965724564579,1893.913245277895,1876.5688943156858,1870.5320244922846,,1876.0127368811711,1856.8754865312126,1850.724737406757,1852.4839963440907,1852.2034804084503,1875.0215197600583,1874.775025018069,1901.0970777310797,1892.406832307692,1890.7057996589797,1866.9102401152861,1881.0640237218493,1871.8449991427751,1856.2835852067135,1850.415999598286,1849.90140470536,1855.7114249616636,1874.9918539018263,1874.5837846494724,1871.1232444787008,1893.0860325120616,1894.1820121453334,1870.2351604754715,1884.5242450575238,1865.4949487117503,1853.7310579089735,,1850.925174462936,1854.1944695603927,1874.7512277893684,1874.8607471687824,1871.7537733670738,1898.0856837000604,1867.6637586461518,1886.050926225019,1863.7382981844662,1850.126444694658,1861.3313842143018,1869.6478243861316,1867.0849846245123,1889.771551777,,1870.0709507187178,
KAMAREDDY,1850.091199645262,1869.7545331416306,1874.6637923798899,1877.5395968413943,1907.7500452918457,1872.7140815168948,1882.4748484295399,1887.7805748543399,1874.964464795345,1868.950203923413,1873.414201949672,1857.2452164670208,1851.8936352026474,1870.5750093853135,1871.292993706529,1873.2521917468296,1894.0453738851659,1885.2631136499863,1893.601942520798,1865.4601326047134,1871.2386468838192,1851.295721235483,1861.5220970555197,1875.7543844484503,1851.5258948581081,1865.2680864179051,1873.1709836967386,1873.2274857366333,1889.3217569971562,1869.619438552737,1868.4990966354455,1874.9812367845602,1865.8838613278576,1875.6692762450023,1873.9703587850745,1850.8002232734414,1872.072048019006,1873.9994808465856,1877.7765436106954,1900.6829121499518,1876.0041266933301,1874.2111307629702,1853.6212385340575,1875.457938578054,1875.8361477523626,1850.6780249603144,1871.4723755173782,1874.1513744746273,1873.1187773791344,1891.6931098981559,1881.1299996095381,1890.2777898723175,1873.4207847804955,1852.9378133619464,1874.5514050709876,1875.1620585261248,1850.2664520980682,1876.2269160845349,1874.1748886228247,1870.408596970186,1895.6606222115618,1867.7422617691266,1886.3975846001981,1893.5673556907748,1873.004128000649,1855.4106399361267,1874.351892213496,1877.60003958555,1848.6814627097503,1867.6217452421256,1876.2958821584782,1873.3946346436749,1897.9404665311952,1871.522746995667,1899.5888423717147,1875.5140383997427,1865.7136367484452,1852.3422004898596,1871.2526924280194,1875.7357973915218,1851.7274847642266,1872.928239463379,1874.962931756306,1874.4579881926973,1892.1740253507187,1875.1329675448158,1898.6247247048382,1867.6208132650322,1873.7137993574277,1849.9586281076738,1865.2118014655755,1875.5679123596221,1849.2597427934318,1870.2966429012936,1873.2996208840134,1875.5385939122878,1892.5446231825197,1878.5087232111866,1868.4682877892935,1861.3985048619813,1874.9810066229006,1875.7505428038323,1890.4872936897334,1882.889404368687,1900.8490549041073,,,1888.2014189443532
KARIMNAGAR,1850.8598019227713,1872.0932377359595,1869.2591140752793,1887.6374411669533,1917.8515294556332,1866.9165766740427,1877.541700587293,1885.2296615710384,1872.7534221498418,1853.286574684053,1874.6499931044114,1867.3265663721872,1851.7400190207122,1877.6134545349048,1873.3095794483434,1884.182313423155,1898.0267581274286,1887.3997283144183,1898.6389004630998,1877.6123740695791,1874.4783650142263,1849.508886622076,1874.8797363341325,1874.874652882974,1850.7492444431787,1853.7958112915567,1871.9819924431918,1875.57189706528,1891.8054139725425,1867.3938267875703,1883.8937792523038,1873.3349934919625,1852.9302640663986,1876.2197594773504,1871.8279931937998,1848.0216708932753,1853.7082185698266,1871.7672874686166,1873.3707805763006,1895.9487321674185,1872.061987972509,1873.1015376813182,1852.9314031681176,1873.8857119880256,1874.9467810683393,1851.6972240010678,1872.0271422059063,1874.0334673749876,1869.5836092034397,1895.4909301036635,1872.4851108443486,1878.9957442668672,1875.8207512533386,1857.7444624297168,1869.0162333123326,1874.9593934765817,1849.102997475576,1872.6507268699127,1873.7307265082927,1875.9836856898814,1896.4205649500873,1869.0978266853776,1898.9582618377112,1905.5018237456661,1873.920714989189,1853.2309867258664,1873.1482706773104,1876.068214146286,1846.1546208112982,1872.5915486446863,1873.233719080659,1876.6391200166452,1911.9360439155487,1870.8597831427817,1893.045284363779,1924.0010449272345,1870.1481754413023,1847.2439163179704,1871.8831723011904,1875.0899973246894,1846.6334059859032,1875.8562461736126,1874.2593846236182,1874.9285314529534,1901.3525989408947,1873.0678209350333,1893.8424679973061,1893.183481366448,1874.070695370672,1847.6852310954805,1875.2272478121827,1875.153303355914,1845.4694556022534,1854.565571208447,1874.2106517000043,1864.8027992398922,1915.1293014199218,1869.268413969971,1880.4542684765315,1854.1385338858395,1874.876079635979,1875.6432469462095,1870.9160222331195,1897.3874979067639,1864.796914356944,1877.5871470490824,1891.989667059232,1876.0133000136645
KHAMMAM,1850.1390600513753,1873.242546754562,1872.9541770844519,1868.1990309332039,1893.726623462816,1877.570240643973,1868.5293377487824,1886.6675163318607,1867.0655349096944,1851.8842487575696,1876.7812174806522,1872.7993546017865,1851.204272217417,1872.2870181398446,,1892.1724889541492,1894.5433113674303,1894.5968663803865,1872.1189040739744,1897.115967142881,1874.017526980395,1857.1607243374692,1871.077829998101,1876.0007702100745,1850.5228133762926,1873.8277242163329,1873.7076640435837,1896.5703415086175,1888.4332912266727,1871.62044641192,1888.9500490087735,1877.0928683809402,1857.0340194802325,1871.437963035955,1874.5661078188893,1845.9295766217924,1875.5572264961427,1873.1573213104236,1873.3626608619568,1887.738766578265,1877.1970131895732,1872.9451291228374,1850.083818266702,1869.283879896798,1875.770085502369,1850.8519950710602,1874.0775077385265,1874.6162351022087,1870.4704485828727,1892.2932955835706,1876.333206780742,1895.1093683112638,1873.1390650083865,1860.9333659064612,1862.802944650916,1872.1754332733626,1848.5079170207778,1872.131379014116,1873.3769653234594,1869.2228924493397,1896.3457896876112,1873.4881769096119,1868.7034688271926,1891.3291885843953,1868.0321419049073,1855.747188906289,1875.2849918489037,1875.2470684321722,1852.4451684671178,1872.921716630258,1873.2464242035944,1868.7721609328848,1895.0494659488154,1879.412062685205,1877.2176284994578,1863.52886543434,1872.6377977125785,1853.9749954790393,1877.7126353644578,1872.0475908746364,1853.485737368509,1873.992007561557,1874.8724714153059,1872.770727001452,1890.3463042918684,1884.8070063619675,1875.4091862607456,1902.7094911366976,1876.1616712559278,1857.003668889835,1872.6304226076873,1875.5185570526144,1848.8415372345125,1875.3913142692627,1874.3939957242392,1895.1160443235217,1900.5652319847657,1874.1188625861228,1911.772022875348,1856.0349317665552,1870.6393540324475,1877.0769878557999,1873.9453051827265,1885.035878389318,1897.8731098360304,1879.1931119594824,1879.425850562919,1870.6150367233176
