district,2014_01,2014_02,2014_03,2014_04,2014_05,2014_06,2014_07,2014_08,2014_09,2014_10,2014_11,2014_12,2015_01,2015_02,2015_03,2015_04,2015_05,2015_06,2015_07,2015_08,2015_09,2015_10,2015_11,2015_12,2016_01,2016_02,2016_03,2016_04,2016_05,2016_06,2016_07,2016_08,2016_09,2016_10,2016_11,2016_12,2017_01,2017_02,2017_03,2017_04,2017_05,2017_06,2017_07,2017_08,2017_09,2017_10,2017_11,2017_12,2018_01,2018_02,2018_03,2018_04,2018_05,2018_06,2018_07,2018_08,2018_09,2018_10,2018_11,2018_12,2019_01,2019_02,2019_03,2019_04,2019_05,2019_06,2019_07,2019_08,2019_09,2019_10,2019_11,2019_12,2020_01,2020_02,2020_03,2020_04,2020_05,2020_06,2020_07,2020_08,2020_09,2020_10,2020_11,2020_12,2021_01,2021_02,2021_03,2021_04,2021_05,2021_06,2021_07,2021_08,2021_09,2021_10,2021_11,2021_12,2022_01,2022_02,2022_03,2022_04,2022_05,2022_06,2022_07,2022_08,2022_09,2022_10,2022_11,2022_12,2023_01,2023_02,2023_03,2023_04,2023_05,2023_06,2023_07,2023_08,2023_09,2023_10,2023_11,2023_12
AGRA,1870.8923167658359,1846.837059905365,1876.4140984304827,1872.4559263662693,1904.2467531338698,1911.813997830408,1927.2004154799436,1865.9343697900406,1874.4067792820867,1871.034137963982,1874.7655810463282,1876.918126100162,1868.271617007024,1850.5244317809436,1875.8912174925715,1873.239162137037,1912.1691113080408,1919.508133642528,1927.4620969392104,1866.2187847459986,1857.8760880517818,1875.740329147712,1873.866876020434,1878.1081057363224,1873.0695803772076,1851.6524208435746,1862.1457682941125,1870.4215757762388,1902.4854660730052,1922.4859028101644,1928.0794355227588,1874.7492441741783,1858.6379765523006,1875.7406256400486,1875.7551944726322,1877.1160058348366,1875.8668379691665,1849.6463237931882,1873.0375284220281,1873.9373404167745,1907.18590483691,1921.6079981529992,1923.599482607467,1873.1776909997404,1873.295303022252,1874.4198746113916,1877.589511200843,1878.2148010601766,1876.1568860645277,1849.3957158240066,1872.979675767294,1882.9069087425205,1906.8352082075792,1921.0078389922644,1924.6260969196603,1866.6877365547332,1875.126941788725,1875.6794975937346,1874.515258371819,1877.8632077941475,1872.4014106701154,1848.0449070068255,1872.3507607792385,1874.6369904565095,1915.6427648460065,1916.104043331233,1927.2550763312388,1893.5003098315196,1871.1662431178718,1871.6483028886848,1873.3412158104297,1876.2505921544614,1874.8267422000806,1848.7526706659085,1876.3976940755247,1864.7415325766224,1908.0928079769901,1921.025925581693,1925.990813971966,1919.130226399233,1870.3815692271464,1871.2341130052291,1877.794695491901,1878.2346175417529,1875.7874997760941,1851.1333794403645,1875.9877201243678,1887.8322671041917,1907.0731914089001,1921.3462045962779,1928.399789065907,1866.5656218409124,1856.1709852353927,1876.028273965709,1875.6211969977855,1874.3140904551024,1872.5666309991448,1851.7187032611694,1865.6406444646614,1877.6804208959186,1908.904242887276,1918.3621003564103,1924.8615168643707,1875.2711150794762,1859.6947475349825,1865.02012062807,1875.8822696808215,1875.8233935526903,1872.3963738068223,1850.0263876253682,1872.8096246070772,1864.7717738060117,1905.6720690935433,1925.1058258250187,1923.1955510980195,1872.2957825228762,1865.4441436597533,1875.207536123874,1877.4186198786688,1875.873905929912
ALIGARH,1871.3357967687425,1847.9767392406266,1874.5326337774031,1863.4875269924603,1930.4060450154561,1916.7343353426181,1928.2973751989084,1866.8422115123487,1864.7254666415702,1875.66172479749,1875.6343546834605,1878.8315583461142,1870.419969118937,1848.5474893118287,1877.4729036194167,1874.7083083341076,1919.082601397001,1921.779307466602,1932.4584171353424,1873.2656916921374,1853.4598284544388,1875.8553849686898,1873.8983475636096,1876.0101442482,1871.030894776692,1850.8000325716782,1853.147334241726,1860.4385988049041,1926.6273456877304,1921.7635759933517,1924.0696517150016,1875.8298158325401,1853.7606799467271,1876.020798263843,1875.5364769382109,1877.3449262068914,1873.6174130362901,1848.3396779496095,1866.632503611397,1874.0926028354058,1915.1841790331587,1920.4874542211442,1920.1264828583778,1868.4193101399087,1875.6134442381383,1875.8138640182485,1879.3260566919114,1877.6050948825077,1876.0149298560523,1849.3714597690232,1873.9411712266499,1858.4239317126162,1916.571658855081,1921.8962862317023,1922.640253505618,1865.7443104219703,1871.3987520720452,1875.794627015371,1874.1461515762944,1878.864410955873,1871.744939722259,1848.122812857311,1868.454050361509,1868.6245307746087,1911.4095735906128,1920.3934156516277,1925.1199540075716,1905.9651646580044,1870.9542326937383,1875.7217774432684,1877.914664647014,1878.3979531476855,1873.2817009830012,1848.1661372362935,1875.1167556028079,1868.171279285726,1924.3868417883934,1918.9494193845042,1931.873516847549,1913.707921295646,1858.546397951574,1875.8541159472077,1876.889128498484,1880.0789107670055,1873.4271653166634,1849.0432871868054,1877.8096546749603,1875.151995547647,1923.548472744167,1919.0418939418357,1927.1114695380888,1876.7707358903294,1855.269386193567,1875.7684318548518,1875.2591779578206,1872.780225585922,1873.0095397559178,1850.8525406096899,1854.696695600522,1874.759591077119,1927.6285145967804,1917.2910070643486,1927.2678666382963,1876.5139101265945,1853.2978134223335,1873.6605846456443,1876.0830125373757,1876.2881577614703,,,,,,,,,,,,
AMBEDKARNAGAR,1871.6452846370346,1849.6163865845967,1867.3191887946207,1869.8081678918836,1909.457402390593,1924.7064525291112,1926.6725278733497,1873.779834557763,1871.915266715998,1875.984602588869,1875.4495643084017,1869.8252482216412,1868.3010144580528,1846.40683733377,1875.998023247328,1874.0166829179607,1922.2645642856128,1923.417196996196,1925.6036605915388,1883.1516889642241,1865.2565718965127,1872.087459936949,1876.1634578205824,1879.491348205458,1873.8109166641057,1849.7273081503834,1873.5808550286933,1866.6220877873393,1911.9033684789533,1926.3808022187557,1929.1818080618175,1866.3919745779904,1869.770992410788,1871.0702487802478,1875.2064547332593,1873.122802992549,1869.202173585884,1851.976196089064,1874.1865898703331,1871.7979437786314,1916.2169555866126,1922.8848378182313,1925.7291240723516,1865.6063993336759,1854.1364654454712,1873.7782417373971,1875.257052595722,1880.2604622815647,1871.7583151635054,1852.2683762359297,1873.4606325262926,1872.1295114347886,1917.3827173993932,1923.7327410776452,1925.2435995914302,1882.260914599732,1851.972359825907,1868.6479826545533,1877.121876307361,1878.0500701684716,1873.6819345222627,1848.0616047198712,1871.3524066610717,1869.1749894699556,1912.8177469898749,1925.0694798359627,1928.624448640994,1880.6597274437595,1873.8718142900775,1873.6211048254622,1875.2043407899196,1875.531839555056,1871.6858744438491,1847.0674032748298,1873.0019293456348,1874.0252730378284,1917.142133186265,1914.6557371254032,1923.3835232032927,1869.713338921612,1872.7548260415351,1875.100810703779,1876.4148436085648,1876.848168703977,1873.5091398586771,1849.3572765903723,1876.340500587589,1868.4944275853827,1922.6130385874717,1927.4599728194485,1937.7259468612717,1870.3910954012429,1854.3816486220587,1870.3047586643686,1875.3067971580306,1876.1839999807617,1858.7143602821986,1848.347855467521,1875.9728864752617,1868.7934389170048,1912.253282719855,1925.5254901798494,1927.1281055296165,1871.270362552289,1872.3648255146,1869.5815393449961,1875.3681332673711,1878.3355941216885,1867.6163711412967,1851.9015801043565,1856.699084742471,1871.6136499218735,1912.2674936439294,1927.3233360662211,1924.281818211146,1929.82413029673,1873.5592968579042,1874.9498641579114,1875.0155255859997,1873.6315478198503
AMETHI,1879.2209185732888,1849.809645512657,1872.836783812064,1874.731501750056,1916.2323438805531,1915.0584291919445,1920.91900745083,1864.4114346612866,1874.4141409744625,1857.534875535468,1875.624725202724,1875.8281371676098,1877.2061782371902,1853.292387126661,1877.4873085939093,1906.8372536909776,1909.2241839163858,1918.7955410473107,1911.1589403918986,1921.881535978766,1875.0677924177655,1876.3460043804787,1876.142246228185,1879.3080026812856,1881.7095331923506,1854.014058264785,1866.6234930399194,1874.5631271042125,1904.5967276519261,1928.763275535224,1915.6305257540912,1865.757790640799,1866.7683879889505,1876.0336884214557,1875.189018466028,1875.3790245858663,1877.1015354875328,1852.8592369771204,1876.2758047259201,1873.9098681438802,1907.812377535509,1918.9524858773023,1922.323192660382,1875.0997889644507,1875.9438119532945,1876.028234050524,1875.4220192353928,1883.3578154230004,1879.303111281596,1853.2305530806616,1874.233053718941,1874.0703868681733,1926.9788329508447,1922.3256821184045,1925.008285233468,1866.438309533444,1862.2378914402934,1850.7619938476596,1883.117634026322,1881.847022209535,1880.2931657171525,1849.3001206119077,1877.8482433869715,1869.914920788598,1918.6284121448634,1911.4963207544836,1924.681505485146,1867.5193956912115,1874.8688397498343,1850.5773900238075,1875.3990546068449,1882.9530915665978,1875.7833181638002,1846.3949366482318,1877.24854805146,1871.547515490384,1911.7985492146734,1919.6818278212713,1922.884280227175,1864.6838300357483,1875.9879614899398,1867.5454332388642,1880.4988037931003,1883.4838315201487,1879.980155967278,1851.3713042432687,1874.365114105065,1874.7927458169931,1913.998923483946,1912.57507618648,1937.8984003007288,1864.602723901781,1857.8182978646978,1874.598223091786,1875.4477871022036,1877.2834146586567,1850.7435245469567,1852.2408863995684,1876.394959573759,1872.2680533562402,1912.2969597687081,1927.4626797975077,1923.4912209501483,1916.5901702627227,1876.3119123735435,1873.8831739059915,1875.9014495251788,1877.45015631893,1876.1550371242763,1851.7556760153043,1871.0582853189055,1874.6938153282517,1923.4632043846354,1944.1090782997894,1923.4225964789086,1907.3628323743746,1874.9047087741947,1876.194574644587,1876.0362315869975,1877.4937722068848
AMROHA,1872.2614398049436,1847.978003994854,1873.472759899212,1874.8291139114,1909.8033697323367,1919.213812450366,1921.8375474912825,1870.6379211903327,1854.4155658035506,1875.3996248308258,1878.0008204170695,1876.8812983600728,1869.7154234685675,1847.3981388370546,1873.6520416852634,1875.4840011685626,1938.1032935971627,1919.9825328293696,1923.602568988888,1867.7512044297202,1853.8924673360661,1875.8990576670417,1874.634276249585,1875.6920197950953,1870.7188259783625,1846.4720298422067,1852.5235226924601,1871.3397338429925,1908.9729888758052,1917.08983976665,1922.541544819558,1873.0710814501795,1853.1657272510818,1875.9461784523107,1880.3446748362571,1875.3668903717248,1872.0070250137658,1847.461161716143,1853.1376586505173,1875.1197156478047,1924.2008578735386,1920.9684211098697,1921.0734816526458,1867.5152255000562,1877.2919620447735,1875.868410257133,1876.6942413336615,1876.0888345175345,1875.7800527532409,1850.7785502676109,1861.7451775636746,1870.7163104232986,1912.960077964049,1922.4467151111812,1921.6811420652948,1866.3590432267786,1865.206733107913,1876.0016999947616,1877.0029945970857,1876.3756522373244,1871.7102293270991,1851.0837598804235,1865.2146941991944,1868.5010356490577,1906.9693231464594,1910.4046187406411,1930.701862574411,1900.81112782762,1861.8979656845847,1875.5642543899035,1877.6410327912647,1876.0833884811889,1872.5782556252018,1848.0381959215,1869.9719645520388,1874.9690712955446,1898.0101705440543,1915.8354019492037,1927.7522125664307,1909.7547019130184,1854.4094512086938,1875.9069108392812,1874.153259063708,1877.1476143766445,1872.3738605869296,1848.8303146619264,1874.6874865913917,1871.3452499342002,1951.0458978999038,1905.6616125072524,1924.3401366154296,1874.5404618310286,1853.3341171187928,1875.9963787974245,1876.2137147413473,1876.010022373047,1871.8577421961181,1848.918664158352,1852.9019428185793,1874.7912540839368,1922.1532133875924,1920.4035925290607,1921.0464806880823,1868.5808982839542,1850.7614136587185,1875.6319760690537,1880.2878396299402,1875.3230948928863,1871.5858370891901,1849.161443109121,1852.8501942135676,1870.6910602970106,1912.7166569318529,1922.0673706929408,1918.6054305121106,1866.9786077780457,1870.0203344983834,1874.51575359309,1875.2333288876732,1875.8984359598721
AURAIYA,1870.707582286407,1848.1673307143778,1872.2950058390688,1869.9332546780756,1905.911723879089,1911.1749534550984,1928.2099391442764,1874.6411149055707,1874.1819746962783,1874.024977989953,1873.6270500207165,1874.5298731067232,1867.301714835023,1846.444837051129,1877.0693885039848,1871.96315853188,1910.689275845524,1917.4414869154784,1921.8368608267835,1868.5235440389533,1866.4009642599356,1875.2122780187037,1875.598180963085,1874.2248051995684,1874.4917937182774,1846.288020867801,1875.2183962670647,1876.7379709632273,1913.362410878639,1924.8868455601998,1923.995129673638,1870.9897063994188,1862.3241788209734,1875.3091410131262,1875.6938183238458,1875.2071771237763,1874.704840213186,1850.8269315693758,1875.8156636263418,1871.8461534314258,1905.8474799781313,1917.0677430578296,1927.6642659054053,1865.8629708601122,1874.2393078446019,1875.2406833065158,1875.504869263073,1878.2032215611289,1873.391199833897,1853.8405760195972,1861.0443352093887,1870.274236735456,1910.821081703623,1918.34911459112,1926.3019918347072,1895.0005313714473,1851.9997107094027,1874.3737091490534,1873.8276804935367,1875.6464068205703,1871.9456074674897,1854.7569129158626,1868.0408561773643,1872.415719278426,1906.2800348174212,1911.693103977749,1925.0130147828556,1880.589851424353,1872.5243701709428,1862.1681223986402,1874.8040785188562,1874.5458316834356,1874.0105721823509,1848.9739403680057,1871.707414778074,1868.6820101921376,1912.143488212379,1924.8429948917878,1925.6712027353599,1856.882088765502,1874.3672297773498,1875.327107162331,1875.839363744267,1877.4649646685975,1872.0136483085632,1847.910466697308,1875.8253563834876,1877.971899270789,1916.1898293424617,1923.1398132154911,1925.3331736875768,1868.6735722819178,1873.1827675551729,1876.8666952050987,1875.6706929731338,1874.1886153957023,1843.3973720377815,1844.4783368167043,1876.9082234133161,1873.1352659713918,1909.6661526936834,1917.3849117572481,1928.3863493992746,1865.3153675057533,1872.2335389875657,1875.4989814705243,1875.5957103492215,1876.1988412211992,,,,,,,,,,,,
AYODHYA,1879.7600263055087,1849.5560823764426,1860.9456513639243,1875.904250307036,1916.5711689262941,1923.8152787460506,1921.2607148941017,,1877.1076692021954,1874.1949591078858,1875.7967495207176,1875.6926545885399,1873.9071613055264,1849.5153168506708,1870.6726736868275,1906.7981734190582,1909.9662865837417,1921.7052425347897,1925.689427043931,1923.708028382253,1878.0690831903833,1876.5299906258713,1875.8301523327643,1877.2250783294553,1880.1803221524372,1851.4697664610103,1867.7497733801185,1875.427931538224,1895.3846574477184,1920.0771712609135,1925.298898731725,1866.0040187291593,1856.661385990551,1876.2992718906557,1875.7433126242413,1876.3327313633533,1877.0832855781562,1852.3880434933155,1877.5115851712928,1875.5247856983606,1907.7734305120903,1923.7037403205522,1927.112906922543,1872.3198901042656,1872.7623608439815,1875.3751010943674,1875.7030140430688,1883.4611833004733,1876.6156301455649,1850.6822254380834,1874.3818739210753,1874.9838319995408,1925.1117748225395,1925.001401645664,1921.3475618596976,1875.3073221085415,1857.9844616586056,1850.1875469313045,1883.538828025054,1881.7084193203407,1879.667724130849,1849.7332508354305,1877.0136162777321,1866.7886259880718,1925.6056068130376,1919.4045934988596,1930.6481963720144,1870.062092189524,1876.288127429719,1859.1500655327895,1875.540589553211,1881.3123609773481,1877.7650950050174,1848.287936204646,1878.854178667303,1874.9272207530728,1915.1667920395957,1920.1994802984307,,1866.9904862791961,1876.9600033098004,1876.2227061754907,1879.9926300569134,1883.171034587137,1879.9593839750428,1850.5574024333162,1877.0443214924364,1875.7218767892841,1912.4065707889742,,1940.328516531888,1865.8448586177494,1852.6199154736353,1875.8954432893877,1876.0494532920256,1880.5973542250501,1868.7030689325109,1850.8915280832216,1877.607063519941,1872.2189523398126,1928.664159405738,1922.5613356844754,1928.0190120125492,1873.8361532519268,1875.5348303389937,1873.2754176112228,1879.00973184127,1882.9809730106122,,,,,,,,,,,,
AZAMGARH,1875.1998477071559,1852.0114757983795,1868.1517630542717,1867.577287315133,1912.5519496817888,1921.3141942381005,1927.108289145197,1875.0566586658804,1873.0603386015753,1882.3482141075697,1880.7465043441262,1869.8336189235686,1863.8228861847576,1855.556490089572,1877.3390590576573,1866.728402147812,1923.7380426173224,1913.31032302837,1925.8926521945273,1864.8688874243176,1863.1746035902675,1853.230202872663,1875.007696919952,1882.2566302046894,1877.779988911249,1849.2698929601088,1865.8678560302187,1860.7576221144693,1918.3360791418538,1922.5535402712162,1933.9816289490818,1865.8761525148177,1874.3333542428904,1852.4628789268754,1875.7563066127839,1880.3129279659029,1852.2390257366706,1851.7084802413615,1874.9160872038074,1873.71486122945,1917.8287967129172,1909.2946093118728,1921.844241017044,1863.9040222951423,1872.0910527178387,1864.0392657051339,1875.7790999293795,1882.6688194131095,1880.0894995864126,1852.4935467628293,1874.2543518726422,1873.9323823852203,1917.5489983735504,1907.1222291672318,1925.716734764389,1863.8825091498084,1861.3897813697927,1876.0806679328607,1875.5800739069,1881.8177020030892,1876.8018389503509,1852.6176306505242,1867.0933577747298,1874.4546916602078,1912.249120865829,1927.309116248527,1923.0080017700413,1866.8305360443628,1876.9489205845982,1852.314335459125,1875.229155596876,1873.623808394022,1875.1563935091533,1852.4667635453704,1870.2674797547581,1862.0326841273745,1913.421650875891,1911.1576315898556,1923.76953514254,1876.155601561687,1875.056816354713,1875.9665318230948,1875.2920462464222,1880.3887551605014,1866.545382803063,1856.1919841289853,1877.5801717272334,1855.172747654342,1921.2871419968583,1920.4905491542388,1926.147522632185,1862.917580163765,1856.5722625556643,1853.1494330400185,1877.4408343838786,1879.8648804518941,1846.5448785057129,1847.7317207357285,1864.6231718963816,1874.2582660086878,1912.389851565063,1916.1959896058347,1925.4498499987226,1866.7911148191952,1874.9436556977096,1852.7685055274214,1875.5938636092264,1879.7802033045502,,,,,,,,,,,,
BAGHPAT,1866.7679844125653,1849.529367590873,1874.6970608766842,1876.8532075360404,1915.4563078442534,1919.6036178330974,1925.7144897375604,1871.890411182154,1846.8935789178367,1874.6100944738466,1877.7501437821124,1875.3551599788698,1866.5125396819685,1845.818043443765,1851.34887428043,1873.4536003449884,1906.2952272462628,1917.097165434836,1923.5778728319683,1867.964920623078,1847.8970242398964,1874.3979912429324,1874.3236908056376,1871.3130885155797,1868.6845666654008,1849.2667335646413,1847.0647918733773,1872.5208228798097,1909.8194443007649,1916.4984585929142,1922.7519369862027,1871.142890644734,1854.0738820188417,1874.217826650071,1874.7543836219243,1870.567700757218,1871.0461545110195,1846.073455551553,1871.1967481388072,1872.7949932628467,1921.4503192934926,1923.3773929859958,1925.8383327435438,1866.2980025601285,1849.0719281974764,1874.581383320802,1870.6834105797714,1870.9534184998463,1870.0857236376498,1851.1259853102213,1870.4093492310508,1868.9538002402496,1946.246303322661,1925.2981267058722,1921.8692025536832,1879.2551569228465,1875.4278861446712,1874.5064591952619,1874.4379180318522,1870.444089488297,1870.0158989331278,1846.4839261421596,1872.1234056404192,1874.554514356735,1912.6954901736385,1912.192273540753,1925.9723909882214,1875.1910119168876,1856.451666239781,1874.7255999625936,1878.4341147439238,1870.4821042862359,1868.3164546036883,1843.5702725483845,1850.1358343414063,1872.55563520449,1920.5669916087973,1915.5685513186831,1925.424741741725,1871.457900724391,1845.9208431753593,1874.5127769612925,1869.6877988204421,1872.1599296748286,1869.493591909708,1843.5557993827472,1848.1191623579796,1870.8335014744353,1911.9951217870014,1896.68946216607,1923.6651295244317,1871.7609046348464,1847.9215689859739,1873.1975685875486,1877.5851859484042,1870.535821607901,1869.458876020365,1851.9852990249678,1848.229132330273,1872.491580001521,1911.9040220772831,1917.8917266091476,1923.955760903696,1871.8253710638332,1854.1138109152248,1874.6874033163026,1877.3299651483517,1870.9069385809896,,,,,,,,,,,,
BAHRAICH,1872.971581721558,1846.910311998271,1876.2069258347806,1872.7440079029002,1913.4643678928273,1923.2085816850008,1930.0093589420997,1867.5160107716063,1853.2875270799882,1874.5191848799786,1875.7152160829853,1872.0212341915944,1868.9775860623142,1850.3898456868471,1876.9396216597816,1879.5476509406803,1911.164650833076,1917.4690485420815,1925.8439484961743,1875.596984949873,1857.5320302106234,1873.053491521417,1875.4789987609624,1871.8740312284394,1872.8954750254154,1848.9672535038399,1853.2701213856253,1872.194068023764,1906.586672399396,1919.8066095230286,1924.294949348392,1875.7889658265128,1856.404825924804,1875.1129820768604,1875.4880607480043,1878.8476471222577,1871.21103596034,1849.1501658539153,1874.6303787846318,1872.2880791628843,1911.3496644414424,1918.1954690840205,1921.819170660901,1869.8241406437148,1868.5323163613275,1874.231197857625,1875.7849288483208,1874.3765496436588,1869.7161331894515,1846.3276594676097,1873.8166588515453,1869.6919558903771,1913.4665885403847,1920.2649467043952,1925.6371806461254,1865.6090181566944,1852.4147835393026,1869.7428297385406,1874.3360799683617,1874.2765827921817,1872.8926271789417,1848.8279943363698,1872.42343078673,1871.394630075034,1915.3255615337391,1920.151757391289,1919.8872599654374,1865.4218224887347,1865.0060630336147,1870.6348502421258,1875.18080536232,1873.8361792896972,1871.3463789523141,1845.6938518978473,1875.0106452585285,1872.5972436407367,1917.2782671427851,1921.2095921423372,,1895.4047499459489,1871.5878321871892,1875.052396471831,1876.8672847206458,1876.2558801632092,1871.9690870077557,1851.480108349764,1854.6005241659072,1872.4498760337972,1910.0042909229885,1912.31644184082,1924.4395554893772,1879.6860021289003,1858.8399337000121,1876.5255102299852,1875.8054476379432,1876.0706257006782,1869.4599345471909,1845.6853468285494,1856.1800679585313,1872.9760518013716,1911.111307576932,1916.4948273685338,1923.5974208944742,1872.8748841624285,1869.7603031172093,1876.234010011283,1878.8990804165685,1875.5735707227789,,,,,,,,,,,,
