district,2014_01,2014_02,2014_03,2014_04,2014_05,2014_06,2014_07,2014_08,2014_09,2014_10,2014_11,2014_12,2015_01,2015_02,2015_03,2015_04,2015_05,2015_06,2015_07,2015_08,2015_09,2015_10,2015_11,2015_12,2016_01,2016_02,2016_03,2016_04,2016_05,2016_06,2016_07,2016_08,2016_09,2016_10,2016_11,2016_12,2017_01,2017_02,2017_03,2017_04,2017_05,2017_06,2017_07,2017_08,2017_09,2017_10,2017_11,2017_12,2018_01,2018_02,2018_03,2018_04,2018_05,2018_06,2018_07,2018_08,2018_09,2018_10,2018_11,2018_12,2019_01,2019_02,2019_03,2019_04,2019_05,2019_06,2019_07,2019_08,2019_09,2019_10,2019_11,2019_12,2020_01,2020_02,2020_03,2020_04,2020_05,2020_06,2020_07,2020_08,2020_09,2020_10,2020_11,2020_12,2021_01,2021_02,2021_03,2021_04,2021_05,2021_06,2021_07,2021_08,2021_09,2021_10,2021_11,2021_12,2022_01,2022_02,2022_03,2022_04,2022_05,2022_06,2022_07,2022_08,2022_09,2022_10,2022_11,2022_12
ALMORA,1875.7128849328712,1852.2861699796726,1857.1231161741207,1872.4864988477584,1906.762113739661,1913.0961646664757,1916.1189918158518,1865.0261390455162,1874.9098419409336,1879.2368550442995,1877.5112552142837,1876.6162341170698,1875.4652364971666,1851.4183526889842,1864.2769721438767,1874.3128214096218,1908.4174811170826,1920.0989470925185,1916.3076690805417,1872.8337588082668,1874.7129255053237,1876.9491171839009,1880.0065370843777,1877.0321788646613,1875.1084162581017,1850.8249837644712,1861.2328999559463,1875.18679578604,1883.7570241171168,1916.9567862799772,1927.721404054352,1874.7370439759982,1856.3014076727725,1877.4361486834878,1879.8193938623244,1878.6422741737226,1873.6835230754875,1850.7069640658804,1872.3711308678885,1875.9907810768213,1960.4924526978732,1909.2485078432042,1918.4863277515785,1861.4082671322788,1875.820418522692,1877.6674379971341,1880.069284526988,1876.9025282680975,1873.1790347324804,1851.0264997881434,1856.1057272269481,1875.1900639083324,1975.9158169741017,1919.9143114612068,1914.4834882348748,1874.6086286325221,1852.533868495705,1878.3815640567104,1876.3416649950775,1875.5577384355026,1872.590594290931,1849.8703335506486,1855.5470559748637,1870.6658351719254,1905.7886728320675,1921.5738046836216,1918.638590336225,1873.8297709560165,1852.2547399995037,1880.8104463814434,1876.7705158744313,1876.7833826095045,1871.7728890394544,1851.8779667504557,1856.0951382907049,1876.6039899158484,1895.3250062670145,1914.9183450445569,1914.0461363934435,1866.0319981501714,1874.5482740940333,1877.1572919059693,1878.5600059558237,1878.1562106334547,1872.8971906703728,1851.26767445571,1869.064288311401,1875.9967698732803,1914.3616471947187,1908.5642334879012,1913.7143498967237,1873.8117763607295,1862.6132753028985,1871.90948073934,1876.3037404589963,1871.3124808423051,1871.4277304780799,1852.1146599848655,1875.342580575341,1876.0018152099253,1882.393689456354,1909.6868990617759,1915.8984114445961,1873.8828592975608,1856.749486507386,1879.1396014439422,1876.9530147196012,1877.298497097118
BAGESHWAR,1875.017152658793,1851.4908978251665,1857.326113476237,1846.5110297495587,1896.1980718613324,1914.2034281328229,1907.5617793954648,1865.0953967784978,1874.9993273120035,1877.0672661382423,1874.7809178674415,1874.444383610405,1874.0390177447878,1850.7739664209128,1857.2663313277628,1871.2957169572094,1907.9761173967916,1916.4293445667388,1915.2069898693746,1871.9498935331271,1869.4397039494104,1878.2908266117156,1878.0683715770745,1874.1766901912724,1874.582314243361,1850.5050375415688,1852.6624744261246,1872.7867606775335,1878.1284368926026,1914.116462868818,1922.1235822361348,1880.017689216094,1857.2547637887308,1875.628926076987,1877.960305502046,1876.9492503996269,1872.5225583075337,1851.144567933525,1871.9890115059086,1876.0113953621992,2009.0314571977274,1908.5701919141889,1917.4684559744826,1876.162678567503,1877.870576828875,1878.7498465162473,1877.1397271794958,1874.9807787137565,1871.6869054954182,1850.493372656739,1854.6026933622234,1867.2210664518666,1982.2995753858,1925.9537622753837,1917.8495984208078,1874.7676070648342,1853.0654596633153,1874.5293914849099,1873.566797448823,1874.7532733867379,1872.5336164711368,1845.7352003353917,1856.9938441960635,1866.387362038138,1950.3353680191271,1927.5253615248635,1916.465684004679,1876.1817015093316,1847.64250991062,1877.7580472886293,1874.5590586330081,1875.2876586191435,1870.9113795462554,1850.1966416541352,1856.959475957268,1858.5587497048637,1895.9429099141907,1914.8861669728449,1907.0899910064707,1865.4214545987068,1878.6209350638628,1878.3878990600285,1874.1499411573443,1875.6269065710628,1872.4999949364872,1850.397702162415,1858.0828753814362,1873.5268455182609,1910.1422175408813,1904.0302005755811,1913.7795757890103,1872.9656189282955,1854.5032247241365,1850.7607617134584,1873.8619683067957,1871.176139262402,1871.1879107295458,1851.6594502412725,1869.471856739553,1873.0591104575653,1880.9892714767896,1908.6359162895826,1918.3119329971528,1877.7497294421755,1857.0575960184137,1876.183823319105,1874.2989738521549,1874.7538929425998
CHAMOLI,1873.157495167643,1850.2799259223182,1855.191220636435,1857.4587655069442,1929.2761683043548,1919.755051575961,1909.087936411466,1870.8257922851608,1866.6440855426426,1873.9755775141211,1873.0935703968094,1872.3469876022764,1872.4446812137182,1849.8596112156677,1854.9575039920387,1863.9117472587575,1918.6470539484383,1922.1122984142078,1915.197233728225,1874.4098002466194,1861.876954379144,1875.9589211810871,1874.157704553132,1872.9002351559586,1872.9014299481005,1849.6166176215734,1859.6430750178808,1864.0533606139988,1907.484443934497,1920.8232557678607,1922.6186748158393,1872.9346162478798,1854.4872521392535,1873.9108861253012,1874.707957693659,1874.0345107515425,1872.1212906345313,1854.2139242114615,1861.5523352060575,1867.4481639398175,1883.8648843464737,1919.0721050648099,1915.414065524667,1873.42326301954,1866.9959295983126,1876.1584848425264,1874.1928684119775,1872.0122705763813,1871.5459289615096,1849.957829184985,1854.5901634545178,1862.1676221346806,1993.7197261952895,1918.519928246113,1918.5484482203476,1874.0009624648849,1853.0011193271093,1872.4004411642936,1872.5060669967622,1872.5605878881122,1871.6759147300943,1847.3005275609837,1853.8972645147524,1869.6310978906556,1960.7749720045938,1924.2582969664966,1922.1821482269272,1871.7235403042496,1848.3289375763688,1874.3568268342458,1871.4202708562561,1872.3853700230427,1870.981784148712,1848.0804340565517,1853.7928496334623,1859.533100740612,1914.3616886833327,1918.0134592498605,1911.545848525467,1872.9436141540477,1870.3640331491952,1875.8778626185335,1874.1433947218204,1873.1385473575776,1871.4842027273564,1849.2445726956403,1856.1622299612172,1866.0622428909328,1920.1244793026901,1919.3676354824356,1913.2192390968212,1873.5730568948434,1855.2952753626885,1854.9828619109471,1872.3722903976743,1871.1786276419934,1871.218309361444,1849.314523946693,1863.0255226240165,1869.2568406713585,1906.7108362841552,1922.7074948441818,1914.7997176835743,1864.0509396154096,1853.729105930293,1874.0171048477637,1872.5667760905237,1873.1681317254029
CHAMPAWAT,1872.2666316353514,1849.8520468738786,1852.0787463715806,1874.7231610787053,1903.4360248405007,1910.53587578617,1928.1096969773769,1867.00661687831,1863.4456592724362,1876.5996398034808,1874.8123716888983,1873.8843578395238,1872.2037502997202,1851.568835297902,1853.1268479740074,1872.0261083926598,1906.7780945980626,1918.9881110563372,1919.7789618402378,1870.2696528868908,1862.6352058352734,1875.8335773511988,1877.201160976025,1874.0699758440023,1873.3886051479567,1851.8262467280376,1869.3307760255516,1875.6911847053186,1883.423816768554,1919.4415741918635,1919.788658239296,1868.5554868578718,1856.1302990142663,1877.8131476035642,1876.9148885562943,1875.077474616186,1872.00588698704,1851.7750993455238,1872.6742540397906,1874.9275174568554,1982.8325028793163,1915.8037128610204,1921.4515928984624,1877.9123298748395,1875.6793755042452,1877.6498823787792,1875.9922578336787,1875.2492978943328,1864.0253534749168,1851.2042113921498,1853.2276623234898,1874.6206769909134,1975.1181914850995,1921.623062056003,1918.0515269332625,1868.9662501071539,1854.3249596726564,1877.804363015659,1874.1537356330002,1873.5179977977366,1871.3109370349896,1842.9886723674379,1851.764132564917,1874.248052534756,1915.651485778397,1913.6435542862105,1923.3362396329212,1873.63517473238,1856.163179712696,1877.662825689956,1876.6512242640197,1874.5029286222211,1870.9867783549105,1850.03497604247,1868.0831959859065,1876.1930537546807,1915.2458010146786,1913.628426344,1917.6241377115578,1867.0272845324125,1869.0345457509902,1876.8107892574797,1875.2656321403015,1874.6979413468284,1871.8315519949376,1851.1802039647762,1853.63005221574,1875.1919964498534,1910.1000004915861,1911.9857078337986,1925.9907985297089,1865.899741603505,1861.4414882161243,1876.5665539070112,1875.5453827686363,1870.669577588536,1871.7407190816239,1851.5558793387434,1875.346512597838,1874.9046532912614,1900.264206651279,1913.7560788636504,1916.3738906496887,1869.5576362463569,1852.6502264971045,1876.0951800414996,1874.6975207285616,1873.8623149619405
DEHRADUN,1874.0195983252363,1849.4478537830805,1870.437900081979,1875.6408106449787,1899.4209476559972,1931.7662504260215,1916.4517570267362,1873.5126045709885,1853.8541501367235,1879.9009127342579,1876.9248487343834,1876.097854650141,1870.891793198256,1854.3683961975346,1870.1165540678971,1873.3446992771653,1939.0457434524985,1901.727581463647,1920.1995746506616,1874.537600549438,1852.5494616087215,1875.7590141594399,1878.204401219327,1873.9689158679428,1871.4801283385227,1851.7918689521211,1853.987110318712,1868.0230559839642,1989.6563760779152,1922.5258047198868,1916.2746259136632,1873.7017638326406,1851.6666333072915,1876.5678601452123,1878.2885160343874,1875.959519426347,1871.1680043049278,1851.2555703891062,1854.0527460010946,1871.0527929306998,1924.499667346427,1918.9746453971995,1909.6507593664355,1871.6910608529004,1868.6390545077127,1876.0863109938832,1876.2926064535513,1876.4421851578595,1875.767851321114,1851.0456712155908,1853.9127264730248,1861.3921281606451,1925.4450799202389,1916.204034478174,1918.3508465842276,1874.0518698561837,1874.9112074135573,1876.7664412999823,1873.806715748359,1874.77442201372,1870.7807586130712,1850.8178633523128,1858.66716225935,1871.9405000005636,1928.681424183132,1906.6307004380649,1908.58601741279,1883.9255602866833,1853.8670588087691,1876.8831749633894,1877.0744259296757,1876.0021885318522,1872.1175007402196,1855.9002593683463,1860.1918730773643,1875.7596749607621,1896.888235416881,1928.7862437170184,1916.5095746334407,1866.3600376821562,1853.7351324000565,1875.9206368238388,1871.632557247575,1877.012400274754,1874.5468937979138,1853.9264477235865,1868.7096141449163,1873.2058832835537,1972.0513806555136,1927.2957828843757,1915.8861541223766,1869.6726883801066,1855.0090852602011,1876.0347371526623,1877.5573940568888,1871.6951500490052,1873.925950879124,1850.4717097794855,1853.5595258243236,1875.1165168005762,1986.896734101115,1902.6880302201469,1912.535955803037,1874.6836094537248,1849.7860643802624,1879.119956117124,1871.9962709870335,1875.1324073857159
HARIDWAR,1875.7307955766103,1850.4745072031885,1870.2783577965256,1874.3669251102215,1895.3544922754504,1936.133874883949,1921.2675609648352,1873.1134964304163,1857.616503830139,1882.105506228899,1882.613261476472,1880.7555311422766,1872.9547184223118,1851.0954281361933,1876.2940587384912,1876.329224549963,2005.6941130206455,1904.5864851087472,1918.3357562614206,1870.7422805770914,1852.8018716460663,1874.7928366575557,1878.241234376247,1876.1358434910958,1872.9419261463406,1850.4801939263746,1857.1835133236218,1866.8170323224413,1962.2421625521638,1919.9967195311046,1920.3154618300082,1874.617192169074,1852.4340456951288,1876.0807257226747,1880.9262159832062,1876.5153820827277,1874.4360298016456,1850.901998407779,1856.9627370458388,1869.4268628237598,1916.9880690200869,1921.5323110319675,1915.3759604443424,1865.5492050548744,1878.4115492976102,1876.113239146245,1880.6104145012193,1880.9759699013018,1880.9507155312936,1850.4945878409844,1859.0987303286634,1851.215569672587,1917.0039239657194,1910.1045302719854,1925.5957403762789,1876.0524313472208,1876.3100604935,1875.784667895121,1876.8623681030936,1880.4663191106827,1873.0629129668155,1851.7066836298795,1859.0946439163677,1874.7478608871281,1913.995554711861,1900.1931769319344,1911.7102296654225,1912.3310031664878,1858.2607656589976,1875.6355237911202,1880.617533545973,1880.6391687606827,1873.4921095464044,1849.8504404031332,1854.10094311453,1877.850158579751,1894.061543322929,1918.6813529283675,1920.413184841264,1866.704721484374,1857.6948203092202,1876.2792827223604,1875.0845077895262,1881.3834963375657,1876.2627292311608,1850.0979758713536,1876.0454506151445,1860.3177359574725,1997.5146441645002,1931.9003483275324,1914.290059260405,1865.4510046300304,1853.1166408348063,1875.7689492185184,1881.3908291233438,1873.6791100784374,1875.6885614578555,1850.4838962828753,1857.1656649545228,1876.1202480046193,1955.8947969739309,1907.4785285256328,1899.245108736732,1870.8719007354807,1851.2426910680495,1878.9518651070025,1873.989118505908,1878.123705800634
NAINITAL,1876.1365521878017,1851.4687849000652,1856.39499845237,1873.0365010093599,1906.9183488023536,1913.8603104287652,1927.6688986325355,1865.6403399933276,1875.508405565816,1879.9525680659485,1877.473576967637,1876.5044372570121,1875.326467253059,1850.5188891137343,1870.3382030715438,1869.3043590104348,1910.4488566531973,1921.088393069408,1924.8408742796137,1871.0906471689516,1873.5553931605014,1876.4516980031055,1879.6465166518587,1877.8761044313583,1875.838497504004,1850.05801294192,1855.2955243997803,1875.8405483188953,1888.8402954770036,1917.924508226569,1923.8773109140802,1874.8963940639974,1858.771658639402,1877.900501680366,1879.5281676855611,1878.6022846409653,1874.1434319507164,1850.2469711986748,1872.9229823150908,1876.746105248379,1982.0641448943531,1915.8381949907798,1921.675626575174,1860.5554720837304,1876.6843827088085,1877.0580865853124,1879.667046638134,1876.7056132274524,1856.0492227126203,1851.132314455052,1855.6000629870698,1875.6062169287154,1923.6551925955291,1917.3834755137439,1916.0495141354454,1868.0461624708387,1851.273621191,1879.4600972949606,1877.1814765878564,1876.5616752924614,1872.526190836021,1852.9543760172785,1855.7236706260971,1874.890991207801,1909.8632470777977,1903.8335070189314,1921.744569687734,1876.5054463859537,1851.9841536513436,1879.9269501821602,1878.9628957256452,1877.8713431210906,1872.1131863098512,1851.2280559150277,1872.1332461193488,1877.6377188268104,1898.2727480215785,1916.497598596624,1918.3881832938243,1887.8470098199423,1865.9060166057252,1876.9136093634106,1879.4762048664575,1878.626544616734,1872.441738928803,1850.5888984394292,1872.7967604090582,1876.40352260118,1915.1222568916369,1911.930068916726,1923.620118931874,1871.0956741197554,1874.100327583212,1879.4595242726134,1877.1600704992425,1873.6795245584196,1874.6336082153373,1851.752219094401,1873.3534934125817,1876.6468909726598,1900.6952983894787,1910.6003913931122,1919.7616633978755,1872.9113729571807,1856.2263358123055,1878.6911005699626,1877.7343943455758,1878.5800448418952
PAURI GARHWAL,1870.0600294291999,1851.576585675329,1854.1197463914216,1875.3207559591995,1886.0402933813775,1923.8582914210967,1919.5577273144045,1876.5244599087841,1853.4887803996792,1876.3214005032635,1873.8871121583609,1873.1359133002277,1868.9681960477783,1851.9230344352318,1870.3295671063554,1874.094194693687,1979.0029899768572,1923.3007103835423,1923.1224000301002,1873.5100364013294,1852.954384427115,1874.821066060808,1874.5986204334015,1870.955703542833,1868.9122840275375,1850.619759322542,1854.5071309259458,1873.8735538194703,1959.1007405493272,1925.9224535039857,1920.977961010553,1873.0054043849748,1846.0597417041613,1875.9548251562755,1874.3378178984633,1871.9488660878226,1869.337737677739,1850.7446949139057,1850.5703665975586,1877.366819011919,1881.149856272111,1925.6573323057464,1910.53058109411,1867.9951528868276,1873.011104111462,1875.4997949172425,1873.030939945608,1872.1209256545994,1872.1075339353404,1851.7492729700898,1850.1051184427527,1869.5366117010446,1931.0030580056261,1919.728400000714,1924.5253040082264,1867.8332228796394,1860.5469601589086,1875.896480196874,1872.2072099748002,1871.2163810727554,1869.208380256208,1852.8204267868941,1850.4014294761482,1870.620470757091,1908.6646770390303,1909.9477715045412,1918.8359620220956,1886.8296525818657,1855.0319500586777,1875.644738379245,1873.2613243315252,1871.7557309692,1869.8466461737974,1848.4564964252359,1856.908666490547,1877.4099555832822,1890.0423218561193,1919.9022097324112,1920.8481658285095,1888.6579656429803,1854.0816379286643,1875.1193165855912,1873.8853903851973,1872.8771431663004,1870.9839630895112,1851.2721344805077,1873.4021002447944,1875.4146580252134,1987.0662129188302,1923.245710418357,1917.2194905806493,1867.3350645379028,1853.7181577669955,1875.3731235607602,1873.1312250245758,1869.0520146781444,1870.6586287447592,1850.7242389194914,1854.610508230306,1874.7491259349154,1953.3518028537424,1913.1372997347912,1915.8066811458154,1872.4151357161256,1846.0766546756652,1874.9843361125118,1870.796425952902,1871.133201609352
PITHORAGARH,1869.9978736495527,1851.3159991555408,1853.90542567172,1869.5845298301952,1902.9040526622791,1921.920740211289,1908.5656261545978,1867.5969844074034,1859.1360683019366,1872.2249118758912,1871.3295860080163,1870.5690244658092,1870.0318914017105,1849.2151366127225,1849.7910034927183,1870.7610902012248,1934.884589760159,1919.5778372757457,1913.6239744072034,1870.6992243534382,1856.5914409531317,1873.9691174371544,1872.8870368814423,1870.6728207999818,1870.4612807135752,1849.0320090457135,1851.2657617320126,1873.527873811367,1898.0812369600449,1919.3415709554927,1921.2374734412238,1875.0904825698365,1855.224868741217,1873.1787169851273,1872.237740467481,1871.6898264661772,1869.5854371208372,1848.5315528676372,1860.9081468613606,1873.3123717204717,1983.4703469897001,1916.1817299995848,1921.853287225669,1873.2569035410297,1871.2345604163277,1873.9765476015752,1872.0446762590987,1870.7855205369442,1869.7145425570016,1847.84892256988,1854.0288901729489,1871.2263227840167,1979.0920580351778,1920.7204169800004,1920.3805047793585,1872.0537342711732,1851.326430683525,1871.6675858719534,1870.1666141575624,1870.347828405343,1869.5541386698042,1847.358999756013,1854.3389701355552,1872.0483505432383,1950.229662695132,1927.8394005621628,1922.6678167593589,1873.0886593313064,1847.2535541956968,1872.5197037845744,1870.6355596932524,1870.5341534264367,1870.1363941070592,1847.009772604804,1851.5691704451854,1872.237187207887,1903.5102173305688,1925.1030633328962,1909.305323004971,1868.6291958888462,1861.3158871143862,1874.2052012547424,1871.1551061205016,1871.1154911050007,1870.4765180216984,1848.1364348526652,1851.3615626727096,1872.6517004857576,1935.064046703777,1914.8650671360663,1920.228699809776,1870.1671301893543,1855.466212904436,1861.992220579839,1870.9031983295215,1869.6232518841014,1869.4728316910841,1848.5324142691748,1853.032042790458,1872.2085216965847,1899.8573060669253,1918.7441554682746,1921.2529477615576,1871.6441945196773,1855.5528702742506,1872.0842490543703,1870.4355212653006,1870.1517823174238
RUDRAPRAYAG,1865.195058545466,1850.2796448966608,1846.0697932601324,1874.3861626220876,1896.4423413622858,1924.6785660410665,1915.7115959871103,1873.1133537508942,1853.7578505858507,1868.8239350921615,1868.1308667455933,1867.8677475550112,1866.5456333034085,1849.8423982641066,1852.7816854257712,1874.7852613498867,1978.071645542639,1920.1188369213955,1918.8895247878388,1871.621299099645,1850.4423100648228,1871.2981368040862,1868.7867597627219,1866.2109096114114,1865.3505385276735,1847.6967448143955,1854.6055784887135,1876.5891750211417,1974.6970086746528,1924.7759290460856,1910.114417598817,1870.3673804649527,1846.1162137732363,1870.8280357626484,1868.395380047513,1867.1147323164762,1867.8349482271396,1857.9594152365635,1853.8896139609753,1874.9577313999312,1876.206889797031,1924.7118342077467,1910.6922781225974,1870.041609996842,1869.7689335233356,1870.8484768528706,1867.3976893696636,1865.897203910355,1867.1912407847087,1848.820357073254,1845.5936623716866,1868.9465241321238,1905.2608018214296,1922.9808095942444,1924.472913245726,1872.7569686441584,1853.8151004895083,1870.4385357443584,1869.0732432941752,1866.3959462925907,1866.2955519785996,1850.6457903696964,1845.091101971697,1873.0623680999297,1950.0841839720795,1912.2826381352093,1923.5281521882273,1873.8918538155401,1854.392561554599,1868.3449736857535,1867.9383334275153,1866.0861205302922,1867.7715726255617,1844.6776886740508,1842.7891075529128,1874.3226583643577,1895.2170377640164,1924.953278885087,1898.1360697902262,1874.3889792797704,1854.1609132127203,1871.8817438655599,1870.2932826844649,1866.7622176423733,1866.0464484514403,1848.8732252358832,1856.4793712848848,1873.8207094304269,1983.1726786154447,1920.4818904803333,1911.405383253756,1871.1439557284696,1844.7880369843635,1869.951953337519,1866.6998630395458,1866.2645864076305,1867.0161293407969,1847.205151508017,1854.5953788725967,1873.1202018912225,1973.3347082877501,1925.1382535346936,1910.6455358259082,1872.1816463148587,1843.6094119239924,1868.5607014462532,1867.1350029080286,1865.3824366230428
