district,2014_01,2014_02,2014_03,2014_04,2014_05,2014_06,2014_07,2014_08,2014_09,2014_10,2014_11,2014_12,2015_01,2015_02,2015_03,2015_04,2015_05,2015_06,2015_07,2015_08,2015_09,2015_10,2015_11,2015_12,2016_01,2016_02,2016_03,2016_04,2016_05,2016_06,2016_07,2016_08,2016_09,2016_10,2016_11,2016_12,2017_01,2017_02,2017_03,2017_04,2017_05,2017_06,2017_07,2017_08,2017_09,2017_10,2017_11,2017_12,2018_01,2018_02,2018_03,2018_04,2018_05,2018_06,2018_07,2018_08,2018_09,2018_10,2018_11,2018_12,2019_01,2019_02,2019_03,2019_04,2019_05,2019_06,2019_07,2019_08,2019_09,2019_10,2019_11,2019_12,2020_01,2020_02,2020_03,2020_04,2020_05,2020_06,2020_07,2020_08,2020_09,2020_10,2020_11,2020_12,2021_01,2021_02,2021_03,2021_04,2021_05,2021_06,2021_07,2021_08,2021_09,2021_10,2021_11,2021_12,2022_01,2022_02,2022_03,2022_04,2022_05,2022_06,2022_07,2022_08,2022_09,2022_10,2022_11,2022_12
ALIPUR DUAR,1877.8020805734893,1849.8791638664916,1875.9605826385189,1875.7194137370946,1918.5732737142623,1930.3778683417052,1933.1634687634626,1854.2071399920542,1854.5536387276877,1853.3328863010079,1881.266925348935,1882.349449287787,1864.0354218281364,1850.2385141112452,1875.437404143504,1856.07543370209,1917.44090251069,1918.4292107508277,1934.428984852647,1866.4287731446639,1868.2428726487585,1867.6835326567063,1882.5567793204111,1878.4009198290175,1877.3466270930417,1850.9344682456122,1873.5486175371202,1873.6548599127145,1916.479374617748,1925.0574019915327,1928.4565990947494,1897.2200560521342,1864.4022132316115,1875.3237190254215,1878.8845874729607,1877.702810274239,1881.4070390165527,1852.0146876191507,1876.7032988612277,1876.3137383813914,1899.6052791783304,1928.5840185418174,1927.7169637003758,1866.3266055818617,1865.0080690404648,1881.0326986086625,1876.2033668260422,1882.0790264623888,1874.9665650141108,1852.2937848167483,1870.3837507201736,1865.0556065250712,1912.1511926936173,1927.124285039861,1926.625570060904,1875.607422639479,1858.8859673850884,1877.105341207368,1879.1534441944125,1881.9544787927944,1879.7289248249274,1854.3226732464414,1870.4413029986617,1853.755971698933,1922.7669014530209,1927.0750575021723,1914.0494586628186,1873.2093168741872,1855.1469500626333,1853.3487237426887,1878.592246459052,1878.9968107292166,1875.974257611615,1849.6273591528723,1872.321894074971,1857.174877899783,1920.5833391943709,1914.7749690072287,1931.8701875092563,1875.5534395721113,1855.9308548642828,1853.5710990317039,1876.477912214686,1881.6970129625788,1880.6483335986857,1849.9298670357653,1878.558398196002,1876.4386777494171,1920.083773848576,1915.149916427605,1923.7123553857753,1867.3660948882718,1872.6210177921353,1867.3238401702067,1878.5640944269824,1882.0225702313965,1878.4978586803159,1851.6576707296583,1873.593015643046,1875.9765618037582,1918.2063194553148,1924.003417068953,1927.6621845314473,1865.1915061103819,1855.2782315556753,1875.8521440213005,1876.8823869333671,1881.5604135503347
BANKURA,1878.453587285598,1856.6610617571623,1877.5924339609026,1867.8719675016744,1911.1130145094328,1893.7007088165456,1898.4056558075808,1868.167808179899,1857.8121097069793,1849.9863416380426,1877.9507290345734,1879.683103833606,1851.7626668746743,1857.4137571914207,1875.0289232675325,1863.5542364663963,1919.4878111672092,1889.529875808966,1910.0925522874663,1865.137887413321,1864.8452010691913,1851.1785478854579,1875.9055195618062,1882.4753179547643,1850.6823678999751,1859.6296316056143,1869.3427594420637,1874.6170742773286,1926.0169382536583,1892.306612946953,1913.0549841171112,1866.6079178327464,1874.6812247333376,1869.233454892568,1875.7227493715077,1881.1939809328305,1850.3245713921458,1872.7520818847806,1875.8363312580664,1874.1741257219128,1916.2866313024363,1889.7460045877372,1895.4370975889133,1865.8208742674576,1874.40135413365,1850.119006930314,1874.8824565584287,1882.0220123840622,1882.334039585374,1852.4810868634106,1875.1716102506941,1876.2315200420662,1917.291315322319,1881.0972511291304,1889.458442909599,1882.9900323228799,1872.4495331990565,1850.9976906081238,1877.839787582045,1878.9079686957523,1877.8455200658545,1854.7844996991291,1871.269083134896,1874.6686084941507,1914.3768471637175,1893.2146147427577,1893.01521117661,1920.531863983177,1874.6905404556592,1850.5675058498048,1881.8757361303597,1882.7675339319555,1863.9716276754755,1856.166655891112,1875.8968077049162,1867.4988960928772,1911.540807630572,1893.9265987123074,1900.0917852077546,1918.4447346388552,1860.4575000459865,1850.3816529072715,1879.1841480683288,1882.6220658431725,1850.7312875456294,,1875.1723678781698,1866.0564312380607,1926.3904251624294,1894.6986220971498,1907.6418351877426,1865.534053171925,1875.1916512886853,1856.1778079422156,1877.14030194244,1880.213761195168,1850.724099539077,1861.5857295447229,1875.1749427990906,1873.490860680898,1923.5709613177944,1892.6090128019814,1891.4978100651317,1866.549772410513,1875.2932027471304,1870.4078815794942,1875.5761827721967,1882.2208776019525
BIRBHUM,1882.5583933946991,1851.4538292017785,1877.3876883273297,1868.820246674721,1911.0280324482437,1886.279809708556,1911.0522782016699,1871.2465254174083,1859.225834982012,1855.0011017753866,1875.9527676727203,1878.753469502789,1875.209309238605,1856.1024533375034,1876.9143183836634,1864.3590586587943,1920.994413990125,1897.6449812600877,1916.222500254398,1868.0131530607762,1870.6267558723482,1873.3555374109656,1878.5362333096382,1881.1635657395784,1854.792126103155,1857.9542831668803,1877.9020924721717,1874.5628643023426,1919.773225332409,1894.9820081503854,1926.1275069559754,1866.71306908133,1877.7090562969756,1877.260393983873,1875.959106878339,1879.7371613307173,1849.6832431954617,1857.425705122073,1869.324567745302,1876.3780773447627,1918.1850534055188,1889.5183151418146,,1865.8417360787594,1866.6185908046762,1850.5082224015534,,1877.3367266461,1881.7093769906921,1851.92136626402,1876.5270498075633,1876.2469404953724,1916.9150485770183,1887.4321423576039,1897.9425575472007,1888.7639960938004,1864.294635162887,1850.894218489357,1877.3396639843284,1879.3757070293645,1881.008154407821,1852.2975554966465,1870.672254080541,1877.0379443195309,1916.7637664106232,1888.7930934928088,1895.289400736973,1880.487281364838,1877.4271030085838,1850.6508936695416,1876.0805768761493,1877.0986363947986,1879.5271944699232,1855.2303856447736,1877.5383767743995,1868.619717427305,1921.9809043096302,1894.716591931048,1909.4345945169423,1874.410016865969,1854.1803095731395,1860.583222141503,1876.1109057675776,1882.250489870573,1874.351145966576,1856.6368314056053,1876.8246144568184,1865.419461462758,1921.4188449916296,1891.9293684980125,1919.2731749663933,1867.9785195230547,1855.919871218757,1882.699363042056,1876.024328795338,1879.9070436532193,1853.6473891712872,1856.9089103434342,1878.057332250578,1874.7881141371317,1921.0397690793081,1893.1157748587677,1926.6289486515348,1866.5063916159809,1877.0043048468663,1871.6029044934455,1876.064469317285,1876.7700300035501
DAKSHIN DINAJPUR,1869.2794870432629,1847.210558843567,1874.1350790495999,1874.104297212723,1917.1257855754989,1909.8217463083415,1928.8429681100336,1867.5373827403073,1872.4754653280984,1871.4613587245576,1878.3523272769598,1880.2113688564607,1871.8290591773318,1853.3155478123126,1874.1749014933175,1870.5186115777683,1910.151618070432,1921.799007261735,1927.9721135229363,1880.078091296343,1867.4591479530118,1871.076017946913,1871.7864922029735,1873.7142139163811,1873.1253188016642,1852.8466005617747,1868.8487806523738,1870.9531383225817,1923.8735087972652,1915.6924400050912,1911.9864847095566,1869.8490100308798,1871.4895003648428,1871.4650129349268,1873.5966773886628,1874.8212484560413,1874.0022196262441,1853.8304430760338,1874.1413504468594,1872.8133526573552,1918.1797263369847,1915.5230456457377,1927.1786146618492,1864.984941684974,1852.3654537478108,1860.2973406427286,1872.0560941007218,1879.5731280000882,1871.6818931998423,1850.1595547890504,1876.048497612857,1872.0312236683005,1923.9142460462356,1916.0773371396378,1922.6284233855013,1880.1617833988462,1874.6641932024588,1865.5455050164287,1876.9212084409635,1879.8724288005062,1870.4620740469613,1851.4454083707835,1872.6841514714924,1871.990740862574,1919.9428626612405,1902.2797107780493,1927.8623983209654,1873.284375660776,1868.0397902463071,1871.2129660014145,1877.026396833222,1877.9316799824453,1873.6957090845299,1854.003666389525,1875.921332553291,1873.5194366161725,1918.2863461083741,1909.8267934235498,1919.4219531716192,1869.7075571497098,1873.553323976316,1873.524274800098,1876.4351998941188,1876.507790933233,1873.6941811751387,1853.5960295780628,1873.8043731913042,1870.2964755364462,1914.7411208426613,1918.9298640129666,1926.8707863347913,1865.338671491496,1870.5484845212886,1876.2315148808805,1876.3936622436167,1876.8926414772031,1873.3192903091651,1852.5974071404494,1872.1004071223651,1871.2469445931918,1924.1069002936163,1903.772948270199,1921.167988905128,1866.2228499854727,1856.841469794584,1871.5345165697247,1874.799262811162,1873.8648257718437
DARJILING,1878.9855513405164,1847.1091767579153,1879.9487543007306,1866.114026970061,1882.999028567421,1914.3269704686793,1931.2077660284897,1866.73930889559,1875.9329887685233,1879.3485451213594,1878.509962274464,1878.635814177813,1875.581679545365,1851.0257602833324,1879.2307281620526,1868.6178297030172,1911.2562433654784,1926.6535222837651,1928.2444475632994,1872.1302607496625,1880.4056822111386,1878.28345553249,1878.909928058524,1877.5360313096667,1877.1852607775022,1852.8686517596407,1876.7407413821334,1867.9733106045765,1907.9533305239192,1930.7607993355182,1931.7402242931812,1878.0578236251815,1857.9226489726625,1876.6968493597135,1877.611884028329,1878.4854262828592,1878.2692302889918,1850.9783404492293,1864.3916753524882,1879.8407057062363,1912.3538122105858,1933.6664099787033,1929.6069647243623,1871.575345470202,1857.872639172801,1850.5353827225165,1873.5451570058015,1879.6741725070733,1877.688755959536,1850.49623709574,1878.7885038104112,1873.5028875486219,1914.4328141700294,1927.6403507876241,1924.1698002875835,1866.7883695379485,1870.133666108612,1877.5551011387727,1878.129931954909,1878.8251804601255,1878.7531984685893,1848.6592166014502,1838.9090779765233,1878.8687090608094,1905.8104731282867,1921.822102850908,1926.1665453160876,1866.618340900977,1869.8720614876102,1874.7563529628153,1879.4614455714445,1877.691506938129,1874.810022583666,1853.3647687627097,1879.9307985506468,1863.68355060663,1922.2761584870377,1924.403946695269,1935.2666094770832,1866.253080982673,1855.9982372783968,1878.765733255112,1879.1191071728686,1878.6936007522497,1877.4843835701658,1851.7956413973468,1877.8346463175715,1877.3259650721523,1909.7400880775715,1926.350459134091,1927.444833030997,1868.7951995272524,1877.9101978148456,1879.364038233773,1877.4432763788425,1874.2879410569114,1876.4105217809783,1851.023422900284,1878.97950118882,1868.7663483267572,1907.7450424398596,1929.9321266954742,1930.4441465730786,1876.3312891835096,1857.893445524719,1879.6093767455832,1879.92408645838,1878.5463219605112
HAORA,1872.3206511338926,1853.656267083666,1874.0851877068565,1873.6921048962365,1926.951652248506,1887.7676490070971,1919.016978685313,1867.7661859561297,1871.101741597644,1848.7545857136372,1878.3380607278507,1878.35069874553,1870.3917754714757,1848.6216978833233,1873.6481047969335,1867.9766990825567,1923.757682705715,1891.2105389516762,1895.6510975910574,1871.9355214916015,1872.2651684437876,1866.43392159852,1875.9918300818815,1876.297951279267,1850.0725937845893,1847.1002656315798,1877.4889715698437,1872.3476339375284,1918.48241781521,1884.0722836509733,1912.0838202500208,1914.9252017809379,1870.4121732649232,1864.9565728876662,1875.421845831809,1877.8735026729387,1851.4365311334236,1848.9462664193973,1873.6564126719848,1867.519821153781,1915.4772288994466,1891.0106792792435,1891.1924853990488,1865.8868356799458,,1846.0018649940612,1874.340240779498,1873.2530470980005,1862.2114475467727,1857.1070514218732,1874.3428223187043,1871.2541905380106,1921.0612624328683,1869.887563029827,1891.614857150499,1866.6218525197062,1871.3701504268536,1845.4278074981396,1875.1013324951484,1876.4496327188174,1865.123736932198,1857.715473758458,1872.8091070321188,1871.4454435830694,1924.898358614957,1872.4945330165601,1910.2586256492611,1866.4987230663896,1873.2112892357993,1849.9802057909574,1874.4422928212282,1873.64254561198,1878.4945558648806,1853.4975683596501,1874.4546207317435,1869.455685652901,1926.6920682934992,1890.9241268339197,1920.9360798250195,1868.441545766888,1872.476464613282,1846.467321538982,1874.8289753958802,1876.787810406347,1870.5605102361862,1846.0878587276086,1869.6812955976416,1873.9702879769122,1927.9745630066614,1884.0560143584007,1897.1398537986706,1874.8990707169935,1872.640070220994,1876.1428144653821,1874.8021787550085,1871.6115887813094,1845.460663494223,1848.758054557187,1876.9416727545772,1875.2337689625224,1916.2371590122384,1886.5708319512703,1890.5616993422525,1866.9647004956032,1872.4291393714536,1863.927914966574,1874.5008636868824,1878.792170008735
HUGLI,1874.4993037687398,1853.9462956101274,1876.3821880333708,1871.2942673605621,1922.3011669718558,1891.618102754907,1918.3855931071098,1879.5685125764205,1870.8767517157532,1849.9722431532443,1877.524821143652,1877.6054533695428,1871.5077156220034,1851.0627548336245,1873.4428963516018,1867.6837012242688,1922.048599002602,1890.2878917954692,1905.932864548131,1868.8217535869417,1870.2386271994978,1863.5182344758655,1875.1754141613146,1876.8046322681068,1851.5544016805784,1849.5727140007257,1875.155645800109,1872.7246261678845,1918.8165832885766,1888.0143444909895,1913.9417469407445,1898.9899844179731,1872.3561288651213,1864.5994184150748,1875.3448614361412,1875.9334060435795,1850.090485848234,1851.9947315731306,1873.6152791721534,1868.0541438237397,1915.9619640502694,1891.7234688560452,1896.8035246335178,1865.8607032056682,1870.610091695283,1847.0363368552107,1874.7874626909465,1879.18706877337,1864.4476277645902,1853.928700253167,1873.3799884989967,1871.7166332417644,1920.6674498901837,1881.8743671557938,1890.2844943631646,1876.9028621843083,1872.603562643111,1847.0133683030033,1876.0758485309407,1878.0520581848436,1866.4979744481013,1859.713763250573,1872.7352812946585,1871.3017854512093,1919.7988196172607,1878.723862297141,1901.5174172176005,1877.3629388781408,1873.8002846741908,1848.9651031972085,1876.261529221427,1878.9346975978294,1879.848374253294,1853.4861698980192,1872.9814833445466,1867.1163691927782,1920.9095729664575,1891.181273630758,1918.7520835517803,1882.0860763208323,1873.848445798923,1851.6296384644772,1875.9579641304751,1877.1645887030847,1871.0735668821233,1849.651583448038,1873.0236243695767,1871.308646352328,1930.6448664892346,1887.082957478322,1905.7445172783023,1870.0114893238103,1873.2121106835743,1876.784586581548,1874.9237987730974,1874.740646993693,1848.4067127821402,1851.717692200771,1875.6890294077887,1872.7186205483013,1913.5959128504085,1890.3252018925123,1890.4805807618409,1865.1639446888764,1870.7577914066387,1864.4714296481081,1875.004654233674,1880.4980336056965
JALPAIGURI,1877.81502414943,1845.7536602908845,1876.1012606851164,1873.9144417331672,1907.2424959510884,1916.6600407540377,1933.25188977094,1868.3223053222764,1868.5636703619807,1874.9660666630664,1875.7743052680976,1876.6951071933715,1871.4059296492037,1851.0472710361234,1876.6464125254074,1873.2169113830596,1913.1193107760835,1915.7010969171586,1928.4805730139753,1867.3430621359303,1864.758192587829,1875.9216134001952,1877.7942992481617,1874.5413374680188,1872.9795328072917,1852.451038554045,1861.9225831710032,1870.968415485703,1908.4752243489693,1936.2800502954142,1928.555375625644,1866.99899501038,1872.3664909840525,1874.1097352356933,1877.713634271372,1876.3447320139892,1874.4222387622417,1852.2116573659307,1873.271554411367,1871.1558943027883,1912.2246230739047,1923.4964212435866,1930.7205641012042,1887.8014348195748,1854.542068746035,1868.5453594515136,1873.2704727210794,1877.9582172384137,1874.4012399048615,1849.9231439070231,1871.5934604919428,1873.1304639365735,1913.5832105566471,1929.584125523858,1926.7721015683771,1867.493564550228,1869.8075717791392,1878.6438829333115,1876.9762223327484,1877.5701368794332,1874.68042924861,1849.8650581713114,1870.4662897113376,1871.5179055210106,1921.4188786511334,1922.2907701350907,1923.791278458159,1867.5541788205192,1865.6489309301696,1874.1870487696315,1878.4770074667524,1876.201536545431,1873.352589487965,1844.5446551199684,1876.6991378791229,1872.1338613364544,1928.3983828818557,1924.9480912547788,1936.1511252030182,1868.8446816522442,1871.9884848065271,1877.2632318701576,1876.8065849720078,1877.1973744278978,1873.4372917336518,1850.424382583656,1874.129016584596,1872.6398363271167,1908.4701678003248,1924.9736684613144,1927.5286838388004,1866.1453793552587,1858.9869574743907,1879.9632574151453,1875.816848046536,1876.7510141425428,1872.6915265592927,1851.6598317222035,1866.6284906043568,1871.3892898406557,1911.4212704317556,1925.0752608551838,1927.5375921753694,1868.5474384028455,1849.6791314105321,1877.4639846860523,1877.6778121272941,1876.9557352251447
JHARGRAM,1857.379119262435,1856.965687268562,1877.5898935826488,1866.5388331023703,1911.8654499991394,1894.9239192240068,1887.4898372795867,1868.9634133508762,1862.1451012317054,1849.887331250862,1876.6777081720168,1881.494923000025,1851.602193123701,1857.5977044503106,1876.8854736763647,1867.0529158271397,1920.1268332033503,1888.4148323707072,1891.2215106784317,1866.3663393315035,1851.7832926249976,1850.3096581550617,1875.6330649934696,1881.804730252231,1850.6724244918996,1869.9369294378018,1874.2246959291572,1856.1305047941105,1930.5362038068156,1894.3672931870367,1905.9071542452382,1866.6758888872102,1876.080202093742,1849.5777206896562,1875.5809718884798,1881.9761378423693,1850.6220418167932,1876.9547806547275,1876.8725399749026,1875.985027759401,1917.9884165824017,1890.3152095707956,1875.4619558774496,1891.619279044958,1858.361014622026,1851.6535096138482,1875.0632915797776,1881.1790282331535,1879.8649998238723,1853.0020377303476,1874.6243304596699,1875.6829883519233,1915.9646913776899,1881.7804825797018,1883.330477622434,1899.971077638014,1855.2072421767866,1849.921056729099,1879.0470062744566,1878.6843555707471,1860.8592297324199,1857.1339965329503,1878.394682055958,1875.742157432952,1918.4432031456874,1897.1045127528369,1895.7391948424167,1924.7208059525326,1876.8003924330249,1849.5989338110744,1881.9516882273401,1881.4296099109283,1850.599292430612,1856.346002992403,1873.5744418377149,1872.3524825907618,1911.5424407100354,1892.529149578692,1888.8012653596736,1914.2525378978853,1864.4697423198938,1852.6663175704537,1882.7773751384896,1879.8200191377248,1850.6976105044887,1857.4346412306488,1876.042294276174,1867.1579527617585,1919.902705418724,1890.227504261463,1894.0218574867051,1867.9685447277984,1856.8597625984958,1849.7740061537334,1877.4810081703376,1880.4970593611913,1851.1605362117552,1877.1673881316206,1876.1200551532488,1875.3179364761445,1920.0232503849043,,,1866.7116553596386,,,,
KALIMPONG,1876.9866679332856,1849.841220017162,1877.3421230821507,1872.297580060281,1879.9451780145894,1911.1948492934632,1930.122066574443,1867.2013050841063,1871.4294998576647,1880.3666271517018,1878.3674629992415,1876.9875965094595,1875.4509169273233,1851.2154669964152,1875.4473125638842,1874.7873224316627,1907.8154499674106,1917.8131454574864,1927.22842359217,1865.8207489309168,1870.485033431087,1880.2669213289623,1876.6799379421432,1874.095679159638,1875.4307394924726,1852.1538215044789,1863.6037401532142,1870.712632988014,1911.2430438243002,1928.2780739433847,1932.0413397732432,1875.3336212381037,1872.5848168352559,1878.3618284207666,1876.5352876009363,1876.9874828217617,1876.5413709219376,1849.9204718292026,1868.2713418390654,1871.1598223947185,1912.5812612748048,1926.8953866815561,1927.5914083308687,1879.367066908419,1852.8199710113563,1865.6664732839276,1873.5844006182658,1877.0872872950833,1876.9947488630469,1850.4952564950704,1872.372966534592,1873.4106443655062,1914.1624080677377,1929.2665763705375,1928.168985504204,1864.5546400043438,1870.098615137126,1876.5030721660182,1878.5817219998964,1876.1442476741822,1876.9265849481708,1850.1373635702762,1867.9636574080237,1871.8816974597785,1902.16937366149,1914.7771579484063,1928.2703177763956,1868.7860194263608,1873.6352223680594,1872.6099042705291,1877.8533886261073,1876.2942792255951,1873.1471985365513,1845.8099895612963,1876.6496553254885,1873.8338268291977,1929.4088602969496,1915.1231274609027,1936.8122037952696,1866.4070684885398,1867.0227640096084,1879.8607509157052,1876.546448163764,1876.8166368111383,1875.4448010317599,1851.4045372662356,1874.281123460264,1879.4514267651962,1907.066921747831,1921.9410787386225,1928.0044763537255,1865.6710700028386,1861.234281044964,1876.0772093677338,1878.3563388362147,1873.4861536227268,1875.3702920603266,1850.1412020872165,1867.6721759406666,1868.2431109721695,1904.1030323745968,1920.8689905488422,1931.0864345393964,1877.6500780989281,1856.5573418025251,1877.9596187840275,1877.0022598019234,1876.7242502188928
