state,2014_01,2014_02,2014_03,2014_04,2014_05,2014_06,2014_07,2014_08,2014_09,2014_10,2014_11,2014_12,2015_01,2015_02,2015_03,2015_04,2015_05,2015_06,2015_07,2015_08,2015_09,2015_10,2015_11,2015_12,2016_01,2016_02,2016_03,2016_04,2016_05,2016_06,2016_07,2016_08,2016_09,2016_10,2016_11,2016_12,2017_01,2017_02,2017_03,2017_04,2017_05,2017_06,2017_07,2017_08,2017_09,2017_10,2017_11,2017_12,2018_01,2018_02,2018_03,2018_04,2018_05,2018_06,2018_07,2018_08,2018_09,2018_10,2018_11,2018_12,2019_01,2019_02,2019_03,2019_04,2019_05,2019_06,2019_07,2019_08,2019_09,2019_10,2019_11,2019_12,2020_01,2020_02,2020_03,2020_04,2020_05,2020_06,2020_07,2020_08,2020_09,2020_10,2020_12,2021_01,2021_02,2021_03,2021_04,2021_05,2021_06,2021_07,2021_08,2021_09,2021_10,2021_11,2021_12,2022_01,2022_02,2022_03,2022_04,2022_05,2022_06,2022_07,2022_08,2022_09,2022_10,2022_11,2022_12,2023_01,2023_02,2023_03,2023_04,2023_05,2023_06,2023_07,2023_08,2023_09,2023_10,2023_11,2023_12,2020_11
ANDAMAN & NICOBAR,1856.9078687328847,1876.4937724182128,1876.5883948196624,1869.102798487355,1878.8194085098285,1868.9992999193005,1870.3649012862184,1871.0914716211469,1897.2074561010177,1868.539928660781,1854.0376798578864,1850.9524039895225,1858.508711742277,1876.5525942848897,1876.5717043358889,1874.7610791520244,1876.355120167459,1870.761564732496,1872.659762483464,1867.9489788517312,1870.4677312646,1873.729429582344,1850.6503370048456,1851.1700080427447,1859.0384117130309,1870.214549439512,1876.7030830707936,1892.310665885092,1879.2466452205929,1874.604082388989,1869.59262031676,1870.6313102144936,1886.291226538303,1867.222424935264,1850.6753743387465,1850.221720723113,1858.9605594491627,1876.133029357908,1876.518601928297,1866.6707025355229,1879.9177451486223,1868.0102294817227,1869.372020621798,1866.4478899836013,1877.8464237115072,1862.346384951761,1850.7886814407875,1850.631629045952,1864.3847037604603,1876.083045222619,1877.1162094853053,1866.984397775436,1875.2261116250347,1866.3425064586288,1870.391645973927,1874.567293599673,1870.40728271484,1871.362199221528,1850.6807709387504,1850.5445030376604,1856.884803355455,1877.0669862516988,1876.7826982369315,1868.057565603724,1875.025687630402,1870.046722047472,1869.1766718608783,1868.8352986464563,1883.2512372518515,1875.7963391585763,1850.7567669492155,1850.9250616061065,1857.8973998691904,1876.9559206573203,1876.8541621721945,1867.55258520248,1874.0587139520592,1865.982379212532,1869.674185426465,1867.861158615663,1901.431212538968,1872.828265671276,1850.109214475696,1867.108584644188,1876.326961024112,1871.140835375048,1884.8658337592328,1872.0547075943784,1867.3272556433103,1868.24709403366,1870.8555252103608,1871.1590193064303,1871.8933221142188,1852.4171087362424,1850.8948123294488,1860.058099979616,1876.335702580216,1876.3815607116635,1890.8991399100453,1886.2292379321216,1865.801020238356,1874.3462776321887,1879.5942049867808,1869.5679941230064,1871.2404987041964,1849.7950033546133,1851.376946864888,1860.7050701252624,1876.059738543052,1875.1056180573007,1865.9468390549737,1878.150389216604,1868.53005388474,1869.027583440583,1868.0391532461265,1872.808292772612,1867.77144809082,1860.2365952964965,1851.164718285434,1851.612276298929
ANDHRA PRADESH,1850.075451161588,1874.585410031504,1873.1775945564725,1876.0269940094763,1891.970704468228,1874.6509015552188,1871.189841659601,1884.077669849492,1870.629579855562,1862.991707657436,1855.4746634914404,1859.9971712345296,1851.4067170788228,1874.8171996484648,1874.4539772090443,1875.764975333832,1889.1786200453048,1873.6532363741096,1871.946324821988,1879.085649314149,1867.602676834834,1857.746451469037,1857.772391456081,1861.2462669551849,1851.885184978257,1873.5289146620253,1871.762424243023,1878.4176111079803,1890.4986845870849,1871.8255509800867,1874.036743903681,1883.2237748012872,1868.138265068864,1857.570824801732,1858.6586124288383,1860.828752700584,1851.335974415661,1874.3110434353048,1874.303274307787,1871.1989444651133,1889.3721802377,1871.6988301385609,1871.0968231367808,1886.3469525652367,1872.4047883737355,1856.716764069779,1858.899936263019,1859.658761935991,1852.0907088799472,1869.3942891199183,1875.0452076343213,1870.904200419895,1888.5970914398133,1871.9174120463665,1870.1607587485928,1880.104525085978,1872.026006168229,1857.7616592439592,1859.2196629103616,1858.862487642972,1850.4905636723693,1873.8138605535755,1874.4767707846927,1875.9738025951824,1890.922504262574,1875.5372912328592,1873.2856225750008,1887.0429706641044,1873.36771956146,1856.258445691948,1858.6396559045445,1857.16443465106,1850.7736178841208,1874.931285044658,1874.4552620505988,1874.683353498381,1889.552423930345,1873.1093718418213,1873.15636203868,1889.3248008066128,1870.7664780068787,1857.7549799179176,1860.4702483415167,1855.833624891202,1875.2399769670988,1874.9927133369229,1874.079294687123,1884.7340133279663,1874.690889465866,1874.1668551724824,1882.28554572379,1867.5932255608875,1856.869746471536,1859.667743096369,1861.5232833457287,1851.919680330493,1874.818932612567,1875.1416037587844,1880.0338262389048,1890.543530596136,1872.6740521864624,1870.639725922157,1888.33520703058,1869.005072326564,1860.9441319175544,1859.036571498996,1861.034798563664,1850.9188678880448,1875.2611219270327,1873.389935026339,1871.686847908618,1886.976761537436,1869.2855039245253,1869.983775234982,1881.564723626717,1870.2826570903253,1861.8131144199183,1855.7021717865805,1859.6036999275616,1858.739928233928
ARUNACHAL PRADESH,1873.4232638428928,1849.6020465740744,1869.073572541972,1865.7031928347449,1907.819229371296,1920.067687577681,1922.533401041408,1882.8863897618344,1875.306460136461,1874.641919923663,1874.2267462621296,1873.629649164842,1873.8410315478743,1850.6899625301376,1867.4426805853127,1869.604263545268,1907.6183947364573,1924.290914069228,1918.973584094667,1882.9653830304555,1861.949528974752,1875.892797802392,1874.1349141033568,1873.7044299235429,1872.6352067581447,1849.523719894895,1865.576548656829,1870.3326506333383,1906.1623340912245,1916.2753872836915,1915.1718049221204,1872.26878835184,1863.9181488865315,1875.4495076846429,1875.3499579477725,1873.580362942996,1872.9701819451168,1851.2992610482988,1864.120513361061,1870.078456425368,1913.661763618473,1921.3888949398893,1922.25031635168,1873.184216836754,1862.0187072908009,1875.880971050865,1874.55686082367,1873.024044995088,1872.24711493346,1852.5982751340505,1860.7915643184544,1879.822733983548,1909.264389492276,1917.2783533950496,1922.2943256567023,1873.638017213097,1859.0744401045013,1873.4505282640607,1872.9852046631995,1873.5639678302327,1873.362405932677,1849.77222240614,1866.249738493534,1870.3358821596696,1909.0087805895928,1917.6237211867792,1925.723834490623,1870.4851876571304,1865.0685398000448,1869.6311156399497,1874.3340283630405,1873.0159120899427,1872.22655990414,1850.641628614236,1869.4874243751,1868.3521685761784,1908.3328564221747,1917.8217469962265,1920.58914580721,1869.200139046989,1873.2230470084903,1874.930940430393,1873.541847997404,1872.6649439045227,1851.2428231962056,1864.5579970433475,1869.2190035553488,1913.5908038294465,1921.634051911112,1923.1284637835363,1883.0170225492247,1859.1288317309447,1870.237635652528,1874.549865834435,1873.6765014793727,1873.0088545947008,1849.923087073784,1870.0467724862967,1870.1331752400813,1915.138232187663,1915.6537987604904,1921.006728070432,1870.1724336229183,1866.0382636090524,1874.157430545741,1874.9833626991744,1873.02662108314,1873.0144643438755,1851.010775812961,1864.9699188125123,1869.065126066032,1912.5714783509293,1917.4698597112367,1925.1766683597543,1873.00681994228,1864.9820073108333,1874.0933653951208,1874.8026713461627,1873.310665766652,1873.465219960064
ASSAM,1876.811453647558,1850.1912145155209,1875.173311281736,1872.512607659116,1915.675411086989,1921.548091139496,1920.8753003363693,1882.8527438324093,1870.971470256622,1871.7602638707613,1878.735464339824,1877.2589489666864,1875.9322471163912,1851.342487713112,1870.0955422060088,1870.141964445636,1911.655915896576,1918.3333766634648,1919.8448785804103,1874.654361024356,1867.8949873655213,1871.6727716171988,1879.000535901166,1876.035194128123,1876.1218854926828,1850.8594655119737,1872.3552560617727,1871.7779764297773,1915.7621019362543,1917.526199531816,1915.679837847896,1871.7576857422105,1867.1968355201896,1870.915591472127,1879.0990500877133,1877.8749535229128,1877.6380462814643,1851.3376664088864,1874.392131397829,1872.516616349555,1914.8277717496635,1918.9223238063803,1924.1179400515744,1868.3825814052584,1869.332060825216,1874.18911854848,1879.003256324062,1877.6532740625312,1875.3236594404848,1851.2572593781767,1871.159372913612,1876.9850840514007,1914.84022083357,1916.296012369133,1926.9158666375413,1867.999109538327,1863.8342496340715,1874.0833593235727,1877.9596867724863,1876.7586156890368,1872.8104104402,1849.7052951324831,1873.86610012914,1867.016107115384,1915.32181672974,1920.2768431046184,1923.6571417579585,1868.7259005764463,1869.038959178772,1860.94153005986,1878.219215792604,1875.0839914865585,1868.554952650148,1850.980810504382,1873.0161248736256,1869.0250110628008,1906.659774572198,1918.4126417699383,1917.4023235789125,1877.1624034701683,1871.7137545067487,1868.3808774480383,1877.116696565492,1875.624363518123,1851.748246862857,1871.9696084903828,1874.3161322379465,1914.564636223524,1916.385185038553,1917.2549571481725,1875.426303304082,1862.3730279810927,1862.8839517384847,1878.916043410143,1877.06793680174,1876.1367387700925,1851.1706875402936,1875.350171394327,1867.5644229084653,1917.866900706849,1923.6604009738187,1922.3454796795545,1869.968038314249,1864.08489793812,1860.048363461843,1879.4790765049147,1879.0997020591635,1876.760227557683,1851.018428816492,1872.7326615412137,1873.0220984490195,1915.722876165802,1917.2429947883224,1917.1808699890933,1871.4084868906289,1870.7233986597528,1869.437242064375,1878.654570413911,1876.6164771106369,1878.406937623517
BIHAR,1871.429686172126,1851.7074636551563,1874.7164712191595,1873.8582170353184,1912.139653189089,1908.308252527044,1925.3377833793024,1883.7946539653665,1868.029482680921,1871.4053931745696,1877.416074527936,1874.5060490215103,1874.880827740744,1851.6960601266849,1875.41502330188,1871.4563281455248,1919.5702642059773,1913.794667559343,1923.913281507225,1875.428264131168,1870.3595953512013,1866.684829297909,1878.0179752632705,1878.685962652128,1876.8706548758948,1851.6850916135245,1875.1570333534512,1872.6574393465169,1918.6297149433565,1915.7553312704104,1923.3122345851928,1885.5242794272665,1871.9650868047893,1870.15762365016,1876.267800210928,1876.0074304190025,1872.4660496001104,1852.7473751320767,1874.6295905669297,1873.3504262019644,1916.9012814805303,1914.0190931698828,1923.2695470302945,1871.1976386299184,1867.1226477115465,1873.0883897122976,1875.8982194597409,1878.623161749081,1869.9197899734977,1850.8487761607312,1872.127490416809,1874.153564444244,1916.0513265424152,1913.863319837633,1921.5639414135867,1868.1239741457684,1869.606925352532,1864.3702415770229,1877.7005330467696,1879.684290705599,1876.3362500385845,1851.7872360532897,1873.96455831954,1870.3015238631224,1915.2557273728933,1912.8313661239008,1922.9730777511609,1876.8335024224384,1872.1276719020343,1864.701178275952,1876.2275832292755,1876.1078044023848,1871.7858435884807,1853.043041661709,1873.286981245512,1868.7941939219213,1909.3208323535416,1909.860854378366,1921.504660690691,1873.437566232036,1861.4041772804817,1866.639424620184,1877.3791696153264,1876.36958925336,1850.942997935775,1874.2662214425663,1871.8225086030068,1916.00529983714,1916.9208954809155,1925.5267887908624,1870.7475575289425,1865.521914862302,1870.1901153628924,1876.145428162285,1879.1810855872336,1872.8972602210747,1850.795684891472,1875.3405505244727,1873.8923411468752,1920.6653592469409,1911.9279063291017,1919.663001739972,1869.3573786793504,1862.5019630204176,1871.067310701277,1876.2526197111083,1879.6377785632253,1871.141289003696,1851.878751882728,1869.2943378781024,1873.0522284119093,1915.5776405877136,1905.921582681968,1923.7722856444504,1870.8183995142963,1865.931100566277,1863.630956444837,1877.3009903143795,1878.6273409767707,1877.8756125219447
CHANDIGARH,1874.9999176697625,1850.213211239933,1855.747524640449,1878.23220033344,1977.8198171608176,1904.657533865936,1917.48983129896,1880.4011878523936,1850.0291669180924,1874.745116725235,1879.89657170032,1880.8004145300845,1874.1712630755128,1850.8173586253945,1856.59502814958,1877.4127919486823,1949.4133495178808,1901.2293557961225,1907.188740153316,1878.8615320188137,1879.9471286264209,1876.633058866486,1882.1485236415,1879.748929342415,1879.8810903634976,1849.70391236864,1856.888447348552,1876.8050818113768,1935.702821587178,1920.938334894502,1917.0715032160592,1879.7887036494028,1857.4558401525824,1876.638059727622,1875.8233622987707,1879.244346966896,1875.697465205081,1850.580139578209,1858.9313987081773,1877.296158228228,1928.226636606294,1907.387717042038,1918.040950841384,1841.491460321535,1856.4699474985443,1876.703823624734,1882.2265920298548,1878.944521076128,1877.19304632667,1852.1988376011657,1869.162703515388,1879.771401809724,1874.0949877417656,1902.222593954614,1917.717437886916,1833.1057825401,1879.9598010029763,1875.943004423702,1882.040472648715,1875.988893990484,1876.889985202764,,1879.7475227578657,1877.828872049521,1955.6332104355308,1932.8332863106723,1935.0058113497955,1834.189370860996,1847.0043863022368,1876.1546094195253,1873.8940220557809,1875.7830287149127,1873.128346310129,1849.702033618745,1857.1815270281245,1851.9346196501024,1975.4272909905003,1931.1726411447069,1920.320557703439,1881.349698720336,1849.931935721591,1876.135044427385,1879.8137089717493,1877.217970789222,1849.754269050636,1856.898355110953,1877.348878702225,1910.1679918032523,1914.32907512392,1914.0434803395667,1880.062264920972,1871.9597454015016,1849.9550874609768,1882.5640999290129,1879.3918618989128,1875.68480766299,1849.867241844007,1856.5537079650453,1877.1514501540807,1937.9971473235191,,1881.8727473785848,1879.76535249386,1857.472193421599,1876.3009556685768,1882.8326924900084,1878.879105661248,,,,,,,,,,,,,1872.76972562416
CHHATTISGARH,1858.52475461266,1861.0135149550504,1871.0366511628663,1870.6594784598065,1913.9225946173592,1887.368347641538,1888.322324597645,1878.7059147180253,1874.7176163130923,1851.6338553199785,1877.5522435483456,1874.6567899655165,1853.6338335518128,1864.338963625457,1874.341175821998,1872.4398080600977,1905.982017453208,1888.4257104344624,1895.221472949884,1891.515029521213,1872.99886892782,1853.1291963623464,1875.6890124666536,1877.22486905122,1861.8622902906416,1857.09633488576,1872.46401318068,1875.863216987172,1903.4724668140589,1885.127628864596,1903.745713704432,1891.141536355265,1873.8673298348613,1850.6117643000248,1876.4695250061973,1877.745133523625,1858.8282780968475,1860.75452807438,1873.9118027905645,1874.4145255761368,1904.9577038019315,1888.494991186717,1887.891996109773,1891.3019062881085,1870.4081660589368,1854.221358927977,1877.186559898124,1877.8817928136248,1855.6665396087287,1862.1501227030208,1873.8741785720576,1869.705350469536,1908.320299873624,1882.342814694856,1883.775075865795,1887.2630889470247,1867.4201151839163,1851.1958228227863,1875.7965755633147,1878.8127567207853,1859.65628064294,1859.7688939921047,1873.5083490841,1870.1565667831844,1909.641034623979,1884.7993754370616,1891.721759906138,1875.0199615224208,1871.9414835100115,1856.7111050299368,1876.30003134712,1879.111194435743,1856.077243715682,1862.3247111652863,1874.9570453265903,1871.3855873077723,1913.3942196113608,1880.483443974202,1894.3765705802205,1876.2825511354613,1868.017442292428,1854.559172637188,1877.0026562430687,1852.718856801637,1864.858217998311,1872.395521178699,1873.320373688016,1909.5098740812743,1886.0236568515088,1889.892205881796,1875.2685644059416,1873.6351122924068,1852.213089741248,1877.01857800892,1878.97258401872,1860.512956877713,1858.1297661887943,1874.46737346408,1873.9272497165111,1913.908818487309,1883.7359428314871,1893.148506525535,1899.428433155458,1872.3426178430743,1850.93649558572,1877.097275456388,1877.8084590395515,1858.2203921455573,1861.7121833808324,1868.808346294636,1869.252422080556,1909.0848320443097,1885.779203273116,1900.0722678304649,1886.3600728106128,1873.863380455391,1852.3264751315303,1876.7949492180528,1876.2415342185943,1878.539024141188
DADRA NAGAR HAVELI DAMAN DIU,1850.797506971398,1857.752039491532,1874.792309455613,1868.619838796341,1893.1363480159027,1891.8848422156416,1885.8217007218395,1917.5542713099608,1874.3579609123224,1850.09443860128,1876.7249683673133,1876.8556625425072,1850.3567196372112,1878.6881332132848,1875.3769710423296,1864.3041659757816,1903.1924199045848,1893.111268128762,1885.0203080460487,1903.390808622556,1874.4597566539903,1851.021038208936,1882.3607950365688,1876.482979161838,1849.770883239249,1872.1069742398345,1875.30325608722,1875.547731416259,1917.9033075922584,1887.163283665008,1900.6695186767893,,1873.2267426759456,1850.4859234790035,1876.671389693568,1876.6509546437449,1849.6637434553213,1874.4263050706,1874.977854456428,1874.7428575649049,1914.6026230675564,1886.292648482225,1883.6288918297296,1919.7576196914133,1874.379959515596,1856.626103089888,1877.001940234732,1879.245647736324,1857.368969504853,1858.1041610378256,1875.1841757524728,1863.628638120784,1907.3722233245712,1881.60558280217,,1865.950919336924,1875.458397779645,1849.5961445022388,1876.686159814022,1873.3589478160773,1850.071340474096,1858.3576192089083,1875.7110772717813,1876.0773707146395,1900.3260635853333,1892.590394894557,1882.886671007413,1863.2857303125843,1874.1587165351973,1852.1871280049963,1882.823531989688,1880.058588685868,1849.8496098127328,1859.223643095552,1875.080016518919,1870.320228053995,1895.2092661678803,1896.127914889846,1878.44809501878,1898.3914976293736,1867.101006935648,1850.2274631231544,1875.060212455332,1849.8792769253669,1867.973527126128,1875.6322872795247,1872.278050263828,1926.3804102235408,1891.1445287764748,1892.613731098633,1866.1155535180203,1865.03617582086,1850.5689908872776,1876.727781446037,1876.797960319004,1850.1661069563727,1872.468477140913,1876.04012637226,1875.7474753279307,1913.377002464981,1886.236185848744,1890.6920682771088,1906.468135270169,1872.3145465532773,1850.3145184887808,1876.685388255139,1876.878850541268,1850.6766392694703,1875.112712422049,1875.1112904597496,1874.5912801458671,1918.2217498940456,1888.378402422172,,1872.1436056191187,1874.9231278520065,1852.7616195425423,1876.6780656101623,1876.586943368945,1877.1747975377564
DELHI,1874.321982821986,1852.8479921457968,1878.9681345830995,1869.286373577268,1909.689245835713,1920.498352295024,1923.798247424901,1873.6166448063043,1865.486713850772,1879.9202238573816,1879.2221862540569,1878.6584794300368,1874.6451168322044,1855.940369936506,1865.0681802014244,1866.545025000681,1905.447574794172,1918.774013729214,1925.14013341652,1876.5307982187287,1864.7053036241248,1879.30184824165,1878.2527402245648,1877.538530278916,1875.5009264396635,1854.6145231118487,1862.9999995727944,1875.9986387429003,1907.9346828342912,1921.6455304856108,1925.419555291391,1873.5764049529737,1862.94796116691,1878.982712553296,1877.9759854590704,1876.945044982584,1876.495161173284,1853.7195698036608,1867.990970560247,1876.57935717367,1913.0376217642315,1927.9604629645348,1925.8202356563727,1870.731708854648,1856.967096024308,1867.9272220653024,1877.539098544905,1876.768342844319,1876.011557450273,1855.389516726687,1873.670109779148,1868.8932268561089,1899.551936780873,1924.682539505122,1922.2975084604263,1874.9395707862543,1877.7682551403448,1878.162266464845,1878.977086054308,1875.591405114152,1875.2583463482715,1853.036666911756,1868.647617754333,1876.4767359218083,1905.5948041944832,1913.9226119574048,1924.033429396505,1875.2222373839425,1867.375307396564,1877.3523540676144,1878.634471902775,1875.770184400742,1874.939188682598,1855.653574528364,1863.8031994924504,1873.971184554911,1918.8779714408668,1916.6004797037392,1925.5649090169804,1872.715820090548,1863.0478274203203,1879.26390171927,1876.7257466532164,1875.84471151186,1855.122137613024,1861.293349298877,1867.3682842631167,1910.114657074256,1912.0333201076453,1928.1335195812185,1879.275017878596,1861.943216756127,1877.1522989309783,1879.2494611029783,1875.431162707801,1874.979838269116,1857.6607875865448,1868.979268037209,1870.4043559838456,1908.4455655529184,1918.8064554363573,1925.1678133193248,1875.1818918690087,1859.05681272539,1877.826053583265,1879.3750281801376,1876.2576290475868,1875.0006492503912,1856.227438114044,1872.383584590796,1873.903809627241,1909.630988118021,1927.415177913012,1920.9978328703744,1864.4819433745413,1864.1002995388,1867.8021886880035,1879.293973152611,1876.1149339171031,1876.4338242147053
GOA,1851.851722370528,1873.7950554587223,1873.769639210528,1861.497526444056,1885.917660263177,1871.949449990234,1867.1268475435247,1868.1085652732493,1871.15593459318,1870.8035462763933,1850.7457410923016,1863.9390501422645,1847.907576030703,1873.554724103096,1872.845822672912,1872.906602369311,1885.015873884737,1866.572833933144,1867.911334921553,1868.1894691243465,1873.9814095731224,1850.9940328301368,1850.8901575783352,1862.514475193595,1852.805649372743,1874.6499437567184,1876.1687527002616,1874.496755991376,1887.455835881212,1866.7184865659444,1870.426464623413,1866.7930601243609,1869.96745833617,1849.861686744476,1854.086888412104,1862.301286162728,1852.6169971147783,1876.9476484084423,1873.2572250774303,1877.8099282823696,1883.1742013864207,1862.6327660386728,1867.9947753432068,1871.0467491988693,1869.2196943711072,1846.0381042411248,1860.972842509553,1861.7435719986809,1852.2002679054865,1875.7525772773392,1873.342608645278,1866.0885634531064,1879.186639864036,1877.682896767004,,1924.71477208647,1875.8664460116545,1865.522389356764,1861.6196128462004,1856.8322270660428,1852.6147133950192,1873.901100731829,1872.923778191892,1865.3639751724947,1886.168696264138,1880.945083782434,1865.7719236676144,1925.4918670973093,,1861.0299347717269,1850.6613115202424,1853.7767998003344,1852.9691196415984,1872.8027252813747,1873.784287874848,1863.235018757,1871.0373830156143,1870.250659874553,,1922.525163996308,1868.6453028066665,1861.012283559965,1862.6726659097849,1852.6207815144028,1876.8272412689007,1873.9139806830465,1872.558036343076,1879.0878493562896,1867.7751998258325,1865.593235189106,1865.6809935569693,1871.9469421116348,1852.2059569634423,1848.8051127596527,1862.675613343662,1852.2114722260728,1875.0581346991405,1871.62802984188,1878.2012132802613,1886.2973605301004,1871.8686336160108,,1865.28765374137,1871.6845014519783,1858.5272142259453,1857.8549456370567,1860.8956321823905,1850.9246713284667,1879.0835729502885,1875.7797565577296,1877.9769806207653,1883.045328860098,1865.867792186456,1865.5558713756188,1870.1054049507788,1866.5537647982053,1873.2447921660355,1862.3895330807345,1862.7658325665525,1851.39045242807
